cruise speed,illuminance,req_0
2.7584,19.6045,False
3.1796,88.6552,False
0.329,40.8427,True
4.6796,26.1776,True
0.1697,70.7442,True
4.2099,21.9809,True
0.1433,28.6255,True
0.8383,85.5557,True
3.1539,88.4243,True
3.9057,52.1526,True
4.6426,0.4218,False
1.102,62.6122,True
0.9649,62.2982,True
4.3542,18.8234,False
1.1376,79.3248,True
0.1876,62.1293,True
2.5222,51.9914,True
2.373,60.8207,True
4.4969,26.6007,True
3.6774,59.909,True
2.966,49.1278,True
3.8239,33.6547,True
3.6982,47.0309,True
0.4887,99.2003,True
2.8462,17.2756,False
4.3145,91.8101,False
3.0782,38.1832,True
0.5542,84.4768,True
2.43,34.7669,True
1.8045,31.3608,True
1.2121,49.45,True
1.8653,57.0726,True
1.7063,78.2996,True
0.2851,52.8375,True
4.3754,77.9872,True
1.8441,25.8389,True
1.1608,29.6452,True
3.5903,93.8389,True
1.7095,63.0001,True
1.6229,59.4028,True
1.1898,20.0625,True
1.1416,68.771,True
3.4928,93.2436,True
0.2958,43.8435,True
2.0107,56.3825,True
1.1224,85.2607,True
3.2919,32.7325,False
3.5298,34.1326,True
2.1009,39.2477,True
4.6582,65.7793,True
1.792,3.5516,False
3.8432,76.1538,True
3.3358,4.4954,False
2.7561,17.9313,False
2.6588,33.5896,True
1.3379,29.0855,True
2.2303,33.2408,True
4.0038,3.2466,False
3.7217,44.8752,True
2.2494,77.1689,True
2.185,35.3896,True
3.9277,12.3294,False
2.9594,92.246,True
0.6659,59.8283,True
0.6296,99.2843,True
1.7641,81.2647,True
4.1935,3.5745,False
2.5588,21.0672,False
0.8773,97.6805,True
4.9637,8.2482,False
0.4898,31.1738,True
4.3656,40.8818,False
4.6331,43.6603,True
2.5664,29.5366,True
0.937,10.642,False
2.1042,20.9848,True
4.372,12.1038,False
3.6465,12.7667,False
0.59,4.2482,True
1.2985,30.4829,True
2.2823,65.6107,True
2.662,92.9239,True
0.6127,89.3139,True
0.8062,68.5742,True
4.8113,38.8118,True
1.8016,89.8772,True
3.1077,21.3675,False
3.6516,89.0282,True
4.4016,79.7069,True
1.1771,36.0715,True
4.575,93.5843,True
3.769,14.7697,False
4.1266,37.4271,True
1.5831,55.128,True
0.8546,0.3389,True
1.4086,15.184,True
3.5094,10.8384,False
3.8657,73.6449,False
1.5653,58.4013,True
4.9251,98.0195,True
1.0847,91.4847,True
3.1231,9.2727,False
4.7596,80.9002,False
3.1741,43.1075,True
2.2161,21.5264,True
4.9283,70.3041,True
4.6555,59.5114,True
3.088,58.721,True
3.6726,22.8765,False
0.5525,43.3771,True
4.604,28.3692,False
3.5543,90.1597,False
0.557,68.353,True
4.3045,11.2042,True
0.6158,51.239,True
0.6651,93.9422,True
2.5524,68.9085,True
3.3735,90.1401,True
2.1061,89.1303,True
1.5256,87.7919,True
2.9786,32.6853,True
2.8074,33.0666,True
3.9069,47.0581,False
1.4754,0.6023,True
4.014,9.3472,False
1.364,77.6764,True
4.6903,10.17,False
4.9622,63.3384,False
3.3181,68.3602,True
2.1295,31.5721,True
3.6917,91.614,True
4.4171,10.8379,False
0.5899,98.6205,True
4.9791,28.8244,True
3.3244,42.9508,True
3.9732,84.403,False
3.9202,16.1873,False
1.9866,13.6753,True
3.3877,48.2104,True
1.1738,60.7008,True
1.7942,13.0292,False
4.9099,48.1342,True
0.4021,99.3991,True
1.0388,91.6313,True
2.2281,24.5242,True
0.4144,21.845,True
4.5468,31.0688,True
0.9272,35.2517,True
2.2224,40.7031,True
2.9352,84.7975,True
3.8771,92.1172,False
0.607,85.8679,True
3.8352,10.4312,False
3.513,91.1275,True
4.5112,46.2258,True
3.5775,91.158,False
2.5077,91.6794,True
1.3268,68.5562,True
2.0525,15.364,True
2.5415,16.2035,False
0.9606,92.2457,True
1.8815,84.9253,True
3.7921,93.4993,True
4.6594,60.3456,True
3.4762,94.3754,True
0.7055,24.1708,True
0.851,38.5765,True
2.1559,43.4038,True
1.0779,35.3384,True
1.8163,33.0048,True
2.3083,94.2781,True
3.8238,72.9478,False
1.8276,48.5086,True
1.3796,11.9359,False
4.1112,75.9855,True
4.9393,51.1314,True
3.8932,65.149,True
0.1051,5.7058,True
2.6019,9.2203,False
3.3504,18.0032,False
1.7336,8.7063,True
1.8616,89.0671,True
3.3372,54.3858,True
3.1005,35.3004,False
2.085,67.4317,True
3.4041,50.5745,True
3.0801,28.1045,True
3.5825,64.4422,False
3.5328,41.997,True
1.6063,23.8998,True
2.9133,72.4759,True
1.4982,58.0837,True
1.5592,0.5254,True
4.0547,56.9649,True
1.602,88.9172,True
3.9847,84.5335,True
2.1173,13.8683,False
2.6959,73.7067,True
0.2506,11.71,True
1.122,39.8646,True
1.2002,50.153,True
2.1498,5.7162,True
1.227,42.1971,True
