cruise speed,illuminance,req_0
2.4373,18223.3236,True
1.8545,7483.6386,True
2.534,16207.1657,True
0.4198,27116.6252,True
3.5626,72257.3996,True
1.449,36075.8474,True
1.9964,82507.7411,True
0.9344,105955.573,True
2.155,55935.7103,True
3.231,96816.7678,True
0.365,57365.022,True
3.574,60781.1994,True
0.3034,30062.6074,True
1.2183,27993.8169,True
0.7241,70750.5901,True
3.6279,66583.2911,True
0.8347,113076.3134,True
4.339,3874.2267,True
1.8085,99506.599,True
4.6827,23028.4511,True
0.7155,82985.3846,True
1.3177,101075.7228,True
3.2091,116519.1454,True
2.4559,99194.9928,True
1.9974,106638.5128,True
3.967,54584.4189,True
3.3761,13073.5426,True
2.4536,89151.9963,True
3.7051,23078.2014,True
0.6205,77103.3317,True
4.8369,49300.4451,True
3.1791,53447.5483,True
4.6462,86914.8263,True
1.6885,99237.0041,True
4.4635,58529.8775,True
4.8262,104725.5159,True
3.6018,118330.494,True
1.1878,65467.4004,True
1.5922,22948.9175,True
3.2403,85639.9045,True
4.7466,32446.0842,True
2.2162,65777.7691,True
3.2687,85547.3916,True
3.8812,7106.922,True
1.5547,100678.6284,True
2.1882,24236.8257,True
3.3139,76092.9886,True
4.161,79519.6785,True
1.6919,86217.3618,True
2.5976,107661.9671,True
2.5386,12123.618,True
4.6039,111472.1721,True
0.3085,17953.7743,True
2.7124,32868.7374,True
0.888,48903.9709,True
0.9414,71773.6465,True
1.968,3840.0747,True
1.9715,88071.0217,True
2.2073,60754.1906,True
4.6831,36732.9348,True
3.2824,51702.9351,True
3.6334,38882.9822,True
4.7914,96093.6644,True
2.2876,7272.7052,True
4.3756,86755.2084,True
0.38,12405.8618,True
2.7563,76843.3234,True
3.2878,9620.0082,True
4.6555,113951.0706,True
3.2415,69704.8908,True
2.2614,72915.6226,True
4.8688,82660.0121,True
1.9499,30376.047,True
0.2286,96841.0462,True
0.631,94226.1443,True
4.9679,4025.6145,True
1.7101,93844.1177,True
0.9335,108756.2583,True
2.4182,16845.4982,True
1.621,57210.3481,True
0.8036,119674.1871,True
4.2762,86959.9907,True
3.0239,119695.5713,True
1.0654,60644.3872,True
1.0753,11249.451,True
0.9458,18283.6561,True
