power,cruise speed,bandwidth,quality,illuminance,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3,req_4,req_5
12.0,4.9303,39.5712,1.0,47565.7061,0.0,62.941,5.4667,1.0,False,False,True,True,True,True
33.0,2.3759,40.4839,0.0,33152.6215,1.0,34.7168,0.6344,0.0,False,False,True,True,True,True
90.0,0.1723,40.6318,2.0,59061.3323,1.0,101.3707,3.7917,1.0,True,True,True,True,True,True
28.0,2.2097,14.7486,2.0,111063.671,1.0,103.4153,0.9568,1.0,True,True,True,True,True,True
30.0,4.5074,36.5144,2.0,20293.818,2.0,88.0795,2.062,1.0,False,True,True,True,True,True
67.0,4.6828,30.5733,2.0,101216.7854,1.0,20.2281,7.2008,0.0,False,False,False,True,True,True
72.0,3.3142,40.1638,2.0,100744.2733,2.0,13.3067,5.6433,0.0,False,False,False,True,True,True
23.0,2.8085,13.5136,2.0,12711.3367,2.0,110.6826,3.8661,0.0,True,True,True,True,True,True
52.0,3.0765,25.3495,1.0,96403.3274,2.0,45.2485,2.3119,0.0,True,True,True,True,True,True
62.0,4.957,49.4311,2.0,44056.3309,1.0,55.6542,4.2501,1.0,False,False,True,True,True,True
85.0,0.8852,44.6661,2.0,76087.563,2.0,74.8365,5.2403,0.0,False,True,True,True,True,True
51.0,1.3951,17.5623,0.0,118722.6511,2.0,8.3613,7.4187,1.0,True,True,True,True,True,True
76.0,4.4361,19.4035,2.0,5896.5561,0.0,1.5347,6.4457,1.0,False,True,True,True,True,True
67.0,4.126,43.9164,1.0,44111.6805,0.0,108.2464,0.2489,1.0,True,True,True,True,True,True
24.0,2.8624,47.0152,0.0,34939.9553,1.0,47.5971,4.1065,0.0,True,True,True,False,True,True
95.0,3.2737,39.106,0.0,83197.9119,1.0,31.0619,1.0266,1.0,False,True,True,True,True,True
16.0,3.2551,29.245,1.0,104984.4124,0.0,117.7364,8.0696,1.0,True,True,True,True,True,True
55.0,1.2866,12.5558,0.0,15894.528,0.0,93.4682,6.2921,1.0,True,True,True,True,True,True
61.0,4.1918,37.5629,0.0,113304.6864,1.0,84.1866,9.7682,0.0,False,True,True,True,True,True
27.0,0.2794,15.6057,1.0,88802.3049,0.0,38.0799,0.4009,1.0,True,True,True,True,True,True
