car_speed,p_x,p_y,orientation,weather,road_shape,req_0,req_1,req_2
42.5088,9.7494,2.7561,11.0,0.0,1.0,False,False,False
47.1207,1.9293,6.8392,-20.0,0.0,2.0,True,True,True
33.6074,9.3196,2.1369,-23.0,2.0,2.0,True,False,False
19.3158,8.8544,8.7493,2.0,2.0,2.0,False,False,False
11.5138,1.2052,1.8543,-26.0,2.0,1.0,False,True,True
40.826,7.5149,1.5737,-18.0,1.0,0.0,False,False,False
48.5522,7.5606,4.5945,-14.0,2.0,2.0,False,False,False
47.9538,9.5068,4.3587,-23.0,2.0,2.0,True,False,False
38.2974,1.4916,5.7238,14.0,0.0,1.0,True,True,True
13.3261,6.1431,9.2446,-16.0,1.0,0.0,True,True,True
14.7822,8.3858,9.8234,-7.0,1.0,2.0,False,True,False
12.162,7.953,6.5168,4.0,1.0,1.0,False,True,False
40.7993,1.129,3.2496,23.0,0.0,2.0,False,False,False
10.8302,9.4672,7.7215,14.0,1.0,1.0,False,False,False
35.1357,9.4368,9.8082,-24.0,1.0,1.0,False,False,False
29.4369,8.4639,8.8476,1.0,2.0,1.0,False,True,False
6.088,8.9582,5.0355,-21.0,0.0,2.0,True,True,True
14.6303,1.0207,4.0323,17.0,0.0,0.0,True,False,False
7.7806,9.9161,4.1121,4.0,1.0,0.0,False,False,False
27.2939,3.5689,0.5849,-12.0,0.0,1.0,True,True,True
44.656,6.681,1.6309,15.0,1.0,1.0,False,True,False
19.3768,6.3311,0.889,-12.0,1.0,1.0,False,False,False
37.7938,1.2218,9.1592,0.0,0.0,1.0,False,True,False
41.0626,0.8088,1.2359,21.0,2.0,1.0,False,True,True
29.4237,9.2358,9.1424,14.0,0.0,0.0,False,False,False
5.3763,1.5024,1.7396,-24.0,0.0,1.0,True,True,True
24.1325,6.2645,3.3286,28.0,2.0,2.0,True,False,False
5.9365,2.8868,2.8932,-14.0,0.0,2.0,True,True,True
14.7459,7.4308,1.273,10.0,0.0,1.0,True,True,True
5.7488,9.4288,5.6242,14.0,0.0,2.0,True,False,False
28.3881,5.8121,2.2738,25.0,0.0,0.0,True,True,True
10.5289,3.3311,6.9839,9.0,1.0,0.0,False,True,True
10.1584,2.225,0.036,-10.0,1.0,0.0,True,False,False
28.2556,4.7028,6.9339,-28.0,0.0,2.0,False,True,False
45.9217,6.2994,2.8089,21.0,2.0,0.0,True,True,True
28.5199,0.2059,9.6394,10.0,0.0,2.0,False,True,False
37.0894,9.3163,9.2998,0.0,1.0,0.0,False,True,False
34.2553,2.6437,3.6402,-7.0,2.0,1.0,True,False,False
41.1701,3.1741,2.7656,21.0,1.0,2.0,True,True,True
18.6983,2.719,4.4114,8.0,0.0,0.0,False,True,False
