car_speed,p_x,p_y,orientation,weather,road_shape,req_0,req_1,req_2
10.1016,1.6479,1.546,12.0,2.0,0.0,False,True,False
23.6895,0.1307,9.4915,13.0,0.0,2.0,False,False,False
26.9467,0.3584,1.2456,-6.0,2.0,0.0,True,True,True
15.1668,4.0425,6.2316,-5.0,0.0,1.0,False,True,False
24.7393,2.1917,2.5252,29.0,0.0,1.0,True,True,True
28.4628,0.8114,3.0319,-6.0,0.0,2.0,False,True,False
26.3558,4.9622,7.0185,-2.0,1.0,1.0,True,False,False
39.6316,2.0549,5.4599,28.0,2.0,1.0,False,True,False
6.6715,2.0615,1.43,17.0,1.0,2.0,False,True,True
7.923,7.4887,6.0214,6.0,2.0,2.0,False,False,False
40.4279,3.4302,7.4262,-13.0,0.0,0.0,False,True,False
41.9404,5.3084,7.1521,7.0,1.0,2.0,False,False,False
27.3838,5.4253,4.443,12.0,1.0,0.0,False,False,False
19.3518,9.2608,0.6223,-9.0,0.0,0.0,True,False,False
5.9107,7.972,1.0059,-13.0,1.0,2.0,True,True,True
19.5297,3.445,7.0861,12.0,1.0,1.0,True,False,False
38.8472,0.674,8.7893,-9.0,2.0,0.0,True,True,True
22.1917,5.7975,3.6886,18.0,2.0,1.0,True,False,False
39.9748,7.7089,2.0501,-6.0,2.0,0.0,True,True,True
45.5246,6.3629,7.7252,-1.0,0.0,2.0,False,False,False
39.8483,6.2626,5.0368,2.0,1.0,0.0,True,False,False
35.4369,1.8759,2.5512,19.0,1.0,0.0,True,True,True
33.5866,6.2007,4.8811,-12.0,1.0,0.0,True,False,False
35.7411,5.714,1.3049,-29.0,0.0,0.0,True,True,True
7.7503,5.5599,0.4942,-15.0,0.0,2.0,False,True,True
37.1524,3.9306,4.1343,15.0,1.0,0.0,False,True,True
11.5761,4.4031,5.9203,17.0,2.0,1.0,False,True,False
25.5998,9.0723,2.3346,-26.0,2.0,2.0,False,False,False
16.6522,7.7511,1.0711,4.0,0.0,0.0,True,False,False
29.8298,9.6099,2.2064,-18.0,0.0,1.0,True,False,False
34.825,7.9292,1.8074,14.0,2.0,2.0,False,True,True
36.5205,3.4639,8.7392,10.0,1.0,2.0,False,False,False
24.1271,4.4626,2.6281,6.0,0.0,2.0,True,True,True
49.5561,1.558,4.9499,-29.0,1.0,0.0,False,False,False
42.7422,4.4654,1.0758,16.0,0.0,1.0,False,True,False
18.0231,8.3243,6.3367,-10.0,2.0,1.0,False,False,False
