cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
2.3674,91.5664,36.9087,31.3653,0.0,35.4762,44.5175,34.1493,0.0,False,False,True,True
94.7088,80.1239,13.7092,38.1149,53.0,4.1598,51.7658,52.0707,0.0,False,True,False,True
95.2551,70.1208,29.0499,58.5317,31.0,91.1737,86.6438,23.7649,0.0,False,False,False,True
34.0762,62.0163,63.856,7.0693,89.0,55.9746,70.175,10.9414,0.0,True,False,True,True
5.9225,17.5048,67.1117,22.4356,7.0,72.6059,27.5616,84.2562,0.0,False,False,False,True
51.9314,91.3162,66.9682,23.3319,88.0,0.3082,72.6732,56.4234,1.0,True,False,False,False
91.0944,63.0069,79.7925,43.5598,97.0,6.1348,4.9486,78.9182,0.0,False,False,True,True
66.8397,26.1513,96.6985,46.5117,73.0,58.4089,69.6192,58.6962,0.0,False,False,False,True
41.9407,95.1346,7.1891,42.6515,38.0,63.1002,42.5092,72.1988,0.0,False,False,False,True
38.0752,32.446,37.5819,28.2072,48.0,62.0347,3.7366,28.5277,0.0,False,False,True,True
28.9044,48.3785,25.0791,75.4367,33.0,69.0852,75.8071,26.2349,1.0,True,False,False,False
70.2511,84.1137,70.9993,13.5963,11.0,45.0569,43.2254,51.9562,1.0,True,False,False,True
86.9513,43.7599,22.2256,21.7193,12.0,61.5861,24.4823,36.0502,0.0,False,False,True,True
73.745,71.638,67.1565,78.1103,17.0,25.2447,80.1795,40.5436,0.0,False,False,False,True
93.5243,49.1582,62.6109,30.4336,30.0,64.3057,46.2947,2.3987,1.0,False,True,False,True
72.7722,54.1824,18.7405,6.4146,90.0,59.9886,62.9006,79.1589,1.0,True,False,True,True
52.8082,52.4802,69.8326,94.0882,4.0,52.6123,96.3435,73.8679,1.0,False,False,False,False
2.7556,43.2117,54.2613,20.7449,38.0,19.3597,34.114,16.2183,1.0,True,False,False,False
22.9638,52.3238,28.1356,21.3193,89.0,57.9534,42.1608,48.6526,0.0,False,False,False,True
67.4117,1.9773,39.582,12.6269,25.0,33.4141,0.5427,77.6639,0.0,False,False,True,True
14.9855,91.9716,65.755,16.5337,75.0,73.7889,58.4323,23.3097,0.0,False,False,True,True
16.2736,47.1412,32.687,78.0538,32.0,23.8709,95.8981,61.3287,1.0,True,False,False,False
10.7935,4.9934,84.9553,48.9321,81.0,53.6892,61.5199,89.1618,0.0,False,False,False,True
84.2315,80.7248,64.0238,99.2587,38.0,56.4195,25.3476,85.059,0.0,True,False,True,True
86.3511,80.6193,75.5812,46.7948,40.0,61.0539,34.6829,93.5618,0.0,False,False,True,True
38.5233,16.4542,23.313,60.5623,5.0,44.5359,44.5952,60.2541,0.0,False,False,False,True
78.5974,31.6832,47.5477,73.0086,34.0,70.1293,45.5617,74.5229,1.0,True,False,False,False
2.767,75.6146,46.4346,71.4041,90.0,5.6307,36.3557,95.054,0.0,False,False,False,True
83.3383,64.5038,29.6371,64.2414,97.0,25.963,1.0668,12.0455,1.0,False,False,False,False
9.6686,2.8164,68.1354,44.9994,60.0,60.7868,17.6472,5.393,0.0,False,False,False,True
59.5433,80.3099,82.6242,70.7626,87.0,59.6742,61.7196,27.3543,0.0,True,False,False,True
27.3803,67.8763,41.2836,6.4219,95.0,84.2171,34.8197,96.3507,1.0,False,False,True,True
80.7864,98.9615,82.1501,3.6954,30.0,24.2301,22.3641,5.7332,0.0,False,False,False,True
51.1069,8.6005,44.3923,17.8805,33.0,27.7615,74.5491,81.695,0.0,False,False,True,True
21.3534,48.0162,8.6632,8.5182,12.0,57.556,98.5186,28.4961,0.0,False,False,False,False
64.4702,96.8026,34.487,31.8802,4.0,16.0721,64.4244,62.4875,0.0,False,False,False,True
41.07,29.7495,80.3951,82.2095,20.0,37.7729,64.1843,24.784,0.0,False,False,False,True
64.6643,4.475,28.1682,94.8482,55.0,42.6917,46.3605,43.5597,0.0,False,False,False,False
99.7366,47.7792,50.9454,99.9697,4.0,99.0721,46.2466,95.6785,1.0,False,False,False,False
68.208,3.8824,20.0803,31.593,45.0,48.3267,44.2077,30.4181,0.0,False,False,False,True
64.5165,45.889,94.677,29.212,12.0,93.7117,50.482,83.8559,0.0,False,False,False,True
46.733,43.6712,90.3036,38.823,54.0,77.4679,75.4498,39.5295,0.0,False,False,True,True
33.9751,20.1329,98.3556,89.6421,68.0,47.5588,82.7669,32.5674,1.0,True,False,False,False
69.1078,44.0364,77.6383,18.115,22.0,39.3434,30.4624,43.7052,0.0,False,False,True,True
56.1191,79.5289,30.2872,88.9808,63.0,17.9053,98.4474,69.0023,0.0,False,False,False,False
53.6011,77.8462,92.0557,96.9198,89.0,86.4734,85.4482,34.8956,0.0,False,False,False,True
23.6521,9.0343,91.4426,44.0179,57.0,15.3803,42.8657,77.414,1.0,False,False,False,False
90.522,71.5987,6.9008,66.6596,56.0,37.7183,64.4344,50.8526,0.0,False,False,True,True
67.9676,99.7467,68.407,46.5961,96.0,30.0291,94.0824,47.902,0.0,True,False,False,False
9.9722,4.0115,31.4735,17.1746,83.0,26.9184,8.4968,71.9046,0.0,False,False,False,True
36.8195,74.0415,2.2378,80.1408,79.0,47.645,77.6823,52.2942,1.0,False,False,False,False
12.7608,59.0566,38.9439,19.6348,98.0,8.6896,77.6315,81.645,1.0,True,False,False,False
