formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,26.9956,1.0,2.0,12.0,3559.3353,99.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,38.9448,0.0,1.0,2.0,20653.575,23.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.5999,0.0,3.0,14.0,1819.4365,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,19.9519,1.0,2.0,14.0,12509.6215,63.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,37.3148,0.0,3.0,17.0,13941.1445,33.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,26.0697,0.0,1.0,10.0,35175.199,48.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,47.3492,0.0,1.0,0.0,36685.9684,31.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,46.056,0.0,1.0,7.0,1939.6086,84.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,29.5464,0.0,1.0,18.0,11805.0644,28.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,39.5155,1.0,1.0,18.0,32659.8774,82.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,36.1509,1.0,2.0,8.0,37323.2194,77.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,40.1347,0.0,3.0,2.0,9611.4922,43.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,41.7299,1.0,1.0,9.0,4820.5542,63.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,16.1426,1.0,2.0,12.0,3812.7606,51.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.7363,0.0,4.0,21.0,7183.8837,79.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,10.0327,0.0,2.0,19.0,14112.4358,35.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,39.9735,0.0,3.0,4.0,25276.1227,63.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,41.3226,0.0,1.0,4.0,38987.3587,68.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,8.8118,1.0,2.0,1.0,4353.9044,75.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,36.2183,1.0,4.0,18.0,3389.244,17.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,43.5745,0.0,4.0,22.0,34652.7985,90.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,45.5583,1.0,4.0,21.0,30839.0443,27.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,9.7105,1.0,4.0,3.0,36501.4414,84.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,15.3001,0.0,2.0,7.0,16883.8518,71.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,37.0229,1.0,1.0,2.0,17321.4346,87.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,39.2553,1.0,1.0,7.0,1088.5476,47.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,32.8834,1.0,2.0,3.0,20158.2607,34.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,38.6454,0.0,2.0,22.0,38517.9829,89.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,5.6617,0.0,1.0,20.0,38204.4535,6.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,9.2463,1.0,3.0,11.0,13500.251,47.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,45.1,0.0,2.0,10.0,24847.1492,58.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,37.4334,0.0,3.0,19.0,5287.8311,2.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.1667,0.0,1.0,2.0,32890.2477,86.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.6101,0.0,1.0,8.0,8786.0306,36.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,24.1261,0.0,1.0,12.0,34519.5455,99.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,49.6454,0.0,3.0,13.0,18785.0991,71.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,24.9467,0.0,1.0,2.0,5014.5548,47.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,15.4393,1.0,3.0,13.0,6317.5912,57.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,30.991,0.0,4.0,23.0,31647.3728,55.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,11.342,0.0,3.0,10.0,5159.5643,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,17.7912,1.0,3.0,3.0,33872.6813,10.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,10.9797,0.0,1.0,9.0,18455.8377,13.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,19.6034,1.0,3.0,4.0,32687.5435,92.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,29.4866,0.0,2.0,2.0,2214.175,7.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.38,0.0,1.0,13.0,15329.5367,18.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,19.3481,1.0,4.0,4.0,2358.9789,14.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,35.2694,0.0,2.0,12.0,5644.3479,68.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,29.8121,0.0,1.0,1.0,33967.7202,22.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,34.6518,1.0,4.0,5.0,21709.6816,74.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,26.124,1.0,3.0,17.0,31640.115,67.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,49.5877,0.0,3.0,6.0,2322.7914,8.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,32.4929,1.0,4.0,4.0,38559.3868,15.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,6.5038,1.0,4.0,8.0,11178.7297,63.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.851,0.0,4.0,12.0,38732.3025,82.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,27.1931,1.0,4.0,20.0,20633.4517,55.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,7.0293,1.0,4.0,4.0,39213.1417,59.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,49.8028,1.0,2.0,20.0,11307.691,1.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,12.7063,1.0,1.0,16.0,31876.2958,5.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,8.7114,0.0,4.0,13.0,24051.7191,7.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,46.6462,0.0,3.0,6.0,10236.2942,36.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,41.033,0.0,3.0,8.0,18502.7558,1.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,15.1266,0.0,3.0,15.0,5288.3885,73.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,38.6854,1.0,4.0,23.0,14228.264,23.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,44.8074,1.0,3.0,20.0,20936.4686,54.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,37.5949,1.0,4.0,19.0,31443.2245,72.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,45.2059,1.0,1.0,19.0,15010.2394,28.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,45.2891,0.0,3.0,7.0,32711.7525,76.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,21.6782,0.0,4.0,4.0,35611.0962,95.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,36.5561,0.0,2.0,20.0,28933.6371,38.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,18.9327,0.0,3.0,14.0,21705.0067,50.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,39.0184,0.0,4.0,22.0,33468.3227,73.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,11.4036,0.0,4.0,18.0,17522.995,57.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,6.1448,0.0,3.0,14.0,17167.7965,97.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,8.6407,0.0,1.0,4.0,8749.9467,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,20.8718,1.0,2.0,21.0,35032.1336,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,7.4387,0.0,3.0,18.0,11017.4749,48.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,48.7748,1.0,1.0,12.0,6002.9917,99.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,17.3891,1.0,4.0,15.0,8026.6992,63.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,27.5341,0.0,1.0,4.0,24973.6177,62.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,17.9418,0.0,3.0,3.0,29774.2835,89.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,44.2486,0.0,2.0,7.0,31021.6487,76.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,35.8812,0.0,2.0,4.0,31533.1174,45.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,48.741,1.0,2.0,7.0,12538.1125,59.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,39.0549,1.0,4.0,5.0,18142.6364,38.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,18.2327,0.0,2.0,4.0,28178.324,58.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,49.6799,0.0,3.0,5.0,29812.2109,81.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,38.9219,0.0,3.0,20.0,19212.2908,38.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,13.024,0.0,4.0,17.0,32460.3685,48.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,48.7416,0.0,1.0,4.0,5352.0219,97.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,11.6474,0.0,3.0,23.0,27941.9349,31.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,14.7666,1.0,3.0,8.0,16386.2992,44.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,17.216,0.0,1.0,0.0,35075.7409,35.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,47.2422,1.0,3.0,13.0,10045.9527,57.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,34.8974,1.0,3.0,7.0,9611.1626,97.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,12.6471,0.0,1.0,9.0,18200.3506,96.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,24.6454,1.0,1.0,15.0,32672.9677,95.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,33.3622,1.0,3.0,15.0,6523.6873,85.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,14.9432,0.0,1.0,15.0,28129.1931,97.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,19.0575,0.0,2.0,8.0,28901.3942,90.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.8574,0.0,1.0,9.0,22772.8516,63.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,21.676,0.0,4.0,20.0,7429.4878,55.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,49.3942,1.0,4.0,5.0,29378.9503,31.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,41.1545,1.0,3.0,3.0,26946.6643,33.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,37.1426,1.0,2.0,21.0,39301.1445,26.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,44.8263,0.0,4.0,19.0,2165.0233,14.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,20.3489,0.0,1.0,5.0,22676.504,4.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,35.8976,1.0,4.0,9.0,28479.6076,93.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,45.6211,0.0,1.0,19.0,9440.1886,56.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,29.3782,1.0,3.0,20.0,11999.8525,32.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,37.6249,0.0,2.0,19.0,34378.5727,88.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,7.1095,1.0,2.0,19.0,1762.8973,1.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,14.3227,1.0,3.0,2.0,10597.2848,77.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,47.5504,1.0,2.0,2.0,4437.7758,20.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,38.3079,0.0,3.0,2.0,17835.1008,32.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,39.1081,1.0,1.0,3.0,27335.6597,90.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,30.7072,1.0,2.0,23.0,6807.0097,41.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,21.6184,0.0,4.0,12.0,24749.8602,95.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.5549,1.0,2.0,17.0,26143.0048,59.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,17.6244,0.0,3.0,7.0,5648.4789,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,14.7335,0.0,2.0,9.0,13380.9061,72.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,18.4573,0.0,2.0,17.0,23302.3455,43.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,36.9052,0.0,3.0,19.0,21171.8813,28.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,30.4986,0.0,1.0,15.0,30539.9021,87.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,38.3805,0.0,4.0,21.0,13646.7153,27.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,34.802,1.0,3.0,23.0,30461.5794,85.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,30.5715,0.0,1.0,15.0,11108.944,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,26.3714,0.0,1.0,16.0,17235.1787,90.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,19.5165,1.0,3.0,5.0,36009.8058,2.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,24.783,1.0,1.0,21.0,4780.5007,22.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,18.5826,1.0,1.0,8.0,3851.4049,70.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,25.3962,0.0,2.0,22.0,17307.8887,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,47.8944,1.0,3.0,15.0,15203.3289,97.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,8.393,1.0,4.0,21.0,27071.7082,48.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,14.8828,1.0,4.0,21.0,35667.8119,49.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,16.294,1.0,3.0,12.0,30585.8768,30.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,49.2674,1.0,1.0,9.0,37454.9753,92.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,35.5732,1.0,2.0,17.0,21995.4644,3.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,24.0088,0.0,2.0,11.0,28594.3159,40.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.2058,1.0,1.0,2.0,20452.918,42.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,49.7112,1.0,2.0,17.0,20884.2425,95.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,48.6178,0.0,1.0,20.0,11513.6204,32.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,25.8576,0.0,1.0,8.0,8225.1717,36.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,13.3352,0.0,2.0,4.0,3348.7427,83.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,5.2783,1.0,2.0,14.0,38829.6942,41.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,19.2829,1.0,2.0,9.0,37772.5328,23.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,33.5431,0.0,3.0,14.0,3409.0675,79.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,17.17,1.0,3.0,1.0,20611.6479,51.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,20.2085,1.0,4.0,18.0,8470.8224,60.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,10.9978,1.0,1.0,1.0,39099.7004,58.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,17.4968,1.0,4.0,8.0,30735.7552,39.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,49.3073,0.0,3.0,15.0,4622.8126,32.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,38.5371,1.0,3.0,4.0,25934.6309,56.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,18.733,1.0,3.0,7.0,38008.8197,88.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,43.0758,0.0,4.0,7.0,22332.8706,97.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,40.9901,0.0,2.0,20.0,28471.7898,69.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,48.071,1.0,3.0,10.0,1629.6522,49.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,35.5194,1.0,3.0,18.0,36345.8845,41.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,21.6909,0.0,1.0,17.0,31294.3309,87.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,49.0022,1.0,4.0,10.0,26401.0937,78.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,33.0875,1.0,2.0,13.0,27001.6274,81.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,33.2746,0.0,3.0,8.0,22739.825,51.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.103,1.0,3.0,2.0,20958.4275,7.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,15.6996,1.0,1.0,23.0,9205.1224,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,29.0653,1.0,1.0,6.0,11347.475,92.0,True,True,True,True,True,True,True,True,True,True,True,True
