formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,45.6883,0.0,3.0,13.0,3472.6058,31.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,23.5409,1.0,2.0,13.0,38455.9793,3.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,31.2022,0.0,4.0,22.0,13775.5446,10.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,35.0745,0.0,3.0,13.0,14629.3445,40.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,41.1615,0.0,2.0,15.0,15917.5912,61.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,42.6538,1.0,1.0,12.0,22518.2092,34.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,7.2243,0.0,4.0,17.0,24478.5113,80.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,32.905,1.0,1.0,20.0,17135.3591,8.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,28.532,1.0,2.0,19.0,30096.6619,94.0,False,False,True,False,False,True,False,True,False,True,True,True
0.0,25.1616,0.0,3.0,3.0,8272.1711,37.0,False,False,True,False,False,True,False,True,False,True,True,True
0.0,40.7597,0.0,4.0,9.0,12683.6043,28.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,45.2279,1.0,2.0,7.0,24774.5475,71.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,36.7355,1.0,2.0,19.0,25784.4907,51.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,15.8576,1.0,2.0,2.0,6898.3379,32.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,38.6507,0.0,1.0,17.0,15742.9105,57.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,46.9079,1.0,4.0,4.0,8160.6556,9.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,46.723,1.0,2.0,15.0,36071.8108,63.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,30.7781,0.0,2.0,12.0,33878.9126,39.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,25.3918,1.0,4.0,11.0,39159.5732,94.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,10.7147,1.0,2.0,23.0,30935.1812,63.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,26.8969,1.0,1.0,8.0,22095.1111,86.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,19.3942,0.0,3.0,22.0,35347.2888,73.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,33.6986,1.0,2.0,3.0,14635.1601,7.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,15.9378,1.0,3.0,0.0,30893.0953,21.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,35.2014,0.0,1.0,4.0,22804.8514,40.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,48.9702,0.0,3.0,12.0,23421.4539,1.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,40.9957,1.0,1.0,2.0,21913.5074,95.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,28.1035,0.0,2.0,16.0,17770.6123,95.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,27.4771,1.0,4.0,18.0,38640.862,51.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,19.5973,1.0,1.0,17.0,16870.5426,20.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,7.0211,0.0,1.0,13.0,31265.7972,71.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,10.1038,0.0,1.0,7.0,11059.8878,15.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,41.5878,1.0,3.0,1.0,13499.0268,58.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,19.7048,1.0,1.0,14.0,20932.0822,70.0,False,False,True,False,False,False,False,False,False,False,True,True
0.0,13.977,1.0,2.0,18.0,21459.2552,53.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,21.6624,1.0,4.0,3.0,32423.8051,38.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,33.6156,1.0,4.0,7.0,11453.2079,49.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,36.1271,0.0,4.0,8.0,18621.4417,28.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,27.0819,1.0,3.0,23.0,2707.3234,79.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,8.3195,1.0,3.0,2.0,10416.2492,59.0,False,False,True,False,False,False,False,False,False,False,True,True
0.0,32.5359,0.0,2.0,20.0,26125.735,4.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,21.9481,0.0,2.0,12.0,34754.6262,92.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.9383,0.0,1.0,18.0,10396.0199,81.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.2894,1.0,2.0,4.0,29175.4843,49.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,36.737,0.0,1.0,10.0,37810.4547,36.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,12.0039,1.0,3.0,0.0,36224.305,61.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,17.0101,0.0,3.0,10.0,38598.1519,92.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,30.4781,1.0,4.0,14.0,29195.1673,4.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,22.2641,0.0,4.0,13.0,30042.6705,67.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,33.9487,0.0,1.0,11.0,6317.3074,64.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,13.3693,1.0,4.0,17.0,2615.1342,28.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,45.1134,1.0,1.0,19.0,13172.3872,57.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,36.1556,1.0,1.0,4.0,15836.7585,93.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,23.4468,0.0,3.0,20.0,16828.4614,23.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,11.2952,0.0,1.0,19.0,30811.8564,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,44.1873,0.0,3.0,4.0,3696.1232,76.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,18.4105,0.0,2.0,11.0,29552.6776,85.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,22.715,0.0,3.0,8.0,5887.1613,18.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.7621,1.0,1.0,17.0,29543.4922,31.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,17.5504,0.0,1.0,1.0,28676.5126,57.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,32.0614,1.0,1.0,13.0,1243.0462,22.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,43.6661,0.0,3.0,11.0,5271.7286,29.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,24.8824,0.0,1.0,9.0,32440.6981,78.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,42.1468,1.0,1.0,16.0,35477.7855,50.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,42.054,0.0,4.0,17.0,15301.1141,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,17.9243,0.0,3.0,2.0,26023.6369,37.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,13.9492,0.0,1.0,19.0,30309.384,76.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,48.7734,1.0,4.0,20.0,29721.5473,86.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,21.9171,1.0,2.0,5.0,10538.1422,52.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,21.428,1.0,3.0,18.0,27708.8099,30.0,False,False,True,False,False,False,False,False,False,False,True,True
0.0,34.9932,1.0,4.0,19.0,15991.992,100.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,22.2367,0.0,4.0,10.0,2604.4849,90.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,12.8641,1.0,2.0,16.0,11983.5191,36.0,False,False,True,False,False,False,False,False,False,False,True,True
0.0,7.5845,0.0,1.0,13.0,36193.5003,26.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,10.1501,1.0,2.0,23.0,7696.2895,50.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,42.4875,1.0,3.0,1.0,34071.1627,17.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,5.353,1.0,1.0,6.0,8955.0668,22.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,27.4307,0.0,4.0,19.0,36265.3132,25.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,32.387,1.0,3.0,12.0,23340.1908,83.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,27.3464,0.0,2.0,1.0,2970.137,94.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,35.2917,1.0,2.0,19.0,35058.7978,77.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,7.2504,0.0,2.0,11.0,8140.5186,44.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,43.1716,0.0,1.0,8.0,2454.1061,14.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,44.2104,1.0,1.0,22.0,25849.2631,1.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,25.4735,1.0,1.0,3.0,24380.0494,69.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,10.6175,0.0,3.0,21.0,31934.5936,26.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,33.4582,0.0,3.0,4.0,10122.6087,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.8081,1.0,4.0,0.0,17412.3338,57.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,38.8572,1.0,3.0,5.0,13304.2037,90.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,33.3986,0.0,3.0,10.0,19608.9205,24.0,True,True,True,True,True,True,True,True,True,True,True,True
