formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,32.1328,1.0,3.0,22.0,6477.4624,50.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,48.8672,1.0,3.0,7.0,13275.1687,49.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,34.6944,1.0,2.0,12.0,9200.5574,75.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,41.0571,0.0,2.0,7.0,9831.3284,63.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,16.1243,0.0,3.0,11.0,39564.0014,59.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,18.9618,1.0,2.0,18.0,31976.0304,78.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,19.5169,1.0,4.0,15.0,21312.6452,79.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,41.3337,1.0,2.0,5.0,20138.8793,27.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,10.0364,0.0,4.0,3.0,16955.3495,51.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,18.794,1.0,1.0,5.0,16332.9802,8.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,36.0013,1.0,1.0,13.0,1930.7104,93.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,31.5815,0.0,1.0,12.0,11335.0818,93.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,49.606,0.0,1.0,21.0,28357.7674,7.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,45.5536,1.0,3.0,7.0,7139.8191,42.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,8.139,1.0,2.0,19.0,28633.537,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,44.3101,1.0,3.0,0.0,38989.3502,48.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,16.9305,1.0,3.0,6.0,10523.7878,29.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,16.7659,1.0,4.0,1.0,32825.2647,18.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,19.8454,1.0,4.0,3.0,39917.579,23.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,26.7744,0.0,3.0,23.0,23288.7938,85.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,18.7413,0.0,3.0,18.0,4760.09,84.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,17.1556,0.0,3.0,9.0,27579.8567,44.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,43.5863,1.0,2.0,4.0,9055.648,32.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,24.7698,1.0,2.0,1.0,13321.964,18.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,41.6412,1.0,3.0,12.0,26365.0639,99.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,41.143,0.0,3.0,1.0,4841.7151,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,42.5917,0.0,1.0,18.0,37871.8181,7.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,44.0926,0.0,1.0,11.0,4513.904,47.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,26.7061,0.0,3.0,16.0,30819.6492,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.6081,1.0,4.0,9.0,14534.5757,61.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,30.7584,0.0,3.0,15.0,8541.3233,78.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,28.1535,1.0,2.0,11.0,19330.8861,5.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,32.9473,0.0,3.0,10.0,32289.5955,48.0,True,False,True,False,False,True,False,True,True,True,True,True
