car_speed,p_x,p_y,orientation,weather,road_shape,req_0,req_1,req_2
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0,0.0,-30.0,0.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,0.0,True,True,True
50.0,6.16250303030303,0.0,-30.0,1.0,1.0,True,True,True
50.0,3.9867,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,0.0,2.0,True,True,True
50.0,2.2258666666666667,0.0,-30.0,0.0,1.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,0.0,0.0,True,True,True
50.0,2.730563636363636,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,2.0,True,True,True
50.0,2.8052,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,0.0,True,True,True
50.0,6.0259,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,1.0,True,True,True
50.0,6.16250303030303,0.0,-30.0,1.0,1.0,True,True,True
50.0,4.6481,0.0,-30.0,0.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,2.0,True,True,True
50.0,6.16250303030303,0.0,-30.0,2.0,1.0,True,True,True
50.0,0.1143,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,1.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,0.0,2.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,2.0,True,True,True
50.0,2.9968,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,0.0,True,True,True
50.0,0.0052,0.0,-30.0,2.0,1.0,True,True,True
50.0,1.923048484848485,0.0,-30.0,1.0,1.0,True,True,True
50.0,0.0052,0.0,-30.0,0.0,0.0,True,True,True
