,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,[ 50.   0.   0. -30.   1.   2.],[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  1.0e+00  2.0e+00],[0.99999999 0.99949074 0.99920791],[0.99999999 0.99949074 0.99920791],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,19.147021770477295,1.0805273056030273,17.720072108489298
1,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  0.0e+00  2.0e+00],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,20.04839277267456,0.8354408740997314,23.9973807772796
2,[ 50.   0.   0. -30.   2.   2.],[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  2.0e+00  2.0e+00],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,20.226128816604614,0.959524393081665,21.079327385982538
3,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  2.00000000e+00  0.00000000e+00]",[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  2.0e+00  0.0e+00],[1.         0.99948359 0.99962413],[1.         0.99948359 0.99962413],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,19.3637797832489,1.3976709842681885,13.854319078812138
4,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  0.00000000e+00  0.00000000e+00]",[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  0.0e+00  0.0e+00],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,20.289364337921143,1.2776565551757812,15.880139506762607
5,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  0.0e+00  2.0e+00],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,22.02501082420349,0.9810609817504883,22.450195486222157
6,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  0.00000000e+00  0.00000000e+00]",[ 5.0e+01  5.2e-03  0.0e+00 -3.0e+01  0.0e+00  0.0e+00],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,379.9948,-0.005200000000002092,-1.3684210526321294e-05,19.431552410125732,1.2181055545806885,15.952273049780734
7,[ 50.   0.   0. -30.   1.   1.],"[ 50.           4.04277576   0.         -30.           1.
   1.        ]",[1.         0.99923062 0.99886179],[0.99999999 0.99844235 0.99931848],380.0,375.9572242424242,-4.042775757575782,-0.010638883572567849,20.36358118057251,0.8192265033721924,24.85708298834284
8,[ 50.   0.   0. -30.   2.   1.],"[ 50.           6.16250303   0.         -30.           2.
   1.        ]",[1.         0.99923062 0.99910057],[0.99999999 0.99962854 0.9998253 ],380.0,373.837496969697,-6.162503030303014,-0.01621711323763951,17.503105401992798,0.9319033622741699,18.782103499743904
9,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  1.00000000e+00  0.00000000e+00]","[ 50.           6.16250303   0.         -30.           1.
   0.        ]",[1.         0.99948359 0.99952435],[1.         0.9996137  0.99979335],380.0,373.837496969697,-6.162503030303014,-0.01621711323763951,19.600361347198486,0.9533658027648926,20.559119375117852
