,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,[ 5.48207374  3.8597      6.4702     30.          1.          1.        ],[0.36253586 0.7262633  0.27827264],265.15217373737374,0.0,0.0,0.0020232200622558594,3.001885458402074
1,[37.72840909  8.7993      0.1988     16.          2.          0.        ],[0.6873956  0.30073322 0.40275535],312.7303090909091,0.0,0.0,0.0019922256469726562,2.0107707036859743
2,[ 5.48207374  9.4704      0.3149     23.          1.          1.        ],[0.80305804 0.28862549 0.31399315],272.69677373737375,0.0,0.0,0.0020012855529785156,2.0593280914939243
3,[ 6.84459495  1.9541      1.6323     -5.          0.          0.        ],[0.73100536 0.80273906 0.6682082 ],308.25819494949496,0.0,0.0,0.0031168460845947266,1.6393329763634972
4,[ 7.75294242  1.9959      7.7738     26.          0.          1.        ],[0.29882876 0.612706   0.38888781],271.9832424242424,0.0,0.0,0.0020580291748046875,2.443350324374421
5,[6.84459495 0.7726     1.9801     0.         0.         0.        ],[0.70858166 0.86225676 0.66256585],304.091894949495,0.0,0.0,0.0020017623901367188,2.072891853263459
6,[18.19893838  2.7361      8.5411     18.          1.          0.        ],[0.19427199 0.61009017 0.11485109],288.9217383838384,0.0,0.0,0.0009958744049072266,4.0038305003591095
7,[9.56963737 5.1604     0.4984     1.         0.         0.        ],[0.79759578 0.74784449 0.57109978],302.91083737373737,0.0,0.0,0.002418994903564453,1.6514882712398975
8,[ 5.48207374  8.862       7.2918     -4.          1.          0.        ],[0.30375574 0.69712479 0.24290375],293.32827373737376,0.0,0.0,0.0020296573638916016,0.9862563138729002
9,[23.64902323  3.5704      7.5761     19.          1.          1.        ],[0.23241096 0.64335953 0.16390941],293.50252323232326,0.0,0.0,0.001998424530029297,2.490097828680506
10,[24.55737071  2.3859      7.6043     23.          2.          2.        ],[0.19554617 0.60737467 0.23376464],291.5671707070707,0.0,0.0,0.002012491226196289,2.078308257315484
11,[ 5.48207374  7.46        4.1364     13.          1.          0.        ],[0.54370301 0.52842057 0.18026128],280.88567373737374,0.0,0.0,0.002002239227294922,1.9988092402953084
12,"[  5.48207374   7.6854       3.052      -14.           0.
   1.        ]",[0.65062735 0.80455954 0.64034002],308.7446737373737,0.0,0.0,0.002240896224975586,0.8962655601659751
13,"[  8.20711616   0.4951       9.0322     -10.           1.
   1.        ]",[0.17600525 0.84803739 0.16760031],308.67981616161615,0.0,0.0,0.0010004043579101562,3.9988083889418493
14,[ 5.48207374  9.1117      2.9523     -2.          1.          1.        ],[0.62678415 0.68996275 0.40364035],295.41807373737373,0.0,0.0,0.0019965171813964844,1.0464533078576546
15,[ 5.48207374  6.3524      3.1069     14.          0.          2.        ],[0.6565659  0.49717186 0.49727908],282.02277373737377,0.0,0.0,0.0020017623901367188,1.9970223916150547
16,"[  5.48207374   9.0856       0.9751     -12.           1.
   1.        ]",[0.75168169 0.81131028 0.63127447],307.42137373737376,0.0,0.0,0.002001523971557617,0.9955926146515783
17,[ 5.48207374  7.2098      1.3357     -8.          0.          1.        ],[0.76205324 0.76486567 0.67395599],304.93657373737375,0.0,0.0,0.002003192901611328,0.998452749345394
18,[35.91171414  6.1787      5.0558     13.          1.          0.        ],[0.36469302 0.5888544  0.24876525],311.67721414141414,0.0,0.0,0.0013995170593261719,2.859795570698467
19,[37.72840909  6.303       1.2368     24.          2.          2.        ],[0.60683125 0.57153035 0.38750446],306.1886090909091,0.0,0.0,0.0019872188568115234,2.0141571685662867
20,[12.2946798  0.2198     4.9123     2.         2.         0.       ],[0.385023   0.83576308 0.45194129],305.1625797979798,0.0,0.0,0.0019996166229248047,1.4940980088231788
21,[35.91171414  2.8301      4.3312     22.          2.          0.        ],[0.36937439 0.69072929 0.38400566],306.7504141414141,0.0,0.0,0.0019762516021728516,2.081795150199059
22,[ 5.48207374  3.9551      6.3339     -8.          2.          0.        ],[0.31217101 0.85565954 0.29986116],303.19307373737377,0.0,0.0,0.000982522964477539,4.308420286338268
23,[ 5.48207374  8.3233      6.2803     21.          0.          0.        ],[0.43134443 0.55424097 0.31639862],269.8784737373737,0.0,0.0,0.0019865036010742188,1.513202112337974
24,[35.4575404  9.3803     4.5793    10.         2.         0.       ],[0.36610568 0.33170261 0.24681136],311.4979404040404,0.0,0.0,0.001996755599975586,3.051820895522388
25,"[  5.48207374   7.3951       3.2484     -30.           2.
   0.        ]",[0.5397865  0.88998906 0.7855888 ],324.83857373737374,0.0,0.0,0.0019931793212890625,1.005622009569378
26,[35.4575404  2.6339     6.0391     3.         0.         1.       ],[0.32035327 0.78772677 0.29495338],323.7845404040404,0.0,0.0,0.0030028820037841797,1.9984914648670107
27,[ 5.48207374  6.363       1.5993     -6.          1.          2.        ],[0.70752877 0.76608975 0.63014431],303.5197737373737,0.0,0.0,0.002000093460083008,1.5079270473238766
28,[35.4575404  6.9109     9.3772     9.         2.         2.       ],[0.10970896 0.64821566 0.08584822],310.1694404040404,0.0,0.0,0.001997232437133789,1.677450161155545
29,"[  6.84459495   2.6756       9.3611     -18.           2.
   2.        ]",[0.14059983 0.75403521 0.1798174 ],312.80789494949494,0.0,0.0,0.0021085739135742188,1.4187019448213478
30,"[  5.48207374   6.2248       5.8403     -25.           2.
   1.        ]",[0.34113408 0.83843763 0.52709348],318.4169737373737,0.0,0.0,0.00199127197265625,1.5106561302681993
31,[35.4575404  3.6549     7.4096    11.         2.         2.       ],[0.17942307 0.75183049 0.1762791 ],313.3930404040404,0.0,0.0,0.002035856246948242,2.0320880665183276
32,[12.2946798  0.9204     1.3534    10.         1.         0.       ],[0.70065842 0.6469836  0.60688082],300.0208797979798,0.0,0.0,0.0019915103912353516,2.009577397342272
33,"[  5.48207374   4.2443       4.7855     -29.           1.
   1.        ]",[0.45428607 0.88702246 0.65718563],325.45227373737373,0.0,0.0,0.002001047134399414,1.5180507565828667
34,"[  5.48207374   9.4888       5.9504     -12.           0.
   0.        ]",[0.44003528 0.56847996 0.27579098],302.0428737373737,0.0,0.0,0.0031838417053222656,0.9456342668863262
35,"[  5.48207374   8.017        6.5016     -12.           0.
   2.        ]",[0.38932727 0.83830054 0.42847884],302.96347373737376,0.0,0.0,0.0020074844360351562,1.4922802850356294
36,[35.4575404  4.371      5.237      5.         2.         1.       ],[0.30124561 0.69972592 0.36302288],320.8495404040404,0.0,0.0,0.002002716064453125,2.005357142857143
37,"[  5.48207374   6.2744       2.4524     -26.           2.
   1.        ]",[0.59698261 0.83855588 0.77544567],322.7552737373737,0.0,0.0,0.0020322799682617188,0.9780619427498827
38,[5.48207374 6.4141     4.7993     1.         1.         0.        ],[0.48134201 0.80746932 0.35203212],293.2686737373737,0.0,0.0,0.002001047134399414,1.5695222208983677
39,[ 5.48207374  9.9431      0.5694     19.          0.          0.        ],[0.81981347 0.20437873 0.53148481],275.9695737373737,0.0,0.0,0.004167079925537109,1.7617004233894038
40,[ 7.75294242  0.425       7.9749     30.          0.          0.        ],[0.28556778 0.6810433  0.50006282],269.3530424242424,0.0,0.0,0.002006053924560547,1.9966722129783694
41,"[  5.48207374   6.9451       4.7311     -11.           1.
   0.        ]",[0.48088875 0.83467518 0.38160704],304.80587373737376,0.0,0.0,0.001999378204345703,0.9985690436441689
42,[ 5.48207374  9.4288      5.6242     14.          0.          2.        ],[0.47660405 0.2010317  0.27021343],276.42907373737376,0.0,0.0,0.002993345260620117,0.9998407009159698
43,[ 5.48207374  6.9793      4.7537     -3.          2.          1.        ],[0.43648259 0.8151054  0.46454278],296.74907373737375,0.0,0.0,0.0020172595977783203,1.1120434936768704
44,"[  5.48207374   6.5907       5.3119     -29.           0.
   0.        ]",[0.46916613 0.88572855 0.60327894],322.57947373737375,0.0,0.0,0.0019998550415039062,1.0236051502145922
45,[12.74885354  1.9762      4.9544     11.          1.          0.        ],[0.43568337 0.62431441 0.35459637],294.8182535353535,0.0,0.0,0.0021414756774902344,2.055444221776887
46,"[  5.48207374   8.0831       8.0673     -19.           2.
   2.        ]",[0.21082506 0.78553025 0.26669236],308.33167373737376,0.0,0.0,0.0020132064819335938,1.5656087162482235
47,[ 5.48207374  9.4655      6.0232     28.          2.          1.        ],[0.36830345 0.24056274 0.11732672],261.99337373737376,0.0,0.0,0.001049041748046875,2.873409090909091
48,[5.48207374 9.7084     8.2421     4.         1.         0.        ],[0.25093952 0.30092521 0.10032766],283.5315737373737,0.0,0.0,0.002008676528930664,2.5661721068249257
49,[ 7.75294242  3.8883      1.0201     28.          2.          1.        ],[0.71295473 0.65074851 0.32451521],274.84454242424243,0.0,0.0,0.001999378204345703,2.0034581445265918
50,"[  5.48207374   6.5194       8.7478     -28.           1.
   1.        ]",[0.2006438  0.85967547 0.26938879],318.21487373737375,0.0,0.0,0.0010135173797607422,2.960009409550694
51,[36.36588788  9.0529      3.0653     19.          2.          2.        ],[0.477197   0.32517221 0.25649106],305.2476878787879,0.0,0.0,0.0021665096282958984,1.8942445251458127
52,"[  5.48207374   7.7422       3.1909     -23.           0.
   2.        ]",[0.63359881 0.80455954 0.83514305],317.54897373737373,0.0,0.0,0.0019795894622802734,1.5094544140672046
53,[ 6.5884  1.9045  6.6944 -3.      1.      0.    ],[0.32105093 0.82594476 0.27304528],300.9895,0.0,0.0,0.0020041465759277344,1.5737568403521294
54,"[  5.48207374   8.6287       1.0124     -15.           1.
   0.        ]",[0.7486844  0.73666351 0.63056346],310.84097373737376,0.0,0.0,0.0020008087158203125,1.4966634890371782
55,[ 5.48207374  3.4105      0.7357     13.          0.          2.        ],[0.79307728 0.57491411 0.66319973],288.33587373737373,0.0,0.0,0.0019941329956054688,1.9949784791965566
56,[ 5.48207374  5.7452      7.5497     10.          0.          0.        ],[0.32462844 0.56063845 0.19935299],282.18717373737377,0.0,0.0,0.0011932849884033203,2.6385614385614384
57,[23.64902323  4.683       3.32       11.          2.          1.        ],[0.48488827 0.57162128 0.45021334],304.6460232323233,0.0,0.0,0.001999378204345703,1.4976150727402815
