,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,[ 7.75294242  0.10229495  0.10564949 30.          1.          1.        ],[0.79119631 0.84396892 0.53323563],277.544997979798,-0.10099494949491827,-0.0003637543925247223,0.0030121803283691406,2.667405413962324
1,"[1.95614596e+01 1.30000000e-03 1.05649495e-01 1.60000000e+01
 2.00000000e+00 0.00000000e+00]",[0.72226581 0.88398034 0.58075761],303.4545101010101,0.0,0.0,0.003000497817993164,2.666507747318236
2,"[2.36490232e+01 1.30000000e-03 1.05649495e-01 2.30000000e+01
 1.00000000e+00 1.00000000e+00]",[0.74836712 0.8818285  0.50112029],300.54207373737376,0.0,0.0,0.0029997825622558594,3.000397393101256
3,"[ 6.84459495e+00  1.02294949e-01  4.70000000e-03 -5.00000000e+00
  0.00000000e+00  0.00000000e+00]",[0.81473743 0.93664181 0.72062837],311.7376,0.0,0.0,0.0029838085174560547,3.3514182980423493
4,"[7.75294242e+00 1.30000000e-03 1.05649495e-01 2.60000000e+01
 0.00000000e+00 1.00000000e+00]",[0.81818006 0.65688378 0.77403551],281.6459929292929,0.0,0.0,0.003000020980834961,2.997218469363427
5,[6.84459495 0.10229495 0.40849798 0.         0.         0.        ],[0.7970737  0.91865528 0.69679574],306.33380202020203,0.0,0.0,0.0030035972595214844,3.331481187490078
6,[24.55737071  0.10229495  0.10564949 18.          1.          0.        ],[0.74557259 0.88946872 0.52545639],306.34942626262625,0.0,0.0,0.0029997825622558594,2.66690510252742
7,[11.84050606  0.10229495  0.40849798  1.          0.          0.        ],[0.78590342 0.92653632 0.66218913],310.32971313131316,0.0,0.0,0.0030553340911865234,2.6220834959032384
8,"[ 8.20711616e+00  6.07269697e-01  4.70000000e-03 -4.00000000e+00
  1.00000000e+00  0.00000000e+00]",[0.78378634 0.89636779 0.70599758],311.59514646464646,2.7250424242424174,0.008822616331575904,0.0030007362365722656,2.6665342443985383
9,[20.46980707  0.10229495  0.10564949 19.          1.          1.        ],[0.75508492 0.88340632 0.54573104],301.26186262626265,-3.2802111111111003,-0.010770962024576735,0.003979682922363281,2.261562425113827
10,"[2.36490232e+01 1.30000000e-03 1.05649495e-01 2.30000000e+01
 2.00000000e+00 2.00000000e+00]",[0.7104351  0.88285018 0.55979478],300.54207373737376,-3.078221212121207,-0.010138390823423864,0.004015922546386719,2.2412134884825456
11,[18.19893838  0.10229495  0.10564949 13.          1.          0.        ],[0.75986985 0.88599103 0.59213435],304.99099393939395,0.0,0.0,0.003000974655151367,2.8556447127989197
12,"[ 5.93624747e+00  1.02294949e-01  4.70000000e-03 -1.40000000e+01
  0.00000000e+00  1.00000000e+00]",[0.81186352 0.92652109 0.75952294],319.8292525252525,0.0,0.0,0.0029892921447753906,2.676184399425746
13,"[ 5.93624747e+00  1.02294949e-01  4.70000000e-03 -1.00000000e+01
  1.00000000e+00  1.00000000e+00]",[0.78396324 0.92531067 0.69170674],315.8292525252525,0.0,0.0,0.0030024051666259766,3.0042086873659968
14,"[ 6.84459495e+00  1.02294949e-01  4.70000000e-03 -2.00000000e+00
  1.00000000e+00  1.00000000e+00]",[0.78519106 0.93439651 0.70488437],308.7376,0.0,0.0,0.00299835205078125,3.0018288804071247
15,[12.2946798   0.10229495  0.10564949 14.          0.          2.        ],[0.80256156 0.92293441 0.63975609],298.08673535353535,5.450084848484835,0.018624067898121235,0.003003358840942383,3.000714455822815
16,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -1.20000000e+01
  1.00000000e+00  1.00000000e+00]",[0.784196   0.90154789 0.70628051],317.3750787878788,0.0,0.0,0.003010272979736328,2.657690479961983
17,"[ 5.48207374e+00  1.02294949e-01  4.70000000e-03 -8.00000000e+00
  0.00000000e+00  1.00000000e+00]",[0.81511087 0.90269729 0.72312817],313.3750787878788,0.0,0.0,0.003573179244995117,3.338560085407353
18,"[1.22946798e+01 1.30000000e-03 1.05649495e-01 1.30000000e+01
 1.00000000e+00 0.00000000e+00]",[0.774447   0.89823512 0.58168296],299.1877303030303,0.0,0.0,0.003000497817993164,3.3321414382201033
19,"[3.72742354e+01 1.30000000e-03 1.05649495e-01 2.40000000e+01
 2.00000000e+00 2.00000000e+00]",[0.67007937 0.89660237 0.49158394],313.16728585858584,13.625212121212087,0.04548680574722239,0.0040132999420166016,2.2414305233767005
20,[6.84459495 0.10229495 0.40849798 2.         2.         0.        ],[0.7323505  0.9006484  0.69512005],304.33380202020203,0.0,0.0,0.003010988235473633,2.987964209359411
21,[23.64902323  0.10229495  0.10564949 22.          2.          0.        ],[0.7139507  0.88533071 0.50298916],301.4410787878788,0.0,0.0,0.0039958953857421875,2.2683174224343676
22,"[ 8.20711616e+00  1.02294949e-01  4.70000000e-03 -8.00000000e+00
  2.00000000e+00  0.00000000e+00]",[0.74798699 0.93586489 0.68194588],316.1001212121212,-1.0093424242424476,-0.0031829463954436963,0.0030002593994140625,3.0003973299427846
23,[ 6.84459495  0.10229495  0.10564949 21.          0.          0.        ],[0.81977262 0.85048377 0.79991844],285.6366505050505,0.0,0.0,0.0030045509338378906,2.988017774956356
24,[12.2946798   0.10229495  0.40849798 10.          2.          0.        ],[0.72112046 0.9302015  0.65761406],301.78388686868686,0.0,0.0,0.00298309326171875,2.682065217391304
