,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[  5.46480101   4.7119       4.2436     -26.           1.
   1.        ]",[0.55751603 0.8351993  0.46093866],322.509301010101,0.0,0.0,0.0009937286376953125,3.1415547024952017
1,[11.82641515  8.7927      6.1672      1.          1.          1.        ],[0.33568962 0.50826022 0.16811446],295.86651515151516,0.0,0.0,0.002026796340942383,1.975061757440301
2,[11.82641515  2.237       0.4689     28.          2.          2.        ],[0.71130655 0.7370693  0.55428359],281.1205151515152,0.0,0.0,0.0009999275207519531,4.105865522174535
3,[11.82641515  8.3117      8.3787      8.          2.          1.        ],[0.16344351 0.50024498 0.0942336 ],287.13601515151515,0.0,0.0,0.0019788742065429688,1.5348192771084337
4,[11.82641515  6.1614      1.4723     12.          2.          1.        ],[0.63522349 0.58342272 0.41055598],292.19271515151513,0.0,0.0,0.0020198822021484375,1.4949244570349387
5,"[  5.46480101   0.4669       5.6493     -10.           1.
   2.        ]",[0.45702233 0.84794158 0.47129857],309.348601010101,0.0,0.0,0.0012843608856201172,2.345646927789122
6,"[  5.46480101   7.0349       8.1232     -25.           1.
   2.        ]",[0.27043635 0.81830484 0.19872342],315.30670101010105,0.0,0.0,0.0012063980102539062,2.6634387351778654
7,"[ 11.82641515   8.8031       2.8799     -14.           0.
   2.        ]",[0.66808579 0.46284301 0.38143906],314.1434151515151,0.0,0.0,0.001987457275390625,1.5093570057581573
8,"[  5.46480101   3.0849       6.362      -11.           1.
   1.        ]",[0.38160169 0.77023879 0.34345611],307.017901010101,0.0,0.0,0.0010044574737548828,1.9933539045810587
9,"[  5.46480101   1.7379       5.7494     -21.           2.
   1.        ]",[0.39158401 0.86326713 0.42819085],318.97750101010104,0.0,0.0,0.002007007598876953,1.4976241387502969
10,[11.82641515  5.6813      5.4029     14.          0.          2.        ],[0.45463562 0.58371557 0.26036726],286.74221515151515,0.0,0.0,0.0020008087158203125,1.0029790276453765
11,"[  5.46480101   4.7324       2.5909     -12.           1.
   1.        ]",[0.66283088 0.81038194 0.51344119],310.141501010101,0.0,0.0,0.0009970664978027344,1.9956958393113342
12,[11.82641515  2.0019      8.2007     19.          1.          1.        ],[0.21595098 0.63036512 0.19518088],282.62381515151515,0.0,0.0,0.0022640228271484375,1.3240311710193766
13,[11.82641515  9.4117      8.2991      4.          2.          2.        ],[0.17306191 0.26610705 0.08985417],290.11561515151516,0.0,0.0,0.0010030269622802734,2.995483717613501
14,[11.82641515  8.273       9.9694     -5.          0.          2.        ],[0.17307114 0.72916811 0.09608556],298.58401515151513,0.0,0.0,0.0020072460174560547,1.4951894524290297
15,[5.46480101 3.7219     1.7726     1.         0.         0.        ],[0.74422563 0.73850101 0.57293329],298.970301010101,0.0,0.0,0.0020046234130859375,1.5
16,[5.46480101 9.7242     2.1378     8.         1.         1.        ],[0.65021732 0.26831867 0.31606991],285.602801010101,0.0,0.0,0.0019960403442382812,1.6774964166268513
17,[11.82641515  2.8179      8.5474     23.          2.          2.        ],[0.16529701 0.65560826 0.14903717],277.4611151515152,0.0,0.0,0.002006053924560547,1.4947706203945805
18,[11.82641515  4.6676      1.2102     26.          2.          1.        ],[0.64361552 0.65691342 0.42959564],279.9486151515151,0.0,0.0,0.0020079612731933594,1.037758252196628
19,"[  5.46480101   0.9827       1.1607     -17.           0.
   0.        ]",[0.80312326 0.87417474 0.74030542],320.321401010101,0.0,0.0,0.0021545886993408203,1.423702556158017
20,[ 5.46480101  1.9547      6.0747     -7.          2.          1.        ],[0.34965873 0.80916315 0.35840003],304.43540101010103,0.0,0.0,0.0019960403442382812,1.4948638318203535
