,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[  5.46480101   4.7119       4.2436     -26.           1.
   1.        ]",[0.55751603 0.8351993  0.46093866],322.509301010101,0.4497051046738534,0.001396341268483456,0.003000974655151367,43.3196949233336
1,[11.82641515  8.7927      6.1672      1.          1.          1.        ],[0.33568962 0.50826022 0.16811446],295.86651515151516,0.8532810363024623,0.002892348334343628,0.004002809524536133,31.67026028947525
2,[11.82641515  2.237       0.4689     28.          2.          2.        ],[0.71130655 0.7370693  0.55428359],281.1205151515152,0.3202050138293089,0.0011403299863604194,0.002004861831665039,131.488167439648
3,[11.82641515  8.3117      8.3787      8.          2.          1.        ],[0.16344351 0.50024498 0.0942336 ],287.13601515151515,0.8404633162199957,0.0029356492297285546,0.003019094467163086,48.361130853668165
4,[11.82641515  6.1614      1.4723     12.          2.          1.        ],[0.63522349 0.58342272 0.41055598],292.19271515151513,0.32020501382925204,0.001097071504535322,0.002992391586303711,127.3095370886782
5,"[  5.46480101   0.4669       5.6493     -10.           1.
   2.        ]",[0.45702233 0.84794158 0.47129857],309.348601010101,0.4497051046738534,0.0014558326709317071,0.007009744644165039,17.826536512363525
6,"[  5.46480101   7.0349       8.1232     -25.           1.
   2.        ]",[0.27043635 0.81830484 0.19872342],315.30670101010105,0.4491353475696087,0.0014264715114103309,0.005000591278076172,28.596643463335557
7,"[ 11.82641515   8.8031       2.8799     -14.           0.
   2.        ]",[0.66808579 0.46284301 0.38143906],314.1434151515151,0.8246181165987991,0.002631882046026442,0.003008604049682617,28.58451541326571
8,"[  5.46480101   3.0849       6.362      -11.           1.
   1.        ]",[0.38160169 0.77023879 0.34345611],307.017901010101,0.4492780730623167,0.001465505728401262,0.00304412841796875,45.333803258145366
9,"[  5.46480101   1.7379       5.7494     -21.           2.
   1.        ]",[0.39158401 0.86326713 0.42819085],318.97750101010104,0.4497051046739102,0.0014118237417730115,0.00406956672668457,37.020387837600325
10,[11.82641515  5.6813      5.4029     14.          0.          2.        ],[0.45463562 0.58371557 0.26036726],286.74221515151515,0.35369569526534406,0.0012350205096799505,0.0019948482513427734,50.054858372176405
11,"[  5.46480101   4.7324       2.5909     -12.           1.
   1.        ]",[0.66283088 0.81038194 0.51344119],310.141501010101,0.4492780730623167,0.001450724428277478,0.003000974655151367,49.64479224596806
12,[11.82641515  2.0019      8.2007     19.          1.          1.        ],[0.21595098 0.63036512 0.19518088],282.62381515151515,0.8404633162199957,0.002982657814047346,0.002010345458984375,77.95754269449715
13,[11.82641515  9.4117      8.2991      4.          2.          2.        ],[0.17306191 0.26610705 0.08985417],290.11561515151516,-8.239560946261918,-0.027616618065850633,0.0030126571655273438,93.95750237416904
14,[11.82641515  8.273       9.9694     -5.          0.          2.        ],[0.17307114 0.72916811 0.09608556],298.58401515151513,0.8246181165987991,0.0027694108894978095,0.0030028820037841797,28.644541484716157
15,[5.46480101 3.7219     1.7726     1.         0.         0.        ],[0.74422563 0.73850101 0.57293329],298.970301010101,-5.5369960248152665,-0.01818345924294999,0.00797128677368164,9.910869175091225
16,[5.46480101 9.7242     2.1378     8.         1.         1.        ],[0.65021732 0.26831867 0.31606991],285.602801010101,-5.50833310511166,-0.018921753445993703,0.004000186920166016,30.744129216831563
17,[11.82641515  2.8179      8.5474     23.          2.          2.        ],[0.16529701 0.65560826 0.14903717],277.4611151515152,-8.239560946261918,-0.02883983705884561,0.003981113433837891,78.82399089711343
18,[11.82641515  4.6676      1.2102     26.          2.          1.        ],[0.64361552 0.65691342 0.42959564],279.9486151515151,0.32020501382925204,0.0011451090168970552,0.0030438899993896484,94.23490248296389
19,"[  5.46480101   0.9827       1.1607     -17.           0.
   0.        ]",[0.80312326 0.87417474 0.74030542],320.321401010101,0.4497051046738534,0.0014058921449768178,0.0030002593994140625,41.32978385251113
20,[ 5.46480101  1.9547      6.0747     -7.          2.          1.        ],[0.34965873 0.80916315 0.35840003],304.43540101010103,0.44927807306237355,0.0014779558643057784,0.0020003318786621094,69.49821215733016
21,[11.82641515  4.3925      7.3224     24.          1.          2.        ],[0.26090047 0.62020438 0.17236862],276.11151515151516,0.8404633162199957,0.0030532208549225726,0.001990795135498047,90.29089820359282
22,[ 5.46480101  6.1307      8.6475     -2.          2.          2.        ],[0.18403237 0.74831651 0.14105672],292.686601010101,-5.50833310511166,-0.018472255812982463,0.0029838085174560547,53.28765481422293
23,[ 5.46480101  2.2483      7.7264     -3.          2.          1.        ],[0.23763624 0.75613235 0.25481392],298.490101010101,-5.50833310511166,-0.018119610126097068,0.003007173538208008,40.23642273844446
24,"[  5.46480101   4.5808       9.0027     -19.           2.
   0.        ]",[0.17238968 0.81777776 0.18168943],310.881301010101,0.44913534756955187,0.0014468067334807166,0.0030100345611572266,34.55215841584158
25,[11.82641515  4.0713      1.8712     28.          2.          2.        ],[0.60522484 0.66114495 0.40941125],277.88391515151517,0.32020501382925204,0.0011536270850047861,0.0030057430267333984,81.51542793686048
26,[11.82641515  8.8625      9.116       0.          2.          0.        ],[0.13289061 0.65037147 0.08078361],293.84791515151517,0.8404633162199957,0.002868402530227919,0.0029730796813964844,51.780192461908584
27,[11.82641515  4.3945      2.2277     27.          2.          0.        ],[0.55681706 0.65691342 0.37086201],278.20421515151514,0.32020501382925204,0.001152297369217455,0.002999544143676758,80.01526110802003
28,[5.46480101 3.7271     9.5323     8.         0.         2.        ],[0.21097812 0.35236824 0.16449013],284.205401010101,-5.536996024815323,-0.019110064945545645,0.002998828887939453,27.6404833836858
29,[11.6516  1.7138  4.0442  6.      1.      1.    ],[0.5229846  0.6947528  0.44986061],299.8936,0.6784658847873288,0.0022674851885201965,0.003000497817993164,38.32705601907032
30,"[  5.46480101   6.4143       1.3358     -18.           1.
   1.        ]",[0.74465508 0.81481331 0.55237954],315.714701010101,0.4497051046739102,0.0014264352545146253,0.002000093460083008,60.49481463821671
