,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,[  5.0122   7.52     4.5565 -20.       1.       0.    ],[0.47657479 0.61875227 0.33494384],312.9357,0.01219999989103826,3.898716424632222e-05,0.004002571105957031,21.866273528710984
1,[5.0122 9.2633 2.4978 2.     2.     2.    ],[0.61467555 0.42885367 0.30664044],291.2511,0.01219999989103826,4.189000813776489e-05,0.0030481815338134766,25.763551036370746
2,[  5.0122   5.2157   3.3839 -29.       1.       0.    ],[0.58000025 0.74773106 0.48313114],325.4126,0.01219999989103826,3.7492270725648076e-05,0.0020003318786621094,37.753039332538734
3,[  5.0122   6.9377   8.2688 -14.       2.       1.    ],[0.1934371  0.59379942 0.14553472],303.8057,0.01219999989103826,4.015885754972995e-05,0.003165006637573242,24.52828625235405
4,[ 5.0122  2.4061  6.719  -3.      0.      0.    ],[0.38347514 0.73626619 0.33360838],298.88710000000003,0.01219999989103826,4.0819753987483766e-05,0.0020020008087158203,37.71918542336549
5,[ 5.0122  8.1668  8.301  19.      0.      2.    ],[0.25995965 0.38303156 0.12627351],269.5444,0.01219999989103826,4.526360817384093e-05,0.0020029544830322266,38.5004166170694
6,[ 5.0122  1.4292  1.3897 -1.      0.      2.    ],[0.79112122 0.76920796 0.65453484],303.1933,0.01219999989103826,4.0239975021641766e-05,0.002010345458984375,37.63970588235294
7,[5.0122 6.0214 7.384  6.     1.     2.    ],[0.29154378 0.53853061 0.1789206 ],285.6068,0.01219999989103826,4.2717894144474734e-05,0.0030007362365722656,26.21166375337677
8,[ 5.0122  1.5165  7.0213 10.      0.      0.    ],[0.37334357 0.71394503 0.30640082],286.4744,0.01219999989103826,4.258851566117142e-05,0.0019969940185546875,42.08297516714422
9,[  5.0122   6.4367   7.7786 -21.       1.       2.    ],[0.24984789 0.65113837 0.20398823],311.7969,0.01219999989103826,3.9129565661926314e-05,0.0019881725311279297,39.490946156613504
10,[  5.0122   3.083    9.6999 -23.       0.       0.    ],[0.17903697 0.78126814 0.22189762],315.2293,0.01219999989103826,3.870348369753431e-05,0.0020008087158203125,37.491182078169686
11,[5.0122 3.857  3.4281 3.     2.     2.    ],[0.57320261 0.65193463 0.3791351 ],294.7271,0.01219999989103826,4.139593855293285e-05,0.001999378204345703,37.52635344621989
12,[  5.0122   3.2186   8.0574 -10.       2.       0.    ],[0.21889112 0.72433483 0.20296316],303.7362,0.01219999989103826,4.016804694733996e-05,0.0019965171813964844,38.82409839980893
13,[ 5.0122  3.0717  6.622  24.      0.      1.    ],[0.40784376 0.58673846 0.25931496],271.31850000000003,0.01219999989103826,4.496762475118845e-05,0.0019953250885009766,38.848966423706536
14,[ 5.0122  0.7367  9.2561 27.      2.      0.    ],[0.18138561 0.65335579 0.14061504],268.0194,0.01219999989103826,4.552116469644584e-05,0.00199127197265625,39.00550766283525
15,[ 5.0122  9.8084  7.4175 -6.      0.      2.    ],[0.29681797 0.43905177 0.16601039],293.7863,0.01219999989103826,4.152850741788924e-05,0.0019998550415039062,42.69146399618503
16,[ 5.0122  9.4041  8.8587 16.      0.      1.    ],[0.21732641 0.34816759 0.10438388],270.74940000000004,0.012199999891095104,4.5062148426925424e-05,0.002000570297241211,38.81944941008223
17,[ 5.0122  8.1708  2.5825 24.      2.      0.    ],[0.62148242 0.37369316 0.2804679 ],270.25890000000004,0.012199999891095104,4.514393659974455e-05,0.002002716064453125,37.687380952380956
18,[ 5.0122  4.2755  3.6294 -8.      2.      1.    ],[0.5436942  0.68735094 0.38941341],305.1073,0.01219999989103826,3.998753139933713e-05,0.0020046234130859375,39.256303520456704
19,[ 5.0122  4.3483  3.1827 25.      2.      1.    ],[0.60062111 0.52787741 0.32821969],272.4812,0.01219999989103826,4.477573555535999e-05,0.002008676528930664,37.16700296735905
20,[ 5.0122  5.8281  2.5178 14.      2.      2.    ],[0.64001239 0.51787546 0.354351  ],282.6663,0.012199999890981417,4.316229586259924e-05,0.0029926300048828125,25.906230082855323
21,[ 5.0122  9.9124  3.1504 14.      1.      0.    ],[0.59882875 0.35310743 0.27442104],277.94939999999997,0.012199999890981417,4.389480749959571e-05,0.003000974655151367,26.20513227933582
22,[ 5.0122  2.1146  3.0691 30.      0.      1.    ],[0.69685478 0.60945233 0.45873293],269.8285,0.01219999989103826,4.521594837314622e-05,0.002000093460083008,38.32876385743235
23,[ 5.0122  0.8958  7.3797 21.      2.      0.    ],[0.28680494 0.67990362 0.21248518],275.73670000000004,0.012199999891095104,4.424706506346111e-05,0.0029952526092529297,27.265541669983286
24,[5.0122 9.2751 7.0019 0.     1.     0.    ],[0.29204308 0.43477624 0.15775484],288.7352,0.01219999989103826,4.2255032993677866e-05,0.003003835678100586,25.879672989919836
25,[  5.0122   6.4822   5.1378 -20.       1.       0.    ],[0.43548802 0.65883642 0.32774019],313.3922,0.01219999989103826,3.893037172453257e-05,0.0019998550415039062,37.26061039580353
26,[  5.0122   5.6503   8.7439 -30.       1.       2.    ],[0.19446556 0.7173192  0.19588605],320.618,0.01219999989103826,3.8052960648354194e-05,0.002000570297241211,38.45036348468597
27,[  5.0122   2.9485   6.7435 -27.       2.       2.    ],[0.29916399 0.79413161 0.2969348 ],322.3202,0.01219999989103826,3.785199216598451e-05,0.0020012855529785156,38.124612818680006
28,[ 5.0122  3.7096  0.5175 -6.      1.      2.    ],[0.80054217 0.71027855 0.62112252],306.7851,0.01219999989103826,3.976883189823458e-05,0.0019969940185546875,39.82079751671442
29,[ 5.0122  9.0147  3.5711 -6.      0.      2.    ],[0.60327872 0.48665672 0.35206797],298.4264,0.01219999989103826,4.0882772639619045e-05,0.002000570297241211,40.841496841854365
30,[ 5.0122  8.8044  9.5763 -9.      2.      0.    ],[0.12977562 0.48662325 0.08959576],295.6315,0.01219999989103826,4.1269294295175456e-05,0.0029850006103515625,25.482188498402557
31,[ 5.0122  2.7712  4.5912 13.      0.      2.    ],[0.57096787 0.65496947 0.39596544],284.6498,0.01219999989103826,4.2861518966691644e-05,0.002000093460083008,39.02968172606985
