,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,[ 5.48598295  3.8597      6.4702     30.          1.          1.        ],[0.36252316 0.7262633  0.27820497],265.15608295281766,,,0.32605910301208496
1,[24.73249395  8.7993      0.1988     16.          2.          0.        ],[0.72523636 0.26523771 0.24615465],299.73439394937884,,,0.3347785472869873
2,[46.47732969  9.4704      0.3149     23.          1.          1.        ],[0.69624161 0.33142513 0.29743924],313.69202968806286,,,0.3372828960418701
3,[ 9.70432775  1.9541      1.6323     -5.          0.          0.        ],[0.72303073 0.79473103 0.64797259],311.11792775352814,,,0.33496785163879395
4,[13.00703346  1.9959      7.7738     26.          0.          1.        ],[0.28359257 0.66592544 0.25403395],277.23733346140693,,,0.31281232833862305
5,[7.09107363 0.7726     1.9801     0.         0.         0.        ],[0.70786596 0.86225676 0.66107746],304.33837363420406,,,0.3087286949157715
6,[36.54498862  2.7361      8.5411     18.          1.          0.        ],[0.15705832 0.67353122 0.11012971],307.2677886219849,,,0.31703782081604004
7,[9.58526813 5.1604     0.4984     1.         0.         0.        ],[0.79756032 0.74784449 0.57125571],302.9264681329811,,,0.3103609085083008
8,[ 5.49959967  8.862       7.2918     -4.          1.          0.        ],[0.30370366 0.69712479 0.24292441],293.34579966697396,,,0.3256819248199463
9,[23.40312599  3.5704      7.5761     19.          1.          1.        ],[0.23302793 0.64335953 0.16391196],293.25662599335476,,,0.3317141532897949
10,[49.88439044  2.3859      7.6043     23.          2.          2.        ],[0.14551059 0.7387721  0.15039782],316.89419043950465,,,0.3144650459289551
11,[37.90880196  7.46        4.1364     13.          1.          0.        ],[0.43713292 0.51951941 0.2659993 ],313.3124019559347,,,0.307558536529541
12,[ 23.9205691   7.6854      3.052     -14.          0.          1.       ],[0.58969517 0.71161295 0.50357756],327.1831691008057,,,0.30222201347351074
13,[ 35.4399136   0.4951      9.0322    -10.          1.          1.       ],[0.12715869 0.84278205 0.0938774 ],335.9126135968599,,,0.3135554790496826
14,[ 6.7873216  9.1117     2.9523    -2.         1.         1.       ],[0.62248384 0.52997166 0.40421139],296.72332159814636,,,0.3115730285644531
15,[38.52189672  6.3524      3.1069     14.          0.          2.        ],[0.54581154 0.52163521 0.28948732],315.0625967150414,,,0.3117482662200928
16,"[  5.68211664   9.0856       0.9751     -12.           1.
   1.        ]",[0.75115664 0.81131028 0.62678096],307.62141664303437,,,0.38819313049316406
17,[35.47003423  7.2098      1.3357     -8.          0.          1.        ],[0.67756133 0.73460135 0.5193242 ],334.9245342302376,,,0.31855201721191406
18,[34.72853119  6.1787      5.0558     13.          1.          0.        ],[0.36855367 0.57149465 0.25293122],310.49403118514215,,,0.32988619804382324
19,[37.79857138  6.303       1.2368     24.          2.          2.        ],[0.606596   0.57153035 0.38792663],306.2587713796469,,,0.33090710639953613
20,[10.69878526  0.2198      4.9123      2.          2.          0.        ],[0.39034632 0.82667722 0.44766612],303.56668526021485,,,0.3335103988647461
21,[24.63034903  2.8301      4.3312     22.          2.          0.        ],[0.40700053 0.65213094 0.31176963],295.46904902556537,,,0.3223590850830078
22,[ 5.21008162  3.9551      6.3339     -8.          2.          0.        ],[0.31299225 0.85565954 0.29937023],302.92108161617665,,,0.32287001609802246
23,[12.17074401  8.3233      6.2803     21.          0.          0.        ],[0.40845517 0.55506753 0.19496855],276.5671440054698,,,0.3052811622619629
24,[49.89909727  9.3803      4.5793     10.          2.          0.        ],[0.32040985 0.38696262 0.24103271],325.9394972659328,,,0.3130795955657959
25,"[ 35.58066859   7.3951       3.2484     -30.           2.
   0.        ]",[0.43451488 0.88761331 0.43204465],354.9371685864989,,,0.3152031898498535
26,[13.02198757  2.6339      6.0391      3.          0.          1.        ],[0.3924821  0.77155919 0.23030472],301.34898756619464,,,0.31858062744140625
27,[23.58059363  6.363       1.5993     -6.          1.          2.        ],[0.65228461 0.67481697 0.49390767],321.6182936304876,,,0.31330060958862305
28,[35.64251242  6.9109      9.3772      9.          2.          2.        ],[0.10945535 0.64821566 0.08631773],310.3544124239128,,,0.30432987213134766
29,"[  7.93137207   2.6756       9.3611     -18.           2.
   2.        ]",[0.13876471 0.80269356 0.17312013],313.89467206754284,,,0.32021474838256836
30,"[  7.90702425   6.2248       5.8403     -25.           2.
   1.        ]",[0.33351736 0.80032784 0.46450379],320.84192425230015,,,0.3112306594848633
31,[37.38028321  3.6549      7.4096     11.          2.          2.        ],[0.17547962 0.72232676 0.17085055],315.31578321319597,,,0.3102993965148926
32,[35.82794229  0.9204      1.3534     10.          1.          0.        ],[0.62708986 0.66082793 0.47980689],323.5541422920313,,,0.3144223690032959
33,"[ 35.91463524   4.2443       4.7855     -29.           1.
   1.        ]",[0.35183167 0.88372159 0.41748639],355.88483524146585,,,0.31909847259521484
