Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 16.26827127   4.7119       4.2436     -26.           1.
   1.        ]",[0.51889409 0.77173934 0.43029202],0.25040602822222213,0.001979112625122
1,[17.55438501  8.7927      6.1672      1.          1.          1.        ],[0.31756284 0.50042362 0.1591127 ],0.2789863335555556,0.0
2,[36.11357473  2.237       0.4689     28.          2.          2.        ],[0.63464987 0.70951526 0.48475872],0.6914127717777778,0.0009951591491699
3,[7.70037684 8.3117     8.3787     8.         2.         1.        ],[0.17172539 0.43693037 0.09835741],0.06000837422222216,0.001007080078125
4,[33.99812469  6.1614      1.4723     12.          2.          1.        ],[0.55863277 0.57328189 0.35061304],0.6444027708888889,0.0
5,"[ 30.42846075   0.4669       5.6493     -10.           1.
   2.        ]",[0.37014557 0.80089477 0.40090869],0.5650769055555556,0.0009558200836181
6,"[ 11.22709439   7.0349       8.1232     -25.           1.
   2.        ]",[0.25438965 0.7725204  0.1883937 ],0.1383798753333333,0.0010008811950683
7,"[ 24.56947138   8.8031       2.8799     -14.           0.
   2.        ]",[0.62624765 0.43431402 0.3475515 ],0.4348771417777777,0.0
8,"[ 16.62259577   3.0849       6.362      -11.           1.
   1.        ]",[0.34449436 0.74597988 0.31516198],0.25827990599999995,0.0010266304016113
9,"[ 43.91041238   1.7379       5.7494     -21.           2.
   1.        ]",[0.27013528 0.75473638 0.32500896],0.8646758306666666,0.0
10,[17.55438501  5.6813      5.4029     14.          0.          2.        ],[0.43428483 0.54581698 0.24789781],0.2789863335555556,0.0
11,"[ 16.62259577   4.7324       2.5909     -12.           1.
   1.        ]",[0.62606248 0.77300232 0.48141164],0.25827990599999995,0.0
12,[30.1945125  2.0019     8.2007    19.         1.         1.       ],[0.17454407 0.58958818 0.16414865],0.5598780555555555,0.0010223388671875
13,[36.77335531  9.4117      8.2991      4.          2.          2.        ],[0.12751669 0.25371882 0.06901155],0.7060745624444444,0.0010004043579101
14,[ 7.70037684  8.273       9.9694     -5.          0.          2.        ],[0.18173489 0.68421993 0.10028143],0.06000837422222216,0.0
15,[16.62259577  3.7219      1.7726      1.          0.          0.        ],[0.71248314 0.71035714 0.54132145],0.25827990599999995,0.0
16,[16.62259577  9.7242      2.1378      8.          1.          1.        ],[0.61287677 0.28656555 0.28903864],0.25827990599999995,0.0
17,[36.11357473  2.8179      8.5474     23.          2.          2.        ],[0.12251215 0.62387376 0.11700011],0.6914127717777778,0.0
18,[45.85671471  4.6676      1.2102     26.          2.          1.        ],[0.52531717 0.60789017 0.33751354],0.9079269935555556,0.0010087490081787
19,"[ 30.42846075   0.9827       1.1607     -17.           0.
   0.        ]",[0.74013569 0.79667294 0.68152921],0.5650769055555556,0.0
20,[29.02551495  1.9547      6.0747     -7.          2.          1.        ],[0.27695709 0.78015141 0.29881474],0.5339003322222222,0.0010023117065429
21,[30.1945125  4.3925     7.3224    24.         1.         2.       ],[0.21321867 0.57905506 0.14431301],0.5598780555555555,0.0
22,[32.50265078  6.1307      8.6475     -2.          2.          2.        ],[0.13257627 0.71333175 0.10744448],0.6111700173333334,0.0
23,[39.59781871  2.2483      7.7264     -3.          2.          1.        ],[0.16017898 0.68161796 0.18767731],0.7688404157777777,0.0010011196136474
24,"[ 36.11357473   4.5808       9.0027     -19.           2.
   0.        ]",[0.1181719  0.73844088 0.13505379],0.6914127717777778,0.0010046958923339
25,[47.35998439  4.0713      1.8712     28.          2.          2.        ],[0.47899083 0.65506902 0.31549338],0.9413329864444445,0.0
26,[7.70037684 8.8625     9.116      0.         2.         0.        ],[0.13988321 0.59952825 0.08437365],0.06000837422222216,0.0
27,[33.99812469  4.3945      2.2277     27.          2.          0.        ],[0.47730988 0.64748062 0.3136309 ],0.6444027708888889,0.0009996891021728
28,[45.85671471  3.7271      9.5323      8.          0.          2.        ],[0.1300715  0.29740665 0.11015504],0.9079269935555556,0.0009999275207519
29,[16.62259577  1.7138      4.0442      6.          1.          1.        ],[0.50511601 0.6131946  0.43577333],0.25827990599999995,0.0
30,"[ 36.11357473   6.4143       1.3358     -18.           1.
   1.        ]",[0.65231574 0.71572115 0.4646189 ],0.6914127717777778,0.0
31,[29.02551495  2.1484      1.0321      5.          2.          1.        ],[0.63574583 0.65350211 0.54444938],0.5339003322222222,0.0
32,[39.59781871  9.1719      8.6115     27.          2.          2.        ],[0.10170193 0.36468518 0.04822863],0.7688404157777777,0.0
33,[23.38567219  3.422       1.499      26.          0.          0.        ],[0.68352578 0.61288807 0.4657845 ],0.40857049311111115,0.0
34,"[ 37.16426991   8.4276       0.7777     -24.           1.
   1.        ]",[0.68642599 0.56834642 0.44771583],0.7147615535555556,0.0010018348693847
35,"[ 24.03923414   0.7539       1.9586     -13.           0.
   1.        ]",[0.71391181 0.80178568 0.65530885],0.42309409200000003,0.0
36,[29.02551495  5.7031      1.4334     -3.          2.          1.        ],[0.60034201 0.72655127 0.42811076],0.5339003322222222,0.0009994506835937
