,custom_adaptation,custom_confidence,custom_score,custom_time
0,[25.9187202  6.9914     5.4969    24.         1.         0.       ],[0.37713595 0.38279893 0.21001865],0.4648604489337822,0.01150822639465332
1,"[  6.83956263   9.3811       9.2179     -30.           2.
   2.        ]",[0.17007465 0.62505723 0.28054258],0.04087916947250281,0.004000663757324219
2,[12.29075051  9.0917      5.5645     -3.          1.          2.        ],[0.42012186 0.46897556 0.38621144],0.16201667789001117,0.004830360412597656
3,[  5.0225   3.7345   2.2753 -11.       1.       0.    ],[0.71141427 0.69712732 0.64477846],0.0004999999999999449,0.0009984970092773438
4,[11.83648485  0.8225      0.1093      7.          0.          0.        ],[0.83867612 0.70403771 0.70747495],0.15192188552188557,0.0010018348693847656
5,[42.27228384  9.0813      7.376      22.          1.          0.        ],[0.19138604 0.3175747  0.16120326],0.8282729741863073,0.002025604248046875
6,[ 6.83956263  2.6895      0.3543     15.          2.          1.        ],[0.81042469 0.64100596 0.46580532],0.04087916947250281,0.0020613670349121094
7,[10.92795354  9.0423      1.2094     -4.          0.          2.        ],[0.7764095  0.45347943 0.43382647],0.13173230078563403,0.0020134449005126953
8,"[  6.38529697   2.3032       9.1766     -24.           0.
   1.        ]",[0.21444257 0.80021075 0.20888856],0.030784377104377092,0.0010027885437011719
9,[  5.0225   2.0833   6.5188 -24.       2.       1.    ],[0.35128992 0.82855356 0.56637899],0.0004999999999999449,0.0010221004486083984
10,"[ 21.83032929   7.1247       9.862      -15.           0.
   1.        ]",[0.13906216 0.59137311 0.10307356],0.37400731762065087,0.0009932518005371094
11,[ 5.0225  5.9524  0.0659 -6.      2.      0.    ],[0.82020645 0.60014477 0.66918177],0.0004999999999999449,0.0020263195037841797
12,[ 5.0225  0.461   5.7157 -9.      1.      2.    ],[0.45086027 0.81917323 0.53245768],0.0004999999999999449,0.0010089874267578125
13,[ 8.2023596  1.0181     4.9098    -8.         0.         1.       ],[0.52769463 0.77647071 0.50468765],0.07116354657687995,0.0011377334594726562
14,"[ 12.29075051   1.7705       1.7959     -24.           1.
   0.        ]",[0.71347675 0.81481234 0.75706365],0.16201667789001117,0.002007722854614258
15,[30.00711111  6.3829      7.3424     11.          1.          0.        ],[0.23033847 0.48331464 0.15374425],0.5557135802469136,0.002000570297241211
16,[ 9.11089091  6.6073      6.0477     22.          1.          1.        ],[0.40938277 0.419622   0.21226878],0.09135313131313127,0.002017498016357422
17,[ 5.0225  5.7534  2.7664 -9.      0.      2.    ],[0.70095461 0.62147941 0.56157007],0.0004999999999999449,0.0019998550415039062
18,[22.73886061  3.4349      9.1423     -4.          1.          0.        ],[0.15779364 0.68542497 0.12617251],0.3941969023569023,0.0019905567169189453
19,"[  6.83956263   2.4892       5.9307     -27.           1.
   2.        ]",[0.41402895 0.82684737 0.64141094],0.04087916947250281,0.0011584758758544922
20,"[  5.93103131   4.5054       1.4672     -17.           0.
   0.        ]",[0.7763423  0.67991476 0.72777926],0.020689584736251487,0.0019779205322265625
21,[  5.0225   3.4988   0.7611 -28.       1.       2.    ],[0.79926612 0.8008915  0.88562823],0.0004999999999999449,0.000990152359008789
22,[22.73886061  4.7471      4.7101     10.          0.          0.        ],[0.47811044 0.53569808 0.36217804],0.3941969023569023,0.0019960403442382812
23,[5.0225 0.9728 2.692  6.     0.     2.    ],[0.71758134 0.7303842  0.65178593],0.0004999999999999449,0.002000570297241211
24,[13.19928182  6.3758      6.0394     -1.          2.          2.        ],[0.35789472 0.59607285 0.54210281],0.1822062626262625,0.0022096633911132812
25,"[  6.38529697   3.8766       9.1887     -25.           0.
   2.        ]",[0.21281899 0.76921058 0.26628857],0.030784377104377092,0.0030825138092041016
26,[ 6.38529697  3.2803      0.0908     14.          1.          0.        ],[0.83832922 0.58618246 0.61524207],0.030784377104377092,0.0021114349365234375
27,[  5.0225   7.7567   2.4457 -16.       1.       1.    ],[0.69393036 0.57712315 0.5379026 ],0.0004999999999999449,0.001995563507080078
28,"[  5.47676566   0.9952       1.7601     -16.           0.
   0.        ]",[0.76476566 0.79349804 0.73914285],0.01059479236812566,0.0019979476928710938
29,[35.91256465  7.6967      7.6492     15.          0.          0.        ],[0.21265594 0.3881781  0.13740178],0.6869458810325477,0.002004861831665039
30,[  5.0225   3.5405   0.6996 -25.       1.       2.    ],[0.80334305 0.78868315 0.87714703],0.0004999999999999449,0.0019452571868896484
31,[5.47676566 7.6383     6.0605     9.         0.         0.        ],[0.4426841  0.40894201 0.08179899],0.01059479236812566,0.0013866424560546875
32,[5.0225 6.5841 5.94   7.     0.     2.    ],[0.45791844 0.49982185 0.31471763],0.0004999999999999449,0.0019876956939697266
33,[ 5.93103131  4.4701      2.4633     10.          1.          0.        ],[0.70229265 0.55849883 0.41423749],0.020689584736251487,0.002190113067626953
34,[49.9948  7.7824  9.3366 23.      1.      0.    ],[0.097875   0.36801239 0.09505928],0.9998844444444444,0.002093791961669922
35,[  5.0225   0.868    2.3217 -15.       2.       2.    ],[0.68969803 0.83814894 0.79651164],0.0004999999999999449,0.00602269172668457
36,[13.65354747  9.3344      2.8234      1.          2.          0.        ],[0.60870716 0.42037597 0.34607451],0.1923010549943882,0.0021398067474365234
37,[5.47676566 7.4874     8.32       3.         0.         0.        ],[0.2719135  0.44990663 0.02528489],0.01059479236812566,0.0020465850830078125
38,[14.10781313  2.6223      6.9032     30.          0.          2.        ],[0.35690504 0.54877682 0.32704953],0.20239584736251404,0.002007007598876953
39,[  5.0225   0.6973   8.9483 -22.       1.       0.    ],[0.21438721 0.83630553 0.17725179],0.0004999999999999449,0.0020017623901367188
40,[ 5.47676566  3.0946      3.3525     14.          1.          1.        ],[0.64446023 0.61239764 0.56274081],0.01059479236812566,0.002019643783569336
41,[15.01634444  2.0414      4.1125     26.          0.          0.        ],[0.57412166 0.56032854 0.45062559],0.22258543209876536,0.0010230541229248047
42,[10.01942222  7.7437      1.4451     25.          0.          2.        ],[0.77657718 0.3517198  0.38058866],0.1115427160493827,0.002004861831665039
43,[  5.0225   7.9457   7.0882 -23.       1.       0.    ],[0.32508994 0.59339377 0.14845858],0.0004999999999999449,0.001992464065551758
44,[30.46137677  6.7648      6.0385     16.          1.          0.        ],[0.31470199 0.43813989 0.24347218],0.5658083726150392,0.0019979476928710938
45,[15.6194  9.7811  5.3362 -2.      1.      1.    ],[0.42149455 0.41780885 0.31326352],0.2359866666666668,0.0020241737365722656
46,[5.0225 3.1567 2.5412 6.     0.     2.    ],[0.72498067 0.64871281 0.57624981],0.0004999999999999449,0.0009982585906982422
47,[5.0225 5.9022 6.6173 7.     2.     2.    ],[0.35318146 0.56940404 0.39862752],0.0004999999999999449,0.0019898414611816406
48,[ 5.0225  5.4888  1.8143 14.      1.      2.    ],[0.75050654 0.52556705 0.47131318],0.0004999999999999449,0.0020079612731933594
49,"[ 13.19928182   5.8609       6.205      -29.           0.
   0.        ]",[0.38180395 0.69232189 0.27695912],0.1822062626262625,0.0020728111267089844
50,[24.10165758  8.234       2.1249     12.          0.          0.        ],[0.67301962 0.37342265 0.27999456],0.42448127946127945,0.0020291805267333984
51,[16.83340707  1.9609      8.9593     -4.          0.          1.        ],[0.20071626 0.73425221 0.16450513],0.26296460157126833,0.002277851104736328
52,[10.01942222  5.0203      3.2536     -7.          1.          0.        ],[0.61937536 0.62946782 0.58070258],0.1115427160493827,0.0010030269622802734
53,[13.65354747  6.7009      1.2407     30.          1.          0.        ],[0.75795276 0.35553982 0.50249461],0.1923010549943882,0.001050710678100586
54,[ 5.0225  7.0269  5.2606 -8.      2.      2.    ],[0.45196695 0.60243799 0.54285318],0.0004999999999999449,0.0011467933654785156
55,[6.38529697 2.5637     4.182      5.         0.         1.        ],[0.59858744 0.66308699 0.5075027 ],0.030784377104377092,0.0009992122650146484
56,"[  9.11089091   8.6298       2.1659     -13.           1.
   1.        ]",[0.69743825 0.52424819 0.48917188],0.09135313131313127,0.002002239227294922
57,[16.83340707  1.4089      9.1541     13.          0.          2.        ],[0.1969297  0.69023011 0.12319848],0.26296460157126833,0.002001523971557617
58,[17.74193838  0.2716      4.114      14.          0.          0.        ],[0.55861723 0.69574827 0.42252706],0.28315418630751965,0.0019872188568115234
59,[ 5.0225  4.9665  1.7005 -6.      2.      2.    ],[0.73026677 0.67311412 0.67308521],0.0004999999999999449,0.0020151138305664062
60,[ 5.0225  3.242   2.0807 14.      2.      1.    ],[0.71355479 0.62404454 0.50518474],0.0004999999999999449,0.0009992122650146484
61,[  8.2023596   6.9667      7.0261    -24.          1.          1.       ],[0.31868806 0.65635414 0.32177127],0.07116354657687995,0.002161264419555664
62,[34.54976768  9.6613      3.2979     19.          0.          0.        ],[0.53636605 0.28838058 0.21750024],0.6566615039281705,0.001079559326171875
