,custom_adaptation,custom_confidence,custom_score,custom_time
0,[25.53347182  6.9914      5.4969     24.          1.          0.        ],[0.37882087 0.38263705 0.20890873],0.4562993737237162,1.2000603675842285
1,[  6.2774887   9.3811      9.2179    -30.          2.          2.       ],[0.17155559 0.6248229  0.28393192],0.028388637874968148,2.3386073112487793
2,[11.13411553  9.0917      5.5645     -3.          1.          2.        ],[0.42537242 0.46846325 0.38421777],0.13631367850929532,0.6100289821624756
3,"[  5.05745329   3.7345       2.2753     -11.           1.
   0.        ]",[0.71128077 0.69714045 0.64404791],0.001276739882386857,0.8305573463439941
4,[11.5338737  0.8225     0.1093     7.         0.         0.       ],[0.83943631 0.70392554 0.70775363],0.14519719330703695,0.7853996753692627
5,[42.099166  9.0813    7.376    22.        1.        0.      ],[0.19188492 0.31750797 0.16102547],0.8244259110875984,0.6550543308258057
6,[ 6.52375209  2.6895      0.3543     15.          2.          1.        ],[0.81132563 0.64087668 0.47643303],0.03386115747712326,0.587648868560791
7,[10.79544129  9.0423      1.2094     -4.          0.          2.        ],[0.77683714 0.45342101 0.43305245],0.1287875841299685,0.55838942527771
8,"[  6.80518269   2.3032       9.1766     -24.           0.
   1.        ]",[0.21312971 0.80033012 0.21059491],0.04011517087360006,0.26865553855895996
9,"[ 10.28978071   2.0833       6.5188     -24.           2.
   1.        ]",[0.3292989  0.82988035 0.50883335],0.11755068245533207,0.31627440452575684
10,"[ 23.53424052   7.1247       9.862      -15.           0.
   1.        ]",[0.13531054 0.59210529 0.10945682],0.41187201154359354,0.5567483901977539
11,[ 5.006249  5.9524    0.0659   -6.        2.        0.      ],[0.82025103 0.60013783 0.66969805],0.00013886662403916894,1.0524334907531738
12,[ 5.43184975  0.461       5.7157     -9.          1.          2.        ],[0.44897566 0.81928106 0.52956501],0.009596661141733964,0.28937602043151855
13,[ 7.50536986  1.0181      4.9098     -8.          0.          1.        ],[0.53092489 0.77625546 0.5038718 ],0.055674885849228306,0.7423930168151855
14,"[ 12.42401248   1.7705       1.7959     -24.           1.
   0.        ]",[0.71296971 0.8148481  0.75777513],0.1649780551837865,0.3228471279144287
15,[29.74388734  6.3829      7.3424     11.          1.          0.        ],[0.23120769 0.48319772 0.15375605],0.5498641632046135,0.5779566764831543
16,[ 9.66925286  6.6073      6.0477     22.          1.          1.        ],[0.40687374 0.41986389 0.21854902],0.10376117465586165,0.5525491237640381
17,[ 5.09716005  5.7534      2.7664     -9.          0.          2.        ],[0.7006634  0.62151065 0.56246258],0.0021591121197001018,0.5993833541870117
18,[22.49854781  3.4349      9.1423     -4.          1.          0.        ],[0.15838864 0.6853328  0.1253364 ],0.3888566179218923,0.5547976493835449
19,[  6.8566718   2.4892      5.9307    -27.          1.          2.       ],[0.41395174 0.82685173 0.6414255 ],0.041259373315146175,0.429396390914917
20,"[  5.98026559   4.5054       1.4672     -17.           0.
   0.        ]",[0.77618324 0.67993382 0.72816878],0.021783679718808457,0.7283101081848145
21,"[ 21.45043075   3.4988       0.7611     -28.           1.
   2.        ]",[0.74575827 0.80551017 0.75276428],0.3655651278041453,0.27890634536743164
22,[22.6749994  4.7471     4.7101    10.         0.         0.       ],[0.47840687 0.53566982 0.36215987],0.3927777643604644,0.5557186603546143
23,[5.01015651 0.9728     2.692      6.         0.         2.        ],[0.71762788 0.73037988 0.65203709],0.000225700230963799,0.5513911247253418
24,[13.46774856  6.3758      6.0394     -1.          2.          2.        ],[0.35674786 0.59618782 0.54314169],0.18817219032738763,0.6069433689117432
25,"[  6.64874683   3.8766       9.1887     -25.           0.
   2.        ]",[0.21199913 0.76929376 0.26756737],0.036638818437574106,1.027390956878662
26,[ 6.42860179  3.2803      0.0908     14.          1.          0.        ],[0.83822    0.58620115 0.61654246],0.0317467065264887,0.363175630569458
27,"[  5.02112934   7.7567       2.4457     -16.           1.
   1.        ]",[0.69393577 0.57712255 0.53791329],0.0004695409372995618,0.7024083137512207
28,"[  9.18931773   0.9952       1.7601     -16.           0.
   0.        ]",[0.75211515 0.79457799 0.7383675 ],0.09309594959995304,0.5347492694854736
29,[35.81416316  7.6967      7.6492     15.          0.          0.        ],[0.21296259 0.38813653 0.13702171],0.684759181325322,1.0891025066375732
30,"[  5.30884074   3.5405       0.6996     -25.           1.
   2.        ]",[0.80250017 0.78876803 0.87675964],0.006863127470839836,0.5657942295074463
31,[28.45941081  7.6383      6.0605      9.          0.          0.        ],[0.34123248 0.41885841 0.17555445],0.5213202401403645,0.7082209587097168
32,[5.07751029 6.5841     5.94       7.         0.         2.        ],[0.45766443 0.49984631 0.31407692],0.001722450807864706,0.7006106376647949
33,[ 9.23652529  4.4701      2.4633     10.          1.          0.        ],[0.68927871 0.55994808 0.43039397],0.09414500639965884,0.5400071144104004
34,[49.99988782  7.7824      9.3366     23.          1.          0.        ],[0.09786664 0.36801449 0.09506628],0.9999975070115192,0.5572857856750488
35,"[  5.56456093   0.868        2.3217     -15.           2.
   2.        ]",[0.68753587 0.8382797  0.79044682],0.012545798365926397,0.2715599536895752
36,[13.8302837  9.3344     2.8234     1.         2.         0.       ],[0.6079238  0.42045257 0.34688632],0.19622852670187296,0.5914208889007568
37,[6.94826351 7.4874     8.32       3.         0.         0.        ],[0.26652819 0.45055448 0.03098366],0.04329474459990568,0.544381856918335
38,[13.87066316  2.6223      6.9032     30.          0.          2.        ],[0.35791823 0.54867236 0.3273645 ],0.19712584810295486,1.073575735092163
39,"[  5.99617245   0.6973       8.9483     -22.           1.
   0.        ]",[0.21135237 0.83654249 0.17746284],0.022137165458761765,0.26085853576660156
40,[ 5.33515423  3.0946      3.3525     14.          1.          1.        ],[0.6450636  0.61233785 0.56341997],0.007447871826140151,0.5322349071502686
41,[16.76600962  2.0414      4.1125     26.          0.          0.        ],[0.56614497 0.5610951  0.49085962],0.26146688042974187,0.5903775691986084
42,[10.34169812  7.7437      1.4451     25.          0.          2.        ],[0.77553528 0.35185051 0.37656995],0.11870440274997651,0.5575463771820068
43,"[  5.01953055   7.9457       7.0882     -23.           1.
   0.        ]",[0.32510206 0.59339249 0.14845066],0.00043401232783013555,0.567091703414917
44,[33.07427889  6.7648      6.0385     16.          1.          0.        ],[0.30431497 0.43928433 0.25658038],0.6238728642955891,0.5578010082244873
45,[15.24951957  9.7811      5.3362     -2.          1.          1.        ],[0.4231732  0.41764882 0.31463179],0.22776710163471503,0.5525271892547607
46,[5.54979121 3.1567     2.5412     6.         0.         2.        ],[0.72302064 0.64892651 0.56823628],0.012217582510324232,0.5764849185943604
47,[5.3344042 5.9022    6.6173    7.        2.        2.       ],[0.35185713 0.56954006 0.39969481],0.007431204494885879,0.577162504196167
48,[ 5.13941601  5.4888      1.8143     14.          1.          2.        ],[0.75009907 0.5256189  0.46665168],0.0030981336435946805,0.6148984432220459
49,"[ 11.90849476   5.8609       6.205      -29.           0.
   0.        ]",[0.38748727 0.69183261 0.28019039],0.15352210578982717,0.772524356842041
50,[23.49495624  8.234       2.1249     12.          0.          0.        ],[0.67549841 0.37317019 0.27973904],0.41099902751530193,0.5533440113067627
51,[18.12217518  1.9609      8.9593     -4.          0.          1.        ],[0.20066392 0.7342583  0.16456098],0.2916038928093002,0.620302677154541
52,[ 9.39261074  5.0203      3.2536     -7.          1.          0.        ],[0.62212039 0.62920774 0.57901434],0.09761357191725717,0.58968186378479
53,[13.54977599  6.7009      1.2407     30.          1.          0.        ],[0.75830673 0.35549753 0.50607921],0.18999502207613517,0.587317705154419
54,[ 5.32063376  7.0269      5.2606     -8.          2.          2.        ],[0.45059362 0.60256499 0.54574187],0.007125194625421383,0.5512702465057373
55,[6.77241449 2.5637     4.182      5.         0.         1.        ],[0.59685589 0.6632408  0.51317461],0.03938698856773859,0.5472753047943115
56,"[  7.91132424   8.6298       2.1659     -13.           1.
   1.        ]",[0.70212622 0.523716   0.49594402],0.06469609419517552,0.7911324501037598
57,[17.15491648  1.4089      9.1541     13.          0.          2.        ],[0.19598556 0.69035237 0.12696742],0.2701092551103059,0.5488064289093018
58,[17.66873547  0.2716      4.114      14.          0.          0.        ],[0.55895296 0.6957207  0.42258093],0.2815274548269272,0.5682559013366699
59,[ 5.01382349  4.9665      1.7005     -6.          2.          2.        ],[0.73029856 0.67311073 0.67311799],0.00030718860769529677,0.5531423091888428
60,[ 5.17662329  3.242       2.0807     14.          2.          1.        ],[0.71296843 0.62410886 0.51174078],0.00392496202888748,0.6183986663818359
61,"[  8.52780324   6.9667       7.0261     -24.           1.
   1.        ]",[0.31737502 0.6564847  0.32371434],0.07839562754903784,0.5745463371276855
62,[28.80027564  9.6613      3.2979     19.          0.          0.        ],[0.56283492 0.28628645 0.19230128],0.5288950142542262,0.5547809600830078
63,"[ 14.19132996   7.0003       9.5942     -10.           1.
   2.        ]",[0.15631759 0.60198521 0.23113393],0.20425177690448504,0.5535891056060791
64,[ 8.88151264  1.0774      6.1891     -9.          1.          0.        ],[0.39186281 0.78104988 0.33302916],0.086255836409731,0.657461404800415
65,"[ 29.21801673   2.1019       3.9552     -17.           2.
   2.        ]",[0.45003674 0.82062538 0.48785577],0.5381781496204796,0.5430417060852051
66,"[  5.01781365   3.6043       4.4661     -15.           2.
   0.        ]",[0.51632019 0.73722531 0.62345085],0.0003958589174090088,1.0251758098602295
67,[11.17409679  1.5918      6.5905     11.          2.          2.        ],[0.33674625 0.72230694 0.31203401],0.13720215098055288,0.5507571697235107
68,[ 16.9409876   0.1325      4.0838    -13.          0.          1.       ],[0.55387688 0.82143458 0.53807226],0.26535527995106134,0.5344769954681396
69,[11.01431915  5.2167      6.3601     -5.          0.          1.        ],[0.39213335 0.61082891 0.31146251],0.13365153661087192,0.5702602863311768
70,[ 8.56248018  2.9333      5.5727     21.          2.          0.        ],[0.42699382 0.58655078 0.20807959],0.07916622620207192,0.5677511692047119
71,[5.06727186 4.588      6.0357     2.         1.         2.        ],[0.42378215 0.63209508 0.52581664],0.0014949301763016454,0.5432424545288086
72,[5.13941601 3.4284     3.5265     7.         2.         1.        ],[0.6035044  0.65371683 0.48620544],0.0030981336435946805,0.60164475440979
73,"[  5.00319313   6.0987       5.2308     -22.           1.
   2.        ]",[0.47637935 0.69281749 0.57716287],7.095846124238747e-05,0.7192051410675049
74,[ 6.90454815  4.2709      2.9757     18.          1.          2.        ],[0.66781758 0.55784533 0.57141248],0.042323292215744046,0.5923404693603516
75,[ 5.70259866  0.492       8.5041     -9.          2.          2.        ],[0.22491358 0.83109397 0.36163479],0.015613303481754492,0.2633788585662842
76,[11.796434  4.9121    5.2666   22.        1.        0.      ],[0.46142208 0.47650691 0.22091252],0.1510318665688618,0.5814054012298584
77,"[  5.80282657   1.2812       6.5113     -27.           1.
   2.        ]",[0.37467778 0.85506472 0.61074554],0.017840590427485647,0.46871137619018555
78,[14.69091283  2.3307      6.7428      9.          2.          0.        ],[0.30737433 0.67676915 0.22160046],0.2153536184622874,0.5563998222351074
79,[21.18164796  0.257       6.306      27.          1.          0.        ],[0.34640784 0.65226984 0.19277666],0.3595921768445325,0.5369656085968018
80,"[ 18.88074982   8.5556       9.6291     -14.           0.
   2.        ]",[0.15543206 0.53992361 0.14968266],0.308461107028552,0.5527262687683105
81,"[  5.02140743   1.2023       1.641      -11.           0.
   0.        ]",[0.77465656 0.76788131 0.74377445],0.0004757207090361204,0.8163447380065918
82,[8.09667358 0.087      3.6321     5.         0.         1.        ],[0.63726248 0.75264252 0.55822888],0.0688149683896826,0.5528676509857178
83,[  6.2084007   3.4957      1.0278    -19.          1.          1.       ],[0.78298193 0.75464258 0.7473846 ],0.026853348881259453,1.2574357986450195
84,"[  5.00828629   3.3737       5.4528     -15.           2.
   2.        ]",[0.43848865 0.770952   0.66888836],0.000184139799533245,0.7760219573974609
85,[ 7.31848665  4.6366      5.0113     20.          1.          2.        ],[0.50539981 0.53235026 0.52664246],0.05152192559155322,0.6366169452667236
86,[5.31182633 9.7466     1.9524     4.         0.         2.        ],[0.75312088 0.37806023 0.26026219],0.006929474000167746,0.8512365818023682
87,[  6.1615574   5.2245      7.6388    -26.          1.          2.       ],[0.28665381 0.74362988 0.43184488],0.025812386685581612,0.5773661136627197
88,"[  5.00926106   9.1917       2.3377     -13.           2.
   2.        ]",[0.67881988 0.53511028 0.53669761],0.00020580128524994024,0.8689854145050049
89,"[ 11.35035615   5.8656       5.7258     -27.           0.
   0.        ]",[0.42899887 0.68149923 0.30807113],0.1411190256535727,0.844951868057251
90,[ 9.48186445  5.8852      5.319      25.          1.          2.        ],[0.47052173 0.45092838 0.48014886],0.09959698788439719,0.5522348880767822
91,[11.72127408  2.1229      2.4674     20.          0.          0.        ],[0.7089472  0.58728064 0.58381097],0.14936164628234483,0.5586645603179932
92,"[ 24.57814003   9.7277       6.6474     -18.           0.
   0.        ]",[0.30119806 0.47690405 0.18859954],0.43506977849392026,0.5445866584777832
93,[12.38504265  8.7232      8.2067     -9.          2.          2.        ],[0.21213478 0.54035387 0.36518657],0.1641120588222642,0.5641086101531982
94,"[  6.66841841   0.2903       3.3302     -26.           2.
   2.        ]",[0.60318441 0.88064188 0.81263022],0.03707596464037377,0.2753279209136963
95,[5.01783886 3.0781     5.4373     1.         2.         2.        ],[0.44749405 0.71218845 0.6204306 ],0.0003964190654515143,0.563431978225708
