,custom_adaptation,custom_confidence,custom_score,custom_time
0,[32.74049471  6.9914      5.4969     24.          1.          0.        ],[0.34782272 0.38566978 0.20833149],0.6164554380474819,0.0009987354278564453
1,"[ 35.24247781   9.3811       9.2179     -30.           2.
   2.        ]",[0.10779556 0.6368204  0.20195027],0.672055062477418,0.0010807514190673828
2,[23.98438855  9.0917      5.5645     -3.          1.          2.        ],[0.36823361 0.47415857 0.33641413],0.4218753010071623,0.0009326934814453125
3,"[ 35.24247781   3.7345       2.2753     -11.           1.
   0.        ]",[0.58421495 0.70835497 0.60993991],0.672055062477418,0.0
4,[27.04072919  0.8225      0.1093      7.          0.          0.        ],[0.79666447 0.70964153 0.64153795],0.48979398196436985,0.0
5,[35.24247781  9.0813      7.376      22.          1.          0.        ],[0.21244363 0.31487104 0.11983774],0.672055062477418,0.0
6,[44.62350606  2.6895      0.3543     15.          2.          1.        ],[0.67915745 0.65632042 0.31743673],0.8805223569191883,0.0009596347808837891
7,[10.19876179  9.0423      1.2094     -4.          0.          2.        ],[0.77875547 0.453158   0.42957125],0.11552803976824966,0.0009958744049072266
8,"[ 30.50318428   2.3032       9.1766     -24.           0.
   1.        ]",[0.1484259  0.80698086 0.13968643],0.5667374284262997,0.0010912418365478516
9,"[ 26.43431492   2.0833       6.5188     -24.           2.
   1.        ]",[0.26665046 0.83389617 0.38022505],0.4763181093713017,0.0010175704956054688
10,"[ 41.54785914   7.1247       9.862      -15.           0.
   1.        ]",[0.10066174 0.59982027 0.07315392],0.812174647586517,0.0
11,[30.71490827  5.9524      0.0659     -6.          2.          0.        ],[0.73881296 0.61105939 0.59001268],0.5714424060059515,0.0
12,[28.28533714  0.461       5.7157     -9.          1.          2.        ],[0.34752447 0.8252217  0.40675102],0.5174519365298661,0.0
13,[38.42770817  1.0181      4.9098     -8.          0.          1.        ],[0.38903507 0.78566299 0.44177239],0.7428379592766867,0.0
14,"[ 23.00684631   1.7705       1.7959     -24.           1.
   0.        ]",[0.67106057 0.81767124 0.66242636],0.4001521402673276,0.0009906291961669922
