Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,[ 5.48207374  0.10229495  6.4702     30.          1.          1.        ],[0.35112066 0.74158853 0.27968135],100.04832547777778,0.016930341720581
1,[2.06397e+01 1.30000e-03 1.98800e-01 1.60000e+01 2.00000e+00 0.00000e+00],[0.71333264 0.88398034 0.58691886],134.7418888888889,0.0069818496704101
2,"[2.36490232e+01 1.30000000e-03 3.14900000e-01 2.30000000e+01
 1.00000000e+00 1.00000000e+00]",[0.73592302 0.8818285  0.5062897 ],141.42927377777778,0.0059843063354492
3,[ 6.84459495  0.10229495  1.6323     -5.          0.          0.        ],[0.7261576  0.92287204 0.66885869],103.07615038888889,0.0060009956359863
4,[ 5.48207374  0.10229495  7.7738     26.          0.          1.        ],[0.30026417 0.6122508  0.44146071],100.04832547777778,0.0060124397277832
5,[6.84459495 0.10229495 1.9801     0.         0.         0.        ],[0.70674589 0.91349995 0.6617742 ],103.07615038888889,0.0081560611724853
6,[18.19893838  0.10229495  8.5411     18.          1.          0.        ],[0.18887227 0.68817048 0.14802305],128.30802467777778,0.0060756206512451
7,[11.84050606  0.10229495  0.4984      1.          0.          0.        ],[0.78116426 0.92653632 0.66067092],114.17817507777778,0.0060124397277832
8,[ 5.48207374  7.27293636  7.2918     -4.          1.          0.        ],[0.29932517 0.84643199 0.25154214],28.341911377777762,0.0060043334960937
9,[1.47177e+01 1.30000e-03 7.57610e+00 1.90000e+01 1.00000e+00 1.00000e+00],[0.24666178 0.87390576 0.20100696],121.58188888888888,0.0049986839294433
10,"[2.36490232e+01 1.30000000e-03 7.60430000e+00 2.30000000e+01
 2.00000000e+00 2.00000000e+00]",[0.19260499 0.87446421 0.27741755],141.42927377777778,0.005993366241455
11,[18.19893838  0.10229495  4.1364     13.          1.          0.        ],[0.47481156 0.88234713 0.44550615],128.30802467777778,0.0060129165649414
12,"[  5.48207374   4.24308788   3.052      -14.           0.
   1.        ]",[0.64019879 0.83446313 0.66689241],58.640396177777774,0.0069925785064697
13,"[ 11.84050606   0.10229495   9.0322     -10.           1.
   1.        ]",[0.16799477 0.90000443 0.16223422],114.17817507777778,0.0059852600097656
14,[ 6.84459495  0.10229495  2.9523     -2.          1.          1.        ],[0.59388009 0.91127486 0.60471126],103.07615038888889,0.0060045719146728
15,[ 6.84459495  0.10229495  3.1069     14.          0.          2.        ],[0.63323967 0.85000994 0.55723838],103.07615038888889,0.0049898624420166
