Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,[13.07161871  3.70589743  6.4702     30.          1.          1.        ],[0.33781269 0.8067819  0.18945766],0.40438978083333343,,,1.1394662857055664
1,[26.10408032  0.30933245  0.1988     16.          2.          0.        ],[0.69823755 0.62764316 0.59433169],0.7190231588333333,,,1.0612633228302002
2,[24.00441591  0.04953702  0.3149     23.          1.          1.        ],[0.73507575 0.8818285  0.50537662],0.7086833257777778,,,1.052180290222168
3,[ 6.95030675  2.49057444  1.6323     -5.          0.          0.        ],[0.73210836 0.80273906 0.66293624],0.397141353,,,1.3487646579742432
4,[ 6.22393094  3.24838528  7.7738     26.          0.          1.        ],[0.30686535 0.51263416 0.41242345],0.3511799686666667,,,1.2993617057800293
5,[6.79336679 0.31270202 1.9801     0.         0.         0.        ],[0.70747186 0.84241144 0.66295966],0.5042911966666667,,,1.0699102878570557
6,[13.05106935  0.04060087  8.5411     18.          1.          0.        ],[0.20007353 0.71269401 0.11959643],0.5874262826111111,,,1.054365158081055
7,[19.20116324  0.04317928  0.4984      1.          0.          0.        ],[0.76282884 0.88683808 0.64575413],0.6556317386666667,,,1.057081699371338
8,[ 6.47560714  3.24150702  7.2918     -4.          1.          0.        ],[0.28539738 0.79348438 0.2370162 ],0.3543202838888889,,,1.0718622207641602
9,[37.84935332  0.09521316  7.5761     19.          1.          1.        ],[0.19150006 0.87478611 0.1554925 ],0.8602321566666666,,,1.067150592803955
10,[20.9913095   0.06346426  7.6043     23.          2.          2.        ],[0.19861022 0.87045548 0.27643809],0.6745080036666666,,,1.0651824474334717
11,[13.08138701  0.09710297  4.1364     13.          1.          0.        ],[0.49275114 0.89395306 0.44088762],0.5849380405,,,1.072171688079834
12,"[ 20.7891579    0.10239524   3.052      -14.           0.
   1.        ]",[0.57598673 0.8898185  0.5551969 ],0.6703153257777777,,,1.0533854961395264
13,"[ 11.03669553   0.98190691   9.0322     -10.           1.
   1.        ]",[0.17122557 0.79082935 0.17570613],0.5179790492777778,,,1.0488955974578855
14,[ 5.27451397  3.21814633  2.9523     -2.          1.          1.        ],[0.60905468 0.80647505 0.6123514 ],0.34214283872222206,,,1.0557303428649902
15,[ 5.27866848  3.97096896  3.1069     14.          0.          2.        ],[0.65007288 0.56513071 0.59888109],0.30454786844444437,,,0.728703498840332
16,"[  5.12237227   6.39786237   0.9751     -12.           1.
   1.        ]",[0.74593996 0.86557744 0.6745223 ],0.18146657338888883,,,1.0568084716796875
17,[26.1094267   0.54054196  1.3357     -8.          0.          1.        ],[0.68693506 0.69265203 0.63506338],0.7075220875555556,,,1.0682604312896729
18,[15.38787767  0.05360461  5.0558     13.          1.          0.        ],[0.41392961 0.88436696 0.38362779],0.6127406325,,,1.0662989616394043
