Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,[26.48203727  2.54087959  6.4702     30.          1.          1.        ],[0.29381657 0.70339004 0.15203069],0.6116453235,,,0.0010023117065429
1,[28.36340942  9.16355927  0.1988     16.          2.          0.        ],[0.71593535 0.27617772 0.27182951],0.30141547449999995,,,0.0
2,[18.56219672  2.54810176  0.3149     23.          1.          1.        ],[0.75585352 0.59396091 0.37924937],0.5232859866666666,,,0.0
3,[ 8.39993393  7.66994525  1.6323     -5.          0.          0.        ],[0.74145468 0.73321958 0.55247781],0.15427978116666674,,,0.0
4,[13.30656172  9.48236938  7.7738     26.          0.          1.        ],[0.30326247 0.16641852 0.13201129],0.11817666122222226,,,0.0010192394256591
5,[18.56219672  2.54810176  1.9801      0.          0.          0.        ],[0.67860273 0.70099721 0.58972528],0.5232859866666666,,,0.0
6,[32.18489728  6.65524084  8.5411     18.          1.          0.        ],[0.17262585 0.52665517 0.07788084],0.4692923722222222,,,0.0010008811950683
7,[24.93989809  5.06384042  0.4984      1.          0.          0.        ],[0.76025504 0.75937909 0.55041449],0.46836240222222225,,,0.0
8,[19.02965544  3.45695055  7.2918     -4.          1.          0.        ],[0.25135513 0.74333135 0.18392971],0.4830375329444444,,,0.001007080078125
9,[14.22147162  2.32359759  7.5761     19.          1.          1.        ],[0.25373701 0.59469173 0.14366124],0.4862809162777778,,,0.0
10,[47.54525383  9.30897276  7.6043     23.          2.          2.        ],[0.16168613 0.23525546 0.10006331],0.5072764045555556,,,0.000995397567749
11,[40.65571019  9.09536518  4.1364     13.          1.          0.        ],[0.42620761 0.28028661 0.21784447],0.4414062986666667,,,0.0009992122650146
12,"[ 28.09928001   0.86567845   3.052      -14.           0.
   1.        ]",[0.55322379 0.78430361 0.56757546],0.7133747442777778,,,0.0010135173797607
13,"[ 44.52139284   6.22777962   9.0322     -10.           1.
   1.        ]",[0.1215283  0.76287447 0.07549527],0.6277376061111111,,,0.0010013580322265
14,[35.66723023  1.65646956  2.9523     -2.          1.          1.        ],[0.49889906 0.83316997 0.47883042],0.7579235245555556,,,0.0010077953338623
15,[17.48125915  9.22264113  3.1069     14.          0.          2.        ],[0.62654339 0.2038562  0.20524884],0.17754860072222234,,,0.0
16,"[ 27.65445891   2.89335482   0.9751     -12.           1.
   1.        ]",[0.67129891 0.77828506 0.59109225],0.6070484691111111,,,0.0
17,[33.58494067  3.4434867   1.3357     -8.          0.          1.        ],[0.6724343  0.64795171 0.55382486],0.6454361168888889,,,0.0
18,[20.51351728  2.27209923  5.0558     13.          1.          0.        ],[0.40362136 0.58587778 0.33822547],0.5587674527222222,,,0.0
19,[25.16470296  7.97609285  1.2368     24.          2.          2.        ],[0.65310203 0.42695307 0.20964602],0.3252476126111111,,,0.0009970664978027
20,[42.89973315  2.15887109  4.9123      2.          2.          0.        ],[0.29470005 0.77099698 0.38969377],0.8131645916111112,,,0.0009913444519042
21,[ 6.1209051   9.82737292  4.3312     22.          2.          0.        ],[0.49408615 0.11451122 0.09628417],0.02108585511111105,,,0.0
22,[16.88610801  0.73835464  6.3339     -8.          2.          0.        ],[0.27035542 0.80416933 0.27408299],0.5951501347777778,,,0.0
23,[40.57540726  8.31170593  6.2803     21.          0.          0.        ],[0.31655631 0.42282958 0.15454479],0.4796970063888888,,,0.0010726451873779
24,[49.01844496  5.22699495  4.5793     10.          2.          0.        ],[0.31120377 0.61937692 0.31945506],0.7277440853888888,,,0.0009925365447998
25,"[ 43.39082541   9.69051644   3.2484     -30.           2.
   0.        ]",[0.41512653 0.74104368 0.35877878],0.44203890477777774,,,0.0009815692901611
26,[31.27839344  3.09589967  6.0391      3.          0.          1.        ],[0.33463209 0.70881298 0.29229094],0.6371871658333333,,,0.0010538101196289
27,[10.09997572  0.31952541  1.5993     -6.          1.          2.        ],[0.67667132 0.84737028 0.65020403],0.5406901263888889,,,0.0
28,[35.77777658  1.71856818  9.3772      9.          2.          2.        ],[0.10275738 0.38195487 0.11933779],0.7560468863333334,,,0.0
29,"[  7.69624163   4.16867292   9.3611     -18.           2.
   2.        ]",[0.14154483 0.78986726 0.1654742 ],0.32152459433333336,,,0.0010032653808593
30,"[ 47.47864526   9.96240077   5.8403     -25.           2.
   1.        ]",[0.23167302 0.46212658 0.22193048],0.4738649088333333,,,0.0011858940124511
31,[29.24207764  3.481442    7.4096     11.          2.          2.        ],[0.19228672 0.60482713 0.19047664],0.5952843182222223,,,0.0
32,[23.07440508  4.81869972  1.3534     10.          1.          0.        ],[0.67930265 0.46788209 0.50849505],0.4598917371111111,,,0.0
33,"[ 31.81963683   8.62357668   4.7855     -29.           1.
   1.        ]",[0.37860324 0.6308874  0.37448274],0.3668171307777779,,,0.0
34,"[ 40.43140315   7.95028574   5.9504     -12.           0.
   0.        ]",[0.32028017 0.65448836 0.21093853],0.49616797022222214,,,0.0010111331939697
35,"[ 38.18140178   0.38154297   6.5016     -12.           0.
   2.        ]",[0.26684205 0.73910491 0.27365371],0.8496050935,,,0.0
36,[46.02296269  2.248728    5.237       5.          2.          1.        ],[0.26543055 0.66705833 0.35939126],0.8433742965555556,,,0.0010898113250732
37,"[ 48.70089447   5.88756951   2.4524     -26.           2.
   1.        ]",[0.44534143 0.78494999 0.39665236],0.6911870186111111,,,0.0010082721710205
38,[25.33487078  6.80508752  4.7993      1.          1.          0.        ],[0.41375677 0.71929975 0.35791833],0.38568863266666664,,,0.0009922981262207
39,[49.45404082  5.43103916  0.5694     19.          0.          0.        ],[0.69793206 0.55065605 0.29840055],0.722381828888889,,,0.0
40,[ 8.30800459  6.50115574  7.9749     30.          0.          0.        ],[0.30061533 0.46078161 0.40374008],0.21169781955555544,,,0.0009951591491699
41,"[ 26.15503714   0.9444198    4.7311     -11.           1.
   0.        ]",[0.39021404 0.74237735 0.39840004],0.6878349782222222,,,0.0
42,[16.71568802  5.32998514  5.6242     14.          0.          2.        ],[0.42414861 0.48395714 0.24634204],0.36367505433333336,,,8.20159912109375e-05
43,[23.60986666  4.43555647  4.7537     -3.          2.          1.        ],[0.36729206 0.75019429 0.40146707],0.4849984727222223,,,0.0
44,"[ 26.91446222   3.55729061   5.3119     -29.           0.
   0.        ]",[0.38584497 0.80970411 0.33411907],0.5656294941666666,,,0.0009889602661132
45,[21.70168885  4.4146908   4.9544     11.          1.          0.        ],[0.41284403 0.55074986 0.28205993],0.4648397805555555,,,0.0
46,"[  9.14241924   1.05459497   8.0673     -19.           2.
   2.        ]",[0.18778919 0.79404887 0.23266188],0.49329713194444447,,,0.0009894371032714
47,[20.55651339  1.28949035  6.0232     28.          2.          1.        ],[0.29743099 0.61073976 0.21549735],0.6083756312777777,,,0.0013270378112792
48,[12.03256447  0.73880391  8.2421      4.          1.          0.        ],[0.21342595 0.75705643 0.14700481],0.5411994097222222,,,0.0003299713134765
49,[ 6.71694336  6.78673681  1.0201     28.          2.          1.        ],[0.72366333 0.43129288 0.2934815 ],0.1797403079444444,,,0.0
50,"[ 32.26697619   4.64832502   8.7478     -28.           1.
   1.        ]",[0.14388141 0.77607216 0.17454986],0.5705501511111112,,,0.0009980201721191
51,[32.6813198   7.40100347  3.0653     19.          2.          2.        ],[0.48466248 0.47285063 0.30985372],0.43752004649999987,,,0.0
52,"[ 38.0044815    8.87443947   3.1909     -23.           0.
   2.        ]",[0.52639555 0.47727886 0.50516538],0.42299448761111114,,,0.0010368824005126
53,[ 9.9290858   4.01428266  6.6944     -3.          1.          0.        ],[0.31692089 0.80662787 0.25010194],0.35405348699999994,,,0.0
54,"[ 24.90619937   2.69926485   1.0124     -15.           1.
   0.        ]",[0.67703284 0.80778655 0.59023285],0.5862167505,,,0.0
55,[27.09864735  0.95189297  0.7357     13.          0.          2.        ],[0.73248694 0.60987935 0.51814809],0.6979458776111112,,,0.0001101493835449
56,[33.93719286  0.80594625  7.5497     10.          0.          0.        ],[0.23186448 0.66957232 0.14685949],0.7812270526111111,,,0.0
57,[13.2500184   6.76354142  3.32       11.          2.          1.        ],[0.52827024 0.49172503 0.28612487],0.2534898001111111,,,0.0010147094726562
58,"[ 46.85207616   7.27273205   6.9492     -10.           2.
   0.        ]",[0.17892642 0.70568938 0.14000018],0.6013864659444444,,,0.00099778175354
59,"[  9.71396618   3.09128463   1.7084     -16.           0.
   1.        ]",[0.71384115 0.80565106 0.6096087 ],0.3978131705,,,0.0
60,[26.7778283   4.73134722  7.4763     20.          2.          2.        ],[0.20064869 0.48848817 0.1842555 ],0.505408509,,,0.0
61,[28.75129265  9.9008646   9.0134     -5.          1.          2.        ],[0.15464668 0.43278394 0.08943911],0.26886002166666667,,,0.0
62,[31.07285571  2.75602438  1.1768     18.          2.          0.        ],[0.62305203 0.63663164 0.52963493],0.6518971777777778,,,0.0
63,[40.20491122  9.68304515  6.5393      0.          1.          2.        ],[0.25332802 0.46966775 0.23711264],0.4070134227222222,,,0.0
64,[21.30840924  2.37228687  1.2359     21.          2.          1.        ],[0.64899685 0.60064694 0.46160525],0.5625902036111111,,,0.0
65,[46.23783538  3.30316242  6.9233      3.          0.          1.        ],[0.23692904 0.68370005 0.22727135],0.7930400498888889,,,0.0
66,"[ 21.46878379   8.61984643   3.9794     -20.           0.
   2.        ]",[0.52425607 0.49025754 0.56238333],0.2519941650555555,,,0.0010068416595458
67,"[ 47.48778599   0.53189826   9.9582     -15.           1.
   2.        ]",[0.08282163 0.59788052 0.07626271],0.9454915979999999,,,0.0
68,[23.33086487  1.35562224  1.3267      0.          1.          2.        ],[0.66062137 0.76220049 0.57239168],0.6358951643333333,,,0.0010201930999755
69,[18.93178775  1.4807111   5.454      29.          2.          0.        ],[0.34397656 0.65032308 0.17310835],0.5807620866666667,,,0.0009918212890625
70,[41.76807448  0.29978644  5.8922     14.          2.          2.        ],[0.23609397 0.62584473 0.25132347],0.8935448388888889,,,0.0009994506835937
71,[25.20289883  4.74939599  2.3469     30.          1.          1.        ],[0.61108203 0.47887079 0.21102356],0.48700685416666667,,,0.0010018348693847
72,[10.83617416  2.08631175  6.9616      0.          2.          1.        ],[0.25460697 0.70072362 0.27372879],0.4605307920555556,,,0.001082420349121
73,[36.08937136  8.72678854  7.5283     21.          2.          0.        ],[0.18915115 0.34180495 0.09850328],0.40909803255555566,,,0.0
74,"[ 34.35054578   7.75420956   5.4138     -29.           1.
   2.        ]",[0.32147624 0.75948134 0.38241988],0.43840669733333326,,,0.0010080337524414
75,[13.64332035  9.49505129  7.3796     24.          0.          0.        ],[0.32966508 0.17864805 0.13734923],0.12128432827777769,,,0.0009980201721191
76,"[ 41.15275296   7.09666541   1.0439     -26.           0.
   1.        ]",[0.66970883 0.81259921 0.51823883],0.5468639846111112,,,0.0
77,"[ 48.2891445    2.74702664   5.9646     -26.           2.
   2.        ]",[0.20487583 0.82586654 0.33416625],0.8436391624444444,,,0.0010011196136474
78,[39.55106189  3.83537135  1.6354     -2.          2.          0.        ],[0.55108835 0.78878433 0.47509975],0.6921321201666666,,,0.0010976791381835
79,"[ 38.47080542   0.93625435   8.9486     -25.           0.
   0.        ]",[0.1440302 0.7760209 0.1046913],0.8250851205,,,0.0
80,[40.99153431  8.19546979  6.1279      2.          2.          2.        ],[0.23829    0.63494579 0.265257  ],0.4901324472777777,,,0.0
81,[15.09333559  5.21260042  2.9355      4.          2.          0.        ],[0.54436037 0.55638619 0.49109078],0.35151815222222227,,,0.000964879989624
82,[40.14693906  3.38371485  4.4919     13.          2.          0.        ],[0.34083751 0.64650253 0.3332692 ],0.7213358026111111,,,0.0
83,[21.86513175  6.66787016  9.7893     15.          1.          2.        ],[0.13755625 0.50879846 0.05773126],0.3539968447777778,,,0.0
84,[24.53174776  4.19299499  5.3328     24.          2.          2.        ],[0.33591073 0.57985476 0.28841966],0.5073696700555556,,,0.0009999275207519
85,[16.8789601   1.40135086  9.7215     -2.          1.          2.        ],[0.13506706 0.73881038 0.11503418],0.5619209025555556,,,0.0009396076202392
86,"[ 33.75532739   4.0950239    7.0977     -26.           0.
   1.        ]",[0.24777486 0.81892854 0.25971064],0.6147524426666666,,,0.0
87,[40.58503285  3.22809716  7.7989     -7.          0.          2.        ],[0.19821408 0.75634684 0.15067534],0.7339843958888889,,,0.0
