Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 5.46480101e+00  2.30000000e-03  4.24360000e+00 -2.60000000e+01
  1.00000000e+00  1.00000000e+00]",[0.57902032 0.95395742 0.61668066],0.5050494556666667,0.0020668506622314
1,"[5.46480101e+00 2.30000000e-03 6.16720000e+00 1.00000000e+00
 1.00000000e+00 1.00000000e+00]",[0.39475116 0.9275394  0.4142874 ],0.5050494556666667,0.0019969940185546
2,"[1.18264152e+01 2.30000000e-03 4.68900000e-01 2.80000000e+01
 2.00000000e+00 2.00000000e+00]",[0.71977292 0.91381484 0.62665641],0.5757340577777779,0.0020101070404052
3,"[5.46480101e+00 2.30000000e-03 8.37870000e+00 8.00000000e+00
 2.00000000e+00 1.00000000e+00]",[0.19995083 0.87491995 0.25449585],0.5050494556666667,0.002000093460083
4,"[1.18264152e+01 2.30000000e-03 1.47230000e+00 1.20000000e+01
 2.00000000e+00 1.00000000e+00]",[0.66135524 0.89388403 0.61417797],0.5757340577777779,0.002000093460083
5,"[ 5.46480101e+00  2.30000000e-03  5.64930000e+00 -1.00000000e+01
  1.00000000e+00  2.00000000e+00]",[0.45916919 0.9352564  0.4868578 ],0.5050494556666667,0.0019934177398681
6,"[ 5.46480101e+00  2.30000000e-03  8.12320000e+00 -2.50000000e+01
  1.00000000e+00  2.00000000e+00]",[0.29702547 0.94482895 0.38924452],0.5050494556666667,0.002028465270996
7,"[ 5.46480101e+00  2.30000000e-03  2.87990000e+00 -1.40000000e+01
  0.00000000e+00  2.00000000e+00]",[0.72210196 0.92412908 0.68367914],0.5050494556666667,0.001000165939331
8,"[ 5.46480101e+00  2.30000000e-03  6.36200000e+00 -1.10000000e+01
  1.00000000e+00  1.00000000e+00]",[0.3952313  0.9352564  0.44170805],0.5050494556666667,0.0020062923431396
9,"[ 5.46480101e+00  2.30000000e-03  5.74940000e+00 -2.10000000e+01
  2.00000000e+00  1.00000000e+00]",[0.39930741 0.95461621 0.48592578],0.5050494556666667,0.0019905567169189
10,"[5.46480101e+00 2.30000000e-03 5.40290000e+00 1.40000000e+01
 0.00000000e+00 2.00000000e+00]",[0.5038259  0.87300073 0.44797833],0.5050494556666667,0.0020017623901367
11,"[ 5.46480101e+00  2.30000000e-03  2.59090000e+00 -1.20000000e+01
  1.00000000e+00  1.00000000e+00]",[0.68221782 0.94293242 0.66565011],0.5050494556666667,0.0019993782043457
