Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 24.96696973   1.49864516   4.2436     -26.           1.
   1.        ]",[0.50256008 0.78584305 0.51266059],0.6469229612222223,0.647789478302002
1,[5.05379545 4.28199246 6.1672     1.         1.         1.        ],[0.3772745  0.82605588 0.285794  ],0.2864981042222222,0.6908242702484131
2,[ 5.02594318  1.8710832   0.4689     28.          2.          2.        ],[0.73231821 0.82367053 0.58545688],0.40673409755555556,0.7768337726593018
3,[5.98194991 0.12856495 8.3787     8.         2.         1.        ],[0.19838888 0.78233182 0.25017827],0.5044823070555555,0.9652469158172609
4,"[3.86647907e+01 2.62117995e-03 1.47230000e+00 1.20000000e+01
 2.00000000e+00 1.00000000e+00]",[0.5703055  0.86031414 0.53906598],0.8739221710024999,0.7516763210296631
5,"[ 11.31213088   1.22525539   5.6493     -10.           1.
   2.        ]",[0.43275927 0.77980748 0.42950463],0.5088720180555555,0.6862637996673584
6,"[ 37.38693327   0.16734752   8.1232     -25.           1.
   2.        ]",[0.21015821 0.84982413 0.30167874],0.851487438111111,0.699554443359375
7,"[ 19.67004786   0.04667213   2.8799     -14.           0.
   2.        ]",[0.67910371 0.89613054 0.64602373],0.6606669252777778,0.7215945720672607
8,"[  5.98194991   0.12856495   6.362      -11.           1.
   1.        ]",[0.39289303 0.90697969 0.43607219],0.5044823070555555,1.0291073322296145
9,"[  5.04405549   4.40100397   5.7494     -21.           2.
   1.        ]",[0.3812666  0.86065655 0.34483918],0.2804393069444444,0.8890254497528076
10,[24.62001139  0.14072733  5.4029     14.          0.          2.        ],[0.43464142 0.76518463 0.38996753],0.7109637600555555,0.9589378833770752
11,"[  8.38775994   0.24307576   2.5909     -12.           1.
   1.        ]",[0.67204218 0.81785523 0.65082968],0.525487989111111,0.3493938446044922
12,[32.16945448  0.05099625  8.2007     19.          1.          1.        ],[0.1756842  0.82129682 0.1996402 ],0.7993330150555555,0.4159173965454101
13,[46.92145932  0.1099675   8.2991      4.          2.          2.        ],[0.13056255 0.77352215 0.18691061],0.9602956174444444,0.4257457256317138
14,[ 7.49553906  0.70396223  9.9694     -5.          0.          2.        ],[0.20411079 0.90630741 0.2357806 ],0.49253010027777777,1.044745683670044
15,[19.67004786  0.04667213  1.7726      1.          0.          0.        ],[0.71748698 0.90556231 0.65110254],0.6606669252777778,0.7403075695037842
16,[12.93594295  1.71060843  2.1378      8.          1.          1.        ],[0.65962951 0.61943445 0.55422237],0.5026467223888889,0.8119099140167236
17,[26.85428156  0.19722975  8.5474     23.          2.          2.        ],[0.1434632  0.78501004 0.17320403],0.7329638631666666,0.8748784065246582
18,[20.19352922  0.04787895  1.2102     26.          2.          1.        ],[0.6356821  0.89831203 0.55980584],0.6664230438333332,0.713503360748291
19,"[ 22.11435567   0.02733575   1.1607     -17.           0.
   0.        ]",[0.76568547 0.92721603 0.72800478],0.6887927199444444,0.709444522857666
20,[34.9193515   0.15903261  6.0747     -7.          2.          1.        ],[0.26678417 0.87520239 0.33633655],0.8244856083888888,0.8840024471282959
21,[ 5.96710261  9.99367019  7.3224     24.          1.          2.        ],[0.25707387 0.7662765  0.09506275],0.011062075055555565,0.825840950012207
22,[ 8.38775994  0.24307576  8.6475     -2.          2.          2.        ],[0.19438994 0.78412652 0.25923031],0.525487989111111,0.3558945655822754
23,"[ 4.37350196e+01  7.22023914e-03  7.72640000e+00 -3.00000000e+00
  2.00000000e+00  1.00000000e+00]",[0.1577959  0.89576923 0.229359  ],0.9300280947096666,0.999112606048584
24,"[ 27.82030361   0.1294692    9.0027     -19.           2.
   0.        ]",[0.14092258 0.87219422 0.2378785 ],0.747085469,0.8492681980133057
25,"[3.96426144e+01 2.90510785e-02 1.87120000e+00 2.80000000e+01
 2.00000000e+00 2.00000000e+00]",[0.52553265 0.81339589 0.46420434],0.8834653838527778,0.8810534477233887
26,[45.23053804  0.15535248  9.116       0.          2.          0.        ],[0.1002648  0.82880494 0.16152647],0.9392383542222222,1.0619869232177734
27,[ 5.01916476  4.00515452  2.2277     27.          2.          0.        ],[0.58260243 0.78812997 0.40177457],0.29995521577777784,0.7451772689819336
28,[5.98194991 0.12856495 9.5323     8.         0.         2.        ],[0.22106037 0.56222256 0.24081912],0.5044823070555555,0.8019075393676758
29,[43.78072993  0.1842653   4.0442      6.          1.          1.        ],[0.41534766 0.76656077 0.40974503],0.9216837342222223,1.0117857456207275
30,"[ 11.73459547   2.10795752   1.3358     -18.           1.
   1.        ]",[0.7427356  0.83986636 0.67176955],0.4694309625555556,0.4524867534637451
31,[24.62001139  0.14072733  1.0321      5.          2.          1.        ],[0.65874776 0.762824   0.62206215],0.7109637600555555,1.132500171661377
32,[11.31213088  1.22525539  8.6115     27.          2.          2.        ],[0.16472687 0.61095888 0.16924421],0.5088720180555555,0.4363353252410888
33,[ 5.27434278  2.26537403  1.499      26.          0.          0.        ],[0.74119632 0.60121238 0.55630657],0.3897795516111111,0.6743123531341553
34,"[ 19.67004786   0.04667213   0.7777     -24.           1.
   1.        ]",[0.7669611  0.92291174 0.7532088 ],0.6606669252777778,0.7004406452178955
35,"[ 4.16751410e+01  5.52168729e-03  1.95860000e+00 -1.30000000e+01
  0.00000000e+00  1.00000000e+00]",[0.66252983 0.91212494 0.63188596],0.9072254823021667,0.7837791442871094
36,[ 5.05379545  4.28199246  1.4334     -3.          2.          1.        ],[0.6853189  0.88462712 0.54401308],0.2864981042222222,0.7478609085083008
37,"[ 37.38693327   0.16734752   5.4336     -29.           1.
   0.        ]",[0.36708506 0.86852749 0.45422502],0.851487438111111,0.7977688312530518
38,"[3.57794224e+01 4.84063646e-03 8.48730000e+00 1.30000000e+01
 1.00000000e+00 1.00000000e+00]",[0.16038575 0.85590203 0.19569331],0.8417515503992222,0.8624043464660645
