Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 37.56844056   4.20243907   4.2436     -26.           1.
   1.        ]",[0.4448654  0.7530809  0.38770838],0.6517496082777778,0.0010187625885009
1,[15.28932605  0.1995561   6.1672      1.          1.          1.        ],[0.36067346 0.82712695 0.38093241],0.60434804,0.0009968280792236
2,[37.97664175  3.85266871  0.4689     28.          2.          2.        ],[0.62136148 0.63971508 0.42574974],0.6737736950555555,0.0
3,[37.68036794  9.47210072  8.3787      8.          2.          1.        ],[0.11644901 0.27400517 0.0620527 ],0.3895101633333333,0.0010006427764892
4,[45.69748256  8.3897055   1.4723     12.          2.          1.        ],[0.50644193 0.47860453 0.25926748],0.5327089756666668,0.0010004043579101
5,"[ 37.22266719   1.61627313   5.6493     -10.           1.
   2.        ]",[0.34281744 0.78588695 0.34661014],0.7772159789444445,0.0
6,"[ 12.09737628   7.27978303   8.1232     -25.           1.
   2.        ]",[0.25116309 0.73175655 0.18192755],0.21487058494444455,0.0010011196136474
7,"[ 20.84721111   2.61458165   2.8799     -14.           0.
   2.        ]",[0.66483484 0.70564347 0.56056636],0.5453510409444444,0.0009980201721191
8,"[ 47.76813006   8.20897351   6.362      -11.           1.
   1.        ]",[0.23380824 0.47286555 0.1392511 ],0.564752769611111,0.001000165939331
9,"[ 44.54146098   1.66471889   5.7494     -21.           2.
   1.        ]",[0.26861603 0.75473638 0.32557358],0.8561136219444444,0.0
10,[33.35985378  6.23509824  5.4029     14.          0.          2.        ],[0.37703367 0.48876228 0.20331075],0.5033545744444444,0.0009999275207519
11,"[ 38.14722835   4.51252764   2.5909     -12.           1.
   1.        ]",[0.55223112 0.7709078  0.42748362],0.6426761552222222,0.0010013580322265
12,[12.09737628  7.27978303  8.2007     19.          1.          1.        ],[0.19915823 0.59683052 0.10639394],0.21487058494444455,0.0009996891021728
13,[44.28935536  7.16901431  8.2991      4.          2.          2.        ],[0.12030826 0.47270816 0.08414403],0.5780976773888891,0.0010013580322265
14,[23.49081171  6.47133988  9.9694     -5.          0.          2.        ],[0.15468172 0.77967786 0.10586517],0.3818864694444444,0.001000165939331
15,[16.17596014  0.39104144  1.7726      1.          0.          0.        ],[0.72629473 0.74719018 0.64971999],0.6046252628888888,0.0
16,[21.89930493  7.75205689  2.1378      8.          1.          1.        ],[0.6035294  0.50444946 0.33269973],0.3001672102777778,0.0
17,[45.27465423  7.47919992  8.5474     23.          2.          2.        ],[0.10088239 0.43268972 0.05997688],0.573536162111111,0.0
18,[48.7681836   5.22166581  1.2102     26.          2.          1.        ],[0.51228311 0.58205934 0.31384694],0.7252298606111112,0.0
19,"[ 19.82748734   1.20604481   1.1607     -17.           0.
   0.        ]",[0.76764785 0.81852217 0.70111311],0.6044476188333334,0.0009961128234863
20,[36.2141969   5.31193563  6.0747     -7.          2.          1.        ],[0.24498285 0.74438381 0.20003484],0.5812276285,0.0010652542114257
21,[40.04188976  9.81155358  7.3224     24.          1.          2.        ],[0.17534359 0.22426137 0.06784383],0.39877665166666665,0.0009925365447998
22,[36.99775791  5.01311603  8.6475     -2.          2.          2.        ],[0.12761017 0.74052187 0.11724687],0.6048748419444445,0.0
23,[49.06879385  7.87072679  7.7264     -3.          2.          1.        ],[0.13035166 0.50137822 0.08878869],0.5961169255000001,0.0009996891021728
24,"[ 18.96419559   9.8804188    9.0027     -19.           2.
   0.        ]",[0.13450434 0.47830536 0.08539257],0.1611367887777777,0.0010130405426025
25,[43.13797158  2.74068357  1.8712     28.          2.          2.        ],[0.50036051 0.65758644 0.36644698],0.7867210612777777,0.0009996891021728
26,[22.93479543  8.42495483  9.116       0.          2.          0.        ],[0.11636041 0.60436947 0.07581438],0.2780277632777777,0.0
27,[10.69872109  4.50619818  2.2277     27.          2.          0.        ],[0.56030593 0.61719615 0.37038687],0.3380092142222222,0.0
28,[11.06343025  5.36806676  9.5323      8.          0.          2.        ],[0.19307439 0.39793908 0.12901172],0.29896810922222217,0.0010106563568115
29,[31.81824151  4.96397163  4.0442      6.          1.          1.        ],[0.43567883 0.5689143  0.29544854],0.5497818797222223,0.0
30,"[ 28.9681574    4.59068384   1.3358     -18.           1.
   1.        ]",[0.68265721 0.75860754 0.54613144],0.536778668,0.0009608268737792
31,[29.5148973   3.62920204  1.0321      5.          2.          1.        ],[0.62769479 0.5706721  0.49347967],0.5909276457777778,0.0020012855529785
32,[37.26291395  2.8197226   8.6115     27.          2.          2.        ],[0.116437   0.59880863 0.10879937],0.7174906916666666,0.0
33,[14.15603896  0.21809242  1.499      26.          0.          0.        ],[0.72361935 0.78632034 0.59842777],0.5908291452222223,0.0009815692901611
34,"[ 39.556954     0.15003497   0.7777     -24.           1.
   1.        ]",[0.71158833 0.83248294 0.70547234],0.8764644070555555,0.0009999275207519
35,"[ 19.43501121   3.2954069    1.9586     -13.           0.
   1.        ]",[0.71776681 0.75391182 0.5876513 ],0.49561866844444435,0.0009992122650146
36,[15.28932605  0.1995561   1.4334     -3.          2.          1.        ],[0.66974125 0.83516606 0.64721434],0.60434804,0.001004934310913
37,"[ 12.09737628   7.27978303   5.4336     -29.           1.
   0.        ]",[0.42233651 0.71378387 0.29992819],0.21487058494444455,0.0
38,[29.07675033  3.19909302  8.4873     13.          1.          1.        ],[0.16543114 0.54885156 0.14614996],0.6075647971111111,0.0010492801666259
39,"[  6.32914228   5.67748276   9.3873     -22.           1.
   0.        ]",[0.1856342  0.82890606 0.16621298],0.23089410955555545,0.0
40,[29.20117951  2.59143312  9.4258      6.          1.          1.        ],[0.13392764 0.55392078 0.13960225],0.6393303385555555,0.0
41,"[ 35.99987252   6.03105497   1.6754     -24.           1.
   0.        ]",[0.62709865 0.72126219 0.47142439],0.5428902794999999,0.0
42,"[ 12.09737628   7.27978303   2.2064     -18.           0.
   1.        ]",[0.71368674 0.71252948 0.47759527],0.21487058494444455,0.0
43,[33.35985378  6.23509824  6.1927     20.          1.          2.        ],[0.26703672 0.4970473  0.14955668],0.5033545744444444,0.0
