Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,[12.74501616  0.          5.4969     24.          1.          0.        ],[0.44634356 0.67355312 0.1734056 ],117.21114702222222,0.012303352355957
1,"[ 6.83956263e+00  1.22000000e-02  9.21790000e+00 -3.00000000e+01
  2.00000000e+00  2.00000000e+00]",[0.17801119 0.89596766 0.393508  ],103.96591695555556,0.0070087909698486
2,[ 6.83956263  1.22261212  5.5645     -3.          1.          2.        ],[0.45648786 0.77648519 0.59619921],91.86179575555556,0.0065922737121582
3,[  5.0225   0.0122   2.2753 -11.       1.       0.    ],[0.71589732 0.81548935 0.72319757],99.928,0.0057451725006103
4,[5.0225 0.     0.1093 7.     0.     0.    ],[0.85569863 0.73079177 0.71976974],100.05,0.0090322494506835
5,[2.28322e+01 1.22000e-02 7.37600e+00 2.20000e+01 1.00000e+00 0.00000e+00],[0.26387059 0.68784575 0.10760895],139.50511111111112,0.0060055255889892
6,[ 6.83956263  0.          0.3543     15.          2.          1.        ],[0.81284804 0.74099274 0.48714574],104.08791695555556,0.0071077346801757
7,[ 5.0225  0.      1.2094 -4.      0.      2.    ],[0.80345221 0.80023469 0.7421656 ],100.05,0.0093016624450683
8,"[ 5.47676566e+00  1.22000000e-02  9.17660000e+00 -2.40000000e+01
  0.00000000e+00  1.00000000e+00]",[0.21960868 0.85662673 0.23988894],100.93747924444445,0.0079929828643798
9,[  5.0225   2.0833   6.5188 -24.       2.       1.    ],[0.35128992 0.82855356 0.56637899],79.217,0.0060434341430664
10,"[ 1.86504697e+01  1.22000000e-02  9.86200000e+00 -1.50000000e+01
  0.00000000e+00  1.00000000e+00]",[0.15160997 0.83349899 0.10757438],130.2123771111111,0.0069994926452636
11,[ 5.0225  0.0122  0.0659 -6.      2.      0.    ],[0.82531155 0.80957271 0.70254639],99.928,0.0070071220397949
12,[ 5.0225  0.0122  5.7157 -9.      1.      2.    ],[0.45151525 0.83053441 0.52968118],99.928,0.0052740573883056
13,[ 6.83956263  0.0122      4.9098     -8.          0.          1.        ],[0.53548318 0.80519751 0.48994385],103.96591695555556,0.0133311748504638
14,"[  5.47676566   0.           1.7959     -24.           1.
   0.        ]",[0.74068292 0.85567121 0.75098538],101.05947924444445,0.0089509487152099
15,"[1.54706101e+01 1.22000000e-02 7.34240000e+00 1.10000000e+01
 1.00000000e+00 0.00000000e+00]",[0.289371   0.73575126 0.13708369],123.14602244444444,0.0061771869659423
16,"[1.50163444e+01 1.22000000e-02 6.04770000e+00 2.20000000e+01
 1.00000000e+00 1.00000000e+00]",[0.39233613 0.69891447 0.20222755],122.13654311111111,0.0080831050872802
17,[ 5.0225  0.      2.7664 -9.      0.      2.    ],[0.70801376 0.81820879 0.74178309],100.05,0.0071132183074951
18,"[ 2.36473919e+01  1.22000000e-02  9.14230000e+00 -4.00000000e+00
  1.00000000e+00  0.00000000e+00]",[0.15822892 0.79904652 0.11479442],141.31664866666665,0.0069999694824218
19,"[  6.83956263   0.11306768   5.9307     -27.           1.
   2.        ]",[0.41743057 0.87867295 0.63488094],102.95724015555555,0.0049879550933837
20,"[ 6.38529697e+00  1.22000000e-02  1.46720000e+00 -1.70000000e+01
  0.00000000e+00  0.00000000e+00]",[0.77945757 0.82371653 0.76769818],102.9564377111111,0.0119695663452148
21,[  5.0225   0.       0.7611 -28.       1.       2.    ],[0.80255414 0.88133436 0.91526177],100.05,0.0060005187988281
22,[2.35621e+01 1.22000e-02 4.71010e+00 1.00000e+01 0.00000e+00 0.00000e+00],[0.48125326 0.72599742 0.39688748],141.1271111111111,0.0070390701293945
23,[5.0225 0.0122 2.692  6.     0.     2.    ],[0.71872729 0.7622295  0.65063298],99.928,0.0134429931640625
24,[ 5.0225     1.3234798  6.0394    -1.         2.         2.       ],[0.40068083 0.77904832 0.61331629],86.815202,0.0070161819458007
25,"[  5.0225       0.71827374   9.1887     -25.           0.
   2.        ]",[0.22027738 0.85258363 0.34567277],92.8672626,0.0129969120025634
26,"[5.93103131e+00 1.22000000e-02 9.08000000e-02 1.40000000e+01
 1.00000000e+00 0.00000000e+00]",[0.84204996 0.71508566 0.67637151],101.94695846666667,0.0060048103332519
27,[ 5.0225e+00  1.2200e-02  2.4457e+00 -1.6000e+01  1.0000e+00  1.0000e+00],[0.70353804 0.84136117 0.78164069],99.928,0.007197618484497
28,[ 5.0225e+00  1.2200e-02  1.7601e+00 -1.6000e+01  0.0000e+00  0.0000e+00],[0.76731847 0.82018898 0.73375291],99.928,0.0061731338500976
29,"[3.59125646e+01 1.22000000e-02 7.64920000e+00 1.50000000e+01
 0.00000000e+00 0.00000000e+00]",[0.22033774 0.7092868  0.18261672],168.572588,0.0050089359283447
30,[  7.0225   0.       0.6996 -25.       1.       2.    ],[0.80074914 0.87447558 0.90829113],104.49444444444444,0.0062112808227539
31,"[2.59187202e+01 1.22000000e-02 6.06050000e+00 9.00000000e+00
 0.00000000e+00 0.00000000e+00]",[0.36225327 0.73197832 0.27363845],146.36404488888888,0.0060076713562011
32,[11.38221919  0.0122      5.94        7.          0.          2.        ],[0.43824248 0.76178457 0.38880258],114.06070931111111,0.0060029029846191
33,[ 5.0225  0.0122  2.4633 10.      1.      0.    ],[0.71123995 0.73396114 0.50840228],99.928,0.0059945583343505
34,"[4.81777374e+01 1.22000000e-02 9.33660000e+00 2.30000000e+01
 1.00000000e+00 0.00000000e+00]",[0.1051315  0.69379794 0.09276547],195.82852755555555,0.0070083141326904
35,[ 5.0225e+00  1.2200e-02  2.3217e+00 -1.5000e+01  2.0000e+00  2.0000e+00],[0.69077646 0.85748049 0.78576226],99.928,0.0049364566802978
36,[5.0225 0.0122 2.8234 1.     2.     0.    ],[0.6586719  0.7853912  0.63403509],99.928,0.0059828758239746
37,[20.92179798  0.          8.32        3.          0.          0.        ],[0.22651052 0.75745506 0.11883413],135.3817732888889,0.0059990882873535
38,[15.4706101   1.52521515  6.9032     30.          0.          2.        ],[0.35258223 0.59638986 0.29723839],108.01587094444444,0.0070233345031738
39,"[  5.47676566   0.           8.9483     -22.           1.
   0.        ]",[0.21365703 0.85245906 0.18228449],101.05947924444445,0.0059940814971923
40,"[6.83956263e+00 1.22000000e-02 3.35250000e+00 1.40000000e+01
 1.00000000e+00 1.00000000e+00]",[0.64281238 0.73107688 0.47857865],103.96591695555556,0.0053493976593017
41,[19.5821  0.      4.1125 26.      0.      0.    ],[0.55620776 0.64758092 0.46740829],132.40466666666669,0.0070071220397949
42,[1.25896e+01 1.22000e-02 1.44510e+00 2.50000e+01 0.00000e+00 2.00000e+00],[0.77618763 0.67879095 0.62205973],116.74377777777778,0.0053236484527587
43,"[ 5.47676566e+00  1.22000000e-02  7.08820000e+00 -2.30000000e+01
  1.00000000e+00  0.00000000e+00]",[0.33355054 0.85437858 0.35587335],100.93747924444445,0.0050063133239746
44,"[3.45497677e+01 1.22000000e-02 6.03850000e+00 1.60000000e+01
 1.00000000e+00 0.00000000e+00]",[0.30693598 0.71952737 0.24904995],165.54415044444443,0.0059962272644042
45,[ 5.47676566  0.71827374  5.3362     -2.          1.          1.        ],[0.48137101 0.77533244 0.53513018],93.87674184444445,0.0071151256561279
46,[5.0225 0.0122 2.5412 6.     0.     2.    ],[0.72866038 0.76215629 0.66226844],99.928,0.0049877166748046
