,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,[22.08161496  0.20403329  5.4969     24.          1.          0.        ],[0.40363535 0.66932744 0.23131139],292.3806816695485,,,0.9543542861938477
1,"[  8.05196178   0.30450377   9.2179     -30.           2.
   2.        ]",[0.17448674 0.89130351 0.40202847],328.5295580104952,,,0.7872939109802246
2,[ 6.45640404  0.56305626  5.5645     -3.          1.          2.        ],[0.45922201 0.79579577 0.58213454],303.3288477884837,,,0.5958466529846191
3,"[ 11.17093565   0.75144263   2.2753     -11.           1.
   0.        ]",[0.69114311 0.79696733 0.68445886],319.14419301703964,,,0.9596188068389893
4,[11.75174749  1.25578071  0.1093      7.          0.          0.        ],[0.83854385 0.68793995 0.69503634],303.3866667750462,,,0.8801424503326416
5,"[3.66609443e+01 2.42121162e-02 7.37600000e+00 2.20000000e+01
 1.00000000e+00 0.00000000e+00]",[0.21699498 0.69265453 0.1503143 ],307.2607321731942,,,1.0382740497589111
6,[ 6.60845818  0.44589414  0.3543     15.          2.          1.        ],[0.81310213 0.72563138 0.47110537],290.80826404348295,,,0.7877614498138428
7,[ 8.98459345  1.57133997  1.2094     -4.          0.          2.        ],[0.79002014 0.75387607 0.70185147],310.20385347430204,,,1.0544342994689941
8,"[  5.94427382   0.37005148   9.1766     -24.           0.
   1.        ]",[0.21776238 0.84885644 0.24171785],320.39762234490274,,,0.8187885284423828
9,"[  5.4884132    0.78547972   6.5188     -24.           2.
   1.        ]",[0.35105796 0.85860051 0.53768657],322.18413348288976,,,0.8687281608581543
10,"[ 14.88252104   0.0576024    9.862      -15.           0.
   1.        ]",[0.16081127 0.83145455 0.1145821 ],319.9629186386295,,,0.7266409397125244
11,[ 6.94630387  0.81959964  0.0659     -6.          2.          0.        ],[0.81938865 0.7873694  0.70116784],312.0608042294248,,,0.5827531814575195
12,[ 5.10569794  0.90062883  5.7157     -9.          1.          2.        ],[0.44983579 0.8075002  0.53484661],307.48936910514766,,,0.8337094783782959
