Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[2.59187202e+01 1.22000000e-02 5.49690000e+00 2.40000000e+01
 1.00000000e+00 0.00000000e+00]",[0.38684612 0.67821776 0.22208743],0.7318202244444445,0.0050015449523925
1,"[ 6.83956263e+00  1.22000000e-02  9.21790000e+00 -3.00000000e+01
  2.00000000e+00  2.00000000e+00]",[0.17801119 0.89596766 0.393508  ],0.5198295847777779,0.003005027770996
2,[ 6.83956263  1.22261212  5.5645     -3.          1.          2.        ],[0.45648786 0.77648519 0.59619921],0.45930897877777777,0.0029850006103515
3,[  5.0225   0.0122   2.2753 -11.       1.       0.    ],[0.71589732 0.81548935 0.72319757],0.49964,0.0020053386688232
4,[5.0225 0.0122 0.1093 7.     0.     0.    ],[0.85568975 0.73037087 0.71913837],0.49964,0.0020065307617187
5,[2.28322e+01 1.22000e-02 7.37600e+00 2.20000e+01 1.00000e+00 0.00000e+00],[0.26387059 0.68784575 0.10760895],0.6975255555555555,0.0020008087158203
6,"[6.83956263e+00 1.22000000e-02 3.54300000e-01 1.50000000e+01
 2.00000000e+00 1.00000000e+00]",[0.81283711 0.74058213 0.4868459 ],0.5198295847777779,0.0019977092742919
7,[ 5.0225  0.0122  1.2094 -4.      0.      2.    ],[0.80344085 0.79989264 0.74205343],0.49964,0.0020058155059814
8,"[ 5.47676566e+00  1.22000000e-02  9.17660000e+00 -2.40000000e+01
  0.00000000e+00  1.00000000e+00]",[0.21960868 0.85662673 0.23988894],0.5046873962222223,0.0020067691802978
9,[  5.0225   2.0833   6.5188 -24.       2.       1.    ],[0.35128992 0.82855356 0.56637899],0.396085,0.0020384788513183
10,"[ 1.53365e+01  1.22000e-02  9.86200e+00 -1.50000e+01  0.00000e+00
  1.00000e+00]",[0.15971077 0.83267934 0.11383273],0.61424,0.0040204524993896
11,[ 5.0225      0.71827374  0.0659     -6.          2.          0.        ],[0.82471078 0.78975996 0.71725028],0.464336313,0.0020132064819335
12,[ 5.0225  0.0122  5.7157 -9.      1.      2.    ],[0.45151525 0.83053441 0.52968118],0.49964,0.002000093460083
13,[ 6.83956263  0.0122      4.9098     -8.          0.          1.        ],[0.53548318 0.80519751 0.48994385],0.5198295847777779,0.0030062198638916
14,"[ 5.47676566e+00  1.22000000e-02  1.79590000e+00 -2.40000000e+01
  1.00000000e+00  0.00000000e+00]",[0.74066911 0.85540693 0.7508626 ],0.5046873962222223,0.0020029544830322
15,"[1.54706101e+01 1.22000000e-02 7.34240000e+00 1.10000000e+01
 1.00000000e+00 0.00000000e+00]",[0.289371   0.73575126 0.13708369],0.6157301122222222,0.0020027160644531
16,"[1.50163444e+01 1.22000000e-02 6.04770000e+00 2.20000000e+01
 1.00000000e+00 1.00000000e+00]",[0.39233613 0.69891447 0.20222755],0.6106827155555555,0.0020005702972412
17,[ 5.0225  0.0122  2.7664 -9.      0.      2.    ],[0.70799889 0.81789051 0.74144294],0.49964,0.0039958953857421
18,[16.83340707  0.71827374  9.1423     -4.          1.          0.        ],[0.17524944 0.7763409  0.12023444],0.5955686137777778,0.0029997825622558
19,"[  6.83956263   0.11306768   5.9307     -27.           1.
   2.        ]",[0.41743057 0.87867295 0.63488094],0.5147862007777777,0.0020055770874023
20,"[ 8.65662525e+00  1.22000000e-02  1.46720000e+00 -1.70000000e+01
  0.00000000e+00  0.00000000e+00]",[0.77210863 0.82430241 0.78112592],0.5400191694444445,0.0020728111267089
21,[ 5.0225e+00  1.2200e-02  7.6110e-01 -2.8000e+01  1.0000e+00  2.0000e+00],[0.80254275 0.88111054 0.91518771],0.49964,0.0020003318786621
22,"[2.18303293e+01 1.22000000e-02 4.71010000e+00 1.00000000e+01
 0.00000000e+00 0.00000000e+00]",[0.48929985 0.72538424 0.39284121],0.6863936588888888,0.0020039081573486
23,[5.0225 0.0122 2.692  6.     0.     2.    ],[0.71872729 0.7622295  0.65063298],0.49964,0.002000093460083
24,[ 5.0225      0.11306768  6.0394     -1.          2.          2.        ],[0.40239513 0.81340428 0.5882943 ],0.49459661599999993,0.0030610561370849
25,"[  5.0225       0.71827374   9.1887     -25.           0.
   2.        ]",[0.22027738 0.85258363 0.34567277],0.464336313,0.0039980411529541
26,"[6.38529697e+00 1.22000000e-02 9.08000000e-02 1.40000000e+01
 1.00000000e+00 0.00000000e+00]",[0.84092279 0.71525025 0.69338456],0.5147821885555555,0.001997947692871
27,[ 5.0225e+00  1.2200e-02  2.4457e+00 -1.6000e+01  1.0000e+00  1.0000e+00],[0.70353804 0.84136117 0.78164069],0.49964,0.0030074119567871
28,[ 5.0225e+00  1.2200e-02  1.7601e+00 -1.6000e+01  0.0000e+00  0.0000e+00],[0.76731847 0.82018898 0.73375291],0.49964,0.0030000209808349
29,"[3.59125646e+01 1.22000000e-02 7.64920000e+00 1.50000000e+01
 0.00000000e+00 0.00000000e+00]",[0.22033774 0.7092868  0.18261672],0.8428629400000001,0.0029993057250976
30,[  7.0225   0.       0.6996 -25.       1.       2.    ],[0.80074914 0.87447558 0.90829113],0.5224722222222222,0.1031849384307861
31,"[2.59187202e+01 1.22000000e-02 6.06050000e+00 9.00000000e+00
 0.00000000e+00 0.00000000e+00]",[0.36225327 0.73197832 0.27363845],0.7318202244444445,0.002995491027832
32,[11.38221919  0.0122      5.94        7.          0.          2.        ],[0.43824248 0.76178457 0.38880258],0.5703035465555555,0.0019962787628173
33,[ 5.0225  0.0122  2.4633 10.      1.      0.    ],[0.71123995 0.73396114 0.50840228],0.49964,0.0020008087158203
34,"[4.81777374e+01 1.22000000e-02 9.33660000e+00 2.30000000e+01
 1.00000000e+00 0.00000000e+00]",[0.1051315  0.69379794 0.09276547],0.9791426377777778,0.003009557723999
35,[ 5.0225e+00  1.2200e-02  2.3217e+00 -1.5000e+01  2.0000e+00  2.0000e+00],[0.69077646 0.85748049 0.78576226],0.49964,0.0019938945770263
