,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,,,,[0.62476735],,,,,0.8916609287261963,0.04779505729675293,18.65592341881706
1,"[6.86322625e+01 2.95488383e+01 3.92399906e+01 5.55946905e-16
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[68.3125 21.7354 43.9967  0.      6.     71.8208 75.0593 60.5977  1.    ],[0.82783333],[0.81857896],299.84343369322056,302.5804,2.7369663067794363,0.009127984805495905,4.681699275970459,0.0804290771484375,58.20903884462152
2,,,,[0.26684353],,,,,0.6512079238891602,0.019311904907226562,33.720543209876546
3,"[30.19550037 75.21220016 98.55405045 84.29600143 69.         53.3293
 80.054      70.5053      0.        ]","[29.32761515 75.73022424 98.9967     84.78177576 69.         53.3293
 80.054      70.5053      0.        ]",[0.80202256],[0.80202256],72.13324832915305,69.81891515151517,-2.3143331776378773,-0.032084139162529945,4.467621088027954,2.2709901332855225,1.967256934562057
4,"[79.68673626 90.61960223 73.31625383  1.36687517 99.          2.4322
 12.8356     94.2017      1.        ]","[78.68942121 90.87620909 73.9967      0.         99.          2.4322
 12.8356     94.2017      1.        ]",[0.80442857],[0.80442857],214.38400503120934,213.8165121212121,-0.5674929099972417,-0.002647086054365986,4.6029651165008545,1.051985263824463,4.375503417003109
5,,,,[0.2982943],,,,,0.6802048683166504,0.11223173141479492,6.060717942617274
6,"[6.86172904e+01 2.19624056e+01 4.50084345e+01 4.48141958e-05
 5.00000000e+01 7.33268000e+01 9.84476000e+01 8.99971000e+01
 1.00000000e+00]","[74.68942121 41.61343636 73.9967      0.         50.         73.3268
 98.4476     89.9971      1.        ]",[0.80011891],[0.80344401],301.64640550131173,259.0792848484848,-42.56712065282693,-0.14111595522606624,4.795176982879639,2.7703640460968018,1.730883343521448
7,"[40.54301929 63.60195895 45.04221011  0.0913074  60.          5.0044
 65.223      37.6768      0.        ]","[29.32761515 63.61343636 42.42612424  0.         60.          5.0044
 65.223      37.6768      0.        ]",[0.80921092],[0.80809781],231.80754282844717,223.28805454545454,-8.519488282992626,-0.03675242047364096,4.645899057388306,2.3689308166503906,1.9611797122709946
8,,,,[0.69941685],,,,,0.696911096572876,0.022269010543823242,31.29510829416614
9,"[6.84801206e+01 2.25750931e+01 1.78912930e+01 9.52936770e-06
 5.70000000e+01 3.68875000e+01 5.86190000e+01 1.00600000e+01
 1.00000000e+00]","[86.68942121 38.43825455 42.42612424  0.         57.         36.8875
 58.619      10.06        1.        ]",[0.80534684],[0.80101911],328.0137250150731,305.8250424242424,-22.188682590830695,-0.0676455919331152,4.916712999343872,0.8741979598999023,5.624255860659806
10,"[6.86329772e+01 2.15928810e+01 1.89634690e+01 8.05466098e-05
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]","[86.68942121 44.61343636 42.42612424  0.         32.         47.4298
 72.366      51.9463      1.        ]",[0.80232108],[0.80424884],328.076546651322,299.6498606060606,-28.42668604526142,-0.08664650471182003,4.971781969070435,2.2081549167633057,2.2515548756687913
11,"[6.86288140e+01 2.96292374e+01 4.36897144e+01 1.44339769e-02
 6.50000000e+01 7.15749000e+01 1.67207000e+01 9.06924000e+01
 1.00000000e+00]","[75.43234848 40.76915354 73.9967      0.         65.         71.5749
 16.7207     90.6924      1.        ]",[0.80923819],[0.81023685],295.2954282129566,260.6664949494949,-34.628933263461704,-0.11726877545319984,4.6188130378723145,0.08067584037780762,57.25150201401387
12,,,,[0.68546283],,,,,0.49319911003112793,2.1765220165252686,0.2265996421292815
13,,,,[0.72337319],,,,,0.9960629940032959,0.014988183975219727,66.45654974946314
14,"[30.19549936 77.2121921  44.99545308  0.09869193 54.          8.7951
 97.14       64.1799      0.        ]","[29.32761515 63.74968889 42.42612424 84.78177576 54.          8.7951
 97.14       64.1799      0.        ]",[0.80196721],[0.80813765],207.88916225136677,138.37002626262625,-69.51913598874052,-0.33440481088996,4.654925107955933,0.5091440677642822,9.142648226063624
15,"[6.86439650e+01 9.99032177e+01 1.92357315e+01 1.54500816e-14
 7.90000000e+01 8.63154000e+01 3.63292000e+01 8.91413000e+01
 1.00000000e+00]",[26.8806 30.2781 99.9967  0.     79.     86.3154 36.3292 89.1413  1.    ],[0.80613512],[0.81404508],249.5050157914301,196.6058,-52.89921579143012,-0.21201664272613424,4.646976947784424,0.041143178939819336,112.94647296412408
16,,,,[0.6057794],,,,,0.7972180843353271,0.047471046447753906,16.793775237559515
17,,,,[0.75226988],,,,,0.8422200679779053,1.8822190761566162,0.4474612326731225
18,"[6.65696919e+01 2.15724419e+01 1.81439116e+01 2.81484282e-02
 6.80000000e+01 5.36763000e+01 7.97056000e+01 3.94470000e+01
 1.00000000e+00]","[86.3876     38.76915354 44.3094      0.         68.         53.6763
 79.7056     39.447       1.        ]",[0.81709838],[0.80929446],326.8251899300361,303.3090464646464,-23.51614346538969,-0.07195327713394374,5.014602899551392,0.12645721435546875,39.65454185520362
19,"[4.05482797e+01 8.46702812e+01 7.44212428e+01 8.10306880e-03
 4.80000000e+01 5.84050000e+00 1.74103000e+01 4.26772000e+01
 0.00000000e+00]","[51.53708182 80.77888586 98.9866899   0.         48.          5.8405
 17.4103     42.6772      0.        ]",[0.80757389],[0.80952961],181.44865266983055,171.77150606060604,-9.677146609224508,-0.05333270028096233,4.639620780944824,4.445743083953857,1.0436097393236092
20,"[6.50516596e+01 2.13412953e+01 1.91746561e+01 9.01483774e-05
 9.20000000e+01 4.85672000e+01 3.49167000e+01 1.31011000e+01
 1.00000000e+00]","[86.68942121 38.61343636 42.42612424  0.         92.         48.5672
 34.9167     13.1011      1.        ]",[0.81088346],[0.80548076],324.5356181047981,305.6498606060606,-18.88575749873752,-0.058193173399657426,5.112911224365234,3.3257458209991455,1.5373728178749317
21,"[6.85525649e+01 2.34560624e+01 1.78807726e+01 2.03596280e-04
 3.40000000e+01 2.34219000e+01 5.56327000e+01 7.55008000e+01
 1.00000000e+00]","[86.68942121 44.61343636 42.42612424  0.         34.         23.4219
 55.6327     75.5008      1.        ]",[0.80534684],[0.80685928],327.2155264080593,299.6498606060606,-27.565665801998705,-0.08424314733654327,5.103338956832886,1.8952569961547852,2.6926896812341843
22,"[68.12596332 22.13396702 23.93496465  0.31289184 20.         30.5299
 88.347      72.1533      1.        ]","[85.68942121 63.74968889 42.42612424  0.         20.         30.5299
 88.347      72.1533      1.        ]",[0.8121275],[0.80056149],321.7441398083173,279.51360808080807,-42.23053172750923,-0.13125501447413634,4.920114994049072,1.0569970607757568,4.654804801858272
