Model,Memory Peak (MB),Time
GradientBoostingClassifier,1.2687397003173828,0.2171776294708252
GradientBoostingClassifier,1.2705345153808594,0.17508172988891602
XGBClassifier,1.881312370300293,0.23534131050109863
GradientBoostingClassifier,1.4096317291259766,0.22026515007019043
GradientBoostingClassifier,1.2690420150756836,0.2171776294708252
GradientBoostingClassifier,1.2699241638183594,0.17508172988891602
XGBClassifier,1.8123083114624023,0.23534131050109863
GradientBoostingClassifier,1.3628931045532227,0.22026515007019043
GradientBoostingClassifier,1.2693061828613281,0.20505142211914062
GradientBoostingClassifier,1.2705631256103516,0.17775869369506836
XGBClassifier,1.8297557830810547,0.23421907424926758
GradientBoostingClassifier,1.3816900253295898,0.2067720890045166
GradientBoostingClassifier,0.713719367980957,0.26133298873901367
GradientBoostingClassifier,0.7183628082275391,0.20732474327087402
NeuralNetwork,342.05859375,6362
GradientBoostingClassifier,0.719273567199707,0.15668392181396484
GradientBoostingClassifier,0.7205429077148438,0.15520334243774414
GradientBoostingClassifier,0.7208480834960938,0.1493542194366455
GradientBoostingClassifier,0.7220726013183594,0.1585850715637207
GradientBoostingClassifier,0.7229232788085938,0.151991605758667
GradientBoostingClassifier,0.7235183715820312,0.16122102737426758
GradientBoostingClassifier,0.7246923446655273,0.1490020751953125
XGBClassifier,2.156041145324707,0.3794569969177246
RandomForestClassifier,10.312212944030762,41.58065152168274
GradientBoostingClassifier,0.713597297668457,0.20508337020874023
RandomForestClassifier,5.813372611999512,17.781869888305664
GradientBoostingClassifier,0.7219324111938477,0.14020943641662598
GradientBoostingClassifier,0.7231159210205078,0.13436484336853027
GradientBoostingClassifier,0.7252397537231445,0.13800716400146484
RandomForestClassifier,6.899258613586426,24.299609661102295
GradientBoostingClassifier,0.7255649566650391,0.13590192794799805
GradientBoostingClassifier,0.7259254455566406,0.14574146270751953
GradientBoostingClassifier,0.7263107299804688,0.14006662368774414
GradientBoostingClassifier,0.7264833450317383,0.14016437530517578
GradientBoostingClassifier,0.7288227081298828,0.15794754028320312
GradientBoostingClassifier,0.7297306060791016,0.15254807472229004
GradientBoostingClassifier,0.7123641967773438,0.18675780296325684
GradientBoostingClassifier,0.7180032730102539,0.15902042388916016
RandomForestClassifier,1.9353981018066406,2.241018056869507
XGBClassifier,0.7255611419677734,0.04594111442565918
GradientBoostingClassifier,0.7583408355712891,0.18479323387145996
GradientBoostingClassifier,0.7613382339477539,0.14754319190979004
XGBClassifier,0.7465019226074219,0.04599738121032715
XGBClassifier,0.8509597778320312,0.06999993324279785
XGBClassifier,0.8535356521606445,0.06067061424255371
XGBClassifier,0.8543291091918945,0.062489986419677734
XGBClassifier,0.8852052688598633,0.06704163551330566
GradientBoostingClassifier,0.7851552963256836,0.19658350944519043
LogisticRegression,219.75396250,2985
GradientBoostingClassifier,0.6464204788208008,0.43508028984069824
NeuralNetwork,365.04296875,3834
LogisticRegression,223.78125,2679
GradientBoostingClassifier,0.6464481353759766,0.15287566184997559
LogisticRegression,87.6171875,2587
LogisticRegression,222.59375,2653
LogisticRegression,86.29296875,2612
NeuralNetwork,231.80859375,3656
GradientBoostingClassifier,0.8455018997192383,0.21528053283691406
GradientBoostingClassifier,0.8510055541992188,0.20056796073913574
XGBClassifier,1.8865346908569336,0.3006327152252197
GradientBoostingClassifier,0.9843921661376953,0.25172877311706543
