,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[68.70272407 99.05488251 99.64379727  2.47149479 28.         94.0161
 80.7624     63.5628      1.        ]","[30.27048788 98.95406768 99.9967      0.         28.         94.0161
 80.7624     63.5628      1.        ]",[0.67934702],[0.62476735],167.5325494993717,131.31972020202022,-36.212829297351476,-0.21615399160082194,0.730888843536377,0.10572004318237305,6.91343686149988
1,"[6.86322625e+01 2.95488383e+01 3.92399906e+01 5.55946905e-16
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[68.3125 21.7354 42.3044  0.      6.     71.8208 75.0593 60.5977  1.    ],[0.82783333],[0.83249762],299.84343369322056,304.2727,4.429266306779425,0.014771930311174164,4.765331268310547,0.1159520149230957,41.09744251940009
2,"[42.94647528 98.90569407 99.36754521 84.99465549 77.          7.5391
  1.6253     80.0753      0.        ]","[40.43234848 79.77888586 98.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.27261309],[0.2654651],59.678580514159535,76.87498686868685,17.196406354527312,0.2881503917548313,0.9256131649017334,0.2020878791809082,4.580250773343653
3,"[30.19550037 75.21220016 98.55405045 84.29600143 69.         53.3293
 80.054      70.5053      0.        ]","[29.32761515 75.77888586 98.9866899  84.78177576 69.         53.3293
 80.054      70.5053      0.        ]",[0.80202256],[0.80202256],72.13324832915305,69.78026363636366,-2.3529846927893914,-0.03261997410753537,4.328665256500244,0.0936739444732666,46.209917611995
4,"[79.68673626 90.61960223 73.31625383  1.36687517 99.          2.4322
 12.8356     94.2017      1.        ]","[79.65133636 90.87620909 73.9967      0.         99.          2.4322
 12.8356     94.2017      1.        ]",[0.80442857],[0.80442857],214.38400503120934,214.77842727272724,0.3944222415179013,0.0018397932320579726,4.642348051071167,0.27280211448669434,17.017272977543556
5,"[68.68150935 98.34247095 99.71388667  0.92172659 45.         98.6709
  3.9151     61.8843      1.        ]","[68.69894242 98.95406768 99.9967      0.         45.         98.6709
  3.9151     61.8843      1.        ]",[0.2982943],[0.2982943],169.70342513321447,169.74817474747474,0.0447496142602688,0.000263693052895904,0.6803009510040283,0.16950726509094238,4.013402910129191
6,"[6.86172904e+01 2.19624056e+01 4.50084345e+01 4.48141958e-05
 5.00000000e+01 7.33268000e+01 9.84476000e+01 8.99971000e+01
 1.00000000e+00]","[69.9782     41.6283     42.42612424  0.         50.         73.3268
 98.4476     89.9971      1.        ]",[0.80011891],[0.80718499],301.64640550131173,285.92377575757575,-15.722629743735979,-0.052122715394556915,4.874396324157715,0.27848291397094727,17.503394569715816
7,"[40.54301929 63.60195895 45.04221011  0.0913074  60.          5.0044
 65.223      37.6768      0.        ]","[29.30857273 63.62316869 42.42612424  0.         60.          5.0044
 65.223      37.6768      0.        ]",[0.80921092],[0.80809781],231.80754282844717,223.2592797979798,-8.548263030467382,-0.036876552532173895,4.855772018432617,0.22380304336547852,21.696630865304922
8,"[ 68.65489653  98.23052479  99.87035848   2.20231995 100.
  92.6164      59.3104       6.7457       1.        ]","[ 68.69894242  98.95406768  99.9967       0.         100.
  92.6164      59.3104       6.7457       1.        ]",[0.69941685],[0.69941685],168.3516933107996,169.74817474747474,1.3964814366751455,0.008295024595309862,0.7103869915008545,0.09559106826782227,7.431520584229981
9,"[6.84801206e+01 2.25750931e+01 1.78912930e+01 9.52936770e-06
 5.70000000e+01 3.68875000e+01 5.86190000e+01 1.00600000e+01
 1.00000000e+00]","[86.68942121 38.53557778 42.42612424  0.         57.         36.8875
 58.619      10.06        1.        ]",[0.80534684],[0.80101911],328.0137250150731,305.72771919191916,-22.286005823153914,-0.06794229668935291,5.055444955825806,0.20492291450500488,24.66998367672706
10,"[6.86329772e+01 2.15928810e+01 1.89634690e+01 8.05466098e-05
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]","[86.68942121 44.62316869 42.42612424  0.         32.         47.4298
 72.366      51.9463      1.        ]",[0.80232108],[0.80424884],328.076546651322,299.6401282828283,-28.43641836849372,-0.08667616950600188,4.999982833862305,0.26465725898742676,18.892294331892263
