,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,[ 0.3396 99.827  99.9967 87.686  28.     94.0161 80.7624 63.5628  1.    ],[0.37391534 0.80068751 0.96265781 0.65814705],12.829899999999952,0.0,0.0,0.03631711006164551,1.1067848350566223
1,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[0.86469409 0.70784431 0.93449903 0.7861121 ],13.293271717171706,0.0,0.0,0.03295326232910156,1.183603924292412
2,"[ 1.06102121 90.87620909 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.24539445 0.94806552 0.96666193 0.57745049],25.4063363636364,0.0,0.0,0.0159451961517334,1.6898877076511312
3,"[5.15000000e-02 9.79540677e+01 9.99967000e+01 8.48074606e+01
 6.90000000e+01 5.33293000e+01 8.00540000e+01 7.05053000e+01
 0.00000000e+00]",[0.80916337 0.92536513 0.83632898 0.57745049],17.293271717171706,-10.106844444444448,-0.3688613721500483,0.08395099639892578,0.8994621090776903
4,"[ 1.06102121 90.87620909 99.9967     19.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[0.84108509 0.87609714 0.99848431 0.97383886],90.38065151515156,0.0,0.0,2.6259806156158447,0.9657404681119152
5,"[15.19431818 69.6718303  59.59629596 84.78177576 45.         98.6709
  3.9151     61.8843      1.        ]",[0.05388511 0.04297091 0.4274621  0.41981761],101.14441616161616,93.90155454545459,12.96470366573407,0.1025233268737793,0.1903310124786635
6,"[ 1.06102121 90.87620909 99.9967     68.6447899  50.         73.3268
 98.4476     89.9971      1.        ]",[0.87989255 0.69474486 0.40441379 0.66534885],41.54332222222229,0.0,0.0,0.04611492156982422,1.2567935063592184
7,"[ 1.06102121 97.94433535 99.9967     84.79033737 60.          5.0044
 65.223      37.6768      0.        ]",[0.89328678 0.91842686 0.6669662  0.5375246 ],18.32964848484852,0.026855555555584942,0.0014672927601450177,0.02800154685974121,4.227328071385391
8,"[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.62937636e+01
 1.00000000e+02 9.26164000e+01 5.93104000e+01 6.74570000e+00
 1.00000000e+00]",[0.4015668  0.84360742 0.8993116  0.46206713],88.94322121212122,0.0,0.0,0.01504826545715332,1.429614842277041
9,"[ 1.06102121 90.87620909 99.9967     84.83314545 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.73077225 0.9918105  0.89594183],25.354966666666712,8.052173737373778,0.46536843908833764,0.4633200168609619,0.16189069651958904
10,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18331455e+01
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]",[0.96058661 0.81197037 0.99928564 0.95816439],19.267586868686863,0.0,0.0,0.34276723861694336,0.5825140679015351
11,"[ 1.06102121 73.82754747 99.9967     41.80746061 65.         71.5749
 16.7207     90.6924      1.        ]",[0.87349367 0.81973113 0.99230677 0.93864799],85.42931313131311,-6.025684848484843,-0.0658868840587137,3.3714535236358643,0.9466876969154936
12,"[15.19431818 69.6718303  99.9967     84.78177576 37.         79.1809
 53.0692     31.1356      0.        ]",[0.64369113 0.81231642 0.54532486 0.42025728],60.74401212121211,-23.164636363636305,-0.27606971131014224,0.05195474624633789,8.532783575171857
13,"[ 1.06102121 98.95406768 99.9967     87.80746061 57.         91.1472
 30.0571     47.7731      1.        ]",[0.41357369 0.68503988 0.97232157 0.8355969 ],14.302792929292934,0.0,0.0,0.019953489303588867,1.401500758743473
14,"[ 1.06102121 97.95406768 99.9967     84.80746061 54.          8.7951
 97.14       64.1799      0.        ]",[0.8650679  0.92524497 0.02125503 0.20295168],18.302792929292934,0.0,0.0,0.08496212959289551,1.1084193659728867
15,"[ 1.06102121 90.95406768 99.9967     21.24239394 79.         86.3154
 36.3292     89.1413      1.        ]",[0.82069764 0.79946794 0.99856299 0.95859156],88.8678595959596,0.0,0.0,0.033513545989990234,1.9683778438598238
16,"[ 1.06102121 90.87620909 99.9967     94.86739192 63.         92.8676
 18.7256     55.7951      1.        ]",[0.35533173 0.79673625 0.96196973 0.69522464],15.320720202020198,-6.050410101010073,-0.28311137573065887,0.016512393951416016,5.478110831961651
17,"[ 1.06102121 75.73022424 99.9967     84.78177576 86.         81.9628
 80.0029     77.7698      0.        ]",[0.60164102 0.91743887 0.46313149 0.47056856],40.55232121212117,-50.39339696969705,-0.5541041181174777,0.010557413101196289,5.827081592556627
18,"[ 1.06102121 85.82754747 99.9967     81.80746061 68.         53.6763
 79.7056     39.447       1.        ]",[0.95582921 0.80730139 0.99125451 0.95449211],33.42931313131311,15.126520202020174,0.8264596698687852,0.6002869606018066,0.15067563327463096
19,"[ 1.06102121 90.87620909 99.9967     84.83314545 48.          5.8405
 17.4103     42.6772      0.        ]",[0.84248608 0.93693785 0.79294229 0.5375246 ],25.354966666666712,10.034246464646515,0.6549461338849719,0.40995001792907715,0.094923100633631
20,"[ 1.06102121 73.82754747 99.9967     41.86739192 92.         48.5672
 34.9167     13.1011      1.        ]",[0.95790963 0.82659082 0.99352115 0.9095647 ],85.36938181818175,-22.0,-0.20490012727515355,3.9228110313415527,1.1761764180693401
21,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.48074606e+01
 3.40000000e+01 2.34219000e+01 5.56327000e+01 7.55008000e+01
 1.00000000e+00]",[0.959476   0.79307216 0.99984229 0.95816439],16.293271717171706,-47.457062626262655,-0.7444206075940408,0.09409689903259277,1.3853336069789774
22,"[ 1.06102121 98.95406768 99.9967     84.80746061 20.         30.5299
 88.347      72.1533      1.        ]",[0.96660059 0.73083541 0.9972899  0.95153287],17.302792929292934,-0.017123232323228876,-0.0009886440652164836,0.07950758934020996,0.43772771298942365
23,"[ 3.06102121 97.95406768 99.9967     87.80746061 26.         25.0392
 87.8182     57.3263      0.        ]",[0.81164015 0.89665791 0.28525689 0.53344551],17.302792929292934,0.0,0.0,0.05249452590942383,1.2370400312474452
24,"[ 1.06102121 90.87620909 99.9967     84.78177576 97.         20.7041
 57.6769     92.789       0.        ]",[0.69707471 0.88940079 0.96367943 0.57745049],25.4063363636364,0.0,0.0,0.025203227996826172,1.8649323621227887
25,"[ 1.06102121 97.95406768 99.9967     84.78177576 16.         10.2433
 71.0307     90.0647      0.        ]",[0.83491587 0.93801223 0.80272806 0.40914001],18.328477777777778,-3.0256848484848433,-0.14169063434796905,0.012003898620605469,2.9994240088980693
26,"[ 1.06102121 76.73995657 99.9967     84.78177576 98.         35.0461
 95.9395     33.3524      1.        ]",[0.96058661 0.8034991  0.59035701 0.72781841],39.54258888888893,0.0,0.0,0.021007299423217773,1.3508188534916186
27,"[ 1.06102121 76.74968889 99.9967     94.9102     91.         63.5706
 20.2699     37.0342      0.        ]",[0.84545207 0.89638816 0.84554303 0.50548147],29.4044323232323,-21.210351515151558,-0.4190544719676671,0.03600120544433594,5.186013245033113
28,"[ 3.06102121 97.94433535 99.9967     84.78177576 86.         39.0552
 87.3664     91.7777      0.        ]",[0.683016   0.93786623 0.69572836 0.56440768],20.338210101010134,0.0,0.0,0.020972728729248047,1.811972807675693
29,"[ 1.06102121 90.87620909 99.9967     84.78177576 38.         23.0321
 17.0318     57.9137      1.        ]",[0.96058661 0.70734783 0.99975079 0.95816439],25.4063363636364,0.0,0.0,0.02599954605102539,1.6135992663915635
30,"[5.15000000e-02 9.08762091e+01 9.99967000e+01 8.47903374e+01
 3.20000000e+01 6.59340000e+01 4.66649000e+01 6.67595000e+01
 0.00000000e+00]",[0.80035496 0.92052751 0.52635086 0.55771448],24.3882535353535,-34.33402121212123,-0.5846847956719816,0.04047441482543945,2.5081466994969426
31,"[100.       0.       0.      99.9102  20.      72.492   98.0729  81.4842
   0.    ]",[0.00102047 0.00263064 0.97579819 0.85542646],300.08979999999997,0.0,0.0,0.009959697723388672,2.2040024895868244
32,"[ 1.06102121 90.87620909 99.9967     84.78177576 85.         50.5482
 73.1106     66.2633      0.        ]",[0.86655722 0.91986229 0.65688127 0.57745049],25.4063363636364,0.025684848484843315,0.0010119853885354425,0.026937484741210938,7.154145719747929
33,"[5.15000000e-02 9.79540677e+01 9.99967000e+01 8.47817758e+01
 4.50000000e+01 2.25852000e+01 8.69931000e+01 1.83690000e+00
 0.00000000e+00]",[0.87442834 0.78800387 0.10687761 0.12837915],17.31895656565655,0.0,0.0,0.015506267547607422,1.8062363541314308
34,"[ 1.06102121 90.87620909 99.9967     84.81602222 81.         53.4866
 25.5871     96.7233      1.        ]",[0.26015819 0.464834   0.99945873 0.96127206],25.37208989898994,-30.31840505050502,-0.544408971010231,0.09152483940124512,2.3387803054576524
35,"[16.20383939 97.94433535 73.74644747 78.73040606 65.         62.7183
 42.6459     39.865       0.        ]",[0.78754844 0.79894757 0.62991971 0.42256275],65.78265050505047,-21.145462626262656,-0.24325229047961086,0.050542593002319336,4.390469406720096
36,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.48074606e+01
 3.70000000e+01 5.89547000e+01 5.48968000e+01 3.87333000e+01
 1.00000000e+00]",[0.95340056 0.75536682 0.99840099 0.95086821],16.293271717171706,0.0,0.0,0.07752084732055664,1.0449797936926797
