Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,[ 0.3396 99.827  99.9967 87.686  28.     94.0161 80.7624 63.5628  1.    ],[0.37391534 0.80068751 0.96265781 0.65814705],0.03207474999999993,0.03298020362854
1,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[0.86469409 0.70784431 0.93449903 0.7861121 ],0.03323317925000002,0.0375106334686279
2,"[ 1.06102121 90.87620909 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.24539445 0.94806552 0.96666193 0.57745049],0.06351584090000006,0.0340003967285156
3,"[ 1.06102121 88.85674444 99.9967     84.80746061 69.         53.3293
 80.054      70.5053      0.        ]",[0.80916337 0.91941506 0.44384733 0.57745049],0.06850029039999994,0.0684585571289062
4,"[ 1.06102121 90.87620909 99.9967     19.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[0.84108509 0.87609714 0.99848431 0.97383886],0.22595162877499997,2.507766962051392
5,"[ 1.06102121 98.95406768 99.9967     94.86739192 45.         98.6709
  3.9151     61.8843      1.        ]",[0.11009124 0.11322813 0.18703233 0.52185465],0.018107154025000072,0.0200004577636718
6,"[ 1.06102121 90.87620909 99.9967     68.6447899  50.         73.3268
 98.4476     89.9971      1.        ]",[0.87989255 0.69474486 0.40441379 0.66534885],0.10385830555000009,0.043454885482788
7,"[ 1.06102121 97.95406768 99.9967     84.80746061 60.          5.0044
 65.223      37.6768      0.        ]",[0.89328678 0.91842686 0.6669662  0.5375246 ],0.045756982300000026,0.0915136337280273
8,"[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.62937636e+01
 1.00000000e+02 9.26164000e+01 5.93104000e+01 6.74570000e+00
 1.00000000e+00]",[0.4015668  0.84360742 0.8993116  0.46206713],0.222358053,0.0209982395172119
9,"[ 1.06102121 98.95406768 99.9967     84.80746061 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.72262074 0.99352854 0.89594183],0.04325698229999997,0.0684542655944824
10,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18331455e+01
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]",[0.96058661 0.81197037 0.99928564 0.95816439],0.04816896700000006,0.2016923427581787
11,"[ 1.06102121 73.82754747 99.9967     35.78177576 65.         71.5749
 16.7207     90.6924      1.        ]",[0.87349367 0.80326016 0.9942221  0.95261068],0.22863749494999996,3.256733655929565
12,"[15.19431818 69.6718303  73.74644747 87.86739192 37.         79.1809
 53.0692     31.1356      0.        ]",[0.59350056 0.79127822 0.6685763  0.34438825],0.20977162122500004,0.4586200714111328
13,"[ 1.06102121 98.95406768 99.9967     87.80746061 57.         91.1472
 30.0571     47.7731      1.        ]",[0.41357369 0.68503988 0.97232157 0.8355969 ],0.03575698230000002,0.0250005722045898
14,"[ 1.06102121 97.95406768 99.9967     84.80746061 54.          8.7951
 97.14       64.1799      0.        ]",[0.8650679  0.92524497 0.02125503 0.20295168],0.045756982300000026,0.0914709568023681
15,"[ 1.06102121 90.95406768 99.9967     21.24239394 79.         86.3154
 36.3292     89.1413      1.        ]",[0.82069764 0.79946794 0.99856299 0.95859156],0.22216964897500002,0.0470011234283447
16,"[5.15000000e-02 9.08762091e+01 9.99967000e+01 8.78074606e+01
 6.30000000e+01 9.28676000e+01 1.87256000e+01 5.57951000e+01
 1.00000000e+00]",[0.35533173 0.81431399 0.95272064 0.69522464],0.053427825750000046,0.0875236988067627
17,"[ 1.06102121 90.87620909 99.9967     19.24239394 86.         81.9628
 80.0029     77.7698      0.        ]",[0.52135348 0.81356431 0.42941868 0.67180002],0.22736429545000003,0.0540072917938232
18,"[ 1.06102121 97.95406768 99.9967     84.80746061 68.         53.6763
 79.7056     39.447       1.        ]",[0.95582921 0.74110606 0.99871957 0.95449211],0.045756982300000026,0.0935206413269043
19,"[ 1.06102121 90.87620909 99.9967     94.86739192 48.          5.8405
 17.4103     42.6772      0.        ]",[0.82282451 0.93693785 0.49317211 0.5375246 ],0.038301800500000094,0.0405201911926269
20,"[ 1.06102121 74.82754747 98.9967     19.86739192 92.         48.5672
 34.9167     13.1011      1.        ]",[0.95790963 0.80491985 0.98354578 0.81073228],0.26842345455000005,4.142966270446777
21,"[17.18479697 90.87620909 77.77647778 84.78177576 34.         23.4219
 55.6327     75.5008      1.        ]",[0.959476   0.51554517 0.99985707 0.93955209],0.15937583585000004,0.1015169620513916
22,"[ 1.06102121 98.95406768 99.9967     84.79033737 20.         30.5299
 88.347      72.1533      1.        ]",[0.96660059 0.73083541 0.9972899  0.95153287],0.04329979040000009,0.0215134620666503
23,"[ 3.06102121 97.95406768 99.9967     87.80746061 26.         25.0392
 87.8182     57.3263      0.        ]",[0.81164015 0.89665791 0.28525689 0.53344551],0.04325698229999997,0.0679547786712646
24,"[ 1.06102121 90.87620909 99.9967     84.78177576 97.         20.7041
 57.6769     92.789       0.        ]",[0.69707471 0.88940079 0.96367943 0.57745049],0.06351584090000006,0.0374510288238525
25,"[ 1.06102121 97.95406768 99.9967     81.75609091 16.         10.2433
 71.0307     90.0647      0.        ]",[0.80066049 0.93801223 0.72779095 0.40914001],0.053385406550000014,0.0369977951049804
26,"[ 1.06102121 76.73995657 99.9967     84.78177576 98.         35.0461
 95.9395     33.3524      1.        ]",[0.96058661 0.8034991  0.59035701 0.72781841],0.09885647219999993,0.0290005207061767
27,"[15.19431818 76.74968889 99.9967     87.83314545 91.         63.5706
 20.2699     37.0342      0.        ]",[0.84545207 0.85177444 0.95374674 0.50548147],0.1265369595999999,0.1650364398956298
28,"[ 3.06102121 97.94433535 99.9967     84.78177576 86.         39.0552
 87.3664     91.7777      0.        ]",[0.683016   0.93786623 0.69572836 0.56440768],0.05084552525000008,0.0360076427459716
29,"[ 1.06102121 90.87620909 99.9967     84.78177576 38.         23.0321
 17.0318     57.9137      1.        ]",[0.96058661 0.70734783 0.99975079 0.95816439],0.06351584090000006,0.0459597110748291
30,"[ 1.06102121 69.6718303  87.87657879 84.79033737 32.         65.934
 46.6649     66.7595      0.        ]",[0.73905074 0.87283438 0.74104953 0.44715378],0.14680568687499995,0.1044898033142089
31,"[100.       0.       0.      99.9102  20.      72.492   98.0729  81.4842
   0.    ]",[0.00102047 0.00263064 0.97579819 0.85542646],0.7502245,0.0230071544647216
32,"[ 1.06102121 90.87620909 99.9967     84.80746061 85.         50.5482
 73.1106     66.2633      0.        ]",[0.86655722 0.91986229 0.65688127 0.57745049],0.06345162877499999,0.1939799785614013
33,"[5.15000000e-02 9.79540677e+01 9.99967000e+01 8.47817758e+01
 4.50000000e+01 2.25852000e+01 8.69931000e+01 1.83690000e+00
 0.00000000e+00]",[0.87442834 0.78800387 0.10687761 0.12837915],0.043297391249999984,0.0230004787445068
34,"[38.41330606 97.94433535 99.9967     84.78177576 81.         53.4866
 25.5871     96.7233      1.        ]",[0.26015819 0.30105642 0.99980146 0.96127206],0.13922623737499995,0.1774942874908447
35,"[15.19431818 66.65236566 73.74644747 87.86739192 65.         62.7183
 42.6459     39.865       0.        ]",[0.75788328 0.80138291 0.6998297  0.41687672],0.21732028282499993,0.23069429397583
36,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.48074606e+01
 3.70000000e+01 5.89547000e+01 5.48968000e+01 3.87333000e+01
 1.00000000e+00]",[0.95340056 0.75536682 0.99840099 0.95086821],0.04073317924999997,0.0765695571899414
37,"[ 1.06102121 98.95406768 99.9967     84.80746061 37.         85.3993
 99.8589     84.4792      1.        ]",[0.77524353 0.66484691 0.25123253 0.5865542 ],0.04325698229999997,0.0759587287902832
38,"[ 1.06102121 98.95406768 99.9967     81.80746061 27.         10.0443
 72.3038     62.2536      1.        ]",[0.959476   0.8117048  0.99916947 0.95633695],0.05075698230000003,0.2291975021362304
39,"[ 1.06102121 98.95406768 99.9967     94.9102     11.         30.744
 16.739      94.5851      1.        ]",[0.72007929 0.63829727 0.99597907 0.92113333],0.018000133824999986,0.0375223159790039
40,"[ 1.06102121 98.95406768 99.9967     84.9102     26.         14.0409
 48.8787     34.3611      1.        ]",[0.96058661 0.77013491 0.99924731 0.9507399 ],0.04300013382500001,0.0785608291625976
41,"[ 1.06102121 75.73995657 99.9967     84.78177576 91.         31.7301
 71.8311     41.8239      0.        ]",[0.89605706 0.91015145 0.87382007 0.51595637],0.10135647219999999,0.0209870338439941
42,"[10.1276697  75.73022424 87.87657879 79.77321414 71.         48.8888
 49.0062     41.9591      0.        ]",[0.81766323 0.8325524  0.49527329 0.42551958],0.16686913132499992,0.0995259284973144
43,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.48074606e+01
 3.70000000e+01 4.68805000e+01 5.39955000e+01 5.32629000e+01
 1.00000000e+00]",[0.96058661 0.78675773 0.99948895 0.95816439],0.04073317924999997,0.0704579353332519
44,"[ 1.06102121 98.95406768 99.9967     66.6447899  21.         94.8766
 71.2743     47.2309      1.        ]",[0.34411078 0.6779213  0.15857497 0.53846258],0.08866365907500007,0.0410051345825195
45,"[ 1.0515     98.95406768 77.78648788 84.79033737  3.          9.0848
 68.2962     51.4503      1.        ]",[0.31803068 0.75640162 0.66953319 0.48025288],0.098801517675,0.0934550762176513
46,"[ 3.06102121 97.94433535 99.9967     87.80746061 88.         56.5751
 91.5174     63.1102      1.        ]",[0.95459088 0.75867422 0.98044419 0.95698654],0.043281313125000054,0.1245224475860595
47,"[ 1.06102121 97.95406768 99.9967     84.79033737 26.          1.6778
 89.1919     65.3763      0.        ]",[0.8650679  0.93121862 0.4717254  0.53344551],0.04579979040000015,0.0290009975433349
48,"[ 1.06102121 97.94433535 99.9967     66.62766667 82.          7.31
 69.8751     49.6013      0.        ]",[0.88493844 0.91933624 0.62609643 0.50359447],0.09123079797500011,0.1354660987854004
49,"[ 1.06102121  0.          0.         72.6961596   1.         87.0757
 24.7988     30.4402      0.        ]",[0.00184578 0.08206021 0.9983505  0.98458714],0.570912154025,0.0804901123046875
50,"[ 1.06102121 88.85674444 99.9967     84.86739192 94.         36.3196
 47.4128     30.174       1.        ]",[0.96058661 0.78757395 0.99847358 0.9562787 ],0.06835046212500007,0.1660475730895996
51,"[15.19431818 31.30200202 99.9967     87.81602222 43.          7.0674
 35.4758     25.5403      1.        ]",[0.94857121 0.43015496 0.96450949 0.89779105],0.24019898485000002,0.0584497451782226
