,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[37.85580033 97.58431108 59.86224167 86.90608474 28.         94.0161
 80.7624     63.5628      1.        ]",[0.20508528 0.29234581 0.94122589 0.50160925],93.50316283794814,,,6.367920875549316
1,"[ 3.6883657  94.67593921 82.78668581 89.57341845  6.         71.8208
 75.0593     60.5977      1.        ]",[0.86469409 0.34076697 0.86626065 0.7138174 ],36.652322235186375,,,5.898493766784668
2,"[14.07614515 96.14934601 98.7374619  87.88067514 77.          7.5391
  1.6253     80.0753      0.        ]",[0.22018831 0.8471159  0.8988719  0.49755859],31.308662110272735,,,6.68052864074707
3,"[17.33351546 90.47688498 97.9819652  82.59932165 69.         53.3293
 80.054      70.5053      0.        ]",[0.74158677 0.82875185 0.54120284 0.49755859],46.27534362540928,,,8.963510751724243
4,"[15.4371847  94.92660201 99.6046261  78.58474973 99.          2.4322
 12.8356     94.2017      1.        ]",[0.82457509 0.5720623  0.99954456 0.94895659],42.32120686013644,,,4.789783954620361
5,"[13.83349933 59.18381351 57.16847093 91.6723011  45.         98.6709
  3.9151     61.8843      1.        ]",[0.0506035  0.03478934 0.17316575 0.41981761],105.80891378156826,,,6.9662511348724365
6,"[ 3.41723322 93.65823372 73.12405261 95.86585423 50.         73.3268
 98.4476     89.9971      1.        ]",[0.86089121 0.56989117 0.12046267 0.58468234],40.76909266504231,,,6.542748212814331
7,"[42.40755983 85.67514399 89.41076018 85.58674278 60.          5.0044
 65.223      37.6768      0.        ]",[0.81061272 0.79177581 0.45420468 0.43282328],81.73491288015572,,,5.084444522857666
8,"[  2.1909865   53.19663617  73.00981722  92.93939354 100.
  92.6164      59.3104       6.7457       1.        ]",[0.20943578 0.32649682 0.59035742 0.35519048],83.04513957833285,,,5.4428229331970215
9,"[ 8.07784256 87.92251194 85.97495136 88.13031812 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.45208058 0.9753052  0.8538691 ],46.05006114098211,,,6.535276889801025
10,"[ 2.76624154 92.18648778 94.1081823  99.69599345 32.         47.4298
 72.366      51.9463      1.        ]",[0.96058661 0.62682281 0.9977811  0.93955209],16.775578015464532,,,6.0750343799591064
11,"[32.48320694 92.52772079 99.58528482 79.61649279 65.         71.5749
 16.7207     90.6924      1.        ]",[0.85151561 0.66411256 0.99930298 0.94485719],60.75370853352956,,,7.076967477798462
12,"[38.38798449 73.35206397 71.20431072 93.17944586 37.         79.1809
 53.0692     31.1356      0.        ]",[0.52586516 0.79127822 0.53217399 0.34438825],100.65216394125878,,,9.335398197174072
13,"[ 0.80353872 93.27824244 67.21132569 53.79602236 57.         91.1472
 30.0571     47.7731      1.        ]",[0.24510134 0.4250036  0.93836808 0.73071286],86.51794823248224,,,6.461349248886108
14,"[ 7.72757463 74.85871539 96.53986895 84.88101459 54.          8.7951
 97.14       64.1799      0.        ]",[0.83177307 0.85222672 0.00997075 0.12032416],51.447975710459104,,,8.14804983139038
15,"[ 0.96533713 76.71057646 74.31536017 75.81506653 79.         86.3154
 36.3292     89.1413      1.        ]",[0.77349505 0.59076292 0.99494654 0.92361496],74.1243339600519,,,4.319638252258301
16,"[ 8.20688562 66.40701346 99.59234353 23.43147091 63.         92.8676
 18.7256     55.7951      1.        ]",[0.35533173 0.29869093 0.92787212 0.52910648],118.77605772990808,,,7.735255718231201
17,"[ 0.71957344 95.49700518 94.8730481  59.7872757  86.         81.9628
 80.0029     77.7698      0.        ]",[0.419501   0.90771167 0.53033286 0.3507157 ],50.56224446144034,,,6.837224245071411
18,"[ 3.44052597 56.38271506 99.96783128 56.11115626 68.         53.6763
 79.7056     39.447       1.        ]",[0.95294408 0.66038091 0.97680718 0.9359186 ],90.97882336993695,,,3.024132251739502
19,"[ 4.96111486 66.76856706 81.64865054 80.42268823 48.          5.8405
 17.4103     42.6772      0.        ]",[0.75005796 0.84225862 0.8006196  0.4271013 ],76.1212090351222,,,5.331619739532471
20,"[ 0.4150494  95.82943101 94.07858542 87.75670369 92.         48.5672
 34.9167     13.1011      1.        ]",[0.95790963 0.77056657 0.99745506 0.91076288],22.750329270684233,,,6.919899225234985
21,"[34.56731602 98.66622759 97.1221099  92.98948363 34.         23.4219
 55.6327     75.5008      1.        ]",[0.959476   0.59806613 0.99970371 0.94491731],45.78949489974673,,,3.093654155731201
22,"[ 2.27437685 98.78526604 92.7261869  95.80231755 20.         30.5299
 88.347      72.1533      1.        ]",[0.96660059 0.69620576 0.99242288 0.93018523],14.960606372144298,,,3.524467706680298
23,"[38.31253783 95.662531   89.1253201  85.85794421 26.         25.0392
 87.8182     57.3263      0.        ]",[0.75496381 0.84111212 0.39760339 0.34640201],67.66674251529946,,,8.264737844467163
24,"[ 1.53841325 65.33778807 82.19756586 76.41703743 97.         20.7041
 57.6769     92.789       0.        ]",[0.58083984 0.83989118 0.92629272 0.46710938],77.58602188226604,,,6.574929475784302
25,"[ 4.71218729 71.66381087 88.55861915 68.34604797 16.         10.2433
 71.0307     90.0647      0.        ]",[0.521835   0.86158214 0.90824521 0.24795881],76.14370930565735,,,8.213707447052002
26,"[ 0.34657457 75.1219348  92.82186499 62.18998439 98.         35.0461
 95.9395     33.3524      1.        ]",[0.96058661 0.74043127 0.41362247 0.58893589],70.2127903996921,,,7.111142873764038
27,"[ 0.63566733 88.09878635 98.57812308 82.08897426 91.         63.5706
 20.2699     37.0342      0.        ]",[0.83966796 0.89774393 0.78382063 0.45557545],31.869783649970145,,,8.151280641555786
28,"[10.43377654 69.37010362 99.10707064 84.32953338 86.         39.0552
 87.3664     91.7777      0.        ]",[0.64108949 0.91166996 0.36635515 0.36978232],57.62706889754236,,,8.714512348175049
29,"[ 4.88259856 98.60355147 77.11499831 96.26162785 38.         23.0321
 17.0318     57.9137      1.        ]",[0.96058661 0.61962085 0.99861562 0.93955209],32.902420921743214,,,3.091726303100586
30,"[33.64570018 71.36341436 87.75850331 95.56713461 32.         65.934
 46.6649     66.7595      0.        ]",[0.68934343 0.79619211 0.75502646 0.44715378],78.95664789523266,,,8.004526853561401
31,"[ 1.56757973 88.9734544  94.91562311 99.12599932 20.         72.492
 98.0729     81.4842      0.        ]",[0.6420715  0.91419078 0.00389507 0.14434461],18.552502895942382,,,8.239230871200562
