Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,[ 0.3396 99.827  99.9967 92.686  28.     94.0161 80.7624 63.5628  1.    ],[0.37391534 0.80068751 0.95174575 0.65814705],0.019574749999999863,,,0.0060045719146728
1,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[0.86469409 0.70784431 0.93449903 0.7861121 ],0.03323317925000002,,,0.0090000629425048
2,"[ 1.06102121 90.87620909 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.24539445 0.94806552 0.96666193 0.57745049],0.06351584090000006,,,0.0069565773010253
3,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 6.90000000e+01 5.33293000e+01 8.00540000e+01 7.05053000e+01
 0.00000000e+00]",[0.7863969  0.92536513 0.72449827 0.57745049],0.03323317925000002,,,0.0079584121704101
4,"[ 1.06102121 90.87620909 99.9967     87.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[0.82457509 0.83200057 0.99834549 0.96127206],0.05595162877500004,,,0.0109608173370361
5,"[15.19431818 69.6718303  59.59629596 84.78177576 45.         98.6709
  3.9151     61.8843      1.        ]",[0.05388511 0.04297091 0.4274621  0.41981761],0.2528610404,,,0.0169985294342041
6,"[ 1.06102121 90.87620909 99.9967     68.6447899  50.         73.3268
 98.4476     89.9971      1.        ]",[0.87989255 0.69474486 0.40441379 0.66534885],0.10385830555000009,,,0.0109522342681884
7,"[ 1.06102121 97.94433535 99.9967     85.79033737 60.          5.0044
 65.223      37.6768      0.        ]",[0.87905607 0.91842686 0.6669662  0.5375246 ],0.04332412122500018,,,0.008937120437622
8,"[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.72937636e+01
 1.00000000e+02 9.26164000e+01 5.93104000e+01 6.74570000e+00
 1.00000000e+00]",[0.4015668  0.84360742 0.8993116  0.46206713],0.21985805299999994,,,0.0070207118988037
9,"[ 1.06102121 90.87620909 99.9967     90.83314545 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.73077225 0.98427898 0.89594183],0.04838741667500002,,,0.0180006027221679
