cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
2.0223,99.9445,71.71518585858585,98.92005656565657,61.0,59.4238,36.5804,43.2471,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,67.0,23.949,25.0238,53.6776,1.0,False,False,False,False
2.0223,99.9445,98.9865494949495,97.91071313131312,65.0,87.5775,98.0319,60.0834,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,65.0,13.5431,46.469,6.9455,0.0,False,False,False,False
8.0793,99.9445,94.94634747474748,98.92005656565657,33.0,91.9392,78.1618,52.4151,0.0,False,False,False,True
2.0223,99.9445,99.9966,98.92005656565657,50.0,78.7386,92.5354,96.4319,0.0,False,False,False,False
2.0223,99.9445,98.9865494949495,98.92005656565657,8.0,37.4304,11.9677,23.3809,0.0,False,False,False,False
2.0223,99.9445,84.84584242424242,92.86399595959595,58.0,55.9296,77.3951,73.4457,1.0,False,False,False,False
26.2503,99.9445,71.71518585858585,98.92005656565657,79.0,78.6461,46.5971,37.491,0.0,False,False,False,False
2.0223,99.9445,77.77548888888889,98.92005656565657,100.0,61.8901,33.7806,13.9916,0.0,False,False,False,True
2.0223,99.9445,94.94634747474748,97.91071313131312,6.0,38.2341,60.9858,26.0793,0.0,False,False,False,False
29.2788,99.9445,94.94634747474748,98.92005656565657,36.0,13.0175,6.4716,51.7144,0.0,True,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,71.0,17.7223,43.7174,75.8446,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,75.0,45.8191,57.4668,65.4021,1.0,False,False,False,False
8.0793,99.9445,98.9865494949495,92.86399595959595,17.0,94.4083,90.4286,99.624,1.0,False,False,True,False
2.0223,99.9445,71.71518585858585,97.91071313131312,37.0,27.1257,36.0826,20.9859,1.0,False,False,False,True
18.1743,99.9445,99.9966,98.92005656565657,0.0,16.8725,6.1527,90.9567,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,24.0,78.9343,8.8686,62.7014,1.0,False,False,False,False
2.0223,99.9445,72.72523636363636,98.92005656565657,7.0,25.9059,30.3697,1.9672,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,92.0,58.9648,26.58,71.1283,1.0,True,False,False,False
2.0223,99.9445,94.94634747474748,98.92005656565657,56.0,16.9334,8.6415,63.9746,0.0,False,False,True,False
2.0223,99.9445,33.333266666666674,98.92005656565657,22.0,93.9653,41.792,44.4401,1.0,False,False,False,False
18.1743,99.9445,71.71518585858585,92.86399595959595,94.0,85.5412,73.2182,68.4091,0.0,False,False,False,True
0.0033,99.9445,98.9865494949495,97.91071313131312,3.0,33.6585,75.1254,31.1717,0.0,False,False,False,False
0.0033,99.9445,98.9865494949495,92.86399595959595,26.0,21.6758,62.9648,69.5869,1.0,False,False,False,False
14.1363,99.9445,94.94634747474748,98.92005656565657,50.0,32.119,50.1591,94.1508,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,90.0,5.8182,17.9215,25.1484,1.0,False,False,False,False
0.0033,99.9445,99.9966,97.91071313131312,5.0,47.047,25.3211,81.166,1.0,False,False,False,False
2.0223,99.9445,94.94634747474748,97.91071313131312,11.0,74.8916,69.0168,45.9598,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,57.0,88.3406,6.6329,83.8531,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,77.0,20.2894,66.1089,48.5194,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,84.0,46.3669,39.3889,89.1915,0.0,False,False,False,True
0.0033,99.9445,98.9865494949495,97.91071313131312,23.0,6.7965,79.6813,86.9443,1.0,False,False,False,False
2.0223,99.9445,98.9865494949495,96.90136969696968,0.0,42.4944,55.3772,6.4063,1.0,False,False,False,True
18.1743,99.9445,94.94634747474748,98.92005656565657,48.0,71.958,71.4357,84.1356,0.0,True,False,False,True
2.0223,99.9445,94.94634747474748,98.92005656565657,45.0,32.8703,66.0056,48.1016,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,63.0,6.2509,67.3528,70.3604,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,96.90136969696968,60.0,34.5556,60.9073,25.6942,1.0,False,False,False,False
2.0223,99.9445,98.9865494949495,96.90136969696968,3.0,84.8966,1.4904,45.2375,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,15.0,18.3902,5.7327,34.835,0.0,False,False,False,False
2.0223,64.63487373737374,71.71518585858585,97.91071313131312,58.0,27.8494,57.5182,12.2561,1.0,False,False,False,True
2.0223,99.9445,94.94634747474748,82.77056161616161,67.0,39.1767,60.1401,23.4804,0.0,False,False,False,False
2.0223,99.9445,94.94634747474748,97.91071313131312,9.0,2.6957,81.0915,2.5583,1.0,True,False,False,False
0.0033,99.9445,94.94634747474748,98.92005656565657,14.0,69.8507,3.9215,70.0643,0.0,False,False,False,False
2.0223,99.9445,94.94634747474748,81.76121818181818,71.0,14.4564,70.9392,22.3957,0.0,False,False,True,False
2.0223,99.9445,71.71518585858585,97.91071313131312,69.0,21.4027,61.6514,19.6983,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,80.0,55.7899,80.7241,47.2629,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,59.0,4.4086,17.6542,75.5936,1.0,False,False,False,False
2.0223,99.9445,98.9865494949495,97.91071313131312,3.0,14.4929,77.5235,8.6305,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,97.0,21.6285,23.918,0.4307,0.0,False,False,False,False
2.0223,99.9445,84.84584242424242,98.92005656565657,76.0,70.2648,99.4058,44.3483,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,59.0,56.9623,64.9574,18.8027,0.0,False,False,False,True
2.0223,99.9445,71.71518585858585,92.86399595959595,75.0,70.5522,10.6259,21.817,1.0,True,False,False,False
2.0223,99.9445,98.9865494949495,81.76121818181818,65.0,49.4864,97.5968,18.5283,1.0,False,False,False,False
2.0223,99.9445,83.83579191919192,98.92005656565657,25.0,10.1328,51.481,3.0304,0.0,False,False,False,False
2.0223,64.63487373737374,71.71518585858585,92.86399595959595,86.0,72.9089,49.8484,13.6755,1.0,True,False,True,True
2.0223,99.9445,98.9865494949495,96.90136969696968,6.0,29.1259,59.9499,10.0156,1.0,True,False,True,False
2.0223,99.9445,99.9966,98.92005656565657,68.0,93.6812,98.5286,84.3358,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,90.0,9.2782,32.6567,45.429,1.0,False,False,False,True
0.0033,99.9445,71.71518585858585,92.86399595959595,20.0,63.9709,9.3201,38.8393,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,58.0,28.8118,58.2564,70.2219,0.0,False,False,True,False
2.0223,99.9445,71.71518585858585,92.86399595959595,64.0,36.5457,2.7113,29.0065,1.0,False,False,True,True
2.0223,99.9445,71.71518585858585,98.92005656565657,38.0,22.9591,11.3488,69.0327,1.0,True,False,False,False
2.0223,99.9445,99.9966,92.86399595959595,18.0,90.7458,43.343,18.4807,0.0,False,False,False,False
2.0223,64.63487373737374,71.71518585858585,96.90136969696968,69.0,41.3394,2.3457,19.9222,1.0,False,False,False,False
0.0033,99.9445,71.71518585858585,92.86399595959595,17.0,50.0969,89.3203,87.4675,1.0,True,False,False,False
2.0223,99.9445,84.84584242424242,98.92005656565657,67.0,81.5573,20.8278,26.4285,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,59.0,6.2535,2.8273,33.9461,1.0,False,False,False,False
42.4023,99.9445,84.84584242424242,98.92005656565657,57.0,90.5804,51.7817,99.4677,0.0,False,False,True,False
2.0223,99.9445,98.9865494949495,82.77056161616161,45.0,79.206,62.9788,28.6124,0.0,False,False,False,True
0.0033,99.9445,98.9865494949495,98.92005656565657,0.0,67.0511,84.8051,71.7098,1.0,False,False,True,True
0.0033,99.9445,98.9865494949495,98.92005656565657,6.0,0.2893,47.6274,12.9038,1.0,True,False,False,True
2.0223,99.9445,71.71518585858585,92.86399595959595,99.0,63.6087,53.9433,19.4443,1.0,False,False,False,False
29.2788,99.9445,98.9865494949495,98.92005656565657,74.0,87.9683,99.2128,73.2989,1.0,True,False,False,False
0.0033,99.9445,84.84584242424242,97.91071313131312,24.0,80.0143,55.2203,62.2908,1.0,True,False,False,True
2.0223,99.9445,71.71518585858585,98.92005656565657,69.0,58.5958,34.886,55.8218,0.0,False,False,False,True
2.0223,99.9445,71.71518585858585,97.91071313131312,90.0,82.1329,81.8836,28.5631,1.0,False,False,False,True
2.0223,99.9445,98.9865494949495,96.90136969696968,9.0,70.8774,67.1391,37.9374,1.0,False,False,False,False
2.0223,99.9445,84.84584242424242,97.91071313131312,52.0,82.3474,62.4725,8.3297,0.0,False,False,False,False
2.0223,99.9445,98.9865494949495,96.90136969696968,10.0,82.0132,38.8586,29.8051,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,88.0,54.8726,26.3794,75.6592,1.0,False,False,False,False
2.0223,99.9445,94.94634747474748,82.77056161616161,44.0,32.9259,61.4991,22.6494,0.0,False,False,False,False
8.0793,99.9445,71.71518585858585,98.92005656565657,78.0,86.4901,55.3164,29.481,0.0,False,False,False,True
2.0223,99.9445,98.9865494949495,97.91071313131312,8.0,60.2822,96.9687,10.6261,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,39.0,50.9922,24.6316,37.1625,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,96.90136969696968,57.0,34.1341,5.1144,0.477,1.0,True,False,False,False
17.1648,99.9445,71.71518585858585,98.92005656565657,91.0,66.0004,69.5473,80.022,0.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,73.0,66.8505,66.3878,46.212,0.0,False,False,False,False
2.0223,99.9445,94.94634747474748,82.77056161616161,18.0,77.599,83.5544,41.7734,0.0,False,False,False,False
18.1743,99.9445,98.9865494949495,82.77056161616161,24.0,86.0828,86.1665,56.4478,0.0,False,False,False,False
2.0223,99.9445,0.0016,97.91071313131312,4.0,85.53,59.067,21.0966,0.0,False,False,False,True
2.0223,99.9445,77.77548888888889,98.92005656565657,89.0,14.7707,22.6643,10.6521,0.0,False,False,False,False
2.0223,99.9445,94.94634747474748,98.92005656565657,22.0,55.0907,77.4095,91.1729,1.0,True,False,False,False
42.4023,99.9445,84.84584242424242,98.92005656565657,37.0,97.471,3.656,37.2284,0.0,False,False,False,False
2.0223,99.9445,94.94634747474748,97.91071313131312,55.0,49.3654,73.3838,64.7333,0.0,True,False,False,False
2.0223,99.9445,84.84584242424242,98.92005656565657,59.0,78.076,47.9068,3.492,1.0,True,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,85.0,4.1048,67.1527,69.0397,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,98.92005656565657,30.0,4.1706,8.8092,98.9708,1.0,False,False,False,False
2.0223,99.9445,94.94634747474748,98.92005656565657,37.0,27.856,49.3046,11.608,0.0,False,False,False,False
0.0033,99.9445,98.9865494949495,98.92005656565657,4.0,10.915,56.7768,53.82,1.0,False,False,False,False
2.0223,99.9445,84.84584242424242,92.86399595959595,25.0,75.803,52.6981,87.4851,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,92.86399595959595,83.0,47.3117,16.9332,58.7357,1.0,False,False,False,False
2.0223,99.9445,71.71518585858585,97.91071313131312,21.0,26.7699,47.5444,8.5548,0.0,True,False,False,False
0.0033,99.9445,98.9865494949495,98.92005656565657,4.0,8.9135,87.1087,62.3641,1.0,True,False,False,False
2.0223,99.9445,98.9865494949495,92.86399595959595,93.0,7.4544,19.988,73.5225,1.0,False,False,False,False
2.0223,99.9445,99.9966,34.32207676767676,99.0,82.1447,38.6245,11.0783,1.0,False,False,True,False
0.0033,99.9445,0.0016,98.92005656565657,1.0,28.7361,50.1441,90.9288,0.0,False,False,False,True
