Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 2.0223     99.9445     84.84584242 96.92005657 61.         59.4238
 36.5804     43.2471      1.        ]",[0.94194664 0.78663853 0.99886632 0.95718447],0.050779752525,0.044213056564331
1,"[ 2.0223     99.9445     71.71518586 92.86399596 67.         23.949
 25.0238     53.6776      1.        ]",[0.95642099 0.81305102 0.9987458  0.9666562 ],0.09374654544999994,0.0240001678466796
2,"[ 2.0223     99.9445     99.9966     92.86399596 65.         87.5775
 98.0319     60.0834      0.        ]",[0.37902039 0.84556544 0.00539889 0.10500635],0.023043010099999872,0.021975040435791
3,"[ 2.0223     99.9445     71.77548889 98.92005657 65.         13.5431
 46.469       6.9455      0.        ]",[0.88734026 0.49077132 0.09625668 0.32492804],0.07845563635000008,0.1504733562469482
4,"[56.5353     99.9445     94.94634747 82.77056162 33.         91.9392
 78.1618     52.4151      0.        ]",[0.08861748 0.53402561 0.69435674 0.28668773],0.19718472727500003,0.0459401607513427
5,"[18.1743     99.9445     99.9966     97.91071313 50.         78.7386
 92.5354     96.4319      0.        ]",[0.05934926 0.47415942 0.42171946 0.28253097],0.05080621717500011,0.0525145530700683
6,"[ 2.0223     99.9445     98.98654949 97.92005657  8.         37.4304
 11.9677     23.3809      0.        ]",[0.78554541 0.8672824  0.24112757 0.4496148 ],0.012927984850000018,0.0215420722961425
7,"[ 2.0223     99.9445     71.71518586 92.86399596 58.         55.9296
 77.3951     73.4457      1.        ]",[0.94604055 0.77639498 0.99903679 0.96285098],0.09374654544999994,0.0280115604400634
8,"[29.2503     99.9445     71.71518586 98.92005657 79.         78.6461
 46.5971     37.491       0.        ]",[0.48422475 0.82035842 0.8602919  0.47421023],0.1466763939250001,0.1720564365386963
9,"[  2.0223      99.9445      71.77548889  98.92005657 100.
  61.8901      33.7806      13.9916       0.        ]",[0.82683396 0.86333301 0.15804639 0.43280142],0.07845563635000008,0.2495796680450439
10,"[ 2.0223     99.9445     94.94634747 97.91071313  6.         38.2341
 60.9858     26.0793      0.        ]",[0.68098893 0.7486286  0.01505047 0.42716322],0.02305184849999986,0.020993947982788
11,"[29.2788     99.9445     94.94634747 98.92005657 36.         13.0175
  6.4716     51.7144      0.        ]",[0.43827587 0.8594359  0.8577314  0.51470963],0.08866973990000004,0.1395325660705566
12,"[ 2.0223     99.9445     55.94634747 97.92005657 71.         17.7223
 43.7174     75.8446      1.        ]",[0.95576766 0.82018468 0.9968701  0.95168276],0.12052848989999998,0.6137611865997314
13,"[ 2.0223     99.9445     71.71518586 92.86399596 75.         45.8191
 57.4668     65.4021      1.        ]",[0.95438889 0.81644176 0.99857998 0.96285098],0.09374654544999994,0.14552903175354
14,"[ 8.0793     99.9445     98.98654949 92.86399596 17.         94.4083
 90.4286     99.624       1.        ]",[0.0104135  0.0281828  0.8178066  0.93418823],0.04071063637499994,0.0539023876190185
15,"[ 2.0223     99.9445     71.71518586 96.91071313 37.         27.1257
 36.0826     20.9859      1.        ]",[0.95642099 0.73220904 0.99697697 0.96072702],0.08362975252500005,0.0340006351470947
16,"[18.1743     99.9445     98.9966     98.92005657  0.         16.8725
  6.1527     90.9567      0.        ]",[0.03776412 0.87234279 0.5737353  0.58842436],0.05078285857500009,0.1786925792694091
17,"[ 2.0223     99.9445     99.9966     98.92005657 24.         78.9343
  8.8686     62.7014      1.        ]",[0.78722723 0.65059712 0.99727935 0.96881757],0.00790285857499995,0.0319509506225585
18,"[ 2.0223     99.9445     94.94634747 98.92005657  7.         25.9059
 30.3697      1.9672      0.        ]",[0.84833722 0.25324334 0.01713819 0.24386274],0.020528489900000002,0.032006025314331
19,"[ 2.0223     99.9445     71.71518586 98.92005657 92.         58.9648
 26.58       71.1283      1.        ]",[0.93993477 0.79305916 0.9985072  0.95718447],0.07860639392500002,0.0320005416870117
