,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[ 2.0223     99.9445     71.71518586 98.92005657 61.         59.4238
 36.5804     43.2471      1.        ]",[0.93993477 0.81644176 0.99841344 0.95718447],31.442557575757633,,,0.006294727325439453
1,"[ 2.0223     99.9445     71.71518586 92.86399596 67.         23.949
 25.0238     53.6776      1.        ]",[0.95642099 0.81305102 0.9987458  0.9666562 ],37.49861818181819,,,0.005063772201538086
2,"[ 2.0223     99.9445     98.98654949 97.91071313 65.         87.5775
 98.0319     60.0834      0.        ]",[0.4695555  0.8392789  0.00573284 0.08296921],5.180537373737366,,,0.005143880844116211
3,"[ 2.0223     99.9445     71.71518586 98.92005657 65.         13.5431
 46.469       6.9455      0.        ]",[0.88734026 0.53760974 0.09625668 0.32492804],31.442557575757633,,,0.007210254669189453
4,"[ 8.0793     99.9445     94.94634747 98.92005657 33.         91.9392
 78.1618     52.4151      0.        ]",[0.18595659 0.52354943 0.34227693 0.30013847],14.268395959595978,,,0.0061342716217041016
5,"[ 2.0223     99.9445     99.9966     98.92005657 50.         78.7386
 92.5354     96.4319      0.        ]",[0.0707501  0.6012464  0.25823191 0.33056627],3.161143434343444,,,0.005986213684082031
6,"[ 2.0223     99.9445     98.98654949 98.92005657  8.         37.4304
 11.9677     23.3809      0.        ]",[0.78554541 0.8672824  0.23439248 0.4496148 ],4.171193939393902,,,0.005118370056152344
7,"[ 2.0223     99.9445     84.84584242 92.86399596 58.         55.9296
 77.3951     73.4457      1.        ]",[0.94957729 0.74214317 0.99871778 0.96285098],24.367961616161608,,,0.005039691925048828
8,"[26.2503     99.9445     71.71518586 98.92005657 79.         78.6461
 46.5971     37.491       0.        ]",[0.48422475 0.82035842 0.8602919  0.47421023],55.670557575757584,,,0.006203413009643555
9,"[  2.0223      99.9445      77.77548889  98.92005657 100.
  61.8901      33.7806      13.9916       0.        ]",[0.82683396 0.86333301 0.08845235 0.43280142],25.382254545454543,,,0.010325431823730469
10,"[ 2.0223     99.9445     94.94634747 97.91071313  6.         38.2341
 60.9858     26.0793      0.        ]",[0.68098893 0.7486286  0.01505047 0.42716322],9.220739393939425,,,0.006170988082885742
11,"[29.2788     99.9445     94.94634747 98.92005657 36.         13.0175
  6.4716     51.7144      0.        ]",[0.43827587 0.8594359  0.8577314  0.51470963],35.46789595959592,,,0.014939546585083008
12,"[ 2.0223     99.9445     71.71518586 92.86399596 71.         17.7223
 43.7174     75.8446      1.        ]",[0.95766564 0.81291328 0.99860305 0.9666562 ],37.49861818181819,,,0.013129949569702148
13,"[ 2.0223     99.9445     71.71518586 92.86399596 75.         45.8191
 57.4668     65.4021      1.        ]",[0.95438889 0.81644176 0.99857998 0.96285098],37.49861818181819,,,0.006008148193359375
14,"[ 8.0793     99.9445     98.98654949 92.86399596 17.         94.4083
 90.4286     99.624       1.        ]",[0.0104135  0.0281828  0.8178066  0.93418823],16.28425454545453,,,0.005995035171508789
15,"[ 2.0223     99.9445     71.71518586 97.91071313 37.         27.1257
 36.0826     20.9859      1.        ]",[0.95642099 0.73220904 0.99697697 0.96072702],32.45190101010104,,,0.0051119327545166016
16,"[18.1743     99.9445     99.9966     98.92005657  0.         16.8725
  6.1527     90.9567      0.        ]",[0.03776412 0.83875084 0.5737353  0.58842436],19.313143434343488,,,0.025613069534301758
17,"[ 2.0223     99.9445     71.71518586 98.92005657 24.         78.9343
  8.8686     62.7014      1.        ]",[0.81275872 0.66384653 0.99785346 0.96881757],31.442557575757633,,,0.01212453842163086
18,"[ 2.0223     99.9445     72.72523636 98.92005657  7.         25.9059
 30.3697      1.9672      0.        ]",[0.84361984 0.30006243 0.0110119  0.24386274],30.43250707070706,,,0.02991962432861328
19,"[ 2.0223     99.9445     71.71518586 92.86399596 92.         58.9648
 26.58       71.1283      1.        ]",[0.93993477 0.79305916 0.99815232 0.9666562 ],37.49861818181819,,,0.01040029525756836
20,"[ 2.0223     99.9445     94.94634747 98.92005657 56.         16.9334
  8.6415     63.9746      0.        ]",[0.62359857 0.91980119 0.8212204  0.47206708],8.211395959595961,,,0.009086370468139648
21,"[ 2.0223     99.9445     33.33326667 98.92005657 22.         93.9653
 41.792      44.4401      1.        ]",[0.26236254 0.10845354 0.77424568 0.75670976],69.82447676767674,,,0.008321523666381836
22,"[18.1743     99.9445     71.71518586 92.86399596 94.         85.5412
 73.2182     68.4091      0.        ]",[0.24438184 0.75337664 0.5507865  0.55595024],53.650618181818174,,,0.010992765426635742
23,"[3.30000000e-03 9.99445000e+01 9.89865495e+01 9.79107131e+01
 3.00000000e+00 3.36585000e+01 7.51254000e+01 3.11717000e+01
 0.00000000e+00]",[0.51843611 0.77640486 0.03539161 0.13173247],3.16153737373736,,,0.008124828338623047
24,"[3.30000000e-03 9.99445000e+01 9.89865495e+01 9.28639960e+01
 2.60000000e+01 2.16758000e+01 6.29648000e+01 6.95869000e+01
 1.00000000e+00]",[0.94838818 0.70837085 0.99666238 0.96514736],8.208254545454508,,,0.00613856315612793
25,"[14.1363     99.9445     94.94634747 98.92005657 50.         32.119
 50.1591     94.1508      0.        ]",[0.16012092 0.43277354 0.87735677 0.44426803],20.325395959595994,,,0.007291078567504883
26,"[ 2.0223     99.9445     71.71518586 92.86399596 90.          5.8182
 17.9215     25.1484      1.        ]",[0.94912115 0.8605836  0.98981208 0.96026273],37.49861818181819,,,0.010995864868164062
27,"[3.30000000e-03 9.99445000e+01 9.99966000e+01 9.79107131e+01
 5.00000000e+00 4.70470000e+01 2.53211000e+01 8.11660000e+01
 1.00000000e+00]",[0.50062159 0.60849364 0.35337666 0.87918626],2.1514868686868454,,,0.00627589225769043
28,"[ 2.0223     99.9445     94.94634747 97.91071313 11.         74.8916
 69.0168     45.9598      1.        ]",[0.93104328 0.62713155 0.9891572  0.95758009],9.220739393939425,,,0.005236387252807617
29,"[ 2.0223     99.9445     71.71518586 98.92005657 57.         88.3406
  6.6329     83.8531      1.        ]",[0.32721545 0.65112824 0.99629289 0.94650318],31.442557575757633,,,0.006011247634887695
30,"[ 2.0223     99.9445     71.71518586 92.86399596 77.         20.2894
 66.1089     48.5194      1.        ]",[0.95766564 0.82223868 0.99551624 0.96285098],37.49861818181819,,,0.004952192306518555
31,"[ 2.0223     99.9445     71.71518586 92.86399596 84.         46.3669
 39.3889     89.1915      0.        ]",[0.55332401 0.89846082 0.55251276 0.53693948],37.49861818181819,,,0.0051116943359375
32,"[3.30000000e-03 9.99445000e+01 9.89865495e+01 9.79107131e+01
 2.30000000e+01 6.79650000e+00 7.96813000e+01 8.69443000e+01
 1.00000000e+00]",[0.89392236 0.61061421 0.99552494 0.94869882],3.16153737373736,,,0.006616830825805664
33,"[ 2.0223     99.9445     98.98654949 96.9013697   0.         42.4944
 55.3772      6.4063      1.        ]",[0.33939726 0.30544557 0.05650506 0.36473506],6.189880808080829,,,0.009006023406982422
34,"[18.1743     99.9445     94.94634747 98.92005657 48.         71.958
 71.4357     84.1356      0.        ]",[0.53834613 0.80209372 0.80704188 0.47807455],24.363395959596005,,,0.012029647827148438
35,"[ 2.0223     99.9445     94.94634747 98.92005657 45.         32.8703
 66.0056     48.1016      0.        ]",[0.87199531 0.89274474 0.28089404 0.42202374],8.211395959595961,,,0.0071070194244384766
36,"[ 2.0223     99.9445     71.71518586 92.86399596 63.          6.2509
 67.3528     70.3604      1.        ]",[0.95766564 0.81879689 0.99815112 0.96285098],37.49861818181819,,,0.012176752090454102
37,"[ 2.0223     99.9445     71.71518586 96.9013697  60.         34.5556
 60.9073     25.6942      1.        ]",[0.95642099 0.85553066 0.99847955 0.95663254],33.461244444444446,,,0.009168624877929688
38,"[ 2.0223     99.9445     98.98654949 96.9013697   3.         84.8966
  1.4904     45.2375      1.        ]",[0.02917314 0.70580359 0.65247601 0.7439058 ],6.189880808080829,,,0.009147882461547852
39,"[ 2.0223     99.9445     71.71518586 97.91071313 15.         18.3902
  5.7327     34.835       0.        ]",[0.54492912 0.92820242 0.47100931 0.48726827],32.45190101010104,,,0.005124092102050781
40,"[ 2.0223     64.63487374 71.71518586 97.91071313 58.         27.8494
 57.5182     12.2561      1.        ]",[0.95642099 0.86787529 0.99827349 0.92802852],67.76152727272728,,,0.011131048202514648
41,"[ 2.0223     99.9445     94.94634747 82.77056162 67.         39.1767
 60.1401     23.4804      0.        ]",[0.85877806 0.86148092 0.2154136  0.46873246],24.360890909090926,,,0.007020711898803711
