Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[48.10998504 77.85898837 20.86064261 55.63980071 61.         59.4238
 36.5804     43.2471      1.        ]",[0.79159442 0.12304475 0.96394104 0.75462248],0.484376383375,0.0019991397857666
1,"[ 8.80860848 48.92359198 39.84546949 57.78169859 67.         23.949
 25.0238     53.6776      1.        ]",[0.9356134  0.42576798 0.99886048 0.8672584 ],0.40564462105,0.0009996891021728
2,"[85.2090219   8.55545149 57.45579941 90.94432888 65.         87.5775
 98.0319     60.0834      0.        ]",[3.92757527e-03 1.06277139e-02 6.46166664e-05 2.26383698e-03],0.5706336053,0.0041179656982421
3,"[15.19143967 47.17599506 67.74038393 73.43085732 65.         13.5431
 46.469       6.9455      0.        ]",[0.62581959 0.14946196 0.00097293 0.07049644],0.3171105084000001,0.0009994506835937
4,"[5.98558054e-02 1.23502878e+01 3.54215268e+01 3.86287530e+01
 3.30000000e+01 9.19392000e+01 7.81618000e+01 5.24151000e+01
 0.00000000e+00]",[0.00687757 0.16340345 0.00044716 0.01909291],0.5341482205135,0.0010144710540771
5,"[92.93536602 13.6502694  72.31007657 52.85458908 50.         78.7386
 92.5354     96.4319      0.        ]",[0.00137523 0.00847314 0.00332119 0.00531726],0.6353010774250001,0.0019848346710205
6,"[86.85079959 55.11087403  3.98652035 36.9359619   8.         37.4304
 11.9677     23.3809      0.        ]",[4.32733541e-03 3.60919415e-03 2.25908570e-05 1.25521872e-02],0.727043608275,0.0019788742065429
7,"[72.02384341 12.22108037 43.26311701 70.82492696 58.         55.9296
 77.3951     73.4457      1.        ]",[0.31852682 0.03635568 0.02390415 0.28255905],0.6142867976749999,0.0019948482513427
8,"[98.16127422 60.54733436 68.21725754 82.93546987 79.         78.6461
 46.5971     37.491       0.        ]",[0.01194319 0.05443955 0.00431501 0.03820163],0.46615303112499984,0.0009994506835937
9,"[ 98.18627557   9.45759336  87.70835484  22.94031451 100.
  61.8901      33.7806      13.9916       0.        ]",[8.19646407e-03 8.17223260e-03 2.74312733e-05 6.56626460e-03],0.69520003215,0.0019896030426025
10,"[ 6.87902847 86.12593179 19.6429649  97.94070458  6.         38.2341
 60.9858     26.0793      0.        ]",[0.11360222 0.44006662 0.00335581 0.10264899],0.25792356799999994,0.000993013381958
11,"[63.35000984  6.02409219 64.32092278 31.22586358 36.         13.0175
  6.4716     51.7144      0.        ]",[0.0074639  0.0509164  0.00123457 0.02628598],0.654447828225,0.0019927024841308
12,"[83.55427077 82.98054065 17.42076908 23.37743953 71.         17.7223
 43.7174     75.8446      1.        ]",[0.39614858 0.00933537 0.00276013 0.29977413],0.6494388037750001,0.0010037422180175
13,"[30.99532066 78.7084282   6.57582558 86.81955088 75.         45.8191
 57.4668     65.4021      1.        ]",[0.1236355  0.0351083  0.06194437 0.25594926],0.3972287899999999,0.0019960403442382
14,"[45.34654809 46.72924957 37.43812362 39.47590825 17.         94.4083
 90.4286     99.624       1.        ]",[0.00852857 0.01476303 0.00389009 0.35748558],0.5542581666249999,0.0020003318786621
15,"[94.08799416 81.66341381 23.80862956 24.70234039 37.         27.1257
 36.0826     20.9859      1.        ]",[0.11066741 0.00788789 0.00013535 0.06175879],0.6597840260000001,0.0019991397857666
16,"[94.23072216 14.19443213 25.97271059 44.46975349  0.         16.8725
  6.1527     90.9567      0.        ]",[0.0008072  0.01104632 0.05208311 0.18924023],0.773984564875,0.0010037422180175
17,"[68.32959887 37.75357921  0.43137784 56.07242524 24.         78.9343
  8.8686     62.7014      1.        ]",[0.02070457 0.01671449 0.00691793 0.40447414],0.6851805414500001,0.002000093460083
18,"[63.90397328 63.83978355 32.77577192 22.45657767  7.         25.9059
 30.3697      1.9672      0.        ]",[0.12043287 0.00701487 0.0002108  0.0142304 ],0.61207960035,0.0010006427764892
19,"[69.81282704 14.00368172 66.32600809 28.20655098 92.         58.9648
 26.58       71.1283      1.        ]",[0.47167423 0.0336701  0.00625377 0.26287139],0.653191465625,0.0010004043579101
20,"[96.37772829 24.74695525 17.93405473 89.37838131 56.         16.9334
  8.6415     63.9746      0.        ]",[0.0043136  0.02018196 0.00049867 0.01359954],0.6607958425,0.0020020008087158
21,"[58.71171029 73.08663981 41.9799945  16.40103419 22.         93.9653
 41.792      44.4401      1.        ]",[0.16453977 0.02176376 0.05045502 0.28791907],0.5681101044750001,0.0029957294464111
22,"[95.68949965 75.19153726 79.97808696 35.54121952 94.         85.5412
 73.2182     68.4091      0.        ]",[0.01308627 0.03018208 0.00066562 0.03009901],0.512446639775,0.0015504360198974
23,"[20.65776287 70.21114454 59.32984792 86.09012435  3.         33.6585
 75.1254     31.1717      0.        ]",[0.12022834 0.25789278 0.00078545 0.0491993 ],0.2625666151499999,0.0040161609649658
24,"[42.51555534 42.18466576 99.24739478 60.88345417 26.         21.6758
 62.9648     69.5869      1.        ]",[0.94248268 0.24862087 0.98865533 0.87522455],0.350500101575,0.0019998550415039
25,"[93.83354263 82.1981027  59.65130817 74.92395045 50.         32.119
 50.1591     94.1508      0.        ]",[0.00628209 0.01822294 0.00270233 0.03460017],0.44265045327499997,0.0010004043579101
26,"[32.79971496 81.03112617  2.45538331  3.38058656 90.          5.8182
 17.9215     25.1484      1.        ]",[1.52159179e-01 8.27848504e-03 4.39170508e-05 1.79143990e-02],0.6148315473,0.0009989738464355
27,"[81.29629474 87.41353841 64.82222582 83.76142471  5.         47.047
 25.3211     81.166       1.        ]",[0.17802182 0.0073428  0.03779572 0.29934426],0.36324776449999996,0.0019605159759521
28,"[35.81552422 37.9127622  80.87264149 38.30390388 11.         74.8916
 69.0168     45.9598      1.        ]",[0.92636133 0.07978077 0.65067244 0.78214318],0.4468155416249999,0.0019569396972656
29,"[68.48330335 70.0163537  60.91608393 19.57527174 57.         88.3406
  6.6329     83.8531      1.        ]",[0.19768508 0.06725768 0.09651332 0.6347077 ],0.5449389849499999,0.0009937286376953
30,"[32.79651386  8.81854646 70.38104895 28.48633748 77.         20.2894
 66.1089     48.5194      1.        ]",[0.17879394 0.02290926 0.04734917 0.17242147],0.5627764524250001,0.0019967555999755
31,"[71.45855759 54.68143595 55.58925514 19.80322661 84.         46.3669
 39.3889     89.1915      0.        ]",[0.22023191 0.11706181 0.00100116 0.10092252],0.6034615997249999,0.0019962787628173
