Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 5.75111108 77.11229828 85.94393128 99.07886014 20.          6.6486
 65.1628     66.9228      1.        ]",[0.96285026 0.37676605 0.99751544 0.91383748],0.1090400534499999,4.396197319030762
1,"[23.30100564 38.96804782 58.48775123 98.03984272 61.         40.9182
 74.0014      6.9528      0.        ]",[0.69600002 0.72264574 0.00112702 0.20344428],0.31951340967499997,8.093321084976196
2,"[ 0.92218739 69.68390986 90.98129454 93.81030127 52.         73.1564
 67.7624     15.0113      0.        ]",[0.61540905 0.80276529 0.01628912 0.4594734 ],0.11611670429999998,12.223639965057371
3,"[28.5616966  87.43753907 84.06993221 99.79501722 39.         18.8794
 71.8153     10.7021      0.        ]",[0.83370799 0.48090258 0.02294494 0.40898551],0.14314802025000006,8.407987356185913
4,"[ 7.23395933 82.57466361 92.16940964 59.57934432 12.         38.6586
 96.5509     56.2362      0.        ]",[6.23582962e-01 8.14170852e-01 7.83261901e-04 3.65819981e-02],0.1822763544,6.840552091598511
5,"[ 9.0083797  60.95660004 36.17558662 99.83165884 24.         91.2625
 84.6136     40.9437      1.        ]",[0.72928999 0.16080309 0.77634692 0.80841778],0.2801113355000001,8.367074966430664
6,"[ 5.87609989 96.82307582 52.32579771 63.96608205 58.         10.344
  2.5777     82.1542      0.        ]",[0.18684523 0.78605269 0.85662311 0.31924317],0.231902860775,8.728996992111206
7,"[ 9.37997704 95.39030455 92.20610558 97.48495198 32.         67.4059
 58.6502     49.9053      0.        ]",[0.67100807 0.84960014 0.06051669 0.38374773],0.060746537325000016,7.60650634765625
8,"[10.50478901 80.39623807 92.56897428 98.38559306 45.         62.1058
 21.7593     10.6248      0.        ]",[0.59157365 0.69006952 0.00134328 0.26962229],0.09788495899999983,7.786200284957886
9,"[ 4.62253322 85.63878463 72.32101541 87.48634087 85.         51.7538
 24.092      44.3696      1.        ]",[0.9573089  0.45618538 0.99832374 0.92733707],0.14794098077499995,8.020853996276855
10,"[2.21386447e+01 5.55869322e-02 8.16524414e+00 5.81618402e+00
 1.00000000e+00 7.84576000e+01 2.29664000e+01 9.25520000e+00
 0.00000000e+00]",[1.54128074e-03 1.32852783e-04 2.48990487e-04 5.08911261e-01],0.7702540740195001,9.026453018188477
11,"[ 3.39081853 93.61565591 92.62379831 73.28995632  2.         47.4997
 39.5959     84.0895      0.        ]",[0.14510837 0.34350971 0.2136921  0.11088758],0.10965351997500006,8.171419620513916
12,"[ 8.64291149 61.85084828 99.80446833 93.32645176 32.         86.7648
 24.7583     23.3558      1.        ]",[0.74057008 0.36864834 0.99589795 0.87076404],0.13415285780000008,7.954718112945557
13,"[ 3.15727519 39.90481363 93.79617832 97.91648804 28.         93.6467
 99.7559     79.1174      0.        ]",[0.04715852 0.55196833 0.0005828  0.01387978],0.178849488,9.01349115371704
14,"[ 6.56258201 98.69850665 52.57709489 95.96782503 78.         68.5678
 16.479      93.1286      0.        ]",[0.40229444 0.68011655 0.18157752 0.44861985],0.14829788860000004,13.765319108963013
15,"[ 8.57116729 61.01165597 71.09919941 86.07848128 45.         82.2747
 16.0048     73.738       1.        ]",[0.85350285 0.33987529 0.99610317 0.87635   ],0.22595457657500007,8.575068235397339
16,"[ 6.30351443 97.6234402  60.76598615 64.77252377 53.         59.4822
 90.537      82.9342      0.        ]",[0.67297879 0.62058578 0.81159437 0.25562281],0.20785391077499993,11.20051908493042
17,"[ 8.41584394 81.8417412  56.02101263 96.40173438 74.          2.1292
 32.4704     74.4502      1.        ]",[0.96211724 0.33326463 0.99765271 0.94366905],0.18537838932499995,7.004719972610474
18,"[ 2.34632379 73.41001614 56.13211404 99.46359774 93.         85.9565
 25.6339     23.5499      1.        ]",[0.78655375 0.37205517 0.99415982 0.8487261 ],0.18335148967500003,7.453746795654297
19,"[15.23043704 96.97342983 92.37107716 98.54597029 62.         25.7592
 45.4759     74.9427      0.        ]",[0.75401366 0.80042477 0.34010613 0.45015675],0.0683498993999998,9.577669143676758
20,"[ 6.79476118 65.78691411 81.23951709 89.31433697 88.         75.5256
 16.7215     31.7352      1.        ]",[0.90557853 0.46907702 0.99391782 0.90480677],0.17613498252499993,3.655728340148926
21,"[25.3625585  92.34427759 84.22629073 94.53343329 91.          4.9367
 97.2327     99.9934      0.        ]",[0.1128674  0.21413764 0.27437329 0.08116894],0.13564639222499997,9.82642698287964
22,"[30.34780376 95.14188824 94.10499679 74.48266904 62.         62.4024
 59.5036     62.7383      0.        ]",[0.65682847 0.80493298 0.05798856 0.39538901],0.16654562422499997,8.862625122070312
23,"[14.07960094 99.39690663 96.6794785  96.10856984 95.         74.0492
 40.309      25.9153      1.        ]",[0.94790629 0.48245386 0.99568957 0.90096572],0.054736614924999816,5.987879276275635
24,"[ 7.45809972 97.18108106 89.71931001 81.4510759  69.         74.6696
 90.4683     73.8133      0.        ]",[0.61135596 0.79408614 0.05772012 0.26201077],0.09776658187500009,7.02308201789856
25,"[ 8.44525211 80.5694762  76.73261867 61.3534921  59.         52.1599
  2.9254     40.4167      1.        ]",[0.50621674 0.39579409 0.99728715 0.91453383],0.22447416285,8.231431007385254
26,"[ 4.86122476 92.8590916  70.91129672 59.83519921 64.         44.0877
 21.1012     50.1676      0.        ]",[0.65074492 0.81966506 0.1556161  0.35449357],0.203139093075,8.435893535614014
27,"[ 1.06528558 80.45257636 85.9990253  74.65372348 47.         14.2541
 64.4723     72.9513      0.        ]",[0.79473993 0.76319151 0.474134   0.5452257 ],0.14989990109999995,8.364144325256348
28,"[47.40587008 90.31926474 93.96921838 97.00735689 90.          2.5129
 64.5584     43.9557      1.        ]",[0.95274088 0.29791774 0.99805105 0.95029101],0.16527507517499995,4.254221200942993
29,"[29.41076572 91.74435984 92.79444431 94.02754884 31.         53.7267
 94.6736     15.0128      0.        ]",[0.71273215 0.84523745 0.00425856 0.03225564],0.12711103182499994,7.72170352935791
30,"[ 9.14852672 98.68945809 86.14097905 97.15277358 91.         22.6104
 93.9219     80.3789      0.        ]",[0.86049452 0.84257049 0.06296878 0.09706575],0.0679132899999999,8.361809968948364
31,"[4.41762869e+01 8.02626941e+01 9.25057241e-02 4.67163741e+01
 3.70000000e+01 9.47616000e+01 5.63488000e+01 7.07361000e+01
 0.00000000e+00]",[3.18913753e-03 1.45046096e-02 3.84599189e-05 5.39864283e-01],0.54276178243975,9.480006456375122
