,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,,,,[0.80224812 0.69293886 0.52695042 0.62077806],,,,,1.6776666641235352,0.366025447845459,4.583470012805965
1,,,,[0.54925082 0.79310448 0.0426889  0.2301118 ],,,,,1.7293241024017334,0.1471092700958252,11.755371373097512
2,,,,[0.53182155 0.57342506 0.8879897  0.57745049],,,,,1.646233320236206,0.12369418144226074,13.3088986162591
3,,,,[0.75180189 0.78330786 0.99891043 0.96127206],,,,,1.7454636096954346,0.17354726791381836,10.05756893022489
4,,,,[0.88872045 0.65386771 0.81242114 0.5463253 ],,,,,1.6946063041687012,0.27027153968811035,6.2700138761345485
5,"[ 1.58369975 72.96999586 99.88532653 14.06468372 21.         15.9745
 35.5606     58.8003      1.        ]",,[0.96279416 0.80357731 0.96168292 0.94039329],[0.96752255 0.49025566 0.99807078 0.96602512],114.66369363318955,,,,19.381747245788574,0.37453579902648926,51.74871746884145
6,,,,[0.29335293 0.07125157 0.122863   0.54488695],,,,,2.0717034339904785,0.33514928817749023,6.18143468320104
7,"[ 3.82423495 21.02885132 99.89501591 18.92645992 94.          1.8186
 81.8349     86.1178      1.        ]","[ 1.576832   73.850961   81.43998877 41.88599953 94.          1.8186
 81.8349     86.1178      1.        ]",[0.89489857 0.81534815 0.83369589 0.88554735],[0.95252068 0.82606376 0.99929249 0.9255584 ],163.97390780397748,104.39988270707067,-59.57402509690681,-0.3633140534049145,19.072213411331177,0.14566564559936523,130.93144463030677
8,,,,[0.88872045 0.9239209  0.11072364 0.54989845],,,,,1.737529993057251,0.25034213066101074,6.940621574440649
9,"[ 3.83074889 75.84290322 99.82460447 14.09404647 81.         56.1229
 51.8671     17.1957      1.        ]",,[0.95582921 0.80059445 0.96354771 0.89852984],[0.95582921 0.7565628  0.99738723 0.94698643],114.06919473231505,,,,18.226595640182495,0.36903834342956543,49.38943598867856
10,"[ 1.58325794 38.3440329  99.82452089 20.44476572 97.         58.8515
 57.5346     10.4097      1.        ]","[  1.          76.429813   100.          26.30452211  97.
  58.8515      57.5346      10.4097       1.        ]",[0.95036504 0.81536696 0.83998847 0.80462291],[0.95026077 0.80734769 0.98132998 0.88672854],142.96993841813224,98.26566488888886,-44.70427352924338,-0.3126830299003174,18.958099126815796,0.3097052574157715,61.21335906598778
11,"[ 3.83073702 98.17205442 99.98475626 14.06450698 41.         49.5635
 11.5476     60.8461      1.        ]",,[0.92221579 0.81754439 0.9885323  0.96136479],[0.92221579 0.78675773 0.99883133 0.95816439],91.60941935155341,,,,17.995037317276,0.35756516456604004,50.32659526303612
12,,,,[0.89918251 0.69331657 0.34627777 0.66479218],,,,,1.867227554321289,0.17554163932800293,10.63694950935452
13,,,,[0.31441226 0.90609917 0.3702848  0.40914001],,,,,1.9026134014129639,0.17453765869140625,10.900876152904663
14,,,,[0.8052791  0.91209863 0.36923647 0.53591648],,,,,1.6478071212768555,0.2518439292907715,6.542969393454573
15,,,,[0.07211669 0.79957002 0.95860678 0.72500353],,,,,1.8452744483947754,0.4039616584777832,4.567944530548214
16,,,,[0.22554437 0.65187134 0.98421741 0.77808829],,,,,1.6831347942352295,0.11719059944152832,14.362370380015177
17,"[ 0.89777341 98.17262822 99.36255379 14.06450046 20.         55.2207
 26.157      88.6055      1.        ]",,[0.93714612 0.8067253  0.91683042 0.83045883],[0.94803662 0.77905641 0.99801338 0.95633695],89.29809094740142,,,,18.271604537963867,0.3643622398376465,50.14681144266041
18,,,,[0.25697552 0.92237804 0.01449979 0.12128272],,,,,1.9729351997375488,0.48726725578308105,4.048979643762168
19,,,,[0.96058661 0.79054761 0.61148936 0.66711055],,,,,3.245530843734741,0.19448328018188477,16.687968450035672
20,,,,[0.89964641 0.65386771 0.5288114  0.5463253 ],,,,,1.6804492473602295,0.2283930778503418,7.357706560885224
21,"[ 1.5837     85.326047   99.93852056 18.92385006  9.         19.5837
 85.5576     63.1675      1.        ]",,[0.85992601 0.80069779 0.81500006 0.88675731],[0.88251674 0.46951529 0.94332957 0.94572717],97.395282379133,,,,18.184783220291138,0.5640897750854492,32.23739203132423
22,"[ 1.58369985 72.96981218 99.82516346 14.06451503 54.         12.8812
 20.1934     88.0512      1.        ]",,[0.94016213 0.8082908  0.94694006 0.94522375],[0.94016213 0.48842017 0.99862182 0.96884722],114.72420917594968,,,,18.56808638572693,0.16556143760681152,112.15224181505296
23,,,,[0.87414683 0.79817584 0.16740021 0.40258044],,,,,1.6760714054107666,0.20151638984680176,8.317295713192172
24,,,,[0.84771558 0.92006165 0.48173398 0.57745049],,,,,1.708437204360962,0.31168341636657715,5.481322119338023
25,,,,[0.63189409 0.75908733 0.1241689  0.22993304],,,,,1.6599726676940918,0.2802622318267822,5.922926742123598
26,,,,[0.96058661 0.49457843 0.16747998 0.6929515 ],,,,,3.2422475814819336,0.1915266513824463,16.928440810087125
27,,,,[0.57419858 0.50622336 0.2197943  0.41891488],,,,,2.133258104324341,0.21343517303466797,9.994876074047264
28,,,,[0.22163849 0.77566974 0.62357241 0.57654855],,,,,2.4843809604644775,0.2034757137298584,12.209717390463759
29,"[ 3.83074621 98.17205431 99.82450486 14.06450058 21.         32.6509
 46.1277     14.6796      1.        ]",,[0.96026091 0.80094678 0.89298886 0.89462357],[0.96529965 0.75831211 0.9923476  0.9381164 ],91.76968646473722,,,,17.757916927337646,0.1381385326385498,128.55150976449573
30,,,,[0.81277989 0.72918713 0.16337948 0.35008996],,,,,1.930509328842163,0.37802910804748535,5.106774287337858
31,,,,[0.07374488 0.93940953 0.24934778 0.33890072],,,,,1.7088830471038818,0.14511609077453613,11.775972174987391
32,,,,[0.66644533 0.79339321 0.93349147 0.85864333],,,,,1.9356038570404053,0.24887704849243164,7.7773497747795215
33,,,,[0.865221   0.91855702 0.54802883 0.53591648],,,,,2.0297977924346924,0.24788665771484375,8.188410829152689
34,,,,[0.2091083  0.92787189 0.79383218 0.568777  ],,,,,2.0779149532318115,0.14267444610595703,14.56403027973664
35,,,,[0.84771558 0.93130153 0.38343734 0.55771448],,,,,1.979393482208252,0.22689104080200195,8.7239825566122
36,,,,[0.94069164 0.30684838 0.4705213  0.55887228],,,,,2.220198631286621,0.29572582244873047,7.507625180995256
37,"[ 1.58369995 72.96986027 99.88590063 14.06450158 47.          6.8472
 32.4893     19.7403      1.        ]",,[0.96058661 0.80281911 0.95511937 0.91097558],[0.96058661 0.77775488 0.99736005 0.9537944 ],114.66343746578855,,,,18.202067613601685,0.337597131729126,53.91653513278742
38,,,,[0.22554437 0.25273911 0.68019503 0.62077806],,,,,1.6615805625915527,0.2054755687713623,8.08651156206524
39,,,,[0.2989328  0.45416908 0.20712444 0.73568747],,,,,2.089420795440674,0.22541117668151855,9.269375308717713
40,,,,[0.5749093  0.65785875 0.10182396 0.41891488],,,,,1.9679856300354004,0.24188828468322754,8.13592784211372
41,,,,[0.85606699 0.92536513 0.52001095 0.568777  ],,,,,1.673719882965088,0.14809179306030273,11.301908420296808
42,,,,[0.27877231 0.40549563 0.07158741 0.20733748],,,,,1.8830695152282715,0.18750572204589844,10.042730934724892
43,,,,[0.77682749 0.92208952 0.62538326 0.57745049],,,,,1.77414870262146,0.0992279052734375,17.879533965093035
44,,,,[0.51938991 0.94850258 0.40015075 0.49241841],,,,,1.920530080795288,0.2249467372894287,8.537710321729316
45,,,,[0.86129417 0.47795536 0.61390096 0.64946026],,,,,1.9013104438781738,0.2697887420654297,7.047404681612194
46,,,,[0.87486436 0.71317935 0.99349457 0.87841595],,,,,3.244276285171509,0.2493441104888916,13.011240886381565
47,,,,[0.87992549 0.71829545 0.98903823 0.93431765],,,,,1.7908451557159424,0.3640315532684326,4.919477829976442
48,,,,[0.82282451 0.91852383 0.46937448 0.5375246 ],,,,,1.8563554286956787,0.23038864135742188,8.057495446642934
49,,,,[0.74882542 0.88705088 0.20694046 0.50337815],,,,,2.172476053237915,0.24739766120910645,8.781312008449772
50,,,,[0.82895903 0.92006165 0.57318085 0.57745049],,,,,1.7051734924316406,0.2613091468811035,6.525502504539192
51,,,,[0.84227846 0.61317962 0.02699856 0.14362006],,,,,2.133544445037842,0.15309619903564453,13.9359726660562
52,"[ 1.58369993 21.61834402 99.95574801 14.0915862  76.         14.3367
 61.563      60.6466      1.        ]","[  1.571093  73.324677 100.        19.        76.        14.3367
  61.563     60.6466     1.      ]",[0.930419   0.82203253 0.82517397 0.86123643],[0.96058661 0.88282336 0.99605584 0.9705447 ],165.91802170370377,109.24641600000001,-56.67160570370376,-0.34156389475826715,18.895066261291504,0.3730301856994629,50.65291492660754
53,,,,[0.26015819 0.2093613  0.99709761 0.96127206],,,,,1.696671724319458,0.3520927429199219,4.818820491012904
54,,,,[0.55644346 0.92488602 0.01599897 0.28569842],,,,,1.9036288261413574,0.17502665519714355,10.876222390224966
55,,,,[0.83807943 0.6988923  0.50832009 0.63130598],,,,,1.9327688217163086,0.2239365577697754,8.630876713320514
56,,,,[0.79431226 0.71548088 0.0821166  0.41410764],,,,,2.2253150939941406,0.277789831161499,8.010786732867865
57,,,,[0.08595334 0.51172921 0.066626   0.20157126],,,,,2.6650032997131348,0.23240375518798828,11.467126671672965
58,"[ 3.83037006 22.93489031 99.92191785 18.92504377 74.         42.3833
 85.8595     31.4196      1.        ]","[  0.571093  73.324677 100.        42.        74.        42.3833
  85.8595    31.4196     1.      ]",[0.93443381 0.81392987 0.84212589 0.83712999],[0.96058661 0.8194781  0.99559504 0.92493816],162.04851814062644,85.24641600000001,-76.80210214062643,-0.473945106205644,18.936861753463745,0.3103678226470947,61.01425589789957
