,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[ 0.90139991 22.94120806 99.85710759 14.06450033 28.         94.0161
 80.7624     63.5628      1.        ]","[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18074606e+01
 2.80000000e+01 9.40161000e+01 8.07624000e+01 6.35628000e+01
 1.00000000e+00]",[0.80372141],[0.80068751],164.03858393717337,19.293271717171706,-144.74531222000167,-0.8823857701395361,4.410398960113525,0.01554107666015625,283.78979504172804
1,"[ 0.90139888 98.17206142 98.95830967 14.06450114  6.         71.8208
 75.0593     60.5977      1.        ]",,[0.81070952],[0.61348464],89.70652664889752,,,,2.6050260066986084,0.0167999267578125,155.06174784287012
2,"[ 1.58363861 19.97663291 23.02182173 25.35923772 77.          7.5391
  1.6253     80.0753      0.        ]","[10.06102121 75.1258     59.9967     42.6401     77.          7.5391
  1.6253     80.0753      0.        ]",[0.81156233],[0.80296381],233.2259462519859,132.29842121212118,-100.92752503986472,-0.43274569858886497,4.709057092666626,0.05237603187561035,89.90862659947834
3,"[ 1.25906885 19.95730805 23.02855271 36.72977323 69.         53.3293
 80.054      70.5053      0.        ]","[10.0515     20.2791     81.9967     66.80746061 69.         53.3293
 80.054      70.5053      0.        ]",[0.80245344],[0.80164732],221.54343486372335,140.96823939393937,-80.57519546978398,-0.3636993148514994,4.6485700607299805,0.03556466102600098,130.70755988174486
4,"[ 1.5837     20.07679544 99.88676436 18.92385009 99.          2.4322
 12.8356     94.2017      1.        ]","[ 1.06102121 73.73995657 99.9967     19.42218788 99.          2.4322
 12.8356     94.2017      1.        ]",[0.80254574],[0.86543063],162.69629011782826,107.90217676767679,-54.79411335015146,-0.3367877246031139,4.488458871841431,0.018700122833251953,240.02296198077363
5,,,,[0.11741528],,,,,1.1749677658081055,0.006968021392822266,168.62287004721824
6,"[ 0.90139742 75.8432909  99.89580858 14.06450947 50.         73.3268
 98.4476     89.9971      1.        ]",,[0.80016211],[0.79048144],111.0977884701789,,,,4.344612121582031,0.018364906311035156,236.57142857142858
7,"[ 1.27915549 26.46779358 26.24465035 25.45182212 60.          5.0044
 65.223      37.6768      0.        ]","[10.06102121 24.64263333 59.741      52.4819     60.          5.0044
 65.223      37.6768      0.        ]",[0.802126],[0.80118301],223.1148894397137,173.19548787878787,-49.91940156092582,-0.22373854871937712,4.7609522342681885,0.05818510055541992,81.8242503462462
8,"[  1.58340699   9.59014451  99.83145785  14.06537983 100.
  92.6164      59.3104       6.7457       1.        ]","[  1.06102121  76.73995657  81.8451      86.80746061 100.
  92.6164      59.3104       6.7457       1.        ]",[0.83412318],[0.81187005],178.09642478949175,55.66850404040406,-122.42792074908769,-0.6874249210437341,4.460134029388428,0.016330957412719727,273.1091580653167
9,"[ 0.90139999 75.85144863 99.9403693  14.06450037 57.         36.8875
 58.619      10.06        1.        ]","[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18074606e+01
 5.70000000e+01 3.68875000e+01 5.86190000e+01 1.00600000e+01
 1.00000000e+00]",[0.80904788],[0.80557313],111.04508169475463,19.293271717171706,-91.75180997758292,-0.8262573053869612,4.384171009063721,0.009752035140991211,449.5647263036941
10,"[ 0.90139997 75.93521324 99.98930036 14.06453119 32.         47.4298
 72.366      51.9463      1.        ]","[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18074606e+01
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]",[0.8022356],[0.81197037],110.91235517863146,19.293271717171706,-91.61908346145975,-0.8260493911061698,4.449859142303467,0.00806879997253418,551.4895842567148
