,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[ 4.77654187 56.31984823 70.11360093 24.42237134 47.00785621 91.90080504
 82.7680125  13.35194087  1.        ]",[0.20439368 0.06414206 0.23612441 0.28996256],153.92072137495882,,,0.0020003318786621094
1,"[32.08906805 30.1032073  64.27765818 24.93943276 65.18107427 82.29266547
 22.56470018  6.45307126  1.        ]",[0.7884702  0.09406716 0.03375473 0.29338997],212.76876982416863,,,0.0019826889038085938
2,"[99.03455212 53.2816467  48.14525675 95.59448408 70.39937124 42.83097614
 50.04093027 72.6978013   0.        ]",[0.06198543 0.0544026  0.03643645 0.02718771],202.01316458895445,,,0.0019550323486328125
3,"[27.85484957 90.61146484  1.11260696 79.68916432 34.06273163  7.84307551
 86.29915176 62.82813245  0.        ]",[0.07050142 0.14357234 0.00853978 0.05236551],156.44161345157116,,,0.001013040542602539
4,"[ 7.80394181 46.13122233 76.33601526 36.01097401  6.53238701 54.49484283
 12.28497362 26.72397857  1.        ]",[0.58126724 0.25665893 0.51745409 0.60419665],149.32573021630742,,,0.0010075569152832031
5,"[47.43570319 88.60570058  5.14231659 73.21039446  4.48318047 40.29624617
 50.82958562 61.34698733  1.        ]",[0.01833627 0.00348439 0.00284604 0.08061502],180.47729155995972,,,0.002001047134399414
6,"[58.24078943 26.91661527 10.81380346 16.4693735  32.52017803 59.35904759
 23.59588332 76.30278225  1.        ]",[0.30992471 0.01756642 0.00551675 0.13290362],304.040997211376,,,0.0009634494781494141
7,"[ 6.38582755 81.31287502 78.35156021 70.81189269 19.13819422 65.77852121
  9.56670743 25.74648907  0.        ]",[0.23137204 0.81411357 0.27806076 0.28075133],75.90949963153304,,,0.0009989738464355469
8,"[46.8535819   1.49257575 75.5765873   6.14219231 76.39608093 22.2374334
 69.33786521 50.87435072  1.        ]",[0.10392182 0.00555304 0.00578498 0.01414888],263.6422265371171,,,0.001934051513671875
9,"[25.95690954 42.50487423 25.19783214 64.08240003 71.18855621 79.40547228
 86.78655129  0.44537842  1.        ]",[0.85196288 0.05259766 0.02440969 0.18764954],194.1718031364524,,,0.0009996891021728516
