Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 3.0223     98.9445     70.71518586 97.92005657 55.54545455  0.
  9.10019495 69.68784747  1.        ]",[0.82946749 0.86536131 0.99860567 0.92322014],0.4394695808,0.0332558155059814
1,"[2.02230000e+00 9.99445000e+01 7.17151859e+01 9.28639960e+01
 5.45454545e+01 2.44000000e-02 1.01001949e+01 6.96974879e+01
 1.00000000e+00]",[0.85482066 0.94585323 0.99754781 0.96539801],0.43952120699999997,0.0321354866027832
2,"[  2.0223      99.9445      71.71518586  98.92005657 100.
   8.10118384  48.47447576  69.69748788   0.        ]",[0.87133197 0.94045274 0.4688848  0.46734357],0.43070548231250005,0.0203001499176025
3,"[4.24023000e+01 9.99445000e+01 9.49463475e+01 9.89200566e+01
 5.45454545e+01 2.44000000e-02 4.54449273e+01 5.45528818e+01
 0.00000000e+00]",[0.80174013 0.6850574  0.83898145 0.43482298],0.39027550612499995,0.0233569145202636
4,"[2.02230000e+00 9.99445000e+01 9.49463475e+01 9.89200566e+01
 5.45454545e+01 2.44000000e-02 8.38192081e+01 6.76782071e+01
 0.00000000e+00]",[0.89127856 0.85949115 0.56037092 0.43482298],0.30823931174999997,0.0291800498962402
5,"[2.02230000e+00 9.99445000e+01 8.48458424e+01 9.79107131e+01
 7.17171717e+01 2.44000000e-02 4.54449273e+01 7.67649707e+01
 0.00000000e+00]",[0.83107332 0.8800175  0.64942366 0.43482298],0.4029175744999999,0.0168561935424804
6,"[ 2.0223     99.9445     71.71518586 97.91071313 71.71717172 55.55228889
 53.52372323 49.5046798   0.        ]",[0.83681759 0.90943302 0.59667426 0.44426803],0.3057471755125001,0.0186541080474853
7,"[2.02230000e+00 9.99445000e+01 8.48458424e+01 9.28639960e+01
 5.55555556e+01 2.44000000e-02 4.84744758e+01 6.76782071e+01
 1.00000000e+00]",[0.95910945 0.89166304 0.99878865 0.96145492],0.373878560625,0.015181541442871
8,"[ 2.0223     99.9445     71.71518586 97.91071313 63.63636364 31.32193737
 55.54342222 50.5143202   0.        ]",[0.86789921 0.90943302 0.5791415  0.44426803],0.32467153157500006,0.0347375869750976
9,"[ 17.1648      99.9445      71.71518586  98.92005657 100.
  30.31233939  45.44492727  54.55288182   0.        ]",[0.80184732 0.85086375 0.91626126 0.46734357],0.40672584091249997,0.0326731204986572
10,"[3.30000000e-03 9.99445000e+01 7.17151859e+01 9.89200566e+01
 7.37373737e+01 5.55522889e+01 4.74646263e+01 4.95046798e+01
 0.00000000e+00]",[0.83681759 0.76276286 0.69000047 0.44426803],0.3120608697499999,0.0232326984405517
11,"[ 2.0223     99.9445     71.71518586 98.92005657 76.76767677 30.31233939
 40.3956798  77.77461111  0.        ]",[0.82153317 0.89846082 0.89103019 0.47206708],0.39409603282500005,0.0326030254364013
12,"[ 2.0223     99.9445     71.71518586 92.86399596 95.95959596 67.66746465
 57.56312121 68.68784747  1.        ]",[0.93837955 0.90372007 0.99853086 0.97502903],0.3461443446874999,0.0271251201629638
13,"[2.92788000e+01 9.99445000e+01 7.17151859e+01 9.89200566e+01
 5.45454545e+01 2.44000000e-02 2.72676364e+01 7.67649707e+01
 1.00000000e+00]",[0.95766564 0.8066385  0.99890697 0.9555853 ],0.4533968078749999,0.0293483734130859
14,"[2.02230000e+00 9.99445000e+01 7.17151859e+01 9.79107131e+01
 1.81818182e+01 2.44000000e-02 5.85729707e+01 1.11383444e+01
 1.00000000e+00]",[0.94923566 0.84141778 0.99178493 0.92733767],0.25396836612499996,0.0151553153991699
15,"[2.02230000e+00 6.46348737e+01 7.17151859e+01 9.79107131e+01
 7.27272727e+01 2.44000000e-02 1.31297434e+01 6.86878475e+01
 1.00000000e+00]",[0.92258144 0.9206307  0.9963246  0.92948711],0.495028130125,0.0291748046875
16,"[1.81743000e+01 9.99445000e+01 9.99966000e+01 9.89200566e+01
 0.00000000e+00 9.99746000e+01 1.70000000e-03 9.99867000e+01
 0.00000000e+00]",[0.0013078  0.75586352 0.93900132 0.87538548],0.2741544292500001,0.0229589939117431
17,"[ 2.0223     99.9445     84.84584242 98.92005657 71.71717172 55.55228889
 47.46462626 49.5046798   1.        ]",[0.94957729 0.78663853 0.99942124 0.95235161],0.29564604672499994,0.0147652626037597
18,"[2.02230000e+00 9.99445000e+01 7.27252364e+01 9.89200566e+01
 5.45454545e+01 2.44000000e-02 5.35237232e+01 4.95046798e+01
 0.00000000e+00]",[0.87133197 0.89274474 0.55949658 0.43482298],0.35116814762500004,0.03017258644104
19,"[1.81743000e+01 9.99445000e+01 7.17151859e+01 9.28639960e+01
 6.56565657e+01 2.44000000e-02 7.47305626e+01 6.76782071e+01
 1.00000000e+00]",[0.95621048 0.82513184 0.99711478 0.96145492],0.390288035375,0.025928258895874
20,"[ 2.0223     99.9445     71.71518586 98.92005657 71.71717172 25.26434949
 52.51387374 67.67820707  0.        ]",[0.86789921 0.90943302 0.74844307 0.44426803],0.3663246414125001,0.0269486904144287
21,"[2.02230000e+00 9.99445000e+01 7.17151859e+01 3.43220768e+01
 5.45454545e+01 2.44000000e-02 5.75631212e+01 6.86878475e+01
 1.00000000e+00]",[0.95766564 0.86336563 0.99540734 0.95016617],0.45210789762500003,0.0287973880767822
22,"[  2.0223      99.9445      94.94634747  98.92005657 100.
   4.06279192  26.25778687  69.69748788   0.        ]",[0.87533692 0.92753878 0.48374274 0.58518574],0.4344853813124999,0.0161523818969726
23,"[ 2.0223     99.9445     98.98654949 82.77056162 57.57575758 54.54269091
 47.46462626 69.69748788  0.        ]",[0.8106192  0.88514    0.84599429 0.4307675 ],0.30698327147500004,0.0278983116149902
24,"[ 2.0223     99.9445     67.67498384 98.92005657 71.71717172  8.10118384
 52.51387374 49.5046798   1.        ]",[0.95576766 0.83049641 0.99921238 0.94626374],0.3701119419125001,0.0261297225952148
25,"[ 2.0223     99.9445     88.88604444 98.92005657 54.54545455  8.10118384
 26.25778687 74.7456899   0.        ]",[0.87533692 0.87762512 0.89548326 0.47206708],0.38650484091250004,0.0381734371185302
