Unnamed: 0,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 1.67978621 65.63305414 86.02863215 95.46521578 67.          3.8755061
 79.77259643 11.48462757  1.        ]",[0.95910945 0.78125657 0.9931559  0.91216242],0.31173676147500007,178.14826107025146
1,"[ 1.98893038 55.69763102 58.5105254  97.34944318 75.         27.15368418
 32.7302662  24.75281854  1.        ]",[0.95446987 0.79738666 0.99578202 0.90525071],0.4128752486749999,194.52949738502505
2,"[36.82273283 93.81901472 90.94220714 98.22980891 68.          3.06299352
 37.81053907 53.58488241  0.        ]",[0.76261304 0.6487843  0.71584684 0.36961831],0.41817881484999997,174.8818118572235
3,"[14.85913346 66.98359231 92.01784144 98.43618003 61.         22.37448967
 32.47161109 69.11711033  0.        ]",[0.76922501 0.81948136 0.70042276 0.33708213],0.41586566156250004,180.77039098739624
4,"[13.73967108 99.29261294 81.35987169 92.71144005 71.         17.61082107
 22.46467868 75.50383046  0.        ]",[0.74096077 0.78835994 0.64972264 0.42381093],0.4335050963875,177.92485117912292
5,"[23.7062631  68.1801716  99.42818422 98.53992104 64.         32.43518328
 31.83520023 77.38960294  0.        ]",[0.75708835 0.72639672 0.82736826 0.33708213],0.4183465070875001,176.5133707523346
6,"[18.77049457 64.97179625 69.42168999 99.3212723  64.         56.37740563
 13.80210186 72.38780378  0.        ]",[0.60034338 0.74566939 0.89951289 0.29277084],0.43908004040000004,178.58583092689514
7,"[ 1.67606551 78.75981425 94.87297572 93.16396913 86.          6.30574386
 58.00108847 58.32354963  1.        ]",[0.95910945 0.75223861 0.99217683 0.93646284],0.3936200296375,171.7975070476532
8,"[18.2401696  97.37827926 85.16154937 98.74730089 62.         25.27876471
 42.24725396 69.43820713  0.        ]",[0.76922501 0.80500342 0.77224904 0.33708213],0.376081535675,175.5867781639099
9,"[ 7.48499281 71.67698768 92.7527849  98.18914654 78.          3.49037442
 42.63935383 82.7647624   0.        ]",[0.79626413 0.77061438 0.7210921  0.36961831],0.4493763848,178.55339288711548
10,"[15.64275331 98.56596495 90.16768689 89.50510184 68.         27.68080205
 40.95707795 83.60788428  0.        ]",[0.61865984 0.78835994 0.7711826  0.32434026],0.40046750488750005,176.50959610939026
11,"[ 1.88679566 82.41380606 91.29822626 97.77898664 42.          2.83965097
 54.86869383 75.77778392  0.        ]",[0.79626413 0.83971581 0.63152146 0.32408681],0.36308151977500014,176.092946767807
12,"[ 1.71137994 99.89737393 45.8680794  85.68184814 69.         13.25206653
 12.71406548 23.78710973  1.        ]",[0.93117255 0.78263865 0.99823761 0.92069151],0.4213563202375,178.85212421417236
13,"[ 2.23191241 81.06961968 93.0734676  96.93473699 63.         15.62604636
 21.97859935 14.82736067  1.        ]",[0.95910945 0.77077827 0.99665427 0.9321656 ],0.339221003875,175.1140375137329
14,"[ 2.27689928 65.1571464  93.89579563 94.74176643 66.          4.69746932
 33.40274099 43.74065911  1.        ]",[0.95910945 0.74486726 0.99738199 0.92707609],0.4001532995250001,175.02781891822815
15,"[ 1.76550217 66.30979688 66.7038609  97.21924997 59.          5.32528402
 32.1402536  18.25740577  1.        ]",[0.95576766 0.77566277 0.99491239 0.90476021],0.3891555782125,176.0074803829193
16,"[ 2.82149179 73.60148267 95.21010363 98.51165679 56.         38.85137485
 20.71272441 68.82178845  0.        ]",[0.80405766 0.86500368 0.68759435 0.33708213],0.3759449223624999,174.3568012714386
17,"[ 2.30785169 80.30940404 81.37324182 87.95497241 49.         18.08096472
 28.15637041 10.964573    1.        ]",[0.95910945 0.72571966 0.99677664 0.9217366 ],0.3329968391125,173.4602062702179
18,"[15.07618233 98.47049431 70.52710676 98.19109101 61.         35.62633505
 17.08350554 54.25868055  0.        ]",[0.67121565 0.79822042 0.91417062 0.31590306],0.38804541276250004,177.08149075508118
19,"[ 2.86542722 91.47268637 66.82537778 97.61272602 67.         10.22914992
 80.98275116 59.98275626  1.        ]",[0.95425038 0.72198177 0.99261147 0.90920422],0.3534068652875,173.7734317779541
20,"[ 2.03674511 78.14119155 97.80305346 82.54765885 31.         51.56701619
 30.5006807  65.63416397  0.        ]",[0.8059588  0.69652827 0.74959075 0.2980098 ],0.3226391354125,177.16554760932922
21,"[ 2.0259866  54.41480421 77.80970702 91.58219427 86.          6.33227043
 31.76071753 15.6809577   1.        ]",[0.95766564 0.73836811 0.98943466 0.9186753 ],0.4272590635499999,174.27461528778076
22,"[27.61917634 77.21089414 71.61433514 99.60421136 62.         32.46525326
 53.48738204 61.14476895  0.        ]",[0.75036792 0.80758807 0.76402128 0.31252641],0.39547733668750007,175.67761063575745
23,"[15.49681356 98.25564998 70.07788678 98.46263478 84.         29.11229882
 35.25996321 52.66023724  0.        ]",[0.76273512 0.79822042 0.80152678 0.3971759 ],0.4012357715375,176.26823210716248
24,"[ 2.02864606 42.56643794 58.31220958 96.06297576 69.         12.10415256
 25.91324369 25.33993989  1.        ]",[0.95515777 0.78959311 0.97979534 0.90931633],0.45176195802499997,173.4541552066803
25,"[14.72940997 47.72614373 74.18149433 98.27029115 93.         33.73348956
 50.9914812  65.79796165  0.        ]",[0.69850845 0.77158247 0.78017688 0.31375356],0.4607805895625,177.22343564033508
26,"[ 2.91395666 89.03481807 75.77580022 94.13285048 71.         27.94428091
  9.84206525 61.82782199  1.        ]",[0.92324659 0.79851622 0.99875236 0.92707609],0.42376495464999997,176.12694787979126
27,"[ 2.38710665 68.62963647 85.42602669 92.39619149 77.         48.6448271
 56.87430595 21.0832835   1.        ]",[0.95593931 0.7691997  0.99330717 0.92616596],0.31062425306249997,168.97369050979614
28,"[ 1.79891238 40.66864851 95.22646863 92.44764614 74.          8.25663013
 69.25245893 46.65271495  1.        ]",[0.95854364 0.72310175 0.98158747 0.93680147],0.3957497187375,172.54281306266785
29,"[ 2.27480856 54.928012   84.15717341 97.58654292 48.          5.59129519
 62.69032384 88.06010768  1.        ]",[0.92277539 0.77411474 0.99430376 0.92080807],0.41672696109999996,177.6654975414276
30,"[ 6.04825939 88.22149795 89.44823223 99.27144113 17.          0.1353583
 26.42355612 54.64584831  1.        ]",[0.95095226 0.79190888 0.98725224 0.88850252],0.3427425274625,170.69390630722046
31,"[18.9204089  99.99684863 95.79981608 66.69223502 18.         23.28150892
 18.74704821 77.89499532  0.        ]",[0.61504981 0.71931049 0.79849398 0.51475374],0.38787243420000006,176.50928568840027
32,"[ 2.60476978 83.92940905 71.74355439 98.00076747 80.          0.45133505
 68.59247592 33.80814496  1.        ]",[0.95766564 0.79840605 0.99366051 0.92194299],0.367119216075,177.12801504135132
33,"[ 2.02273971 82.77277259 85.30254739 93.51948669 63.         23.2756318
 36.9595123  12.8129217   1.        ]",[0.95790539 0.7691997  0.99630749 0.92616596],0.32000713829999994,176.18338990211487
34,"[13.58062794 99.68395707 79.49122685 93.03805725 58.         12.3026191
 51.42561201 67.4822282   0.        ]",[0.69817365 0.80869626 0.56022877 0.39671817],0.3789017298249999,175.21809935569763
35,"[17.10542107 86.75615076 72.39781893 99.3891566  41.         17.57809912
 53.72020674 87.01719476  0.        ]",[0.56009311 0.75804655 0.90086055 0.31620408],0.3941014796000001,178.27587294578552
36,"[ 1.79336485 65.967622   99.76553272 99.73504229 92.         13.37881347
 85.13536755 45.04911345  1.        ]",[0.95910945 0.76899916 0.97082233 0.89936759],0.3435751253375,171.3733971118927
37,"[ 1.81889044 54.6338393  98.81640757 93.70667932 50.         46.43879797
 28.43519366 66.24062158  1.        ]",[0.95593931 0.74072919 0.99829096 0.94311734],0.37003574274999995,172.11687421798706
38,"[ 2.34035545 78.10039666 86.05029384 95.53664627 99.         20.7381426
 82.83228994 46.9414852   1.        ]",[0.95910945 0.73116733 0.99119753 0.92578359],0.356280089175,176.4901204109192
39,"[28.04756262 84.79054039 72.24962833 83.92169616 62.         48.06855202
 18.45062212 46.13728331  0.        ]",[0.64201887 0.71331817 0.87215114 0.28528866],0.41087975863750004,177.10063242912292
40,"[ 2.48999793 64.55597126 78.69802044 57.86079582 40.         37.28859633
 52.98565072 18.17202813  1.        ]",[0.95642099 0.70971111 0.99818307 0.91973482],0.3365912393624998,178.0275945663452
41,"[20.4043726  98.74153521 95.38866816 82.30889804 29.         31.73283012
 62.9948     79.76600257  0.        ]",[0.71501698 0.67721364 0.83650762 0.32786764],0.3225045545499998,173.28354454040527
42,"[8.03050159e-02 5.51521829e+01 5.60131878e+01 9.94968352e+01
 8.40000000e+01 4.12705674e+01 6.35465981e+01 5.40910156e+01
 1.00000000e+00]",[0.95079967 0.76097204 0.99581748 0.90967412],0.40336493651987504,171.01113271713257
43,"[14.70491879 64.66037714 73.56187316 98.27628396 89.         42.52218498
 42.80774137 80.04080716  0.        ]",[0.74288379 0.74852765 0.86961651 0.33708213],0.45239658167499996,178.48107147216797
44,"[29.47892336 65.69879592 98.7929175  99.38661527 58.         25.71391145
 30.2711413  52.0527783   0.        ]",[0.75708835 0.75080503 0.81115454 0.33708213],0.399585400275,175.62829494476318
45,"[18.07363167 62.41008528 80.23633465 99.88201591 97.         22.76822618
 48.12009839 50.81646908  0.        ]",[0.76922501 0.77158247 0.74983019 0.3328577 ],0.440591675425,177.40196347236633
46,"[ 1.88533892 67.37006032 93.2418629  93.58237423 65.         44.26107734
 46.7451912  24.44198223  1.        ]",[0.95593931 0.7836798  0.99559718 0.92616596],0.30765844394999986,177.1073701381683
47,"[ 1.75969467 82.04054769 68.42542938 72.31369556 58.         13.31455663
 43.27241729 21.36168648  1.        ]",[0.95766564 0.72426141 0.99676192 0.90476021],0.37719341824999997,173.97821402549744
48,"[19.09619092 82.84424204 96.86374553 98.45139014 63.         55.80944025
 37.82371247 81.07916593  0.        ]",[0.71036307 0.73009767 0.91735792 0.33708213],0.364228533025,173.05469298362732
49,"[19.29102379 86.99416353 73.44379968 98.99843284 74.         53.00066517
 40.92779194 79.79731625  0.        ]",[0.74288379 0.75404024 0.86059505 0.33708213],0.3996543586,176.63145565986633
50,"[ 2.40457237 73.43282303 77.37040304 96.05673638 71.         26.49848717
 32.05003667 25.61456926  1.        ]",[0.95642099 0.79922369 0.99483407 0.92616596],0.367013319175,174.1073694229126
51,"[26.71356827 60.2457903  96.83597463 82.61904851 46.         48.24548086
 28.81158837 82.11961119  0.        ]",[0.6927813  0.65434194 0.86832964 0.29965699],0.42259412098749993,174.80385446548462
52,"[ 2.41251206 68.3317163  81.09155631 93.00900812 57.          7.18835039
 27.11516634 18.59078715  1.        ]",[0.95910945 0.78699723 0.99810165 0.92616596],0.37658437718750004,175.92507147789
53,"[ 2.1261028  51.3076842  83.96899463 93.47238665 63.         19.11166341
 56.48605669 13.87523416  1.        ]",[0.95910945 0.78044966 0.99594057 0.92358401],0.343318189225,167.2945520877838
54,"[33.13992486 98.4515165  94.97882266 97.50973235 74.         20.31843053
 23.31651348 79.09491341  0.        ]",[0.76261304 0.68983558 0.79776013 0.36192377],0.43957477843750004,173.57577800750732
55,"[ 1.80381665 79.63971487 86.92460685 98.11563108 83.         13.93656978
 59.61433788 62.28061931  1.        ]",[0.95910945 0.79546475 0.99472445 0.91913182],0.38606696937499996,187.78639006614685
56,"[ 2.32466541 49.26816683 56.40627266 97.45355545 48.05017189 43.59318215
 38.79694883 69.84198183  1.        ]",[0.95079967 0.76874459 0.99740654 0.91973376],0.4183733665124999,174.28136324882507
57,"[ 2.4205798  79.4219996  59.53158406 94.53773306 99.         49.60967191
 28.18528229 14.0838859   1.        ]",[0.95079967 0.76716799 0.96973574 0.91248155],0.38027274347499995,172.6970992088318
58,"[ 2.08948399 49.22171016 87.94330638 97.22951142 46.         52.34638287
 35.79361881 12.07716032  1.        ]",[0.95593931 0.78044966 0.98899239 0.9190133 ],0.29704014333749995,174.23478865623474
59,"[ 2.23225319 63.00167241 84.00280133 95.99266109 44.         12.35479087
 63.51058689 45.88853197  1.        ]",[0.95910945 0.75223861 0.9952212  0.91213576],0.34157284071250005,174.7371802330017
60,"[28.8584573  84.53004845 95.72652472 98.81239971 48.         12.43621506
 40.44598301 69.59532862  0.        ]",[0.76261304 0.81624571 0.79266733 0.34090547],0.39312826871249995,178.84950375556946
61,"[ 2.29313321 85.07569752 80.7433336  95.19435038 61.          9.39226691
 27.41771135 13.52581041  1.        ]",[0.95910945 0.78699723 0.99483031 0.92616596],0.348744479825,172.14700365066528
62,"[ 2.90937292 67.1957778  76.10534369 98.61250915 92.          8.13958448
 39.04946972 63.25943807  1.        ]",[0.95766564 0.75942942 0.99864286 0.92707609],0.4613326576875,172.31685209274292
63,"[15.91646981 99.78214585 88.33005447 81.99997024 99.         23.90628348
 32.11589146 79.9734175   0.        ]",[0.70644951 0.71679664 0.78963214 0.34505434],0.46094442726250007,178.0144021511078
64,"[ 2.04257219 72.51476503 86.26060072 95.93763504 87.         24.95375897
 69.44825485 61.75143774  1.        ]",[0.95790539 0.73252387 0.98119992 0.91913182],0.3770987441499999,172.22763514518738
65,"[ 2.45877556 92.25565752 74.18390232 96.88308546 66.         16.12698967
 65.69518207 19.76749302  1.        ]",[0.95766564 0.74744437 0.99705541 0.92616596],0.303851814425,171.05177879333496
66,"[ 1.12427392 78.43839186 72.0638547  92.94588706 56.         40.99313664
 33.05425733 78.17391572  0.        ]",[0.73730627 0.73318986 0.63038671 0.39736685],0.3972533275625,176.57391119003296
67,"[ 2.48479497 69.91677418 98.56432035 99.932982   58.         21.72448788
 28.60659203 24.49713891  1.        ]",[0.95910945 0.79717045 0.99747974 0.92616596],0.3327959718,169.27590346336365
68,"[25.47787418 74.09133276 80.12536265 98.23162015 37.         16.66438549
 45.58782597 55.34329797  0.        ]",[0.76261304 0.77674041 0.70138544 0.2888296 ],0.3789008064125,174.51064610481262
69,"[23.10610543 99.98681841 98.76599232 82.2708211  57.         64.72707265
 36.47044101 62.10186219  0.        ]",[0.65039537 0.74815217 0.74039191 0.4307675 ],0.32498352766249994,180.4885993003845
70,"[ 1.98872676 87.33524063 90.498789   73.6169315  83.          0.25378779
 39.03151799 11.09246478  1.        ]",[0.95910945 0.74635442 0.97320867 0.90005251],0.38168115578749995,175.03439950942993
71,"[ 2.33778458 80.93016022 70.36757329 99.51608559 59.          5.12407578
 56.63984541 80.80607706  1.        ]",[0.95766564 0.7551324  0.99918109 0.90920422],0.4119576516875,174.33235454559326
72,"[ 3.95982898 48.10485621 70.76158008 99.1573419  61.          3.05240847
 73.32793819 68.75754637  1.        ]",[0.95621048 0.73260297 0.99337655 0.92071724],0.42414156312499995,176.31004190444946
73,"[ 1.65991744 56.9626548  90.57507981 98.93074863 68.         26.9336161
 66.47876017 12.6577435   1.        ]",[0.95790539 0.78708681 0.99574584 0.92459177],0.3030460017875001,174.80846238136292
74,"[ 2.03790506 51.9306348  92.70742582 93.27882928 77.         35.73524597
 42.98196758 60.62375784  1.        ]",[0.95790539 0.72478058 0.99528402 0.94311734],0.4037844493125,170.26470232009888
75,"[29.158214   58.05180889 72.2869355  99.47100095 98.         32.56521432
 43.13359132 61.04915501  0.        ]",[0.75036792 0.76773162 0.8261134  0.35295481],0.4783735225375,172.8629560470581
76,"[ 2.20740437 56.6155054  98.30844145 97.49941531 50.         19.66887873
 25.38126419 20.8508771   1.        ]",[0.95910945 0.7492932  0.99850625 0.93070975],0.34448097048750004,167.35415697097778
77,"[ 1.58231684 59.60486221 85.22214608 97.14035969 68.         37.83422309
 59.2343944  44.07727106  1.        ]",[0.94793079 0.73252387 0.99646252 0.91742102],0.3432795030375,171.12445950508118
78,"[12.47061701 98.66537169 83.1921692  98.99444527 53.         26.33359892
 23.47124374 75.42188438  0.        ]",[0.76922501 0.78835994 0.89399898 0.36192377],0.3877945907125,173.31614518165588
79,"[ 2.17899216 59.61992703 61.81626256 95.94807885 62.         56.09494497
 40.52989427 15.79707214  1.        ]",[0.9437392  0.77848847 0.99182105 0.90277754],0.332458695775,167.99444317817688
80,"[ 2.39798487 86.4353001  80.99450315 91.43477956 71.          4.79866457
 65.67260985 21.43975743  1.        ]",[0.95910945 0.74739956 0.99768078 0.92616596],0.33187735633750004,176.1338653564453
81,"[13.09795164 61.11177687 94.91103475 94.68719144 99.         43.31790913
 30.20133673 75.2241523   0.        ]",[0.71381166 0.74852765 0.67382348 0.35295481],0.453866068775,172.96468019485474
82,"[17.59091925 81.40091241 81.6231744  98.76080653 46.         25.16676267
 15.29261375 81.65951341  0.        ]",[0.67121565 0.75804655 0.87335747 0.34090547],0.428757703625,174.58501052856445
83,"[ 2.12279594 42.75445321 62.24537349 92.46069755 71.         17.91839474
 32.13288617 41.88769032  1.        ]",[0.95576766 0.71286209 0.9825784  0.93592902],0.459373351375,176.88375425338745
84,"[ 4.41502918 59.30036396 96.77632018 98.2544697  96.          0.11774505
 76.94747732 61.916661    1.        ]",[0.95910945 0.7922161  0.99720132 0.92670045],0.4136691424625,169.82650685310364
85,"[ 2.30940936 93.88888148 92.6462845  99.23369239 97.          4.39158086
 11.65117105 23.88369987  1.        ]",[0.93949039 0.78469009 0.98939472 0.94562579],0.40172687368750004,175.46045207977295
