,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[36.71286235 97.07115114 83.94478016 97.33841216 85.         75.76407042
 63.13351338 76.98999588  1.        ]",[0.92531677 0.68342414 0.99054015 0.94399832],58.35851889887999,223.28960537910461
1,"[ 5.08220615 96.63770046 63.67462481 66.20399563 36.         19.65138556
 79.24531407 71.73297441  0.        ]",[0.77251245 0.75763999 0.93264598 0.26628016],78.56588525228528,215.04856824874878
2,"[ 0.60813438 99.76870967 98.68548059 99.00468999 71.         14.80668686
 75.61674886 75.92707109  0.        ]",[0.82118449 0.70933997 0.68566787 0.60572719],3.149254124337915,216.25047373771667
3,"[ 5.87617796 97.52756849 94.67315377 91.41356749 91.         32.22473936
 66.66707702 49.39780894  0.        ]",[0.82253551 0.8475451  0.67469645 0.37473637],22.261888211620317,255.38543796539307
4,"[ 0.80169673 99.68499416 68.04198357 89.76581076 32.         41.78227275
 27.91075974 76.32161112  0.        ]",[0.80805377 0.80291465 0.86853778 0.56194828],43.30890824359665,198.75179076194763
5,"[15.54122587 89.1796475  99.87832333 77.16605929 59.         75.16814043
 81.56627556 65.75245732  1.        ]",[0.94289207 0.58313144 0.99197769 0.9160086 ],49.31719575089426,251.19391584396362
6,"[15.04134075 97.49885418 95.10884004 94.24334449 20.         27.71986393
 78.42712838 45.71836381  0.        ]",[0.80217592 0.8469971  0.89679527 0.21164341],28.19030205176216,219.27721548080444
7,"[ 2.95712665 98.42016612 94.91555706 82.79544164 72.         41.05130328
 67.90760268 83.2110055   0.        ]",[0.86214832 0.73485458 0.87937254 0.4035495 ],26.825961826170555,189.53576803207397
8,"[ 6.11557094 93.61430097 87.39352023 99.25761778 53.         30.55186265
 74.65341748 83.47513579  0.        ]",[0.69675836 0.78705593 0.80567193 0.39554644],25.85013196263776,176.124125957489
9,"[10.56450573 88.22571875 44.38625025 43.03014089 87.         37.66415666
 24.34591806 82.63400164  1.        ]",[0.94152063 0.64252875 0.99640429 0.90786665],134.9223958361831,185.54783010482788
10,"[22.17086007 98.74580345 67.78114365 85.90103954 67.         33.85719349
 77.61004877 79.19433797  0.        ]",[0.88490054 0.74076449 0.83292204 0.32697809],69.7428734205161,231.4008023738861
11,"[ 3.13820335 88.22546448 79.51590774 78.90642938 37.         35.04041535
 82.31837248 79.11075385  0.        ]",[0.73893044 0.78740595 0.86540377 0.30248804],56.490401749674504,188.34342122077942
12,"[36.43613099 45.68111329 99.97676415 93.02722144 76.         68.07102975
 66.79749484 68.58529687  1.        ]",[0.93690649 0.59779692 0.99096864 0.91730057],97.75103211369122,178.5257396697998
13,"[ 0.57903324 97.4873755  68.52128387 87.02705726 64.         30.85798754
 11.23114681 68.13899943  0.        ]",[0.61927225 0.82056741 0.8735382  0.56767786],47.543316612290994,219.5013234615326
14,"[28.68880423 96.4379841  70.3349431  99.86428547 86.         36.88913946
 26.43184442 82.31170336  0.        ]",[0.75793459 0.80882562 0.66684973 0.60547758],62.051591560816576,181.83444571495056
15,"[ 4.67273705 90.74303089 99.91576712 68.5401926  62.          7.81751051
 16.24284816 54.72551262  1.        ]",[0.93281764 0.63403277 0.99735779 0.92760378],45.47374644400702,259.8948564529419
16,"[6.47010628e-02 9.89281410e+01 7.68749806e+01 7.46299378e+01
 5.70000000e+01 4.68283325e+00 7.43719053e+01 7.82404884e+01
 0.00000000e+00]",[0.88321042 0.69560177 0.61052912 0.5724612 ],49.6316416428964,179.01428246498108
17,"[19.14589543 69.70504485 50.2046988  56.23695906 89.         37.69022285
 48.07173439 82.72324118  1.        ]",[0.95023511 0.57552625 0.99948919 0.9155073 ],142.99919271964455,212.88889741897583
18,"[17.7219751  94.72920282 99.91452945 92.48631492 87.          3.13461481
 23.36590286 37.43735326  1.        ]",[0.96340367 0.61243257 0.99719042 0.9087669 ],30.591927913005065,217.14124727249146
19,"[ 2.35241541 98.72260632 67.09679413 86.63610174 25.         40.54408781
 18.79477599 59.29417653  0.        ]",[0.81905166 0.81142895 0.83993673 0.35868868],49.89691321657915,216.27623438835144
20,"[ 2.77955202 67.09288042 66.27571882 98.21281961 88.         24.26845044
 78.86781439 82.70177035  1.        ]",[0.95118638 0.61464354 0.9968546  0.93222865],71.19813316643064,209.77842736244202
21,"[ 0.59392353 83.86697323 71.84988205 96.08227452 40.         42.52938648
 82.42974115 80.80348374  0.        ]",[0.69143245 0.8362033  0.86302376 0.50310311],48.794793737900704,184.30856204032898
22,"[ 0.09836551 92.010395   96.69883243 77.90228749 22.         30.19499318
 79.7742261  89.56193149  0.        ]",[0.63097178 0.79124681 0.8865     0.46960841],33.48685059952561,243.181058883667
23,"[ 7.30879097 61.97054205 99.8451494  98.66067852 65.         37.58250631
 60.00906105 47.60810181  1.        ]",[0.9627144  0.61096117 0.99708825 0.93723222],46.832420999950386,289.5218029022217
24,"[ 3.6590249  99.99642061 67.15225376 68.23677853 80.         11.45865113
 69.58238377 70.7751976   0.        ]",[0.84063077 0.73856214 0.8543461  0.38737225],68.27357200111169,204.82196593284607
25,"[ 1.22794457 55.57516297 99.95491069 75.97277808 37.         70.98957996
 40.52815829 74.9401098   1.        ]",[0.9400161  0.60646213 0.99523747 0.93919894],69.72509283259416,235.74649858474731
26,"[ 8.19597969 97.88361581 59.50054265 93.63234426 29.         37.41776874
 76.24717573 80.18676678  0.        ]",[0.7711337  0.78071963 0.9557969  0.38605533],57.17947696935994,221.4192717075348
27,"[ 0.1286724  98.47350456 54.16529918 97.95103082 37.         32.73515915
 18.96669929 68.31982638  0.        ]",[0.68612467 0.85722637 0.92647123 0.67800071],49.538837839285236,214.02490544319153
