,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[ 1.06102121 98.95406768 99.9967     66.6447899  28.         94.0161
 80.7624     63.5628      1.        ]",[0.37391534 0.69933186 0.96976525 0.53846258],35.465463636363666,-43.605599513181176,-0.5514735451414274,0.04699826240539551,98.28396702599873
1,"[ 1.06102121 98.95406768 99.9967     87.87595354  6.         71.8208
 75.0593     60.5977      1.        ]",[0.86469409 0.60370774 0.93449903 0.7861121 ],14.234299999999962,-0.9389167680191122,-0.06187987572932378,0.09094905853271484,37.89924187612067
2,"[ 1.06102121 63.61343636 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.21233641 0.93935603 0.90472311 0.54743915],52.6691090909091,-5.861960164895379,-0.10015125709178896,0.02399611473083496,284.1143799616481
3,"[ 1.06102121 90.87620909 99.9967     84.80746061 69.         53.3293
 80.054      70.5053      0.        ]",[0.80916337 0.9172314  0.77271158 0.57745049],25.380651515151555,-5.821278979912336,-0.1865679106244165,0.2976715564727783,11.853062613884383
4,"[ 1.06102121 90.87620909 99.9967     19.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[0.84108509 0.87609714 0.99848431 0.97383886],90.38065151515156,-2.558441895810404,-0.027528156364699824,2.6882479190826416,10.213304995357563
5,"[ 1.06102121 98.95406768 99.9967     87.80746061 45.         98.6709
  3.9151     61.8843      1.        ]",[0.11009124 0.11322813 0.16271664 0.52185465],14.302792929292934,-6.479908041599231,-0.3117933540339564,0.0189971923828125,201.25848393574296
6,"[ 1.06102121 90.87620909 99.9967     68.6447899  50.         73.3268
 98.4476     89.9971      1.        ]",[0.87989255 0.69474486 0.40441379 0.66534885],41.54332222222229,24.044779525691354,1.374101829088785,0.03699922561645508,108.01994380936425
7,"[ 1.06102121 69.6718303   0.         84.78177576 60.          5.0044
 65.223      37.6768      0.        ]",[0.08730406 0.24202983 0.73989785 0.76755892],146.60741515151514,115.7661537766675,3.753612810112873,0.022942304611206055,173.30911282696124
8,"[  1.06102121  82.79835051  99.9967      26.29376364 100.
  92.6164      59.3104       6.7457       1.        ]",[0.4015668  0.82821772 0.83705753 0.43192276],91.97220707070704,6.211943297239941,0.07243381752706106,0.012996673583984375,301.5453294687408
9,"[ 1.06102121 98.95406768 99.9967     84.80746061 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.72262074 0.99352854 0.89594183],17.302792929292934,-93.81359606118008,-0.844282260371362,0.07895088195800781,340.90474234773995
10,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18331455e+01
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]",[0.96058661 0.81197037 0.99928564 0.95816439],19.267586868686863,-91.80372463678555,-0.8265295816936711,0.26192808151245117,102.24743811703195
11,"[ 1.06102121 73.82754747 99.9967     41.78177576 65.         71.5749
 16.7207     90.6924      1.        ]",[0.87349367 0.81973113 0.99230677 0.93864799],85.45499797979795,-75.92162953545207,-0.47046236313419987,3.516298294067383,7.657588295535849
12,"[15.19431818 69.6718303  73.74644747 87.86739192 37.         79.1809
 53.0692     31.1356      0.        ]",[0.59350056 0.79127822 0.6685763  0.34438825],83.90864848484841,4.332870574451363,0.054449616305733244,0.583683967590332,6.552140230084129
13,"[ 1.06102121  0.          0.         94.86739192 57.         91.1472
 30.0571     47.7731      1.        ]",[0.00134881 0.01098937 0.29803488 0.75926774],206.1936292929293,200.064676230298,32.64255317112932,0.011949300765991211,324.73243680041503
14,"[ 1.06102121 97.95406768 99.9967     84.80746061 54.          8.7951
 97.14       64.1799      0.        ]",[0.8650679  0.92524497 0.02125503 0.20295168],18.302792929292934,1.1775692657605532,0.0687622707239818,0.0846397876739502,45.674446838776916
15,"[ 1.06102121 88.85674444 99.9967     92.86739192 79.         86.3154
 36.3292     89.1413      1.        ]",[0.82069764 0.74192171 0.98000425 0.94801943],19.340184848484796,-91.81580305188311,-0.8260086099381355,0.01895308494567871,1391.0778665324863
16,"[ 1.06102121 88.85674444 99.9967     87.80746061 63.         92.8676
 18.7256     55.7951      1.        ]",[0.35533173 0.80141064 0.83015019 0.69522464],24.400116161616154,18.585326799912593,3.196216688830779,0.03195023536682129,110.41388264967279
17,"[ 1.06102121 90.87620909 99.9967     19.24239394 86.         81.9628
 80.0029     77.7698      0.        ]",[0.52135348 0.81356431 0.42941868 0.67180002],90.94571818181822,56.789518320145305,1.6626415863044972,0.05199766159057617,73.81757407356461
