cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_1
49.8649,94.2372,41.1279,49.4348,23.0,0.0266,84.4653,12.0781,0.0,False
70.7908,67.0582,24.4925,58.3782,83.0,64.6085,62.8489,28.3865,0.0,False
55.8065,56.6753,6.1279,87.5537,36.0,87.1536,7.0539,14.088,0.0,False
53.7043,53.3337,1.1215,33.8088,52.0,48.5117,56.0697,33.7532,0.0,False
28.1059,21.4856,27.1298,36.1534,23.0,96.6033,23.6959,0.8772,0.0,False
80.9901,3.6028,67.08,98.4063,38.0,25.8116,66.085,53.194,0.0,False
64.7801,9.6676,95.0986,51.3994,37.0,14.7673,57.8683,8.0773,1.0,False
77.1022,76.5298,63.4531,5.5014,65.0,5.0861,85.0191,32.553,0.0,False
99.6383,10.5337,31.1946,81.1177,91.0,63.599,74.4087,45.1126,1.0,False
47.6685,18.1365,67.2416,60.9226,72.0,11.7441,43.5774,75.3175,0.0,True
25.5899,84.4417,11.9756,20.8096,81.0,27.0925,62.0472,25.6558,0.0,False
75.1705,72.4055,80.7784,95.9624,67.0,50.5352,76.9351,5.4622,1.0,False
11.2772,7.0714,2.4327,15.2873,26.0,55.2691,85.5166,24.8658,0.0,False
85.9199,40.5195,83.7769,45.0445,10.0,1.1821,46.9143,85.0084,1.0,False
47.1052,5.2509,30.9349,85.0053,41.0,84.6687,15.4832,54.0202,1.0,False
76.7007,87.1254,5.5697,79.8534,46.0,7.219,50.2954,70.0551,1.0,False
94.6659,35.6224,72.1559,30.9994,36.0,37.8145,64.7503,13.1995,1.0,False
43.1081,69.5271,27.7697,78.7833,24.0,57.9363,95.7025,37.6868,1.0,False
61.1843,43.9459,13.3686,47.1105,84.0,17.0109,27.4728,32.7683,1.0,False
20.134,40.4649,16.5636,58.7764,99.0,4.7882,16.0098,46.4248,1.0,False
0.996,65.9381,13.6397,8.2114,41.0,49.0988,23.1284,72.355,0.0,False
42.6828,64.3434,89.6942,91.0768,98.0,95.9614,29.0026,3.9463,0.0,False
90.9224,68.2467,34.958,79.5986,35.0,92.3382,31.1352,35.2596,0.0,False
31.6491,3.1785,35.4877,2.811,50.0,70.7425,18.4708,82.298,1.0,False
86.2336,91.1734,77.1083,77.3821,35.0,32.5119,74.6892,96.2222,1.0,False
11.4995,78.7284,40.5712,51.9918,15.0,12.163,56.005,61.0359,0.0,True
80.0987,22.7677,13.7555,77.3083,60.0,48.8431,76.6809,43.6577,1.0,False
3.6903,63.2684,21.2968,73.3776,43.0,0.9796,93.3612,78.4255,0.0,True
49.9009,97.5961,88.9396,87.85,15.0,98.7599,15.6674,20.2891,1.0,False
15.6046,13.7581,79.0958,0.906,71.0,48.8888,49.0062,41.9591,0.0,False
98.2135,78.193,89.207,42.5145,8.0,83.4771,82.3375,13.7293,1.0,False
85.2887,32.9451,93.139,38.4768,8.0,58.4439,3.1337,91.5441,0.0,False
81.5375,32.4729,44.9946,32.9795,84.0,29.8551,67.308,19.9987,1.0,False
66.5832,35.7062,76.0681,79.3065,28.0,93.8352,26.5467,72.2601,0.0,False
94.2079,41.9528,97.0183,9.0682,41.0,59.8486,75.391,27.6205,1.0,False
45.7536,96.0231,76.5709,70.539,32.0,37.4442,96.6035,32.0011,0.0,True
58.7003,27.7789,56.1262,84.2603,27.0,77.5856,35.6293,19.519,0.0,False
28.0353,83.5255,59.0214,86.2949,58.0,85.8615,30.1243,89.0665,0.0,False
62.8405,88.9594,62.9357,7.0672,23.0,65.2745,39.075,61.0005,1.0,False
39.3293,46.1365,87.0461,5.7335,5.0,46.0562,29.2469,74.1648,1.0,False
9.6582,79.0445,5.8835,93.3314,47.0,87.1836,87.9084,24.8314,1.0,False
39.7022,87.796,77.5062,38.1488,42.0,2.0324,11.8952,89.1162,0.0,False
98.5634,69.3483,21.6673,29.0889,44.0,56.3112,9.1069,98.714,1.0,False
0.278,77.4739,79.8518,52.9801,65.0,89.0862,51.0777,20.5414,0.0,True
79.4999,59.0941,87.2583,60.9852,23.0,0.4091,85.1506,72.6365,1.0,False
21.4263,6.9961,78.624,85.1239,98.0,75.5506,92.1753,95.2169,1.0,False
85.2559,47.9026,39.3681,93.5139,88.0,19.4894,88.2359,35.2814,1.0,False
77.8702,25.7306,57.3368,9.7162,7.0,26.3965,34.6516,9.8162,1.0,False
21.3831,3.0035,40.2435,96.0035,56.0,13.7535,68.9859,97.4738,0.0,False
3.6411,80.1852,49.1769,38.3713,3.0,68.9446,45.462,97.9588,0.0,False
50.3463,51.8198,51.8939,61.083,53.0,58.957,55.8312,97.6872,0.0,False
4.9353,73.4019,45.6804,91.8963,11.0,35.3691,14.7586,90.484,0.0,True
14.2493,87.368,85.7603,38.3448,1.0,86.8688,13.579,34.3589,1.0,False
80.1992,79.1462,71.3771,78.6412,41.0,71.2146,26.1523,58.0106,0.0,False
24.6005,21.1251,18.34,61.4884,27.0,99.6893,41.4918,51.6719,0.0,False
71.6293,30.4977,2.1753,22.2475,48.0,92.2842,39.1584,23.4694,1.0,False
47.3848,22.9776,65.6446,24.7689,34.0,41.6979,21.449,24.2118,0.0,False
8.1324,49.96,81.0059,40.4112,14.0,46.2686,57.0539,59.067,1.0,False
