,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[ 5.08006364 95.93460303 99.9967     94.86739192 28.         94.0161
 80.7624     63.5628      1.        ]",[0.27542411 0.46       0.88       0.96556216],14.281368686868632,0.583452527993245,0.04259425457318225,0.5116913318634033,64.50699635493426
1,"[42.45139091 94.91513838 98.9967     92.8588303   6.         71.8208
 75.0593     60.5977      1.        ]",[0.63000048 0.28       0.45       0.932383  ],55.68072222222219,8.812509949733453,0.18802743954683174,1.1108300685882568,28.932245497524338
2,"[ 9.13719091 87.84701212 77.80650808 97.9102     77.          7.5391
  1.6253     80.0753      0.        ]",[0.15399604 0.97       0.7        0.88448977],45.57347070707067,-5.307887069413482,-0.10431889598407355,1.2878193855285645,26.177772643407227
3,"[5.15000000e-02 7.97691535e+01 9.99967000e+01 8.07475293e+01
 6.90000000e+01 5.33293000e+01 8.00540000e+01 7.05053000e+01
 0.00000000e+00]",[0.84174718 0.81       0.27       0.80529368],39.53811717171715,-49.28877179285911,-0.5548857149833902,0.2823903560638428,129.96773893962586
4,"[36.35617879 98.95406768 94.9967     99.9102     99.          2.4322
 12.8356     94.2017      1.        ]",[0.59280076 0.43       0.97       0.99964201],42.495211111111075,-73.83360688125498,-0.6346974735538036,1.3338110446929932,25.140805400534713
5,"[ 5.08006364 94.93460303 86.86656869 94.86739192 45.         98.6709
  3.9151     61.8843      1.        ]",[0.02086096 0.43       0.26       0.30784458],28.411499999999933,-78.29409975634258,-0.7337393720209967,0.6149532794952393,52.99723297125849
6,"[38.41330606 96.95406768 99.9967     93.86739192 50.         73.3268
 98.4476     89.9971      1.        ]",[0.95515773 0.53       0.44       0.54513115],47.595146464646405,28.29816520621398,1.4664555469704985,0.7092227935791016,44.946333003439676
7,"[39.42282727 98.95406768 69.72642727 55.53348889 60.          5.0044
 65.223      37.6768      0.        ]",[0.90478224 0.86       0.45       0.8397963 ],115.20884343434341,44.340784108103946,0.625680800767835,0.7719998359680176,43.18430099796109
8,"[  4.0515      94.91513838  99.9967      94.89307677 100.
  92.6164      59.3104       6.7457       1.        ]",[0.24327994 0.36       0.65       0.99377245],14.246584848484758,-6.726937004472234,-0.32073473647554446,1.2800374031066895,26.42746736461666
9,"[67.68942121 93.95406768 80.80650808 97.90163838 57.         36.8875
 58.619      10.06        1.        ]",[0.97274764 0.48       0.82       0.95390803],95.02720707070705,-38.56713313076381,-0.2886883761138497,1.064934253692627,40.79653938134507
10,"[17.19431818 93.92487071 59.61631616 88.81602222 32.         47.4298
 72.366      51.9463      1.        ]",[0.97336524 0.74       1.         0.9995302 ],74.83710909090905,-111.1749855362579,-0.5976761121855614,1.040372371673584,46.29929797109659
11,"[ 6.08006364 98.95406768 85.86656869 92.85026869 65.         71.5749
 16.7207     90.6924      1.        ]",[0.91621554 0.45       0.99       0.99912065],28.409158585858563,-5.828848762680309,-0.1702449766817127,0.7282421588897705,51.627849881599715
