cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
2.0223,61.65488282828282,74.7675707070707,89.83596565656565,61.0,59.4238,36.5804,43.2471,1.0,True,True,True,True
32.0223,47.74533737373737,37.6171808080808,29.275359595959596,67.0,23.949,25.0238,53.6776,1.0,True,True,True,True
7.069800000000001,83.86594343434344,95.90911414141414,38.359450505050496,65.0,87.5775,98.0319,60.0834,0.0,True,True,False,False
2.0033000000000003,95.95639797979798,99.9445,83.77990505050505,65.0,13.5431,46.469,6.9455,0.0,True,True,False,False
67.6398,96.96644848484848,81.78526363636364,89.83596565656565,33.0,91.9392,78.1618,52.4151,0.0,False,True,False,False
2.0223,95.95639797979798,99.9445,82.77056161616161,50.0,78.7386,92.5354,96.4319,0.0,False,True,True,False
5.050800000000001,67.68503434343434,68.67025959595959,82.77056161616161,8.0,37.4304,11.9677,23.3809,0.0,False,True,False,True
19.1743,93.93629696969695,90.8648818181818,78.73318787878787,58.0,55.9296,77.3951,73.4457,1.0,True,True,True,True
2.0223,83.83579191919192,54.57294848484848,93.8733393939394,79.0,78.6461,46.5971,37.491,0.0,True,True,True,False
2.0223,74.74533737373737,68.67025959595959,96.90136969696968,100.0,61.8901,33.7806,13.9916,0.0,True,True,True,True
7.069800000000001,92.93629696969695,77.75872424242424,96.90136969696968,6.0,38.2341,60.9858,26.0793,0.0,False,True,False,False
23.1933,74.74533737373737,74.78526363636364,92.86399595959595,36.0,13.0175,6.4716,51.7144,0.0,False,True,True,True
11.0223,79.83579191919192,55.58179494949494,34.32207676767676,71.0,17.7223,43.7174,75.8446,1.0,True,True,True,True
75.0223,80.83579191919192,46.55525555555555,32.30338989898989,75.0,45.8191,57.4668,65.4021,1.0,True,True,True,True
2.0223,93.95639797979798,99.9445,81.77056161616161,17.0,94.4083,90.4286,99.624,1.0,False,False,True,False
32.0698,47.8156909090909,29.626027272727264,92.8733393939394,37.0,27.1257,36.0826,20.9859,1.0,True,True,True,True
24.2218,99.9966,88.85603535353535,88.82662222222221,0.0,16.8725,6.1527,90.9567,0.0,False,False,False,False
30.288300000000003,98.9865494949495,79.77641717171717,93.8733393939394,24.0,78.9343,8.8686,62.7014,1.0,True,True,True,True
7.069800000000001,88.88604444444445,97.93565353535354,77.73318787878787,7.0,25.9059,30.3697,1.9672,0.0,False,False,False,False
74.0223,90.94634747474748,72.90911414141414,32.359450505050496,92.0,58.9648,26.58,71.1283,1.0,True,True,True,True
2.0033000000000003,93.93629696969695,38.40486565656565,83.77990505050505,56.0,16.9334,8.6415,63.9746,0.0,True,True,True,True
68.6493,29.293064646464646,93.89142121212122,32.30338989898989,22.0,93.9653,41.792,44.4401,1.0,False,True,True,False
5.050800000000001,95.95639797979798,99.9445,83.77990505050505,94.0,85.5412,73.2182,68.4091,0.0,False,True,True,False
23.2218,67.68503434343434,63.62602727272726,92.86399595959595,3.0,33.6585,75.1254,31.1717,0.0,False,True,True,False
2.0033000000000003,98.9865494949495,91.87372828282828,78.73318787878787,26.0,21.6758,62.9648,69.5869,1.0,True,True,True,True
2.0033000000000003,90.91619595959595,99.9445,82.77056161616161,50.0,32.119,50.1591,94.1508,0.0,True,True,True,True
46.0223,51.65488282828282,37.661413131313125,92.90136969696968,90.0,5.8182,17.9215,25.1484,1.0,True,True,True,True
2.0223,95.95639797979798,91.87372828282828,92.8733393939394,5.0,47.047,25.3211,81.166,1.0,True,True,True,True
22.1743,93.93629696969695,74.75872424242424,31.30338989898989,11.0,74.8916,69.0168,45.9598,1.0,True,True,True,True
27.2598,90.90614545454544,93.89142121212122,36.340763636363626,57.0,88.3406,6.6329,83.8531,1.0,False,True,True,True
52.183800000000005,47.77548888888889,37.57294848484848,34.37813737373737,77.0,20.2894,66.1089,48.5194,1.0,True,True,True,True
10.0983,65.72523636363636,68.67025959595959,96.90136969696968,84.0,46.3669,39.3889,89.1915,0.0,False,True,True,False
24.2313,95.95639797979798,0.0,40.3874808080808,23.0,6.7965,79.6813,86.9443,1.0,False,False,False,False
5.050800000000001,95.95639797979798,96.9445,82.77056161616161,0.0,42.4944,55.3772,6.4063,1.0,False,False,True,False
24.2313,95.95639797979798,90.8648818181818,83.77990505050505,48.0,71.958,71.4357,84.1356,0.0,True,True,True,False
12.1173,80.1395,73.9176,66.787,45.0,32.8703,66.0056,48.1016,0.0,True,True,True,True
52.7468,89.4844,37.5635,26.6232,63.0,6.2509,67.3528,70.3604,1.0,True,True,True,True
51.48780000000001,80.85589292929293,54.6171808080808,93.8733393939394,60.0,34.5556,60.9073,25.6942,1.0,True,True,True,True
5.050800000000001,95.95639797979798,68.67910606060606,93.8733393939394,3.0,84.8966,1.4904,45.2375,1.0,False,True,False,True
2.0033000000000003,93.93629696969695,38.413712121212114,92.86399595959595,15.0,18.3902,5.7327,34.835,0.0,False,True,False,False
2.0223,93.93629696969695,55.55525555555555,92.8733393939394,58.0,27.8494,57.5182,12.2561,1.0,True,True,True,True
7.069800000000001,92.4422,41.3075,93.0069,67.0,39.1767,60.1401,23.4804,0.0,True,True,True,True
2.0033000000000003,95.95639797979798,67.66141313131313,83.77990505050505,9.0,2.6957,81.0915,2.5583,1.0,True,False,False,False
2.0223,99.9966,50.51986969696969,82.77056161616161,14.0,69.8507,3.9215,70.0643,0.0,False,True,True,False
5.050800000000001,95.95639797979798,97.93565353535354,88.82662222222221,71.0,14.4564,70.9392,22.3957,0.0,True,True,True,True
23.2218,95.95639797979798,73.7675707070707,38.37813737373737,69.0,21.4027,61.6514,19.6983,0.0,True,True,True,False
10.0793,80.87599393939394,93.90911414141414,38.359450505050496,80.0,55.7899,80.7241,47.2629,1.0,True,True,True,True
27.0223,84.87599393939394,55.58179494949494,49.471571717171706,59.0,4.4086,17.6542,75.5936,1.0,True,True,True,True
2.0223,95.95639797979798,99.9445,96.90136969696968,3.0,14.4929,77.5235,8.6305,0.0,False,True,False,False
2.0223,95.95639797979798,96.93565353535354,92.86399595959595,97.0,21.6285,23.918,0.4307,0.0,True,False,False,False
5.050800000000001,80.86594343434344,74.7675707070707,89.83596565656565,76.0,70.2648,99.4058,44.3483,1.0,True,True,False,False
2.0223,95.95639797979798,67.66141313131313,82.77056161616161,59.0,56.9623,64.9574,18.8027,0.0,True,True,True,True
62.0888,74.74533737373737,40.661413131313125,85.80793535353534,75.0,70.5522,10.6259,21.817,1.0,True,True,True,True
5.050800000000001,83.86594343434344,74.7675707070707,89.83596565656565,65.0,49.4864,97.5968,18.5283,1.0,True,True,False,False
2.0223,42.423721212121215,99.9445,83.77990505050505,25.0,10.1328,51.481,3.0304,0.0,True,False,False,False
31.0223,93.93629696969695,93.93565353535354,92.8733393939394,86.0,72.9089,49.8484,13.6755,1.0,True,True,True,True
7.069800000000001,93.94634747474748,79.77641717171717,77.74253131313131,6.0,29.1259,59.9499,10.0156,1.0,True,True,True,True
34.31680000000001,93.94634747474748,93.89142121212122,38.37813737373737,68.0,93.6812,98.5286,84.3358,1.0,False,True,False,False
5.050800000000001,88.90614545454545,96.93565353535354,96.90136969696968,90.0,9.2782,32.6567,45.429,1.0,True,True,True,True
5.050800000000001,90.90614545454544,68.67910606060606,24.22864242424242,20.0,63.9709,9.3201,38.8393,1.0,True,True,True,True
10.0983,95.95639797979798,97.93565353535354,83.77990505050505,58.0,28.8118,58.2564,70.2219,0.0,True,True,True,False
2.0223,73.75538787878787,65.66141313131313,93.8733393939394,64.0,36.5457,2.7113,29.0065,1.0,False,True,True,True
7.069800000000001,85.85589292929293,68.67025959595959,86.80793535353534,38.0,22.9591,11.3488,69.0327,1.0,True,True,True,True
