,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[48.66969829 37.48240866 30.74885835 35.16878545 61.         59.4238
 36.5804     43.2471      1.        ]","[47.9897     47.57294848 30.0369     34.0946     61.         59.4238
 36.5804     43.2471      1.        ]",[0.92091625 0.81073105 0.99349988 0.99017626],[0.94650924 0.81730568 0.99031758 0.99320012],245.26964582463776,236.28525151515151,-8.984394309486248,-0.036630681629107445,30.92309856414795,2.4371554851531982,12.688192752791947
1,"[51.54817805 39.80125838 37.49239541 28.4924262  67.         23.949
 25.0238     53.6776      1.        ]","[ 7.0223     47.61718081 37.74533737 24.2753596  67.         23.949
 25.0238     53.6776      1.        ]",[0.9660784  0.83348149 0.98954296 0.99375749],[0.96743493 0.80023277 0.98245746 0.99813724],245.76209805957592,197.38442222222224,-48.37767583735368,-0.1968475864232991,28.63818597793579,2.4345760345458984,11.763110115095435
2,"[17.03859073 99.96199151 74.46761503 93.1754224  65.         87.5775
 98.0319     60.0834      0.        ]","[11.1078     82.7941101  87.90614545 38.35945051 65.         87.5775
 98.0319     60.0834      0.        ]",[4.22971593e-01 8.13473582e-01 1.52084074e-04 7.85920490e-03],[2.36194615e-01 7.27479994e-01 2.39217970e-05 2.13641534e-03],49.4335617846736,102.04809393939388,52.61453215472028,1.0643483952036996,6.073046684265137,0.07034707069396973,86.32977356917478
3,"[ 1.67633966 98.8540149  94.59108404 89.88059355 65.         13.5431
 46.469       6.9455      0.        ]","[ 2.0033     98.93565354 95.95639798 83.77990505 65.         13.5431
 46.469       6.9455      0.        ]",[0.841872   0.17755185 0.17049804 0.44007558],[0.841872   0.06512949 0.26677188 0.26592505],18.350647165730948,23.331343434343466,4.980696268612519,0.27141801723013653,4.604175329208374,0.06252074241638184,73.64236493778387
4,"[43.97281925 98.77202873 94.620744   77.1368582  33.         91.9392
 78.1618     52.4151      0.        ]","[38.3548     37.39601919 93.93629697 76.71450101 33.         91.9392
 78.1618     52.4151      0.        ]",[0.03144726 0.78791118 0.03159058 0.19910018],[0.02664215 0.87001556 0.00368257 0.00452199],73.4431883190972,130.30798282828283,56.86479450918563,0.7742691434108022,5.874009609222412,0.048483848571777344,121.1539467731466
5,"[69.41367965 92.83065918 94.40967471 75.60554886 50.         78.7386
 92.5354     96.4319      0.        ]","[10.0983     54.54640909 95.95639798 82.77056162 50.         78.7386
 92.5354     96.4319      0.        ]",[0.02150779 0.68466908 0.12957396 0.00621036],[0.03568907 0.00824788 0.52281338 0.00770055],106.56779690404107,76.82493131313129,-29.742865590909787,-0.2790980620317387,5.224467992782593,0.023102283477783203,226.14509071394662
6,"[ 2.00578076 98.82344725 70.15808748 83.90097975  8.         37.4304
 11.9677     23.3809      0.        ]","[ 2.0223     79.76757071 68.68503434 82.77056162  8.         37.4304
 11.9677     23.3809      0.        ]",[0.2133109  0.85130656 0.79973662 0.51294518],[0.18424365 0.83306754 0.88047439 0.14402913],49.12326627995628,70.79913333333337,21.67586705337709,0.4412545967494322,5.059103727340698,0.0373687744140625,135.38318573907716
7,"[72.94144925 37.10069838 40.22355423 37.39385417 58.         55.9296
 77.3951     73.4457      1.        ]","[ 7.0698     37.40486566 80.83579192 34.35945051 58.         55.9296
 77.3951     73.4457      1.        ]",[0.93492369 0.80975264 0.88766497 0.96803045],[0.97357196 0.81855744 0.99361813 0.99489367],258.2233424722651,154.46969191919194,-103.75365055307313,-0.4017981084115855,28.539825916290283,0.3501613140106201,81.50479443147364
8,"[ 7.55124902 99.92846085 95.9635374  96.30309147 79.         78.6461
 46.5971     37.491       0.        ]","[23.2218     65.66141313 95.95639798 89.83596566 79.         78.6461
 46.5971     37.491       0.        ]",[0.64502061 0.90411222 0.7974171  0.56960326],[0.4717424  0.84020269 0.84971559 0.291345  ],15.356159295732141,71.76802323232323,56.41186393659109,3.673565951628891,4.3246941566467285,0.05472421646118164,79.02706400034855
9,"[ 17.02302489  62.72894509  94.78941892  83.21598046 100.
  61.8901      33.7806      13.9916       0.        ]","[  2.0223      98.93565354  74.74533737  92.88268283 100.
  61.8901      33.7806      13.9916       0.        ]",[0.81483601 0.84508777 0.45097998 0.72374022],[0.78986351 0.96338105 0.18188284 0.62528205],76.28868041937938,35.45862626262624,-40.830054156753135,-0.5352046192475653,5.761784315109253,0.0705268383026123,81.69633651216486
