,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]","[0.92737213 0.89444928 1.         0.8778123  0.89431006 0.91319726
 0.88041881 0.89422403 0.78727125 0.90222838 0.5699808  0.98      ]",292.9728,0.22069931030273438
1,"[1.0000000e+00 5.0272000e+00 0.0000000e+00 3.0000000e+00 1.5000000e+01
 3.4316829e+03 7.6000000e+01]","[0.95836432 0.8515383  1.         0.93607464 0.9249333  0.93443031
 0.9321267  0.91986308 0.9387599  0.93975783 0.88249153 0.9       ]",292.9728,1.034722089767456
2,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[0.929657   0.94932543 1.         0.86023123 0.94652209 0.92942543
 0.88556936 0.90542858 0.84771006 0.90356413 0.99207765 0.94      ]",294.9728,0.14590835571289062
3,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]","[0.94813079 0.93741188 1.         0.88854411 0.93734132 0.93374235
 0.89123453 0.90547525 0.89007365 0.91759384 0.95107716 0.96      ]",293.9728,0.5629565715789795
4,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]","[0.65965366 0.92314322 1.         0.87662559 0.91862583 0.90054084
 0.8575131  0.90923016 0.80970406 0.88437035 0.98667461 0.9       ]",290.9728,0.15694117546081543
5,"[1.00000000e+00 5.48142626e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[0.94905598 0.73962012 1.         0.90235186 0.78584389 0.89692981
 0.89042069 0.8810117  0.89484974 0.89802731 0.98761755 0.96      ]",291.51857373737374,0.2119135856628418
6,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]","[0.94020967 0.93605142 1.         0.86187248 0.93884267 0.90272129
 0.86256302 0.84585735 0.85291837 0.85255244 0.92169958 0.79      ]",293.9728,0.1926567554473877
7,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[0.95526181 0.93676621 1.         0.88560427 0.9394495  0.93846505
 0.88081557 0.92490631 0.89110499 0.92718738 0.98155081 0.96      ]",294.9728,0.3497200012207031
8,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]","[0.95498854 0.82916186 1.         0.8980365  0.92012025 0.91349723
 0.88954528 0.9186858  0.90242624 0.93384455 0.98522067 0.95      ]",291.9728,0.5473308563232422
9,"[1.0000000e+00 5.0272000e+00 0.0000000e+00 3.0000000e+00 1.0000000e+00
 9.7201914e+03 6.4000000e+01]","[0.95512433 0.93536565 1.         0.89096163 0.93807751 0.95895196
 0.88633239 0.94723558 0.91113413 0.95356399 0.98958743 0.86      ]",292.9728,0.630652666091919
10,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.08849189e+04 1.70000000e+01]","[0.94461456 0.91494771 1.         0.8988242  0.90949227 0.9157684
 0.88750879 0.90969646 0.86941227 0.90349341 0.91653502 0.92      ]",292.9728,0.17029595375061035
11,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 2.76725594e+04 7.90000000e+01]","[0.95334872 0.91019988 1.         0.85751391 0.86233406 0.92199586
 0.86861689 0.84530628 0.87822514 0.87439477 0.87605822 0.98      ]",294.9728,0.17918610572814941
12,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 1.70000000e+01 2.30060775e+04 5.80000000e+01]","[0.94226395 0.89024472 1.         0.87043927 0.9086029  0.92371387
 0.86742296 0.90557035 0.8603995  0.91010551 0.76893967 0.95      ]",294.9728,0.1571352481842041
13,"[1.00000000e+00 5.48142626e+00 0.00000000e+00 2.00000000e+00
 2.00000000e+00 3.42170099e+04 8.90000000e+01]","[0.94728442 0.77929547 1.         0.7473054  0.73864574 0.89394593
 0.72793962 0.85099443 0.81738036 0.86918906 0.97677535 0.96      ]",293.51857373737374,0.22806501388549805
14,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.92952851e+04 4.00000000e+01]","[0.93600976 0.91220323 1.         0.86086024 0.91761695 0.93143397
 0.87087132 0.90488373 0.87429385 0.91144776 0.98804933 0.96      ]",294.9728,0.20700621604919434
15,"[1.00000000e+00 4.63617899e+01 0.00000000e+00 1.00000000e+00
 1.80000000e+01 3.87629413e+04 6.40000000e+01]","[0.84683783 0.8697313  1.         0.5899172  0.85387878 0.86268022
 0.63630099 0.75626218 0.73263843 0.85512504 0.98017865 0.91      ]",253.6382101010101,0.18114089965820312
16,"[1.0000000e+00 5.0272000e+00 0.0000000e+00 2.0000000e+00 1.6000000e+01
 1.7828963e+03 3.2000000e+01]","[0.95725834 0.94654945 1.         0.9635309  0.95029993 0.95772682
 0.95836416 0.95226151 0.95552366 0.95452689 0.99348855 0.95      ]",293.9728,0.20282959938049316
17,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.40000000e+01 2.53075699e+04 6.70000000e+01]","[0.95297475 0.89284387 1.         0.88753239 0.90696544 0.92533495
 0.87772869 0.89343146 0.87692475 0.91001651 0.84400558 0.98      ]",293.9728,0.27381324768066406
18,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 5.00000000e+00 1.08261176e+04 6.80000000e+01]","[0.97074721 0.92581112 1.         0.89803908 0.92677363 0.91301055
 0.89958997 0.93396402 0.90686563 0.94335093 0.97656882 0.94      ]",293.9728,0.6577348709106445
19,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 4.00000000e+00 2.32563587e+04 8.70000000e+01]","[0.86163749 0.76249782 1.         0.54089238 0.89794505 0.88267916
 0.50088708 0.90293396 0.80837467 0.90341231 0.96624458 0.97      ]",290.9728,0.1839122772216797
20,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 1.80000000e+01 3.58522946e+04 8.10000000e+01]","[0.94287146 0.91613554 1.         0.82755832 0.87381827 0.87331241
 0.8391929  0.86420607 0.85035889 0.89978385 0.85934997 0.86      ]",294.9728,0.10997891426086426
21,"[1.00000000e+00 6.48142626e+00 0.00000000e+00 4.00000000e+00
 8.00000000e+00 3.39268310e+03 8.50000000e+01]","[0.96101517 0.83658525 1.         0.86932874 0.84358965 0.90197236
 0.85130274 0.84673349 0.88705888 0.87716143 0.87460524 0.91      ]",290.51857373737374,0.2226560115814209
