,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]","[0.92737213 0.89444928 1.         0.8778123  0.89431006 0.91319726
 0.88041881 0.89422403 0.78727125 0.90222838 0.5699808  0.98      ]",292.9728,0.0,0.0,0.09902000427246094,1.1337980352499277
1,"[1.0000000e+00 5.0272000e+00 1.0000000e+00 3.0000000e+00 1.5000000e+01
 3.4316829e+03 7.6000000e+01]","[0.90755129 0.8382551  1.         0.94154813 0.92410265 0.91734397
 0.93463858 0.93203018 0.91506655 0.94053311 0.8923431  0.9       ]",291.9728,0.0,0.0,0.5685303211212158,1.3528708720873912
2,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[0.929657   0.94932543 1.         0.86023123 0.94652209 0.92942543
 0.88556936 0.90542858 0.84771006 0.90356413 0.99207765 0.94      ]",294.9728,0.0,0.0,0.16213178634643555,0.8875270208667264
3,"[1.00000000e+00 5.02720000e+00 1.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]","[0.922977   0.93800464 1.         0.8795631  0.9426137  0.9176261
 0.87672975 0.90982237 0.82920998 0.91990252 0.95773923 0.94      ]",292.9728,0.0,0.0,2.661435127258301,0.1789050985821923
4,"[0.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]","[0.65965366 0.92314322 1.         0.87662559 0.91862583 0.90054084
 0.8575131  0.90923016 0.80970406 0.88437035 0.98667461 0.9       ]",290.9728,0.0,0.0,0.09807705879211426,1.043273005724843
5,"[1.00000000e+00 5.48142626e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[0.94905598 0.73962012 1.         0.90235186 0.78584389 0.89692981
 0.89042069 0.8810117  0.89484974 0.89802731 0.98761755 0.96      ]",291.51857373737374,0.0,0.0,0.16080832481384277,1.0311069729376303
6,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]","[0.94020967 0.93605142 1.         0.86187248 0.93884267 0.90272129
 0.86256302 0.84585735 0.85291837 0.85255244 0.92169958 0.79      ]",293.9728,0.0,0.0,0.17245864868164062,0.8474294388285518
7,"[1.00000000e+00 5.02720000e+00 1.00000000e+00 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[0.89565049 0.93736467 1.         0.89251396 0.94455498 0.92761897
 0.88753621 0.92597304 0.86297126 0.92719588 0.95482439 0.94      ]",293.9728,0.0,0.0,0.31241917610168457,1.3051936803112987
8,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]","[0.95498854 0.82916186 1.         0.8980365  0.92012025 0.91349723
 0.88954528 0.9186858  0.90242624 0.93384455 0.98522067 0.95      ]",291.9728,0.0,0.0,0.6664752960205078,0.8849620805609215
9,"[1.0000000e+00 5.0272000e+00 1.0000000e+00 3.0000000e+00 1.0000000e+00
 9.7201914e+03 6.4000000e+01]","[0.93108396 0.93728968 1.         0.9007127  0.94329169 0.94817328
 0.89682622 0.9494023  0.91217744 0.95356956 0.98806947 0.88      ]",291.9728,0.0,0.0,0.3949277400970459,1.3890839851803287
10,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.08849189e+04 1.70000000e+01]","[0.94461456 0.91494771 1.         0.8988242  0.90949227 0.9157684
 0.88750879 0.90969646 0.86941227 0.90349341 0.91653502 0.92      ]",292.9728,0.0,0.0,0.14853930473327637,0.9813536986833468
11,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 2.76725594e+04 7.90000000e+01]","[0.95334872 0.91019988 1.         0.85751391 0.86233406 0.92199586
 0.86861689 0.84530628 0.87822514 0.87439477 0.87605822 0.98      ]",294.9728,0.0,0.0,0.12795400619506836,1.1292488233167748
12,"[1.00000000e+00 5.02720000e+00 0.00000000e+00 1.00000000e+00
 1.70000000e+01 2.30060775e+04 5.80000000e+01]","[0.94226395 0.89024472 1.         0.87043927 0.9086029  0.92371387
 0.86742296 0.90557035 0.8603995  0.91010551 0.76893967 0.95      ]",294.9728,0.0,0.0,0.1583247184753418,0.7774018088672443
13,"[1.00000000e+00 5.48142626e+00 0.00000000e+00 2.00000000e+00
 2.00000000e+00 3.42170099e+04 8.90000000e+01]","[0.94728442 0.77929547 1.         0.7473054  0.73864574 0.89394593
 0.72793962 0.85099443 0.81738036 0.86918906 0.97677535 0.96      ]",293.51857373737374,0.0,0.0,0.14899635314941406,1.4962268136257153
