formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,5.481426262626262,0.0,1.0,19.0,17027.3487,93.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,2.0,12.0,22522.2819,19.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.481426262626262,0.0,3.0,22.0,34665.1032,87.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,1.0,15509.4941,49.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,14.0,11482.7749,8.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,1.0,3.0,13.0,38581.6149,53.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,21.0,19008.2481,61.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,8.0,27914.1566,65.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0,1.0,1.0,19.0,38450.5759,4.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,2.0,0.0,28937.2144,14.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,1.0,26283.35,29.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,3.0,3174.5459,56.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,22.0,24306.5538,34.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,7.0,28373.9979,76.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,10.0,10574.8418,18.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,7.0,6464.1893,3.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0,0.0,4.0,13.0,21829.5496,30.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.0,0.0,3.0,11.0,13500.251,47.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,5.0,0.0,1.0,19.0,15010.2394,28.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.481426262626262,0.0,2.0,15.0,31148.7069,82.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,17.0,35311.8877,23.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,1.0,7.0,39649.7166,9.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.481426262626262,0.0,2.0,8.0,27131.2295,95.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,9.0,22175.5048,19.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,12.0,22050.8322,44.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.481426262626262,0.0,3.0,23.0,3540.6703,96.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0,0.0,1.0,18.0,11851.6164,8.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.481426262626262,0.0,1.0,13.0,37459.7465,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,12.0,30202.2178,72.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,3.0,14.0,14771.7079,38.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0,0.0,4.0,17.0,33130.7007,16.0,False,True,True,False,True,True,False,False,False,False,False,True
