,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[8.30256902e-01 5.00026953e+00 9.88546933e-02 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]","[0.95886195 0.88588893 1.         0.87097853 0.88883442 0.90654401
 0.87482694 0.87656285 0.81204928 0.90222838 0.56899869 0.96      ]","[0.92737213 0.89444928 1.         0.8778123  0.89431006 0.91319726
 0.88041881 0.89422403 0.78727125 0.90222838 0.5699808  0.98      ]",293.7311326804289,293.0,-0.7311326804289138,-0.0024891221906135678,4.6827921867370605,0.11797499656677246,39.693090256515966
1,"[1.00000000e+00 5.00000000e+00 7.40308139e-17 3.00000000e+00
 1.50000000e+01 3.43168290e+03 7.60000000e+01]","[0.0000000e+00 5.0000000e+00 1.0000000e+00 3.0000000e+00 1.5000000e+01
 3.4316829e+03 7.6000000e+01]","[0.95836432 0.8515383  1.         0.93607464 0.9249333  0.93443031
 0.9321267  0.91986308 0.9387599  0.93975783 0.88249153 0.9       ]","[0.86831511 0.82661494 1.         0.94594373 0.92282759 0.91089127
 0.938888   0.9410694  0.90457466 0.93766439 0.92476517 0.94      ]",293.0,291.0,-2.0,-0.006825938566552901,7.079911947250366,0.36196231842041016,19.55980384407646
2,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[0.929657   0.94932543 1.         0.86023123 0.94652209 0.92942543
 0.88556936 0.90542858 0.84771006 0.90356413 0.99207765 0.94      ]","[0.88036843 0.95321959 1.         0.86233822 0.94869448 0.92863856
 0.88804039 0.90542858 0.85326242 0.90356413 0.99245065 0.97      ]",295.0,294.0,-1.0,-0.003389830508474576,6.642294406890869,0.12449216842651367,53.35511856564488
3,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]","[0.00000000e+00 5.00000000e+00 1.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]","[0.94813079 0.93741188 1.         0.88854411 0.93734132 0.93374235
 0.89123453 0.90547525 0.89007365 0.91759384 0.95107716 0.96      ]","[0.88949046 0.94290735 1.         0.88806586 0.94493562 0.91671946
 0.88427792 0.92314209 0.80281319 0.91990252 0.98375076 0.91      ]",294.0,292.0,-2.0,-0.006802721088435374,6.1327996253967285,0.20286798477172852,30.23049512863002
4,"[9.08568857e-01 5.00451544e+00 2.31473059e-01 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]","[0.8009386  0.91573286 1.         0.87916373 0.91165536 0.90484069
 0.85679539 0.75544485 0.83931379 0.81413423 0.99021494 0.88      ]","[0.65965366 0.92314322 1.         0.87662559 0.91862583 0.90054084
 0.8575131  0.90923016 0.80970406 0.88437035 0.98667461 0.9       ]",291.67258035499583,291.0,-0.67258035499583,-0.002305943034402582,4.696974754333496,0.10567045211791992,44.44927281177941
5,"[5.49400890e-01 5.83912802e+00 4.18469654e-01 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[1.00000000e+00 5.48142626e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[0.95731803 0.73962012 1.         0.84689071 0.80165426 0.89692981
 0.82992501 0.86781706 0.87375706 0.89802731 0.98432577 0.98      ]","[0.94905598 0.73962012 1.         0.90235186 0.78584389 0.89692981
 0.89042069 0.8810117  0.89484974 0.89802731 0.98761755 0.96      ]",290.29180321467646,291.51857373737374,1.2267705226972794,0.004225990913667165,5.652827024459839,0.07820320129394531,72.28383149191482
6,"[9.18601778e-01 5.01809112e+00 4.52544368e-01 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]","[0.94020967 0.93605142 1.         0.86187248 0.93884267 0.90272129
 0.86256302 0.84585735 0.85291837 0.85255244 0.92169958 0.79      ]","[0.94020967 0.93605142 1.         0.86187248 0.93884267 0.90272129
 0.86256302 0.84585735 0.85291837 0.85255244 0.92169958 0.79      ]",293.44796628986893,294.0,0.5520337101310702,0.0018811979415313763,4.6621458530426025,0.14513683319091797,32.12241682929554
7,"[1.00000000e+00 5.00000000e+00 2.66061356e-17 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[0.00000000e+00 5.00000000e+00 1.00000000e+00 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[0.95526181 0.93676621 1.         0.88560427 0.9394495  0.93846505
 0.88081557 0.92490631 0.89110499 0.92718738 0.98155081 0.96      ]","[0.85422742 0.94231488 1.         0.89741693 0.94680279 0.92681355
 0.89122047 0.92597304 0.85672694 0.92719588 0.96117699 0.91      ]",295.0,293.0,-2.0,-0.006779661016949152,7.297197341918945,0.24802660942077637,29.421026070389377
8,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]","[0.95498854 0.82916186 1.         0.8980365  0.92012025 0.91349723
 0.88954528 0.9186858  0.90242624 0.93384455 0.98522067 0.95      ]","[0.92077873 0.82299416 1.         0.90359574 0.91878417 0.9107959
 0.89455888 0.92936518 0.8852454  0.93067695 0.99178922 0.98      ]",292.0,291.0,-1.0,-0.003424657534246575,6.388270139694214,0.30608153343200684,20.871138706292808
9,"[1.0000000e+00 5.0000000e+00 0.0000000e+00 3.0000000e+00 1.0000000e+00
 9.7201914e+03 6.4000000e+01]","[0.0000000e+00 5.0000000e+00 1.0000000e+00 3.0000000e+00 1.0000000e+00
 9.7201914e+03 6.4000000e+01]","[0.95512433 0.93536565 1.         0.89096163 0.93807751 0.95895196
 0.88633239 0.94723558 0.91113413 0.95356399 0.98958743 0.86      ]","[0.90074298 0.93471833 1.         0.90614128 0.94231888 0.94509798
 0.90154591 0.9562397  0.88988536 0.95129716 0.98979712 0.95      ]",293.0,291.0,-2.0,-0.006825938566552901,6.588485479354858,0.3869166374206543,17.028178274463503
10,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.08849189e+04 1.70000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.08849189e+04 1.70000000e+01]","[0.94461456 0.91494771 1.         0.8988242  0.90949227 0.9157684
 0.88750879 0.90969646 0.86941227 0.90349341 0.91653502 0.92      ]","[0.90473258 0.91029663 1.         0.90041676 0.90906736 0.91191426
 0.88994314 0.90787268 0.86616308 0.90260847 0.93516046 0.91      ]",293.0,292.0,-1.0,-0.0034129692832764505,6.154424667358398,0.12327313423156738,49.92510903306289
11,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 2.76725594e+04 7.90000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 2.76725594e+04 7.90000000e+01]","[0.95334872 0.91019988 1.         0.85751391 0.86233406 0.92199586
 0.86861689 0.84530628 0.87822514 0.87439477 0.87605822 0.98      ]","[0.91799962 0.91710712 1.         0.86495026 0.86744742 0.92113318
 0.87444637 0.86675982 0.86067442 0.87439477 0.93041265 0.97      ]",295.0,294.0,-1.0,-0.003389830508474576,6.705463171005249,0.1478714942932129,45.346557178282474
12,"[9.26713259e-01 5.05909984e+00 5.12312501e-01 1.00000000e+00
 1.70000000e+01 2.30060775e+04 5.80000000e+01]","[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 1.70000000e+01 2.30060775e+04 5.80000000e+01]","[0.8775789  0.89123236 1.         0.84391861 0.91607696 0.91215236
 0.83831805 0.90991353 0.7978685  0.912604   0.83681184 0.9       ]","[0.94226395 0.89024472 1.         0.87043927 0.9086029  0.92371387
 0.86742296 0.90557035 0.8603995  0.91010551 0.76893967 0.95      ]",294.35530091483776,295.0,0.6446990851622445,0.0021902071515565043,4.77337908744812,0.12381958961486816,38.551081475034515
13,"[1.86152393e-02 5.39857375e+00 2.42214225e-01 2.00000000e+00
 2.00000000e+00 3.42170099e+04 8.90000000e+01]","[1.00000000e+00 5.48142626e+00 0.00000000e+00 2.00000000e+00
 2.00000000e+00 3.42170099e+04 8.90000000e+01]","[0.93239012 0.79399271 1.         0.75887621 0.74700543 0.9013985
 0.73812916 0.87177877 0.79312609 0.86918906 0.97677535 0.95      ]","[0.94728442 0.77929547 1.         0.7473054  0.73864574 0.89394593
 0.72793962 0.85099443 0.81738036 0.86918906 0.97677535 0.96      ]",292.3778272685944,293.51857373737374,1.140746468779355,0.003901617572838047,4.737573623657227,0.07521653175354004,62.98580263153724
14,"[1.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.92952851e+04 4.00000000e+01]","[0.00000000e+00 5.00000000e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.92952851e+04 4.00000000e+01]","[0.93600976 0.91220323 1.         0.86086024 0.91761695 0.93143397
 0.87087132 0.90488373 0.87429385 0.91144776 0.98804933 0.96      ]","[0.89064891 0.9189701  1.         0.86699191 0.92086536 0.93066782
 0.87502464 0.90488373 0.87089412 0.91144776 0.9881202  0.96      ]",295.0,294.0,-1.0,-0.003389830508474576,7.74525260925293,0.1250927448272705,61.916081703600504
15,"[6.21486620e-01 4.65884357e+01 7.83496782e-02 1.00000000e+00
 1.80000000e+01 3.87629413e+04 6.40000000e+01]","[1.00000000e+00 4.63617899e+01 0.00000000e+00 1.00000000e+00
 1.80000000e+01 3.87629413e+04 6.40000000e+01]","[0.84683783 0.84287594 1.         0.61497421 0.83863634 0.86313257
 0.70430852 0.75626218 0.8092114  0.85512504 0.97991872 0.91      ]","[0.84683783 0.8697313  1.         0.5899172  0.85387878 0.86268022
 0.63630099 0.75626218 0.73263843 0.85512504 0.98017865 0.91      ]",252.95470129052768,253.6382101010101,0.6835088104824081,0.0027020996526068647,4.68782114982605,0.11595940589904785,40.42639847523177
