Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,"[1.00000000e+00 1.64465738e+01 0.00000000e+00 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]","[0.86216892 0.74375364 1.         0.61339693 0.74535689 0.79639405
 0.61490704 0.74015291 0.55504812 0.74696664 0.79798907 0.97      ]",225.43683066666665,-10.419373824910052,,0.0238318443298339,8.869635246803657
1,"[0.00000000e+00 2.70922605e+01 1.00000000e+00 3.00000000e+00
 1.50000000e+01 3.43168290e+03 7.60000000e+01]","[0.42789367 0.65206442 1.         0.2664578  0.62954438 0.57882158
 0.2335969  0.54062071 0.2911813  0.53764404 0.79735178 0.79      ]",49.09391222222223,-24.065060487340983,,0.0295677185058593,20.67003451167591
2,"[1.00000000e+00 3.42508884e+01 1.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[0.34593572 0.73948734 1.         0.2352652  0.70399423 0.7543899
 0.24420775 0.65533213 0.27226745 0.66257174 0.86262733 0.8       ]",165.00197422222223,-30.223688414957223,,0.0185022354125976,10.86880830885006
3,"[0.00000000e+00 2.84278288e+01 1.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]","[0.51601286 0.71679066 1.         0.27739242 0.69694638 0.67193528
 0.27467257 0.61804931 0.27023649 0.61068676 0.70841902 0.9       ]",52.06184177777777,-25.400628779836097,,0.0333192348480224,13.399396068722227
4,"[1.00000000e+00 3.32993036e+01 1.00000000e+00 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]","[0.26489941 0.81957219 1.         0.21698675 0.78796264 0.83683501
 0.20183096 0.71334205 0.27199131 0.7296541  0.89579314 0.92      ]",162.88734133333332,-28.272103645343407,,0.0295026302337646,6.814543044859104
5,"[0.00000000e+00 2.70922605e+01 1.00000000e+00 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[0.76958168 0.57335434 1.         0.36204056 0.56386118 0.62322039
 0.36832559 0.57100071 0.41876358 0.56779107 0.75656474 0.86      ]",49.09391222222223,-23.61083422471472,,0.0190913677215576,8.044670621292537
6,"[0.00000000e+00 3.17022961e+01 1.00000000e+00 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]","[0.34594992 0.61174682 1.         0.24818103 0.58969455 0.7188978
 0.2372147  0.69107547 0.27446385 0.63565742 0.49414548 0.79      ]",59.33843577777776,-28.67509609889379,,0.0354895591735839,5.8549316780200735
7,"[1.00000000e+00 4.79843900e+01 0.00000000e+00 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[0.7967326  0.72752451 1.         0.51110667 0.73585143 0.77764423
 0.52742441 0.85174418 0.58170364 0.85459429 0.87773985 0.84      ]",295.5208666666667,-42.95718999307928,,0.0291571617126464,11.007244836214367
8,"[1.00000000e+00 2.46299833e+01 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]","[0.83325163 0.67002073 1.         0.57023639 0.67230946 0.71529375
 0.57571493 0.69203078 0.5671633  0.68810495 0.39312458 0.78      ]",243.6221851111111,-19.60278326959985,,0.0297732353210449,19.863442720094813
9,"[1.00000000e+00 4.53864494e+01 0.00000000e+00 3.00000000e+00
 1.00000000e+00 9.72019140e+03 6.40000000e+01]","[0.85016784 0.75155565 1.         0.58780121 0.76683651 0.82819584
 0.58224831 0.79364892 0.69438519 0.79306342 0.8571167  0.88      ]",289.7476653333333,-40.359249440507824,,0.0309903621673584,19.799750736634792
10,"[0.00000000e+00 1.52932896e+01 0.00000000e+00 3.00000000e+00
 2.10000000e+01 3.08849189e+04 1.70000000e+01]","[0.81188205 0.72537058 1.         0.65195633 0.73784577 0.77004398
 0.62022704 0.75687736 0.62335382 0.73453585 0.84771764 0.84      ]",122.87397688888888,-11.266089647451508,,0.0190703868865966,11.530498706039731
11,"[1.00000000e+00 5.15124401e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 2.76725594e+04 7.90000000e+01]","[0.95273607 0.91019988 1.         0.85751391 0.86233406 0.92199586
 0.86861689 0.84482438 0.87822514 0.87439477 0.87605822 0.98      ]",200.3360978,-0.1240440125987447,,0.0376050472259521,4.087454906262086
12,"[1.00000000e+00 2.93351030e+01 1.00000000e+00 1.00000000e+00
 1.70000000e+01 2.30060775e+04 5.80000000e+01]","[0.36783042 0.65785218 1.         0.23395876 0.66237529 0.7414624
 0.23442536 0.62749087 0.27256003 0.62981919 0.50295031 0.77      ]",154.07800666666668,-25.307902974587364,,0.0320198535919189,4.4993484784178825
