Unnamed: 0,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time
0,"[0.00000000e+00 5.27571644e+00 0.00000000e+00 2.00000000e+00
 2.20000000e+01 1.59863555e+04 8.60000000e+01]","[0.75561676 0.33       0.99984226 0.98307678 0.14491284 0.3
 0.98307678 0.79271082 0.79271082 0.79271082 0.38522047 0.71367473]",100.6127032,,,257.89621806144714
1,"[0.00000000e+00 1.16362103e+01 0.00000000e+00 4.00000000e+00
 2.10000000e+01 1.74365609e+04 4.10000000e+01]","[0.06584893 0.04       0.99996988 0.99921858 0.05475639 0.02
 0.99921858 0.77905192 0.77905192 0.77905192 0.03853981 0.18294358]",114.74713399999999,,,292.79040694236755
2,"[0.00000000e+00 2.15865168e+01 0.00000000e+00 3.00000000e+00
 2.00000000e+00 3.34697890e+04 1.00000000e+00]","[0.11707546 0.01       0.99998629 0.99931482 0.04190986 0.04
 0.99931482 0.45756491 0.45756491 0.45756491 0.03084635 0.16193049]",136.8589262222222,,,217.9858186244965
3,"[0.00000000e+00 1.16303882e+01 0.00000000e+00 3.00000000e+00
 6.00000000e+00 5.66877250e+03 8.50000000e+01]","[0.17084224 0.14       0.99996434 0.99987707 0.12195741 0.21
 0.99987707 0.96580256 0.96580256 0.96580256 0.24027858 0.41177509]",114.734196,,,239.1997532844544
4,"[0.00000000e+00 5.27561995e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+01 2.44384992e+04 7.60000000e+01]","[0.51354222 0.3        0.99999146 0.99325389 0.75997338 0.24
 0.99325389 0.83526961 0.83526961 0.83526961 0.27059857 0.64649275]",100.61248877777777,,,189.6618149280548
5,"[0.00000000e+00 5.27866431e+00 0.00000000e+00 1.00000000e+00
 1.70000000e+01 1.97238846e+04 7.60000000e+01]","[0.53894979 0.27       0.99998518 0.98196424 0.75071541 0.2
 0.98196424 0.86885848 0.86885848 0.86885848 0.20946008 0.64851357]",100.61925402222221,,,147.99665141105652
6,"[0.00000000e+00 5.27602697e+00 0.00000000e+00 1.00000000e+00
 1.90000000e+01 2.98283710e+04 6.00000000e+00]","[0.55767113 0.33       0.99999014 0.96519674 0.57841373 0.16
 0.96519674 0.9524053  0.9524053  0.9524053  0.47541567 0.47971712]",100.61339326666666,,,253.91722297668457
7,"[0.00000000e+00 5.28443685e+00 0.00000000e+00 1.00000000e+00
 1.80000000e+01 6.10790240e+03 1.90000000e+01]","[0.63654103 0.18       0.99994703 0.95679913 0.85470171 0.16
 0.95679913 0.96951808 0.96951808 0.96951808 0.24240048 0.62024582]",100.63208188888888,,,214.64609146118164
8,"[0.00000000e+00 5.28070828e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 1.24119699e+04 7.70000000e+01]","[0.75223492 0.19       0.99988536 0.9736863  0.0156249  0.21
 0.9736863  0.86885848 0.86885848 0.86885848 0.23062337 0.66868781]",100.62379617777779,,,242.39241242408752
9,"[0.00000000e+00 1.16366351e+01 0.00000000e+00 4.00000000e+00
 1.70000000e+01 3.63740466e+04 4.90000000e+01]","[0.05633031 0.09       0.9999956  0.9992692  0.0417339  0.06
 0.9992692  0.76442006 0.76442006 0.76442006 0.02176641 0.2051075 ]",114.74807799999999,,,150.83978080749512
10,"[0.00000000e+00 1.16247840e+01 0.00000000e+00 2.00000000e+00
 1.80000000e+01 3.45757425e+04 8.00000000e+01]","[0.11298216 0.12       0.99998827 0.99977329 0.07404613 0.12
 0.99977329 0.93256908 0.93256908 0.93256908 0.03647313 0.26828242]",114.72174222222222,,,170.3347828388214
11,"[0.00000000e+00 4.24147955e+01 0.00000000e+00 4.00000000e+00
 1.70000000e+01 4.01583410e+03 1.30000000e+01]","[1.36478617e-01 4.00000000e-02 9.99995173e-01 3.21801288e-05
 2.84857680e-02 7.00000000e-02 3.21801288e-05 1.00000000e+00
 1.00000000e+00 1.00000000e+00 3.29977904e-02 7.33434954e-02]",183.14398999999997,,,129.43178391456604
12,"[0.00000000e+00 2.15946139e+01 0.00000000e+00 2.00000000e+00
 1.30000000e+01 1.56203749e+04 8.90000000e+01]","[0.06660169 0.22       0.99993922 0.99997573 0.19341717 0.22
 0.99997573 0.86023542 0.86023542 0.86023542 0.11290781 0.21215489]",136.87691977777777,,,216.2803974151612
13,"[0.00000000e+00 5.27877453e+00 0.00000000e+00 2.00000000e+00
 1.60000000e+01 6.68289160e+03 1.70000000e+01]","[0.60626947 0.3        0.999957   0.97204305 0.8611244  0.25
 0.97204305 0.97752869 0.97752869 0.97752869 0.32625637 0.56592659]",100.61949895555554,,,276.58858275413513
14,"[0.00000000e+00 4.24203739e+01 0.00000000e+00 1.00000000e+00
 9.00000000e+00 2.62412089e+04 4.20000000e+01]","[3.32687985e-02 1.50000000e-01 9.99994927e-01 3.15835084e-05
 4.36749058e-02 1.30000000e-01 3.15835084e-05 1.00000000e+00
 1.00000000e+00 1.00000000e+00 2.06676703e-02 6.16277951e-02]",183.15638644444445,,,209.2859838008881
15,"[0.00000000e+00 5.27904306e+00 0.00000000e+00 1.00000000e+00
 3.00000000e+00 3.83654169e+04 4.20000000e+01]","[0.35583337 0.3        0.99998272 0.97955394 0.95111945 0.26
 0.97955394 0.95950766 0.95950766 0.95950766 0.65859229 0.43777095]",100.62009568888888,,,267.5257384777069
16,"[0.00000000e+00 5.27636203e+00 0.00000000e+00 4.00000000e+00
 1.20000000e+01 8.67313320e+03 4.60000000e+01]","[0.33856629 0.34       0.99992525 0.98248446 0.75973003 0.29
 0.98248446 0.96946514 0.96946514 0.96946514 0.4785903  0.69987162]",100.61413784444446,,,326.544011592865
17,"[0.00000000e+00 5.27960230e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 3.76139969e+04 5.00000000e+01]","[0.3494559  0.43       0.9999854  0.98687868 0.65046599 0.3
 0.98687868 0.9461325  0.9461325  0.9461325  0.3726291  0.26785823]",100.62133844444443,,,190.266854763031
18,"[0.00000000e+00 5.28754118e+00 0.00000000e+00 3.00000000e+00
 0.00000000e+00 1.54546175e+04 5.60000000e+01]","[0.40727715 0.23       0.99973634 0.9836239  0.609461   0.21
 0.9836239  0.95021328 0.95021328 0.95021328 0.20417855 0.49156934]",100.63898040000001,,,270.435763835907
19,"[0.00000000e+00 5.28300567e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 3.92416583e+04 7.70000000e+01]","[0.45923656 0.37       0.9999842  0.98764579 0.45779493 0.23
 0.98764579 0.91471462 0.91471462 0.91471462 0.51566522 0.31880562]",100.62890148888889,,,190.5380299091339
20,"[0.00000000e+00 5.27346385e+00 0.00000000e+00 3.00000000e+00
 1.20000000e+01 1.58076199e+04 5.60000000e+01]","[0.29741849 0.24       0.99984678 0.98248446 0.69769336 0.16
 0.98248446 0.91805002 0.91805002 0.91805002 0.22328353 0.57598063]",100.60769744444445,,,292.5924963951111
21,"[0.00000000e+00 5.25065489e+00 0.00000000e+00 2.00000000e+00
 4.00000000e+00 3.67842707e+04 9.60000000e+01]","[0.78329586 0.37       0.9999686  0.99999882 0.56892005 0.38
 0.99999882 0.99999777 0.99999777 0.99999777 0.44409185 0.53775235]",100.55701086666667,,,192.1036801338196
22,"[0.00000000e+00 5.26889075e+00 0.00000000e+00 2.00000000e+00
 1.00000000e+01 1.35396287e+04 7.30000000e+01]","[0.5457491  0.26       0.99994048 0.99010539 0.73869494 0.17
 0.99010539 0.87246108 0.87246108 0.87246108 0.20263082 0.57598063]",100.597535,,,292.8923637866974
23,"[0.00000000e+00 1.16302447e+01 0.00000000e+00 4.00000000e+00
 4.00000000e+00 7.80790460e+03 6.00000000e+01]","[0.07729332 0.01       0.99995934 0.99959417 0.0425694  0.07
 0.99959417 0.84815803 0.84815803 0.84815803 0.04665097 0.2367949 ]",114.7338771111111,,,244.39251589775083
24,"[0.00000000e+00 2.15893688e+01 0.00000000e+00 3.00000000e+00
 3.00000000e+00 1.96711355e+04 9.50000000e+01]","[0.05397194 0.11       0.99997924 0.99982217 0.08426857 0.05
 0.99982217 0.80766197 0.80766197 0.80766197 0.09554216 0.19679915]",136.865264,,,294.2927327156067
25,"[0.00000000e+00 5.28044964e+00 0.00000000e+00 4.00000000e+00
 2.00000000e+01 3.25330931e+04 4.90000000e+01]","[0.27216091 0.5        0.99999274 0.977547   0.65505071 0.47
 0.977547   0.91557546 0.91557546 0.91557546 0.59157751 0.81938055]",100.62322142222223,,,261.8402659893036
26,"[0.00000000e+00 5.27863681e+00 0.00000000e+00 4.00000000e+00
 2.20000000e+01 1.30948246e+04 1.60000000e+01]","[0.75064114 0.26       0.99995772 0.97204305 0.0717581  0.41
 0.97204305 0.93683858 0.93683858 0.93683858 0.34067499 0.71453577]",100.6191929111111,,,170.9819622039795
27,"[   0.            7.55395656    0.            3.           10.
 1401.1133       78.        ]","[0.14903271 0.33       0.99998596 0.54371018 0.16546966 0.35
 0.54371018 0.99351445 0.99351445 0.99351445 0.52715201 0.1349774 ]",105.67545902222221,,,338.16499757766724
28,"[0.00000000e+00 5.27575913e+00 0.00000000e+00 2.00000000e+00
 2.10000000e+01 2.74711630e+04 9.00000000e+00]","[0.54580765 0.31       0.999992   0.977547   0.62300684 0.27
 0.977547   0.9524053  0.9524053  0.9524053  0.53410348 0.48930656]",100.61279806666667,,,247.4796001911164
29,"[0.00000000e+00 1.16374539e+01 0.00000000e+00 2.00000000e+00
 1.30000000e+01 2.21821609e+04 6.50000000e+01]","[0.12386323 0.07       0.99999038 0.9997016  0.05658341 0.05
 0.9997016  0.76796577 0.76796577 0.76796577 0.05002326 0.24820336]",114.74989755555555,,,206.6459505558014
30,"[0.00000000e+00 5.28391182e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+01 2.30989478e+04 9.20000000e+01]","[0.82007392 0.38       0.99999379 0.99822692 0.83636514 0.48
 0.99822692 0.71705634 0.71705634 0.71705634 0.33419989 0.75382011]",100.63091515555556,,,197.46162462234497
31,"[0.00000000e+00 5.28074022e+00 0.00000000e+00 1.00000000e+00
 1.60000000e+01 3.19210238e+04 2.00000000e+00]","[0.65878096 0.37       0.99998918 0.96519674 0.49329416 0.26
 0.96519674 0.9524053  0.9524053  0.9524053  0.58017454 0.43125727]",100.62386715555556,,,206.48423957824707
32,"[0.00000000e+00 7.56321837e+00 0.00000000e+00 4.00000000e+00
 2.30000000e+01 3.09206856e+04 8.70000000e+01]","[0.06970252 0.18       0.99999351 0.53885418 0.05086289 0.24
 0.53885418 0.88653776 0.88653776 0.88653776 0.24038447 0.267807  ]",105.69604082222222,,,251.39508700370789
33,"[0.00000000e+00 1.16343269e+01 0.00000000e+00 4.00000000e+00
 1.50000000e+01 1.83474740e+04 3.00000000e+01]","[0.08678529 0.03       0.99996988 0.99971824 0.05239534 0.06
 0.99971824 0.86756653 0.86756653 0.86756653 0.03814305 0.21842909]",114.74294866666668,,,233.6154427528381
34,"[0.00000000e+00 1.16218688e+01 0.00000000e+00 4.00000000e+00
 9.00000000e+00 2.53627319e+04 7.50000000e+01]","[0.11987042 0.09       0.99999662 0.99988504 0.07574553 0.13
 0.99988504 0.94078924 0.94078924 0.94078924 0.05471662 0.25903001]",114.71526399999999,,,288.6901595592499
35,"[0.00000000e+00 2.15878921e+01 0.00000000e+00 2.00000000e+00
 6.00000000e+00 1.46342469e+04 7.70000000e+01]","[0.04865262 0.06       0.99992382 0.99977803 0.07913756 0.08
 0.99977803 0.72769675 0.72769675 0.72769675 0.05212249 0.12487301]",136.86198244444444,,,139.33130383491516
