formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,7.003400281920186,0.0,1.0,12.0,23709.2926,17.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,7.568597018351616,0.0,3.0,14.0,12622.0312,78.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,47.76561977234894,0.0,3.0,9.0,35305.7362,30.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,7.640704064201085,0.0,4.0,16.0,19482.7134,64.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.08392707437053,0.0,2.0,5.0,8080.5634,82.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.0180626291067725,0.0,4.0,10.0,34311.2402,33.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.078702823738233,0.0,1.0,12.0,2359.8442,56.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.104890831173544,0.0,4.0,3.0,8557.1596,77.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.84868140369943,0.0,3.0,6.0,6718.0272,25.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.007195378538173,0.0,3.0,23.0,36767.4305,88.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,47.75929494532531,0.0,3.0,23.0,19955.7145,94.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.974469110086226,0.0,4.0,22.0,10855.4399,62.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.028270321014441,0.0,3.0,13.0,32912.338,97.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,48.826182908091496,0.0,2.0,22.0,27118.6381,79.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,7.624734823415893,0.0,1.0,9.0,39439.0612,34.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.188223586761833,0.0,4.0,2.0,16308.5723,98.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,5.096766834417195,0.0,3.0,1.0,4459.2522,5.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,40.40470408783562,0.0,1.0,3.0,4098.7201,13.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,7.625558502374266,0.0,3.0,12.0,24266.8422,86.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,18.726600212854223,0.0,4.0,9.0,14490.2253,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.989139067951095,0.0,4.0,7.0,6162.4909,4.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,40.40699823579797,0.0,2.0,12.0,39502.0085,51.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,40.39278915559138,0.0,3.0,6.0,25761.905,3.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.646636196454361,0.0,1.0,7.0,39680.5043,47.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,7.628887124047362,0.0,2.0,20.0,26111.8336,48.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,18.6974661260488,0.0,1.0,4.0,27235.0943,79.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.113383156562304,0.0,2.0,14.0,2680.0025,93.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,40.4043278293235,0.0,2.0,2.0,19888.5204,100.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,47.76246969413507,0.0,3.0,9.0,20896.9069,16.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,40.38925151901237,0.0,4.0,10.0,15696.9804,55.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,7.633983842004089,0.0,4.0,10.0,26311.974,51.0,False,False,True,False,False,True,False,True,False,True,True,True
0.0,5.113383156562304,0.0,4.0,11.0,3875.6929,11.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.010839857683502,0.0,2.0,5.0,12555.0662,11.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,7.645991151667684,0.0,3.0,15.0,39665.2705,41.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.648221862917004,0.0,4.0,23.0,31652.4507,16.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.94061790108645,0.0,1.0,14.0,6073.0344,54.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.975084387787533,0.0,4.0,22.0,16078.9501,51.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,7.555120838184894,0.0,3.0,15.0,10479.0694,88.0,False,False,True,False,False,True,False,False,False,False,True,True
0.0,5.072251664055668,0.0,4.0,19.0,29476.1003,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.013582355923691,0.0,4.0,1.0,34216.8755,78.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,47.76199079801452,0.0,3.0,0.0,28406.5136,40.0,False,False,True,False,False,False,False,False,False,False,True,True
0.0,6.968099709182541,0.0,1.0,9.0,15697.4309,49.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,40.39557363157247,0.0,4.0,3.0,17382.8195,39.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,48.86882370911474,0.0,2.0,17.0,8877.5548,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.013452259762656,0.0,1.0,16.0,32277.6395,38.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,47.759479340127655,0.0,2.0,3.0,26327.7011,71.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,40.40178522650168,0.0,2.0,3.0,21201.3869,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,47.76586144771444,0.0,2.0,18.0,34123.1728,1.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,5.949428437885091,0.0,3.0,3.0,24158.8096,50.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,47.76191346592211,0.0,4.0,10.0,27967.1951,7.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,47.76356451470214,0.0,2.0,11.0,25289.0911,64.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,6.852746714499785,0.0,3.0,5.0,5156.9845,45.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.053084576311576,0.0,4.0,1.0,2581.9152,89.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.990483518070469,0.0,1.0,18.0,15621.9178,11.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,6.984210292049768,0.0,3.0,22.0,38989.2548,2.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.966001031203413,0.0,4.0,10.0,16391.2373,83.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0958785102017825,6.975017083465373,0.0,1.0,15.0,31602.6542,25.0,True,True,True,True,True,True,True,True,True,True,True,True
