formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,7.188973939341237,1.0,1.0,12.0,23709.2926,17.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,12.466883010625024,1.0,3.0,14.0,12622.0312,78.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,25.535171762497622,0.0,3.0,9.0,35305.7362,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,18.868584500123724,1.0,4.0,16.0,19482.7134,64.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,42.67522663097765,0.0,2.0,5.0,8080.5634,82.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,30.106333678317704,1.0,4.0,10.0,34311.2402,33.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,21.86722102134941,0.0,1.0,12.0,2359.8442,56.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,24.16587965421754,0.0,4.0,3.0,8557.1596,77.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.466836245042533,1.0,3.0,6.0,6718.0272,25.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,21.67596898663401,1.0,3.0,23.0,36767.4305,88.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,8.087144656907197,1.0,3.0,23.0,19955.7145,94.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,31.38582672152844,0.0,4.0,22.0,10855.4399,62.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,28.38270177145265,1.0,3.0,13.0,32912.338,97.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,26.69026990399201,0.0,2.0,22.0,27118.6381,79.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,45.350389196746,1.0,1.0,9.0,39439.0612,34.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,6.038092160909464,1.0,4.0,2.0,16308.5723,98.0,False,False,True,False,False,False,False,False,False,False,True,True
1.0,45.69466053309058,0.0,3.0,1.0,4459.2522,5.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,19.116050922753047,0.0,1.0,3.0,4098.7201,13.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,25.104942404845627,1.0,3.0,12.0,24266.8422,86.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,6.712598624874115,0.0,4.0,9.0,14490.2253,79.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,13.14557372800127,1.0,4.0,7.0,6162.4909,4.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,20.613136828838865,1.0,2.0,12.0,39502.0085,51.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,21.08378211630389,1.0,3.0,6.0,25761.905,3.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,48.67142854798063,1.0,1.0,7.0,39680.5043,47.0,False,False,True,False,False,True,False,False,False,False,False,True
0.0,11.061442673163414,1.0,2.0,20.0,26111.8336,48.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,10.729066089450244,0.0,1.0,4.0,27235.0943,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,22.965044815543934,1.0,2.0,14.0,2680.0025,93.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,41.371496402095936,1.0,2.0,2.0,19888.5204,100.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,26.106552002404783,1.0,3.0,9.0,20896.9069,16.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,26.106552002404783,0.0,4.0,10.0,15696.9804,55.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,31.342555034294566,0.0,4.0,10.0,26311.974,51.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,41.131123718960914,0.0,4.0,11.0,3875.6929,11.0,False,False,True,False,False,True,False,True,False,True,True,True
1.0,31.25145879387418,0.0,2.0,5.0,12555.0662,11.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,31.21422319819067,1.0,3.0,15.0,39665.2705,41.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,18.22919559096409,0.0,4.0,23.0,31652.4507,16.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,27.89960874158937,0.0,1.0,14.0,6073.0344,54.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,45.72855327623985,1.0,4.0,22.0,16078.9501,51.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,28.08353961828881,0.0,3.0,15.0,10479.0694,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.116632639758387,0.0,4.0,19.0,29476.1003,98.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,45.01936565776688,0.0,4.0,1.0,34216.8755,78.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,42.47016938638062,0.0,3.0,0.0,28406.5136,40.0,False,False,True,False,False,True,False,True,False,True,True,True
0.0,9.709461345825336,0.0,1.0,9.0,15697.4309,49.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,5.975378318491197,1.0,4.0,3.0,17382.8195,39.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,8.794425411541084,1.0,2.0,17.0,8877.5548,98.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,9.930153042804251,1.0,1.0,16.0,32277.6395,38.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,45.355483455242606,0.0,2.0,3.0,26327.7011,71.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,24.66115272181317,0.0,2.0,3.0,21201.3869,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,46.67454580197911,0.0,2.0,18.0,34123.1728,1.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,24.149326596821737,0.0,3.0,3.0,24158.8096,50.0,True,False,True,False,False,True,False,True,True,True,True,True
0.0,16.251879727700388,1.0,4.0,10.0,27967.1951,7.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,32.01754453431852,0.0,2.0,11.0,25289.0911,64.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,46.9186458566652,1.0,3.0,5.0,5156.9845,45.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,25.781517092813097,1.0,4.0,1.0,2581.9152,89.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,7.023988296237931,0.0,1.0,18.0,15621.9178,11.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,9.19979140833128,1.0,3.0,22.0,38989.2548,2.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,29.174033940523795,1.0,4.0,10.0,16391.2373,83.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,33.95240882394133,0.0,1.0,15.0,31602.6542,25.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,38.02588220797286,1.0,1.0,19.0,1659.8511,16.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,26.623294708169023,0.0,3.0,2.0,27600.0061,19.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,37.34029750953489,1.0,2.0,0.0,4238.3769,79.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,43.44124909745442,1.0,1.0,12.0,33372.8361,49.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,46.925053077246446,0.0,2.0,9.0,26162.7384,3.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,43.16291886836395,1.0,2.0,4.0,24548.3211,100.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,8.087144656907197,1.0,4.0,4.0,39698.8447,9.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,44.01371588995214,0.0,3.0,1.0,16728.115,33.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,11.832401257630757,1.0,2.0,17.0,14332.6709,69.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,33.55663086346458,1.0,4.0,19.0,3882.2304,76.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,24.144706204824296,0.0,4.0,2.0,13187.5582,27.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,19.45274303910633,1.0,2.0,11.0,10993.3526,42.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.466836245042533,0.0,3.0,15.0,39036.1094,14.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,39.604436601278366,1.0,4.0,11.0,5276.5885,19.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,23.79983077592151,1.0,3.0,9.0,24275.1246,25.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,15.833177740689544,0.0,2.0,6.0,24983.4398,16.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,9.681380230572527,0.0,3.0,3.0,7685.743,43.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,23.71321886329213,1.0,1.0,21.0,37316.4734,63.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,26.777243787209315,0.0,1.0,2.0,12781.1234,88.0,False,False,True,False,False,True,False,False,False,False,True,True
0.0,27.81339047501717,0.0,1.0,18.0,25028.6267,41.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,41.368513769856136,1.0,2.0,0.0,35163.88,19.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,13.300117790261258,1.0,1.0,15.0,22511.8633,100.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,34.76062003102186,0.0,4.0,1.0,21294.1487,58.0,True,True,True,True,True,True,True,True,True,True,True,True
