formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,6.6563,0.0,1.0,12.0,23709.2926,17.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,3.0,14.0,12622.0312,78.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,1.0,3.0,9.0,35305.7362,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,6.8348141414141415,0.0,4.0,16.0,19482.7134,64.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,5.0,8080.5634,82.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,5.0182,0.0,4.0,10.0,34311.2402,33.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,1.0,12.0,2359.8442,56.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,3.0,8557.1596,77.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,3.0,6.0,6718.0272,25.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,3.0,23.0,36767.4305,88.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,3.0,23.0,19955.7145,94.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,22.0,10855.4399,62.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,3.0,13.0,32912.338,97.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,2.0,22.0,27118.6381,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,1.0,1.0,9.0,39439.0612,34.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,2.0,16308.5723,98.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,3.0,1.0,4459.2522,5.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.0182,0.0,1.0,3.0,4098.7201,13.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,3.0,12.0,24266.8422,86.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0182,0.0,4.0,9.0,14490.2253,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.0182,0.0,4.0,7.0,6162.4909,4.0,False,True,True,False,True,True,False,False,False,False,True,True
