,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[0.00000000e+00 7.00340028e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.37092926e+04 1.70000000e+01]","[2.86187535e-01 1.01067065e-01 1.00000000e+00 7.92248815e-04
 4.38539659e-01 3.89846920e-01 7.92248815e-04 7.89130936e-05
 7.89130936e-05 7.89130936e-05 4.58977338e-05 9.43124575e-01]",0.348173335421631,143.08502507209778
1,"[0.00000000e+00 7.56859702e+00 0.00000000e+00 3.00000000e+00
 1.40000000e+01 1.26220312e+04 7.80000000e+01]","[7.64465270e-02 4.61724795e-01 1.00000000e+00 3.09082418e-04
 5.50414582e-01 4.41893953e-01 3.09082418e-04 5.32720063e-04
 5.32720063e-04 5.32720063e-04 4.54748003e-03 2.46954232e-02]",0.35235997791371576,92.47572875022888
2,"[0.00000000e+00 4.77656198e+01 0.00000000e+00 3.00000000e+00
 9.00000000e+00 3.53057362e+04 3.00000000e+01]","[2.66486821e-02 5.08816583e-01 1.00000000e+00 2.16564677e-05
 5.79025506e-01 5.19237154e-02 2.16564677e-05 9.54161951e-05
 9.54161951e-05 9.54161951e-05 5.14886924e-05 4.34636829e-03]",0.6501157020173995,143.94118356704712
3,"[0.00000000e+00 7.64070406e+00 0.00000000e+00 4.00000000e+00
 1.60000000e+01 1.94827134e+04 6.40000000e+01]","[5.14851627e-02 3.59203631e-01 1.00000000e+00 2.69605836e-04
 5.10959491e-01 6.00338127e-01 2.69605836e-04 2.12996383e-04
 2.12996383e-04 2.12996383e-04 2.11402657e-04 3.10792989e-01]",0.35289410417926736,111.72310042381287
4,"[0.00000000e+00 5.08392707e+00 0.00000000e+00 2.00000000e+00
 5.00000000e+00 8.08056340e+03 8.20000000e+01]","[0.50387396 0.77503161 0.96       0.01761566 0.66391862 0.70879577
 0.01761566 0.01242064 0.01242064 0.01242064 0.01897778 0.32784599]",0.3339550153657077,142.85849261283875
5,"[0.00000000e+00 7.01806263e+00 0.00000000e+00 4.00000000e+00
 1.00000000e+01 3.43112402e+04 3.30000000e+01]","[2.15598492e-01 3.11851632e-02 1.00000000e+00 7.61060743e-04
 2.22990740e-01 1.39688489e-01 7.61060743e-04 1.93548753e-04
 1.93548753e-04 1.93548753e-04 7.78580434e-05 8.83409526e-01]",0.34828194540079094,136.49230647087097
6,"[0.00000000e+00 5.07870282e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.35984420e+03 5.60000000e+01]","[5.05390961e-01 4.73811707e-02 9.50000000e-01 9.78555996e-04
 6.13822728e-02 7.50252555e-02 9.78555996e-04 1.45782062e-04
 1.45782062e-04 1.45782062e-04 8.85436530e-05 9.27791275e-01]",0.33391631721287585,133.7471058368683
7,"[0.00000000e+00 5.10489083e+00 0.00000000e+00 4.00000000e+00
 3.00000000e+00 8.55715960e+03 7.70000000e+01]","[4.47681851e-01 4.16447140e-01 9.70000000e-01 7.45824596e-04
 2.84560987e-01 6.10276213e-01 7.45824596e-04 1.12399587e-03
 1.12399587e-03 1.12399587e-03 1.58765214e-03 3.26117578e-01]",0.33411030245313733,137.4628393650055
8,"[0.0000000e+00 6.8486814e+00 0.0000000e+00 3.0000000e+00 6.0000000e+00
 6.7180272e+03 2.5000000e+01]","[3.25204717e-01 4.97277969e-02 9.90000000e-01 7.24781246e-04
 6.53595279e-02 9.58137099e-02 7.24781246e-04 5.36630454e-04
 5.36630454e-04 5.36630454e-04 1.63820776e-04 5.80308207e-01]",0.3470272696570328,113.6846649646759
9,"[0.00000000e+00 5.00719538e+00 0.00000000e+00 3.00000000e+00
 2.30000000e+01 3.67674305e+04 8.80000000e+01]","[0.21875629 0.43846739 0.85       0.00439515 0.82874816 0.84444522
 0.00439515 0.00125949 0.00125949 0.00125949 0.00137122 0.00896643]",0.333386632433616,214.22259187698364
10,"[0.00000000e+00 4.77592949e+01 0.00000000e+00 3.00000000e+00
 2.30000000e+01 1.99557145e+04 9.40000000e+01]","[0.12465797 0.92314293 0.99       0.02362001 0.92347454 0.09158281
 0.02362001 0.01963331 0.01963331 0.01963331 0.03443501 0.39006095]",0.6500688514468541,213.88129448890686
11,"[0.00000000e+00 6.97446911e+00 0.00000000e+00 4.00000000e+00
 2.20000000e+01 1.08554399e+04 6.20000000e+01]","[7.39280281e-02 1.44458551e-01 1.00000000e+00 1.86401274e-04
 6.92026937e-01 4.67805084e-01 1.86401274e-04 6.18607810e-05
 6.18607810e-05 6.18607810e-05 1.81504787e-04 8.80165629e-01]",0.34795903044508314,175.88258385658264
12,"[0.00000000e+00 5.02827032e+00 0.00000000e+00 3.00000000e+00
 1.30000000e+01 3.29123380e+04 9.70000000e+01]","[0.20531061 0.82280468 0.95       0.00592293 0.86746434 0.88501824
 0.00592293 0.00277174 0.00277174 0.00277174 0.00209341 0.00833253]",0.3335427431186254,186.97669315338135
13,"[0.00000000e+00 4.88261829e+01 0.00000000e+00 2.00000000e+00
 2.20000000e+01 2.71186381e+04 7.90000000e+01]","[4.15303459e-02 2.63364605e-01 1.00000000e+00 2.14833854e-04
 2.43317402e-01 1.50718941e-01 2.14833854e-04 1.55135058e-02
 1.55135058e-02 1.55135058e-02 3.57934460e-02 9.47312907e-01]",0.6579717252451223,173.49383878707886
14,"[0.00000000e+00 7.62473482e+00 0.00000000e+00 1.00000000e+00
 9.00000000e+00 3.94390612e+04 3.40000000e+01]","[2.54492859e-01 1.36751001e-01 1.00000000e+00 2.92125507e-04
 1.73882551e-01 3.82234526e-01 2.92125507e-04 5.89934207e-05
 5.89934207e-05 5.89934207e-05 4.15926152e-05 7.36257141e-01]",0.35277581350678433,110.04211902618408
15,"[0.00000000e+00 5.18822359e+00 0.00000000e+00 4.00000000e+00
 2.00000000e+00 1.63085723e+04 9.80000000e+01]","[0.307888   0.78060527 0.95       0.02262839 0.59519096 0.50859639
 0.02262839 0.04771952 0.04771952 0.04771952 0.0175103  0.03047301]",0.33472758212416176,109.1840591430664
16,"[0.00000000e+00 5.09676683e+00 0.00000000e+00 3.00000000e+00
 1.00000000e+00 4.45925220e+03 5.00000000e+00]","[8.48432851e-01 3.11909944e-02 9.60000000e-01 3.74658615e-04
 2.84738641e-02 5.00048996e-02 3.74658615e-04 1.04971358e-03
 1.04971358e-03 1.04971358e-03 2.87936942e-04 3.27866027e-01]",0.33405012469938655,143.46430110931396
17,"[0.00000000e+00 4.04047041e+01 0.00000000e+00 1.00000000e+00
 3.00000000e+00 4.09872010e+03 1.30000000e+01]","[2.30303598e-02 1.65297029e-02 9.50000000e-01 1.64501529e-04
 1.54495439e-02 3.88706677e-02 1.64501529e-04 7.11594621e-05
 7.11594621e-05 7.11594621e-05 7.80752162e-05 8.43068535e-01]",0.5955904006506343,142.56249952316284
