formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,5.102553039252761,0.0,1.0,21.0,1646.3117090253336,71.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.851659575725868,0.0,2.0,2.0,3631.8200540847192,76.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.008387982694769,0.0,3.0,16.0,1016.803095716061,28.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,8.097719822437135,0.0,2.0,15.05761381394422,1007.6581813000092,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.095577188368348,0.0,2.0,2.0,2215.936480033469,1.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.604546219493725,0.0,1.0,2.0,1020.7473977373104,93.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.733852381995509,0.0,2.0,13.0,1002.201141049764,59.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.097719822437135,0.0,2.0,14.0,1007.6581813000092,33.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.135108283459149,0.0,3.0,0.0,1022.5060473353684,81.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.040834473124312,0.0,3.0,4.0,1002.7578784766828,64.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,7.085486737508244,0.0,1.0,2.0,2303.624261081602,17.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,7.128054567008064,0.0,3.0,0.0,1001.0223035101816,79.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.135108283459149,0.0,3.0,0.0,1022.5060473353684,58.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.416439524351658,0.0,3.0,2.0,1021.4445126818504,89.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,6.476410017234739,0.0,1.990052979447415,4.009947020552585,1009.0606550536022,40.0,True,True,True,True,True,True,True,True,True,True,True,True
